date	count	v1count	blankcount
2006-12-08	3	3	3
2007-03-18	1	1	1
2007-05-21	164	164	13
2007-05-23	85	85	4
2007-05-28	91	91	5
2007-05-29	37	37	2
2007-05-30	9	9	7
2007-06-03	528	528	39
2007-06-04	659	659	57
2007-06-05	68	68	32
2007-06-06	171	171	7
2007-06-07	18	18	0
2007-06-08	139	139	5
2007-06-09	143	143	11
2007-06-10	444	444	34
2007-06-11	821	821	36
2007-06-12	384	384	6
2007-06-13	133	133	0
2007-06-14	991	991	22
2007-06-15	6	6	0
2007-06-16	460	460	56
2007-06-17	7307	7307	376
2007-06-18	215	215	7
2007-06-21	119	119	18
2007-06-22	1475	1475	70
2007-06-24	312	312	7
2007-06-25	294	294	15
2007-06-29	46	46	7
2007-06-30	96	96	0
2007-07-01	241	241	5
2007-07-03	399	399	10
2007-07-04	473	473	4
2007-07-05	178	178	1
2007-07-06	175	175	0
2007-07-07	100	100	1
2007-07-09	271	271	11
2007-07-14	15	15	0
2007-07-16	3	3	0
2007-07-17	194	194	2
2007-07-18	153	153	0
2007-07-21	22	22	17
2007-07-28	98	98	23
2007-07-30	475	475	51
2007-08-01	10	10	0
2007-08-02	1	1	0
2007-08-03	976	976	43
2007-08-04	1203	1203	40
2007-08-05	431	431	6
2007-08-06	5588	5588	230
2007-08-07	128	128	3
2007-08-13	534	534	6
2007-08-14	518	518	8
2007-08-16	2514	2514	42
2007-08-17	115	115	11
2007-08-19	181	181	3
2007-08-20	5233	5233	126
2007-08-21	351	351	11
2007-08-23	2402	2402	37
2007-08-24	454	454	17
2007-09-03	541	541	14
2007-09-08	766	766	3
2007-09-09	62806	62806	1073
2007-09-10	656	656	27
2007-09-11	525	525	16
2007-09-12	617	617	11
2007-09-13	52768	52768	994
2007-09-14	5182	5182	54
2007-09-15	220	220	0
2007-09-16	49165	49165	1529
2007-09-17	66968	66968	134
2007-09-18	90	90	0
2007-09-19	54	54	0
2007-09-23	148	148	0
2007-09-24	1361	1361	1
2007-09-25	397	397	0
2007-09-26	394	394	0
2007-09-27	1356	1356	0
2007-09-28	91	91	0
2007-09-29	769	769	0
2007-10-01	1993	1993	0
2007-10-02	273	273	0
2007-10-03	2773	2773	2
2007-10-04	5678	5678	6
2007-10-05	582	582	0
2007-10-06	1044	1044	0
2007-10-07	229	61	0
2007-10-08	19	0	0
2007-10-11	211	103	0
2007-10-12	1871	745	0
2007-10-13	4395	583	0
2007-10-14	198	15	0
2007-10-22	68	2	0
2007-10-24	2290	287	0
2007-10-25	5442	1120	2
2007-10-26	6278	210	0
2007-10-27	291	79	0
2007-10-28	3568	1712	3
2007-10-29	593	114	2
2007-10-31	817	318	0
2007-11-01	136	35	0
2007-11-02	76	21	0
2007-11-04	1930	595	0
2007-11-05	2895	895	0
2007-11-06	1278	797	1
2007-11-07	1715	1058	7
2007-11-09	2629	1611	55
2007-11-10	303	151	3
2007-11-11	308	125	0
2007-11-12	177737	176295	1083
2007-11-13	210	162	0
2007-11-14	155	12	0
2007-11-15	5	1	0
2007-11-16	651	86	0
2007-11-18	25	8	0
2007-11-19	256	78	0
2007-11-20	408	314	1
2007-11-21	579	41	0
2007-11-23	1659	217	0
2007-11-24	164	16	0
2007-11-25	2798	375	0
2007-11-26	547	29	0
2007-11-27	1798	214	1
2007-11-28	572	314	0
2007-11-29	49	16	0
2007-11-30	278	3	0
2007-12-01	421	3	0
2007-12-04	1181	640	6
2007-12-05	738	235	0
2007-12-06	1420	307	0
2007-12-07	8	6	0
2007-12-09	854	853	29
2007-12-11	5	5	0
2007-12-13	29	5	0
