date	count	v1count	blankcount
2007-10-29	3	3	3
2007-11-23	23	23	16
2008-01-31	5	4	2
2008-02-02	4276	4276	109
2008-02-15	1	1	1
2008-02-19	4	2	2
2008-05-26	319	290	33
2008-05-27	46	46	9
2008-05-29	46	46	0
2008-05-30	48	38	1
2008-05-31	4	4	0
2008-06-21	33	25	8
2008-07-12	5	5	0
2008-07-13	9	9	0
2008-07-17	23	22	2
2008-07-20	16	16	1
2008-07-26	2	0	0
2008-07-27	1	0	0
2008-07-28	38	35	10
2008-08-02	272	231	5
2008-08-04	3288	3242	7
2008-08-05	437	116	0
2008-08-06	170	47	0
2008-08-07	135	62	0
2008-08-08	260	41	1
2008-08-09	192	192	25
2008-08-10	9	9	0
2008-08-11	108	61	0
2008-08-12	1538	1514	26
2008-08-13	8009	7795	25
2008-08-14	26699	26051	26
2008-08-15	1489	733	2
2008-08-16	3332	2509	15
2008-08-17	956	846	2
2008-08-23	7	7	0
2008-08-24	80	56	6
2008-08-28	2191	2140	0
2008-08-30	334	316	0
2008-08-31	283	278	0
2008-09-03	93	83	0
2008-09-10	5088	4972	3
2008-09-12	40	40	7
2008-09-15	1510	1425	3
2008-09-20	1826	1792	7
2008-09-25	15	10	0
2008-09-30	807	772	0
2008-10-04	45	37	0
2008-10-11	843	38	6
2008-10-12	5979	1022	0
2008-10-13	93	69	0
2008-10-17	1714	0	0
2008-10-18	396	13	0
2008-10-19	1400	0	0
2008-10-22	51	0	0
2008-10-23	12	4	0
2008-10-24	199	0	0
2008-10-27	3820	1009	82
2008-10-28	251	0	0
2008-11-05	11	11	0
2008-11-06	1	0	0
2008-11-14	4	4	0
2008-11-17	100	6	2
2008-11-20	4	4	0
2008-11-22	7	0	0
2008-11-24	179	28	3
2008-11-25	15	1	0
2008-12-24	136	3	0
2008-12-26	87	71	0
2008-12-27	45	43	0
2009-01-09	1	0	0
2009-01-28	30	2	0
2009-02-01	4	0	0
2009-02-02	133	0	0
2009-02-06	331	3	1
2009-02-21	247	81	6
2009-02-22	63	51	0
2009-02-23	1	0	0
2009-02-24	31	14	3
2009-02-26	1074	189	28
2009-02-27	5067	718	31
2009-03-02	1	1	0
2009-03-03	657	327	40
2009-03-04	284	66	0
2009-03-05	348	89	0
2009-03-06	826	91	0
2009-03-07	657	96	0
2009-03-08	5534	207	0
2009-03-09	31098	24976	138
2009-03-10	71	5	1
2009-03-11	1592	115	1
2009-03-12	153	41	0
2009-03-13	154	25	3
2009-03-16	260	0	0
2009-03-17	22	0	0
2009-03-19	2	0	0
2009-03-21	628	66	5
2009-03-22	4027	16	0
2009-03-23	5161	224	3
2009-03-24	13553	0	0
2009-03-25	30163	0	0
2009-03-30	3	1	0
2009-03-31	5	4	0
2009-04-02	4118	4118	13
2009-04-03	4851	4851	20
2009-04-08	376	0	0
2009-04-09	9	0	0
2009-04-13	1129	2	0
2009-04-15	16	0	0
2009-04-17	4	0	0
2009-04-27	439	414	0
2009-04-29	554	395	0
2009-04-30	172	15	0
2009-05-06	127	0	0
2009-05-07	9	0	0
2009-05-17	11	7	0
