date	count	v1count	blankcount
2006-09-13	238	238	19
2006-12-02	207	207	0
2007-03-18	1	1	1
2007-03-28	1	1	1
2007-07-30	150	150	5
2007-07-31	22	22	0
2007-08-03	4	4	0
2007-10-17	4	0	0
2007-10-29	5	0	0
2007-11-27	23	22	7
2008-01-26	1	0	0
2008-04-01	9	8	0
2008-04-05	5	0	0
2008-04-17	8	0	0
2008-06-28	89	89	22
2008-06-30	16	16	0
2008-07-10	30	29	2
2008-09-30	9	3	0
2008-10-05	299	284	12
2008-10-06	2217	301	11
2008-10-07	1741	322	16
2008-10-08	1477	551	15
2008-10-09	121	0	0
2008-10-29	156	5	1
2008-10-30	450	101	5
2008-11-02	1242	793	47
2008-11-05	1	0	0
2009-01-02	19	10	0
2009-01-25	6	0	0
2009-02-05	27	0	0
2009-02-06	1274	498	8
2009-02-10	416	0	0
2009-02-15	208	0	0
2009-02-18	216	0	0
2009-02-20	29	0	0
2009-02-21	1	0	0
2009-04-07	11	0	0
2009-05-01	37	37	3
2009-05-04	6	0	0
2009-06-04	62	58	2
2009-06-17	1	0	0
2009-06-18	1	0	0
2009-06-21	8	8	0
2009-06-26	43	21	0
2009-07-04	277	109	0
2009-07-23	1	0	0
2009-07-27	16	12	0
2009-07-28	7	5	0
2009-07-29	2	0	0
2009-08-03	17	11	1
2009-08-05	1	0	0
2009-08-06	7	5	0
2009-08-16	1	0	0
2009-09-08	1	0	0
2009-09-12	18	7	0
2009-09-21	1	0	0
2009-09-25	4875	4833	52
2009-09-26	167	165	0
2009-09-27	1065	1061	3
2009-09-29	119	102	3
2009-10-23	2	2	0
2009-11-08	68	30	0
2009-11-15	4	4	0
2009-11-16	138	137	0
2009-11-18	1	0	0
2009-11-24	1596	1114	19
2009-11-25	494	493	1
2009-11-30	897	889	1
2009-12-01	80	80	0
2009-12-02	139	129	0
2009-12-03	244	238	0
2009-12-04	1525	1518	17
2009-12-05	182	181	4
2009-12-06	629	626	1
2009-12-08	13	5	0
2009-12-10	16	13	0
2009-12-13	10	6	0
2009-12-17	353	352	3
2009-12-18	31	31	1
2009-12-19	17	17	0
2010-01-12	190	190	3
2010-01-16	78	78	3
2010-01-17	30	29	0
2010-01-22	607	606	4
2010-01-24	204	203	0
2010-01-25	43	41	1
2010-01-27	258	258	1
2010-03-03	28	24	0
2010-03-06	11	0	0
2010-03-18	149	134	2
2010-03-20	6	5	0
2010-03-28	1	1	0
2010-04-09	2	0	0
2010-04-10	2114	2114	16
2010-04-12	591	591	2
2010-04-14	314	314	9
2010-04-15	724	722	1
2010-04-20	1835	1810	2
2010-04-21	191	191	0
2010-04-24	167	167	1
2010-04-29	17	15	0
2010-05-09	19	19	0
2010-05-10	64	61	7
2010-05-11	4	0	0
2010-05-23	302	302	0
2010-07-06	7	0	0
2010-07-07	45	0	0
2010-07-12	7	2	0
2010-07-13	7	0	0
2010-07-17	1	0	0
2010-07-19	254	229	0
2010-08-04	155	155	0
2010-08-13	6	4	0
2010-08-20	42	2	0
2010-09-05	1	1	0
2010-09-12	1	1	0
2010-09-13	86	47	0
2010-09-22	2	0	0
2010-09-29	21	0	0
2010-10-13	1	0	0
2010-10-16	7	7	0
2010-10-29	213	1	0
2010-12-01	1	1	0
2010-12-06	8	8	0
2010-12-16	14	14	0
2010-12-17	1	1	0
2010-12-18	1	0	0
2011-01-22	4	1	0
2011-01-27	1	1	0
2011-03-05	6	6	0
2011-03-10	39	37	0
2011-03-11	18	17	1
2011-03-16	2	2	0
2011-03-31	4	3	0
2011-04-10	2	1	0
2011-04-17	16	16	0
2011-04-18	4	3	0
2011-04-19	526	339	0
2011-04-20	9	0	0
2011-04-21	34	23	0
2011-04-23	1	1	0
2011-04-26	138	131	0
2011-05-01	37	34	0
2011-05-18	7	6	0
2011-05-25	7	0	0
2011-06-14	1	1	0
2011-06-27	124	121	1
2011-06-30	316	307	0
2011-07-01	20	20	0
2011-07-05	3	0	0
2011-07-12	41	41	1
2011-07-19	30	23	0
2011-07-21	1012	966	1
2011-07-22	679	583	0
2011-07-25	12	8	0
2011-07-27	7	0	0
2011-07-28	2	2	0
2011-08-03	1263	0	0
2011-08-08	11	11	0
2011-08-12	1	1	0
2011-08-16	1	1	0
2011-08-17	135	99	0
2011-08-20	169	169	0
2011-08-29	15	15	0
2011-09-15	26	26	0
2011-09-25	11	4	0
2011-09-27	1	0	0
2011-10-05	1	1	0
2011-10-07	128	87	0
2011-10-29	59	30	0
2011-10-31	23	4	0
2011-11-15	2	1	0
2011-12-15	1	0	0
2011-12-21	3	3	0
2011-12-26	18	8	0
2011-12-27	123	64	0
2012-01-03	1	1	0
2012-02-25	129	129	0
2012-02-26	10	6	0
2012-02-29	4	1	0
2012-03-07	13	0	0
2012-03-19	1	1	0
2012-03-22	1	1	0
2012-03-23	1	0	0
2012-03-24	2	1	0
2012-03-26	49	0	0
2012-04-07	2	0	0
2012-04-08	1	0	0
2012-04-10	14	6	0
2012-04-11	11	4	0
2012-04-12	1	1	0
2012-04-13	1	1	0
2012-04-28	2	0	0
2012-04-29	4	4	0
2012-05-07	78	24	0
2012-05-10	232	182	0
2012-05-16	1	1	0
2012-05-18	1	1	0
2012-05-21	430	426	2
2012-05-26	12	12	0
2012-06-07	4	1	0
2012-06-12	1	0	0
2012-06-14	2	2	0
2012-06-16	1	0	0
2012-06-17	460	22	0
2012-06-29	2	1	0
2012-07-09	3	3	0
2012-07-15	1	1	0
2012-07-19	677	473	0
2012-07-20	208	4	0
2012-07-23	1	1	0
2012-07-24	1	0	0
2012-07-25	32	0	0
2012-07-26	32	0	0
2012-07-27	2251	1624	0
2012-07-28	289	204	1
2012-07-29	796	530	0
2012-07-30	5429	4135	0
2012-07-31	26	25	0
2012-08-01	880	762	0
2012-08-02	917	716	0
