date	count	v1count	blankcount
2007-07-03	1047	1047	14
2007-07-04	119	119	3
2007-07-05	1206	1206	31
2007-07-06	218	218	11
2007-08-24	172	172	17
2007-08-25	341	341	4
2007-08-27	138	138	3
2007-08-28	615	615	16
2007-08-29	207	207	3
2007-08-30	12	12	1
2007-09-01	14	14	2
2007-09-22	9346	9346	297
2007-09-23	22868	22868	610
2007-10-08	3	1	0
2007-10-28	7	0	0
2007-11-19	79	79	39
2007-11-25	118	115	19
2007-11-27	2	0	0
2007-12-02	47	27	4
2007-12-05	1	0	0
2007-12-06	3	0	0
2007-12-09	331	164	11
2007-12-14	9	1	0
2007-12-15	83	83	8
2007-12-16	679	649	93
2007-12-21	1	0	0
2007-12-22	148	134	11
2007-12-23	19	19	0
2007-12-26	309	298	46
2007-12-27	155	103	40
2007-12-28	19	7	0
2007-12-30	550	443	38
2008-01-01	125	117	8
2008-01-02	235	190	11
2008-01-03	157	130	8
2008-01-04	147	22	1
2008-01-06	282	272	93
2008-01-07	773	589	78
2008-01-08	1765	304	17
2008-01-09	861	172	3
2008-01-10	179	147	0
2008-01-12	90	81	18
2008-01-14	292	285	82
2008-01-15	10	0	0
2008-01-16	629	622	10
2008-01-17	163	159	4
2008-01-18	237	183	13
2008-01-19	74	74	20
2008-01-20	206	183	28
2008-01-22	674	621	103
2008-01-23	355	260	64
2008-01-25	4	1	0
2008-01-26	1161	1074	54
2008-01-28	414	386	47
2008-01-29	451	329	56
2008-01-30	779	743	4
2008-02-02	208	183	2
2008-02-03	243	195	0
2008-02-04	5	0	0
2008-02-05	140	118	0
2008-02-06	210	134	8
2008-02-09	209	185	2
2008-02-10	90	63	5
2008-02-11	170	162	4
2008-02-16	32	30	1
2008-02-17	112	109	12
2008-02-19	118	81	13
2008-02-20	79	58	16
2008-02-21	42	21	0
2008-02-22	50	18	3
2008-02-23	212	169	3
2008-02-25	1	0	0
2008-02-27	11	0	0
2008-02-29	565	529	64
2008-03-01	14	8	0
2008-03-04	61	51	1
2008-03-05	102	82	4
2008-03-07	3	3	2
2008-03-08	58	52	5
2008-03-09	67	56	3
2008-03-10	16	14	0
2008-03-12	321	188	1
2008-03-13	311	236	0
2008-03-14	552	510	51
2008-03-15	1208	1122	82
2008-03-16	489	436	48
2008-03-18	922	858	44
2008-03-19	1039	749	64
2008-03-20	69	57	0
2008-03-21	573	417	23
2008-03-22	1	1	1
2008-03-24	885	877	92
2008-03-25	275	273	8
2008-03-26	54	44	0
2008-03-27	199	179	7
2008-03-28	176	144	0
2008-03-29	125	106	10
2008-03-30	656	601	69
2008-03-31	2	1	0
2008-04-02	208	147	1
2008-04-03	1800	1491	15
2008-04-04	396	307	7
2008-04-05	176	146	2
2008-04-06	1178	893	25
2008-04-07	702	604	2
2008-04-08	384	334	13
2008-04-09	452	320	0
2008-04-10	191	149	0
2008-04-11	56	34	0
2008-04-12	222	221	11
2008-04-13	247	124	0
2008-04-14	228	129	0
2008-04-15	162	115	0
2008-04-17	275	210	0
2008-04-18	183	175	0
2008-04-19	95	53	0
2008-04-20	496	326	0
2008-04-21	177	146	3
2008-04-25	9	0	0
2008-04-26	141	101	0
2008-04-27	931	755	9
2008-04-28	51	6	0
2008-04-29	1631	1116	16
2008-04-30	766	702	25
2008-05-01	276	234	11
2008-05-02	646	549	4
2008-05-03	133	73	0
2008-05-04	371	314	11
2008-05-06	338	303	12
2008-05-07	379	316	20
2008-05-08	1011	0	0
2008-05-09	1	0	0
2008-05-10	1039	1038	13
2008-05-11	1362	1201	8
2008-05-12	946	755	22
2008-05-13	822	803	40
2008-05-14	31	12	0
2008-05-16	1093	1001	29
2008-05-17	855	835	3
2008-05-18	30	0	0
2008-05-19	85	78	0
2008-05-20	256	138	3
2008-05-21	762	736	7
2008-05-22	242	155	0
2008-05-23	224	31	0
2008-05-24	698	682	39
2008-05-25	786	694	9
2008-05-26	434	346	9
2008-05-27	53	21	0
2008-05-28	715	686	23
2008-05-29	822	372	3
2008-05-30	210	134	4
2008-05-31	386	317	9
2008-06-01	1044	721	12
2008-06-02	423	386	6
2008-06-03	468	342	5
2008-06-05	376	364	16
2008-06-06	233	125	0
2008-06-07	101	75	0
2008-06-08	80	69	4
2008-06-09	186	161	0
2008-06-10	175	109	0
2008-06-11	462	345	2
2008-06-12	220	162	0
2008-06-13	60	57	0
2008-06-14	32	26	0
2008-06-15	635	578	30
2008-06-16	840	718	14
2008-06-17	468	351	1
2008-06-18	67	18	0
2008-06-19	749	192	2
2008-06-21	226	185	5
2008-06-22	796	737	70
2008-06-24	5	0	0
2008-06-25	172	168	3
2008-06-26	535	521	23
2008-06-28	1143	900	2
2008-06-29	491	369	0
2008-06-30	382	380	0
2008-07-01	605	567	10
2008-07-02	1310	1123	15
2008-07-03	951	816	2
2008-07-04	294	263	0
2008-07-05	311	282	2
2008-07-06	1237	1185	2
2008-07-07	93	80	4
2008-07-08	855	605	4
2008-07-09	540	468	13
2008-07-10	1220	967	20
2008-07-11	243	228	7
2008-07-12	1242	1113	9
2008-07-13	1669	1510	36
2008-07-14	1352	1143	39
2008-07-15	245	227	1
2008-07-16	560	486	7
2008-07-17	577	451	0
2008-07-18	106	84	0
2008-07-19	910	696	3
2008-07-20	827	690	0
2008-07-21	1136	1039	1
2008-07-22	538	468	10
2008-07-23	1192	1118	13
2008-07-24	3158	1890	3
2008-07-25	640	505	1
2008-07-26	123	109	0
2008-07-27	4238	3025	51
2008-07-28	1929	972	12
2008-07-29	395	290	0
2008-07-30	227	205	0
2008-07-31	1338	87	0
2008-08-01	551	539	0
2008-08-02	220	150	0
2008-08-03	1081	952	2
2008-08-04	80	7	0
2008-08-05	747	539	3
2008-08-06	855	783	5
2008-08-07	937	555	4
2008-08-08	937	909	9
2008-08-09	921	792	2
2008-08-10	4251	3568	21
2008-08-11	3210	2785	18
2008-08-12	3157	2751	5
2008-08-13	680	268	27
2008-08-14	2222	1866	8
2008-08-15	1552	1160	2
2008-08-16	3310	2860	37
2008-08-17	2963	2310	6
2008-08-18	2464	2148	4
2008-08-19	2793	2482	1
2008-08-20	786	537	2
2008-08-21	1647	1205	4
2008-08-22	498	436	0
2008-08-23	1621	1340	0
2008-08-24	679	545	4
2008-08-25	552	534	0
2008-08-26	690	192	0
2008-08-27	726	671	15
2008-08-28	919	842	19
2008-08-29	384	193	0
2008-08-30	1234	787	1
2008-08-31	536	469	0
2008-09-01	1004	738	0
2008-09-02	132	89	0
2008-09-03	1059	650	8
2008-09-04	1705	1250	35
2008-09-05	70	36	1
2008-09-06	1999	1514	6
2008-09-07	913	782	0
2008-09-08	1880	1658	4
2008-09-09	1068	699	1
2008-09-10	1854	1120	0
2008-09-11	1171	1039	0
2008-09-12	631	469	0
2008-09-13	663	257	0
2008-09-14	1255	1104	2
2008-09-15	2608	1927	11
2008-09-16	629	457	0
2008-09-17	36	23	0
2008-09-18	341	299	2
2008-09-19	1662	1244	12
2008-09-20	5990	5833	32
2008-09-21	661	543	2
2008-09-22	1622	1326	11
2008-09-23	1237	1073	0
2008-09-24	1400	1158	8
2008-09-25	283	10	0
2008-09-26	190	148	0
2008-09-27	823	711	3
2008-09-28	801	623	0
2008-09-29	1417	1097	2
2008-09-30	1269	1068	14
2008-10-01	99	79	0
2008-10-02	109	81	1
2008-10-03	635	452	1
2008-10-04	1262	1130	25
2008-10-05	2215	1935	16
2008-10-06	1348	748	0
2008-10-07	1694	343	5
2008-10-08	1074	329	0
2008-10-09	1059	140	7
2008-10-10	911	311	1
2008-10-11	1293	721	2
2008-10-12	1082	564	4
2008-10-13	2467	1044	15
2008-10-14	9709	1436	0
2008-10-15	4360	1030	20
2008-10-16	1113	680	0
2008-10-17	1276	421	0
2008-10-18	835	384	20
2008-10-19	13251	2837	16
2008-10-20	1721	712	5
2008-10-21	3428	545	11
2008-10-22	3311	475	1
2008-10-23	406	75	0
2008-10-24	25	13	0
2008-10-25	1792	459	0
2008-10-26	2430	1826	9
2008-10-27	1275	245	1
2008-10-28	2627	1295	23
2008-10-29	269	1	0
2008-10-30	35	0	0
2008-10-31	1083	874	28
2008-11-01	4335	1366	2
2008-11-02	2914	1377	19
2008-11-03	2015	1696	19
2008-11-04	3549	808	3
2008-11-05	1805	347	7
2008-11-06	520	225	16
2008-11-07	324	113	0
2008-11-08	1025	370	1
2008-11-09	5054	536	0
2008-11-10	454	231	0
2008-11-11	973	308	0
2008-11-12	631	208	0
2008-11-13	487	254	14
2008-11-14	649	298	1
2008-11-15	2944	2401	3
2008-11-16	1620	1209	0
2008-11-17	1091	380	0
2008-11-18	738	141	0
2008-11-19	658	369	4
2008-11-20	1937	213	1
2008-11-21	148	129	3
2008-11-22	1960	963	1
2008-11-23	5504	2113	20
2008-11-24	1615	821	3
2008-11-25	48	8	0
2008-11-26	329	215	0
2008-11-27	566	297	0
2008-11-28	34	14	0
2008-11-29	243	61	0
2008-11-30	1368	458	6
2008-12-01	2314	1761	2
2008-12-02	1262	299	1
2008-12-03	596	412	0
2008-12-04	316	188	0
2008-12-05	6	6	0
2008-12-06	471	352	0
2008-12-07	3128	1116	4
2008-12-08	176	119	0
2008-12-09	452	429	14
2008-12-10	267	178	0
2008-12-11	1197	632	3
2008-12-12	59	40	0
2008-12-13	568	439	2
2008-12-14	1560	845	0
2008-12-15	641	431	0
2008-12-16	52	7	0
2008-12-18	279	271	19
2008-12-19	129	129	11
2008-12-20	407	357	1
2008-12-21	48	25	0
2008-12-22	929	736	7
2008-12-23	571	446	0
2008-12-25	172	0	0
2008-12-26	31	30	0
2008-12-27	1	1	0
2008-12-28	1316	1204	53
2008-12-29	234	210	0
2008-12-30	713	676	21
2008-12-31	206	179	0
2009-01-01	249	211	0
2009-01-02	561	371	0
2009-01-03	5	2	0
2009-01-04	1889	1236	48
2009-01-05	39	16	0
2009-01-06	39	20	0
2009-01-07	17	15	0
2009-01-08	207	111	0
2009-01-09	21	9	0
2009-01-10	20	17	0
2009-01-11	370	361	30
2009-01-12	366	219	12
2009-01-13	101	1	0
2009-01-14	375	79	0
2009-01-15	1008	779	6
2009-01-16	618	408	2
2009-01-17	3928	1320	37
2009-01-18	2906	687	0
2009-01-19	63	3	0
2009-01-20	98	32	0
2009-01-21	361	169	1
2009-01-22	103	51	0
2009-01-23	178	99	3
2009-01-24	3130	1291	43
2009-01-25	1068	516	8
2009-01-26	2626	446	0
2009-01-27	781	612	1
2009-01-28	345	329	0
2009-01-29	952	874	2
2009-01-30	489	193	0
2009-01-31	1037	538	9
2009-02-01	885	533	5
2009-02-02	813	593	0
2009-02-03	186	60	0
2009-02-04	1075	753	4
2009-02-05	624	468	1
2009-02-06	1442	445	1
2009-02-07	1894	462	5
2009-02-08	1381	377	12
2009-02-09	96	30	0
2009-02-10	2052	395	3
2009-02-11	4070	1084	10
2009-02-12	447	38	0
2009-02-13	421	64	5
2009-02-14	1512	507	13
2009-02-15	3352	1338	7
2009-02-16	659	224	0
2009-02-17	1666	158	1
2009-02-18	653	104	3
2009-02-19	782	541	0
2009-02-20	523	43	0
2009-02-21	3835	1856	19
2009-02-22	3221	1454	13
2009-02-23	769	308	0
2009-02-24	312	30	0
2009-02-25	627	59	2
2009-02-26	206	61	0
2009-02-27	706	265	2
2009-02-28	1469	440	3
2009-03-01	2150	758	12
2009-03-02	1163	592	2
2009-03-03	338	140	0
2009-03-04	429	186	0
2009-03-05	720	628	3
2009-03-06	378	103	0
2009-03-07	2556	1149	10
2009-03-08	3431	1244	0
2009-03-09	827	265	6
2009-03-10	47	24	0
2009-03-11	1566	632	0
2009-03-12	41	39	0
2009-03-13	1126	825	1
2009-03-14	1823	767	14
2009-03-15	7135	1739	21
2009-03-16	2291	1021	2
2009-03-17	462	230	0
2009-03-18	845	224	0
2009-03-19	6659	1089	2
2009-03-20	2544	580	0
2009-03-21	3503	1610	14
2009-03-22	5391	1778	0
2009-03-23	1410	589	16
2009-03-24	974	95	0
2009-03-25	677	208	0
2009-03-26	2655	261	1
2009-03-27	928	240	3
2009-03-28	2427	1234	18
2009-03-29	3365	1415	29
2009-03-30	747	335	6
2009-03-31	684	66	0
2009-04-01	563	298	2
2009-04-02	2715	636	25
2009-04-03	2066	418	1
2009-04-04	774	567	11
2009-04-05	3062	708	3
2009-04-06	3448	2014	0
2009-04-07	15019	302	0
2009-04-08	9106	322	5
2009-04-09	130	37	0
