date	count	v1count	blankcount
2006-10-15	28	28	6
2006-10-19	7	7	3
2006-10-20	12	12	0
2006-10-28	9	9	8
2006-10-29	11	11	1
2006-10-30	525	525	19
2006-10-31	54	54	8
2006-11-01	38	38	2
2006-11-02	3	3	2
2006-11-05	87	87	0
2006-11-09	458	458	24
2006-11-11	13	13	0
2006-11-12	147	147	0
2006-11-13	2	2	2
2006-11-19	372	372	18
2006-11-26	104	104	33
2006-11-27	130	130	10
2006-11-30	97	97	21
2006-12-02	400	400	15
2006-12-03	488	488	43
2006-12-04	15	15	0
2006-12-06	149	149	24
2006-12-07	151	151	21
2006-12-11	220	220	5
2006-12-13	48	48	14
2006-12-16	35	35	2
2006-12-17	61	61	5
2007-01-01	154	154	0
2007-01-07	19	19	3
2007-01-09	20	20	0
2007-02-03	38	38	9
2007-02-04	60	60	12
2007-02-05	51	51	20
2007-02-10	107	107	31
2007-02-11	145	145	10
2007-02-17	26	26	1
2007-02-18	145	145	0
2007-02-24	24	24	0
2007-02-28	533	533	85
2007-03-01	2	2	0
2007-03-03	1	1	0
2007-03-11	41	41	17
2007-03-18	1	1	1
2007-03-20	44	44	0
2007-04-18	33	33	0
2007-05-25	8	8	0
2007-05-26	1291	1291	36
2007-05-27	896	896	62
2007-06-01	27	27	0
2007-06-21	79	79	30
2007-06-22	8	8	0
2007-06-28	10	10	0
2007-06-29	10	10	0
2007-06-30	33	33	0
2007-07-01	9	9	0
2007-07-02	38	38	1
2007-07-03	40	40	0
2007-07-04	24	24	1
2007-07-05	85	85	2
2007-07-07	7	7	6
2007-07-12	23	23	8
2007-07-13	34	34	2
2007-07-15	43	43	21
2007-07-17	11	11	0
2007-07-18	50	50	1
2007-07-19	404	404	22
2007-07-20	2644	2644	69
2007-07-21	872	872	16
2007-07-22	73	73	3
2007-07-23	113	113	1
2007-07-24	50	50	7
2007-07-25	276	276	0
2007-07-26	34	34	10
2007-07-27	369	369	38
2007-07-28	185	185	1
2007-07-29	52	52	0
2007-07-30	4	4	1
2007-07-31	82	82	7
2007-08-01	22	22	0
2007-08-02	21	21	5
2007-08-03	12	12	3
2007-08-04	251	251	9
2007-08-05	277	277	0
2007-08-06	3	3	1
2007-08-07	9	9	0
2007-08-08	83	83	0
2007-08-10	2	2	0
2007-08-13	68	68	17
2007-08-14	129	129	6
2007-08-15	32	32	7
2007-08-16	279	279	21
2007-08-17	57	57	3
2007-08-18	203	203	1
2007-08-19	51	51	4
2007-08-20	52	52	3
2007-08-21	66	66	1
2007-08-22	28	28	0
2007-08-24	159	159	1
2007-08-25	886	886	3
2007-08-26	35	35	0
2007-08-27	345	345	4
2007-08-28	72	72	0
2007-08-30	45	45	14
2007-08-31	516	516	22
2007-09-01	308	308	4
2007-09-02	1	1	0
2007-09-03	606	606	51
2007-09-04	605	605	12
2007-09-05	228	228	1
2007-09-07	201	201	0
2007-09-08	437	437	3
2007-09-09	512	512	1
2007-09-10	284	284	4
2007-09-11	125	125	0
2007-09-12	8	8	1
2007-09-13	515	515	42
2007-09-14	31	31	0
2007-09-15	19	19	0
2007-09-16	69	69	3
2007-09-17	117	117	0
2007-09-20	643	643	4
2007-09-21	1145	1145	6
2007-09-22	200	200	1
2007-09-23	542	542	0
2007-09-24	54	54	0
2007-09-25	479	479	30
2007-09-26	394	394	13
2007-09-27	269	269	5
2007-09-28	471	471	3
2007-10-01	1214	1214	26
2007-10-02	689	689	7
2007-10-03	455	455	2
2007-10-04	307	307	0
2007-10-05	24	24	0
2007-10-06	603	603	0
2007-10-07	693	505	0
2007-10-08	481	353	1
2007-10-09	131	79	4
2007-10-10	528	286	0
2007-10-11	574	254	23
2007-10-12	422	284	0
2007-10-13	1306	729	8
2007-10-14	1522	988	5
2007-10-15	639	216	0
2007-10-16	126	54	0
2007-10-17	868	750	14
2007-10-18	39	27	0
2007-10-19	489	213	1
2007-10-20	129	70	0
2007-10-21	451	219	0
2007-10-22	658	478	6
2007-10-23	568	188	0
2007-10-24	441	362	2
2007-10-25	174	133	0
2007-10-26	185	171	0
2007-10-27	653	403	16
2007-10-28	464	436	1
2007-10-29	28	19	7
2007-10-30	2	0	0
2007-11-01	298	126	0
2007-11-02	533	344	1
2007-11-03	361	356	1
2007-11-04	520	436	0
2007-11-05	23	5	0
2007-11-06	167	86	1
2007-11-08	314	239	34
2007-11-10	66	66	0
2007-11-11	282	242	0
2007-11-12	4	1	0
2007-11-13	7	0	0
2007-11-16	824	278	0
2007-11-17	3	0	0
2007-11-18	754	498	1
2007-11-19	459	203	24
2007-11-21	4384	1370	49
2007-11-22	748	209	0
2007-11-23	1990	644	0
2007-11-24	271	133	0
2007-11-25	5	0	0
2007-11-26	544	262	1
2007-11-27	8209	3331	8
2007-11-28	8761	3222	71
2007-11-29	58	4	0
2007-11-30	821	380	3
2007-12-01	2346	1170	17
2007-12-02	1151	341	0
2007-12-03	914	374	0
2007-12-05	138	127	0
2007-12-06	2620	1042	4
2007-12-07	431	286	0
2007-12-08	582	399	0
2007-12-09	580	375	0
2007-12-10	83	56	0
2007-12-11	7	3	0
2007-12-12	176	11	0
2007-12-13	1	1	0
2007-12-18	1	1	0
2007-12-22	465	104	0
2007-12-23	50	19	0
2007-12-26	267	98	2
2007-12-29	218	214	0
2007-12-30	139	135	0
2007-12-31	2	2	0
2008-01-01	2387	653	15
2008-01-03	27	0	0
2008-01-06	546	373	0
2008-01-07	1425	803	2
2008-01-08	56	38	0
2008-01-09	136	81	0
2008-01-10	88	57	0
2008-01-11	40	22	0
2008-01-12	186	56	0
2008-01-13	37	29	0
2008-01-14	9	2	0
2008-01-15	524	172	1
2008-01-16	83	30	1
2008-01-18	57	46	0
2008-01-19	448	338	0
2008-01-20	322	268	0
2008-01-21	1008	826	0
2008-01-22	37	33	0
2008-01-23	17	14	0
2008-01-24	3	3	0
2008-01-25	548	491	0
2008-01-26	360	249	0
2008-01-28	123	112	0
2008-01-29	14	6	0
2008-01-30	173	39	0
2008-01-31	104	88	0
2008-02-01	689	590	3
2008-02-02	765	562	0
2008-02-04	37	5	0
2008-02-05	1	0	0
2008-02-06	12	4	0
2008-02-07	102	95	0
2008-02-08	105	84	0
2008-02-10	281	216	0
2008-02-11	925	809	3
2008-02-12	215	126	0
2008-02-13	106	88	1
2008-02-14	192	135	0
2008-02-15	907	871	2
2008-02-16	1804	1637	1
2008-02-18	1039	943	27
2008-02-19	137	131	2
2008-02-20	73	30	0
2008-02-21	26	25	4
2008-02-23	69	63	1
2008-02-24	9	1	0
2008-02-25	141	96	1
2008-02-26	174	85	1
2008-02-27	70	55	8
2008-02-28	64	21	0
2008-02-29	1118	932	0
2008-03-01	363	283	0
2008-03-02	418	320	3
2008-03-04	4	2	0
2008-03-05	18	16	0
2008-03-06	217	205	0
2008-03-07	586	397	0
2008-03-08	836	585	1
2008-03-09	364	90	0
2008-03-10	2	2	0
2008-03-11	106	95	2
2008-03-14	296	206	0
2008-03-15	366	341	1
2008-03-16	1133	1008	17
2008-03-17	548	434	0
2008-03-19	351	127	0
2008-03-20	680	625	0
2008-03-21	609	558	0
2008-03-22	901	510	3
2008-03-24	893	499	0
2008-03-25	307	188	0
2008-03-26	27	5	0
2008-03-27	381	95	0
2008-03-28	735	642	0
2008-03-29	140	124	0
2008-04-01	15	9	0
2008-04-02	14	0	0
2008-04-03	20	0	0
2008-04-04	141	72	0
2008-04-05	12	11	0
2008-04-06	46	16	0
2008-04-07	93	51	0
2008-04-08	77	68	0
2008-04-09	18	10	0
2008-04-10	1	0	0
2008-04-12	30	16	0
2008-04-13	169	131	0
2008-04-14	7	5	0
2008-04-16	1420	1171	5
2008-04-17	74	73	2
2008-04-19	330	222	0
2008-04-21	127	88	0
2008-04-22	537	277	0
2008-04-23	1	1	0
2008-04-24	1236	874	0
2008-04-25	1240	974	0
2008-04-26	312	268	0
2008-04-27	1	0	0
2008-04-28	424	252	0
2008-04-29	307	241	0
2008-04-30	39	20	0
2008-05-01	42	29	0
2008-05-02	2300	2013	1
2008-05-03	1690	1500	7
2008-05-04	1106	766	0
2008-05-05	887	465	1
2008-05-06	1097	993	0
2008-05-07	1257	1051	0
2008-05-08	500	249	0
2008-05-09	63	29	0
2008-05-10	1	0	0
2008-05-11	16	16	0
2008-05-12	190	155	0
2008-05-13	98	79	0
2008-05-14	71	40	0
2008-05-15	738	569	0
2008-05-16	136	115	0
2008-05-17	90	75	0
2008-05-18	170	137	0
2008-05-19	811	706	0
2008-05-20	1884	1741	1
2008-05-21	453	368	0
2008-05-22	1444	1154	0
2008-05-23	771	633	0
2008-05-24	462	408	6
2008-05-25	1219	1074	7
2008-05-26	6	6	0
2008-05-27	117	85	0
2008-05-28	463	446	3
2008-05-29	236	123	0
2008-05-30	1023	975	7
2008-05-31	101	77	0
2008-06-01	775	718	3
2008-06-02	147	63	0
2008-06-03	90	82	0
2008-06-04	68	8	0
2008-06-05	46	21	0
2008-06-06	732	684	0
2008-06-07	64	61	0
2008-06-08	150	140	0
2008-06-09	183	110	0
2008-06-10	204	87	0
2008-06-11	39	32	0
2008-06-12	2	0	0
2008-06-14	804	592	1
2008-06-16	70	48	0
2008-06-17	53	16	0
2008-06-18	10	3	0
2008-06-20	28	13	0
2008-06-21	281	161	0
2008-06-22	616	562	0
2008-06-23	176	119	0
2008-06-24	879	857	0
2008-06-25	82	51	0
2008-06-26	174	127	0
2008-06-28	85	85	1
2008-06-29	83	81	0
2008-07-01	756	709	5
2008-07-02	197	156	0
2008-07-03	629	569	0
2008-07-04	201	129	0
2008-07-05	493	452	0
2008-07-06	139	88	0
2008-07-07	352	236	0
2008-07-08	803	688	2
2008-07-09	13	8	0
2008-07-10	1103	815	0
2008-07-11	435	370	0
2008-07-12	273	171	0
2008-07-13	718	643	0
2008-07-14	603	556	0
2008-07-15	195	160	0
2008-07-16	1	0	0
2008-07-17	145	57	0
2008-07-18	53	13	0
2008-07-19	583	381	4
2008-07-20	104	90	1
2008-07-21	240	214	0
2008-07-22	1003	827	12
2008-07-23	421	262	0
2008-07-24	174	96	0
2008-07-25	249	207	0
2008-07-26	1285	1142	0
2008-07-27	235	182	0
2008-07-28	533	330	0
2008-07-29	461	336	0
2008-07-30	38	2	0
2008-07-31	847	834	0
2008-08-02	18	1	0
2008-08-05	5	3	0
2008-08-06	24	16	0
2008-08-07	1974	1883	0
2008-08-08	363	289	0
2008-08-09	232	205	2
2008-08-10	522	511	1
2008-08-11	651	581	20
2008-08-12	422	411	10
2008-08-13	931	881	9
2008-08-14	1841	1646	0
2008-08-15	408	389	0
2008-08-16	482	443	2
2008-08-17	171	165	4
2008-08-19	228	195	13
2008-08-21	83	74	5
2008-08-23	43	43	1
2008-08-24	159	139	1
2008-08-25	5	1	0
2008-08-26	3	0	0
2008-08-27	252	210	0
2008-08-28	4	3	0
2008-08-29	302	240	0
2008-08-31	296	168	0
2008-09-01	953	911	0
2008-09-02	719	544	2
2008-09-03	106	26	0
2008-09-04	535	496	4
2008-09-05	348	341	0
