date	count	v1count	blankcount
2007-01-04	39	39	12
2007-01-07	6	6	1
2007-01-08	13	13	2
2007-01-09	1	1	0
2007-01-12	3	3	3
2007-01-15	186	186	35
2007-01-20	27	27	7
2007-01-21	31	31	3
2007-01-27	108	108	17
2007-02-10	191	191	26
2007-02-18	114	114	21
2007-02-20	129	129	31
2007-02-28	3	3	3
2007-03-01	8	8	1
2007-03-16	22	22	2
2007-03-18	1	1	1
2007-03-31	5	5	1
2007-04-18	12	12	5
2007-04-20	3	3	2
2007-04-21	26	26	1
2007-04-25	29	29	4
2007-04-26	4	4	1
2007-05-11	55	55	10
2007-05-13	2	2	0
2007-05-17	29	29	1
2007-05-24	15	15	2
2007-05-27	21	21	0
2007-05-28	27	27	0
2007-05-29	35	35	0
2007-05-30	15	15	4
2007-05-31	102	102	7
2007-06-02	47	47	0
2007-06-03	80	80	1
2007-06-12	5	5	1
2007-06-13	18	18	0
2007-06-14	209	209	12
2007-06-16	36	36	1
2007-06-17	55	55	7
2007-07-04	50	50	0
2007-07-18	7	7	0
2007-07-19	1	1	0
2007-07-20	6	6	1
2007-07-26	30	30	14
2007-08-02	1219	1219	99
2007-08-06	19	19	3
2007-08-12	1	1	0
2007-08-30	265	265	19
2007-09-02	161	161	4
2007-09-03	6355	6355	216
2007-09-07	14	14	0
2007-09-09	17	17	0
2007-09-13	33	33	0
2007-09-16	237	237	27
2007-09-17	85	85	3
2007-09-19	17	17	0
2007-09-20	3309	3309	98
2007-09-21	161	161	3
2007-09-23	65	65	0
2007-10-02	66	66	0
2007-11-01	3	3	0
2007-11-02	49	1	0
2007-11-03	22	11	0
2007-11-04	2	2	0
2007-11-11	3	0	0
2007-11-20	102	43	3
2007-11-21	551	213	0
2007-11-24	3	0	0
2007-11-29	2	1	1
2007-11-30	4	4	0
2007-12-02	422	160	23
2007-12-03	29	0	0
2007-12-04	1	1	0
2007-12-08	8	8	0
2007-12-09	15	15	3
2007-12-12	150	132	7
2007-12-17	125	125	19
2007-12-18	661	659	9
2007-12-19	20	14	0
2007-12-24	479	18	1
2007-12-25	1	1	0
2008-01-04	46	35	3
2008-01-12	136	115	1
2008-01-28	219	180	18
2008-01-29	259	192	4
2008-01-30	54	25	1
2008-01-31	57	44	0
2008-02-01	35	17	0
2008-02-02	171	157	0
2008-02-04	593	467	16
2008-02-06	100	90	0
2008-02-10	48	44	0
2008-02-14	286	269	1
2008-02-21	29	27	0
2008-02-26	347	315	10
2008-02-27	3	3	0
2008-02-28	137	123	16
2008-03-01	3	0	0
2008-03-02	45	32	1
2008-03-03	794	679	21
2008-03-05	104	98	3
2008-03-06	619	586	5
2008-03-08	84	74	0
2008-03-09	78	78	0
2008-03-11	658	468	2
2008-03-21	1	0	0
2008-03-22	52	46	0
2008-03-23	236	218	7
2008-03-24	33	28	1
2008-03-25	93	76	0
2008-03-26	204	201	1
2008-03-27	1362	902	29
2008-03-28	1149	489	0
2008-03-31	12	12	0
2008-04-01	36	33	2
2008-04-02	211	163	11
2008-04-03	1241	1000	4
2008-04-04	2301	1982	23
2008-04-05	1001	898	2
2008-04-07	1798	1157	1
2008-04-08	1617	1290	2
2008-04-09	1803	850	11
2008-04-10	2339	1862	58
2008-04-11	1214	833	1
2008-04-12	325	257	0
2008-04-13	684	586	33
2008-04-14	1702	1340	0
2008-04-15	3209	2614	3
2008-04-16	1104	872	3
2008-04-17	437	349	0
2008-04-18	604	333	5
2008-04-22	189	180	0
2008-04-23	2563	2156	3
2008-04-24	1474	1102	2
2008-04-25	2227	1827	2
2008-04-26	3	1	0
2008-04-27	719	561	0
2008-04-28	767	544	11
2008-04-29	1281	573	11
2008-04-30	319	200	4
2008-05-01	84	9	0
2008-05-02	283	92	0
2008-05-03	3	2	2
2008-05-04	121	119	2
2008-05-05	112	88	0
2008-05-06	34	14	0
2008-05-07	532	438	6
2008-05-08	708	570	1
2008-05-09	38	37	7
2008-05-10	96	60	3
2008-05-12	98	83	0
2008-05-13	35	32	0
2008-05-14	16	4	0
2008-05-15	230	196	0
2008-05-16	316	181	1
2008-05-17	19	5	0
2008-05-18	292	232	22
2008-05-19	426	345	13
2008-05-20	121	44	0
2008-05-21	895	698	3
2008-05-22	227	200	0
2008-05-23	121	101	6
2008-05-24	423	392	3
2008-05-26	57	42	0
2008-05-27	225	174	0
2008-05-28	438	395	0
2008-05-29	184	164	0
2008-05-30	773	504	3
2008-05-31	1016	678	18
2008-06-02	27	16	1
2008-06-03	1	0	0
2008-06-04	812	200	0
