date	count	v1count	blankcount
2007-04-24	1	1	1
2008-11-05	1	0	0
2008-11-10	4294	4115	130
2008-11-12	215	215	0
2009-01-11	41	39	2
2009-03-15	8	8	0
2009-04-24	1	0	0
2009-05-16	327	325	0
2009-06-01	1	1	0
2009-06-10	214	184	0
2009-06-11	604	435	0
2009-06-13	355	289	0
2009-06-14	24	18	0
2009-06-15	150	104	0
2009-06-18	1	0	0
2009-06-19	1	1	0
2009-06-20	265	229	2
2009-06-22	63	38	0
2009-06-23	29	10	0
2009-06-27	327	88	0
2009-06-28	20	15	0
2009-07-15	92	91	4
2009-07-16	222	171	1
2009-07-17	294	235	0
2009-07-21	76	70	0
2009-07-24	90	78	0
2009-07-27	116	109	12
2009-07-30	118	101	2
2009-08-02	1	0	0
2009-08-03	64	56	0
2009-09-03	3	3	0
2009-09-08	1	0	0
2009-09-09	2	0	0
2009-09-15	35	13	0
2009-09-24	1	0	0
2009-11-04	1	0	0
2009-11-05	3	1	0
2009-12-13	368	368	0
2009-12-18	3	0	0
2010-01-03	1	0	0
2010-01-04	3	0	0
2010-01-24	220	217	0
2010-08-29	19	19	0
2010-09-12	143	115	0
2010-09-26	124	83	1
2010-09-27	79	68	0
2010-09-28	33	32	0
2010-10-05	175	162	4
2010-11-27	4	4	0
2010-11-29	134	131	1
2010-12-01	23	16	0
2010-12-19	83	83	1
2010-12-27	25	25	0
2010-12-28	2	0	0
2010-12-30	3	0	0
2011-01-06	2	0	0
2011-01-11	4	0	0
2011-01-12	321	311	8
2011-01-14	1	1	0
2011-01-23	252	201	0
2011-01-24	22	11	0
2011-01-26	23	13	0
2011-01-29	150	25	0
2011-01-30	15	0	0
2011-02-01	10	1	0
2011-02-02	351	0	0
2011-02-06	35	0	0
2011-02-18	21	0	0
2011-05-21	1	1	0
2011-05-27	78	69	0
2011-06-09	1	1	1
2011-07-18	197	180	6
2011-07-19	10	3	0
2011-07-20	2	1	0
2011-07-30	81	74	2
2011-08-02	1	1	0
2011-10-07	2	0	0
2011-10-09	30	18	0
2012-01-17	19	15	0
2012-02-23	1	0	0
2012-04-28	23	10	0
2012-04-30	1	0	0
2012-05-01	1	0	0
2012-05-27	6	2	0
2012-06-03	1	0	0
2012-06-10	64	6	0
2012-06-12	1108	1096	7
2012-06-13	996	993	8
2012-07-01	21	13	0
2012-07-02	4017	3828	0
2012-07-03	4241	3393	0
2012-07-06	4	4	0
2012-07-08	262	182	0
2012-07-20	1	0	0
2012-07-22	22	9	0
2012-07-23	30	1	0
2012-07-24	1	0	0
2012-07-26	2	2	0
2012-07-29	3	3	0
2012-08-26	22	13	0
2012-08-28	20	20	0
2012-08-31	7520	7519	15
2012-09-01	1	1	0
2012-09-07	72	71	3
2012-09-08	44	31	1
2012-09-09	454	439	12
2012-09-10	1	0	0
2012-09-15	1	1	0
2012-09-16	104	92	0
2012-09-17	1805	1637	1
2012-09-21	8591	8215	4
2012-09-22	6506	6171	3
2012-09-23	24802	24802	5
2012-10-05	4038	271	0
2012-10-07	1115	329	0
2012-10-10	523	450	0
2012-10-15	2065	1498	0
2012-10-16	109	70	0
2012-10-17	792	593	0
2012-10-18	888	886	0
2012-10-19	1	0	0
2012-10-21	32	0	0
2012-10-24	1089	740	1
2012-10-25	347	321	0
2012-10-26	174	162	2
2012-10-27	849	611	0
2012-10-28	4207	3787	0
2012-10-29	1146	1074	0
2012-11-01	9617	9535	0
