user_name	date	count	v1count	blankcount
NULL	2007-02-21	7	7	3
NULL	2007-02-22	15	15	2
NULL	2007-03-01	13	13	0
NULL	2007-03-04	2	2	1
NULL	2007-03-17	1	1	0
NULL	2007-03-18	28	28	1
NULL	2007-03-19	11	11	0
NULL	2007-03-20	9	9	0
NULL	2007-03-21	8	8	0
NULL	2007-10-08	10	2	0
NULL	2007-10-16	2	0	0
3dShapes	2009-11-15	6075	6075	0
3dShapes	2009-11-16	3051	3042	0
3dShapes	2009-11-17	1295	1295	0
3dShapes	2009-11-20	11755	11755	0
3dShapes	2009-11-22	28681	28681	0
3dShapes	2009-11-23	15564	15563	0
3dShapes	2009-11-24	3314	3314	0
3dShapes	2009-11-25	4695	4695	0
3dShapes	2009-11-27	5044	5044	0
3dShapes	2009-12-06	1903	1903	0
3dShapes	2009-12-07	28	28	0
3dShapes	2009-12-16	9545	9545	0
3dShapes	2009-12-17	16521	16521	0
3dShapes	2009-12-22	585	585	0
3dShapes	2009-12-23	16253	16253	0
3dShapes	2010-01-21	22826	22826	0
3dShapes	2010-03-13	5436	5436	0
3dShapes	2010-03-14	2919	2919	0
3dShapes	2010-04-11	77773	77773	1
3dShapes	2010-04-12	25011	25011	0
3dShapes	2010-04-13	4148	4146	0
3dShapes	2010-05-02	109894	109894	0
3dShapes	2010-07-08	10567	10567	0
3dShapes	2010-07-14	1326	1326	0
3dShapes	2010-07-17	53	53	0
3dShapes	2010-08-23	30568	30567	0
3dShapes	2010-08-25	2531	2531	0
3dShapes	2010-08-26	32813	32812	0
3dShapes	2010-08-29	28310	28310	0
3dShapes	2010-08-30	13634	13634	0
3dShapes	2010-08-31	5434	5434	0
3dShapes	2010-09-01	33276	33275	0
3dShapes	2010-09-02	43071	43071	0
3dShapes	2010-09-03	6355	6355	0
3dShapes	2011-02-15	28357	28357	0
3dShapes	2011-02-18	13198	13198	0
3dShapes	2011-02-19	34523	34521	0
3dShapes	2011-02-26	10116	10116	0
3dShapes	2011-03-06	159	159	2
3dShapes	2011-03-08	1114	1114	0
3dShapes	2011-03-12	28720	28720	0
3dShapes	2011-03-22	6109	6109	0
3dShapes	2011-03-31	46	46	0
3v3rt	2014-12-12	6	6	0
715371	2013-10-15	1	0	0
79s VOF	2013-11-10	3	2	0
A10dep	2016-01-02	20	20	0
A10dep	2016-01-15	7	4	0
AE35	2013-04-12	1	0	0
AEelderink	2013-11-29	24	15	0
AEelderink	2013-12-10	41	36	0
