user_name	date	count	v1count	blankcount
NULL	2008-06-06	43	43	6
0zlw	2011-09-11	13	5	0
20vkp61	2010-12-02	167	115	0
A-n-d-y	2012-06-21	22	22	0
AK47Xeall	2012-09-15	47	47	0
AK47Xeall	2012-09-16	96	96	0
AK47Xeall	2012-10-28	2	2	0
AMADANON	2009-08-15	243	99	2
AMADANON	2009-08-16	462	422	1
AMADANON	2009-08-21	68	47	0
AMADANON	2009-09-03	1	0	0
ANZACpete	2009-09-14	41	41	0
ANZACpete	2011-06-06	2	0	0
Al Ronberg	2011-03-22	8	3	0
Al3xius	2010-09-23	1	0	0
Alagos	2008-09-01	3	2	0
Alagos	2008-09-03	1	1	0
AlexZolotarev	2014-05-27	2	2	0
Andre Steinhausen	2014-05-18	1	1	0
Andre68	2008-08-12	1	0	0
Andre68	2014-12-13	5	0	0
Andreas Larsson	2014-08-17	60	60	0
AndreasSanio	2014-03-03	98	12	0
Andrew Findlay	2006-04-17	27	27	19
Andrew McMillan	2007-12-19	459	133	0
Andrew McMillan	2010-01-08	1	0	0
AndrewRNZsunz	2011-12-09	2	2	0
AndrewRSUNZ	2011-11-24	4	4	0
AntNZ	2013-05-31	7	6	0
Antmannz	2009-09-12	36	20	0
Athrun	2009-12-03	55	37	0
AuckDoc	2011-08-11	2	1	0
Badran	2011-12-10	12	11	0
Baumi	2008-04-23	30	22	0
Ben Reynwar	2011-06-21	4	4	0
BiIbo	2008-06-05	1	0	0
BiIbo	2009-02-08	2	0	0
BiIbo	2009-02-14	11	0	0
BiIbo	2009-02-24	1	0	0
BlahBlah009	2014-07-20	1	0	0
Blobo123	2014-06-06	1	1	0
Boston Wardrobes	2012-04-07	2	1	0
Bryce C Nesbitt	2013-09-04	1	0	0
Bryce C Nesbitt	2015-01-24	4	4	0
BugBuster	2009-09-30	14	0	0
BuganiniQ	2014-05-06	1	0	0
BuganiniQ	2014-05-13	1	0	0
Cartograffiti	2011-10-21	51	10	0
Cartograffiti	2011-10-22	2	0	0
Cartograffiti	2013-03-23	22	15	0
Cartograffiti	2014-05-27	57	46	0
Casey000	2013-01-14	1	0	0
Cerebral Palsy Society of NZ	2014-12-14	11	5	0
Chippie	2011-04-05	14	13	0
Chippie	2011-04-06	47	40	0
Chippie	2011-04-07	5	5	0
Chippie	2011-04-08	21	19	0
Chippie	2011-04-11	10	6	0
Chippie	2011-04-29	13	12	0
Chris Esther	2008-12-05	273	0	0
Chris Esther	2008-12-06	47	0	0
Chris Esther	2008-12-08	30	0	0
Chris Parker	2013-12-06	31	27	0
Chris Parker	2013-12-07	166	154	0
Chris Parker	2013-12-09	34	34	0
Chris Parker	2013-12-12	28	28	0
CityLuva123	2014-02-12	1	1	0
Claudius Henrichs	2008-09-09	3	2	1
Claudius Henrichs	2010-10-06	4	0	0
Claudius Henrichs	2010-11-01	1	0	0
Claudius Henrichs	2010-11-27	1	0	0
Claudius Henrichs	2013-01-21	1	0	0
Comrayde	2010-06-18	8	5	0
CvR	2008-03-26	3	0	0
DRMorris	2010-01-23	1	1	0
Daeron	2010-02-01	6	1	0
Daniel Brice	2012-08-05	6	4	0
Darkcheesecake	2014-06-26	139	124	0
DataBitz	2009-08-27	42	0	0
Dave2012	2012-10-02	4	4	0
Dave2012	2012-10-03	29	20	0
Dave2012	2012-10-09	46	24	0
Dave2012	2012-10-10	1	1	0
Dave2012	2012-10-11	2	2	0
Dave2012	2012-10-12	23	21	0
Dave2012	2012-10-22	6	5	0
Dave2012	2012-10-24	1	1	0
Dave2012	2012-10-31	84	79	0
Dave2012	2012-11-01	22	17	0
Dave2012	2012-11-02	35	28	0
Dave2012	2012-11-03	12	7	0
Dave2012	2012-11-05	54	49	0
Dave2012	2012-11-06	46	28	0
Dave2012	2012-11-07	198	174	0
Dave2012	2012-11-09	17	11	0
Dave2012	2012-11-15	9	6	0
Dave2012	2012-11-17	6	6	0
Dave2012	2012-11-24	25	19	0
Dave2012	2012-11-25	7	6	0
Dave2012	2012-11-26	101	79	0
Dave2012	2012-12-04	10	7	0
Dave2012	2012-12-07	2	2	0
Dave2012	2012-12-26	5	4	0
Dave2012	2013-02-25	7	4	0
