user_name	date	count	v1count	blankcount
NULL	2007-02-21	98	98	10
-James-	2013-07-27	1	1	0
-raul	2012-01-27	2	0	0
-raul	2012-02-01	1	0	0
0123456789	2010-01-10	1	0	0
0123456789	2010-02-22	4	2	0
1899	2014-12-01	3	0	0
26eb5473101d742b174d730717409668	2012-09-19	1	1	0
3619877	2013-11-01	33	20	0
3ld	2008-07-05	233	176	3
4132d24	2015-09-22	1	1	0
42429	2011-12-16	1	0	0
4b696d	2015-05-17	95	81	0
4b696d	2015-05-21	54	0	0
4b696d	2015-06-15	60	0	0
4b696d	2015-06-25	62	9	0
6arms1leg	2011-09-11	11	11	0
9661	2015-07-31	2	2	0
ABaezaF	2014-08-18	3	3	0
ADF 249	2014-10-11	3	3	0
ADF 249	2014-10-12	97	75	0
ADF 249	2014-10-13	120	77	0
ADF 249	2014-12-16	8	8	0
ADF 249	2015-05-16	41	34	0
ADF 249	2015-05-18	1	0	0
ADF 249	2015-07-03	2	2	0
ADF 249	2015-07-04	4	4	0
ADF AdRi 462	2015-07-01	9	4	0
ADFSCC3	2014-11-24	1	1	0
AE35	2012-02-19	15	15	0
AHPN	2014-04-24	1	0	0
AJ357	2014-12-06	1	1	0
AJ357	2015-03-08	10	7	0
ALE!	2010-05-06	134	127	0
ATermens	2012-05-19	135	84	0
ATermens	2012-05-20	90	90	0
AVPC Castellbisbal	2014-12-23	1	1	0
Abalive	2011-09-22	91	91	1
Abalive	2011-09-23	515	514	0
Abogados de Barcelona	2012-04-11	2	1	0
AbrilDetectives	2015-03-30	1	1	0
Adam Geitgey	2009-12-22	253	234	0
AdinaB	2015-10-14	12	3	0
Adolescent barceloní	2012-08-03	40	18	0
Adolescent barceloní	2012-08-04	63	48	0
Adolescent barceloní	2012-08-05	310	261	0
Adolescent barceloní	2012-08-06	32	25	0
Adolescent barceloní	2012-08-08	78	77	0
Adolescent barceloní	2012-10-07	1	0	0
Adrianod	2011-05-15	8	6	0
Adrianod	2011-09-12	154	90	0
Adrià Vilanova Martínez	2012-08-10	1	0	0
Adrià Vilanova Martínez	2015-09-09	13	12	0
Adrián Benedited	2015-10-29	6	3	0
Aesux	2014-08-09	2	2	0
Aesux	2014-08-10	46	29	0
Aesux	2014-08-12	1	1	0
Affenuwe	2011-04-25	2	0	0
Agendat Nethaim	2008-10-09	12	0	0
Agustin	2015-05-04	1	1	0
Ainstain	2011-09-19	43	35	0
Aitor_1991	2014-02-04	3	0	0
Al Monk	2012-08-29	5	5	0
Al Pascual	2015-01-03	93	93	0
Alain Rojas Pastor	2013-12-13	2	2	0
Alban	2008-11-12	5	1	0
Albert Bargalló Paraira	2012-02-08	5	2	0
Albert C	2015-11-18	16	16	0
Albert Drivania	2014-07-28	6	2	0
