user_name	date	count	v1count	blankcount
NULL	2005-11-16	1	1	1
NULL	2005-12-09	6	6	4
NULL	2007-06-11	1	1	0
NULL	2007-06-12	124	124	5
NULL	2007-06-19	288	288	23
NULL	2007-06-20	167	167	46
NULL	2007-06-24	119	119	6
NULL	2007-06-29	107	107	1
NULL	2007-07-24	259	259	74
NULL	2007-07-25	73	73	25
NULL	2007-07-26	417	417	115
NULL	2007-10-03	52	52	0
NULL	2007-10-05	366	366	0
NULL	2007-10-12	6	0	0
NULL	2007-10-16	940	0	0
#smolsen	2011-01-15	4	3	0
-MegaByte-	2013-09-14	25	6	0
-MegaByte-	2013-09-15	165	68	0
-MegaByte-	2013-09-22	58	49	0
-MegaByte-	2014-08-09	311	257	0
-jha-	2012-11-04	2	2	0
00pi	2009-03-02	45	0	0
0101010	2014-09-14	40	32	0
0123456789	2009-04-22	18	17	0
100	2011-12-29	1	0	0
123maps	2013-07-27	2	2	0
123maps	2013-07-29	106	86	0
1248	2010-02-19	17	0	0
12Erin	2013-12-04	12	9	0
12Erin	2013-12-06	3	3	0
13 digits	2014-09-06	3	3	0
13 digits	2014-09-07	4	4	0
13 digits	2014-09-08	7	5	0
13 digits	2014-09-09	4	4	0
13 digits	2014-09-10	4	4	0
13 digits	2014-09-16	153	152	0
1c3d57121ng5	2014-01-14	11	7	0
1pferd	2008-04-09	1061	88	0
1pferd	2008-04-16	21	1	0
1pferd	2008-05-03	74	3	0
2-U-Turns	2012-02-20	1470	668	0
2-U-Turns	2012-02-21	1328	1211	0
2-U-Turns	2012-02-24	59	21	0
25or6to4	2010-02-17	1	1	0
25or6to4	2014-06-06	7	3	0
25or6to4	2014-06-27	3	1	0
25or6to4	2014-08-17	19	11	0
2shots1cup	2014-02-09	1	0	0
314159	2014-12-21	9	9	0
3rdGenBruin	2009-02-22	1	0	0
3rdGenBruin	2009-03-19	76	0	0
3rdGenBruin	2009-03-22	377	0	0
3rdGenBruin	2009-03-23	105	0	0
3rdGenBruin	2009-03-28	242	0	0
3rdGenBruin	2009-03-29	62	0	0
3rdGenBruin	2009-04-10	36	0	0
415vince	2014-02-28	1	1	0
42429	2008-06-13	449	47	0
42429	2009-02-16	1524	155	0
42429	2009-02-17	4312	493	0
42429	2009-02-18	9326	1693	0
42429	2009-02-19	20171	3329	3
42429	2009-02-20	17999	3195	0
42429	2009-02-21	14149	3082	3
42429	2009-02-22	12117	2031	3
42429	2009-02-23	9901	2504	3
42429	2009-02-24	13468	2632	0
42429	2009-02-25	10486	2310	0
42429	2009-02-26	11465	2592	1
42429	2009-02-27	10760	2197	1
42429	2009-02-28	2703	735	0
42429	2009-03-01	151	60	1
42429	2009-03-03	900	387	0
42429	2009-03-04	7217	1213	0
42429	2009-03-05	7938	1329	0
42429	2009-03-06	2763	674	2
42429	2009-03-07	1590	256	0
42429	2009-03-08	123	47	0
