user_name	date	count	v1count	blankcount
NULL	2006-10-14	32	32	1
NULL	2006-12-03	37	37	11
NULL	2006-12-04	18	18	8
NULL	2006-12-06	5	5	2
NULL	2007-03-15	78	78	5
NULL	2007-08-21	3	3	0
NULL	2007-09-18	1	1	0
NULL	2007-09-20	2	2	0
NULL	2007-10-01	10	10	0
NULL	2007-10-12	7	3	0
NULL	2007-10-15	2	0	0
NULL	2007-10-16	1	0	0
NULL	2007-10-19	2	2	0
NULL	2008-10-13	4	4	0
NULL	2008-11-02	161	147	0
NULL	2008-11-30	1	0	0
NULL	2009-03-29	34	29	0
!Florian	2010-07-20	3	0	0
!i!	2010-07-24	3	3	0
!i!	2010-07-29	40	38	0
!i!	2014-03-21	42	37	0
*Joker*	2013-12-14	1	1	0
*ch*	2009-07-01	2	2	0
*ch*	2009-08-04	2	1	0
*ch*	2011-06-05	5	1	0
*roy*	2008-05-24	13	6	0
*roy*	2008-06-02	524	261	1
*roy*	2008-06-06	143	66	0
*roy*	2009-05-27	30	30	0
*wheelz*	2012-06-12	4	2	0
-=[JoKer]=-	2010-02-06	29	28	0
-MA	2011-04-13	2	2	0
-MA	2011-04-14	64	53	0
-MA	2011-04-15	23	17	0
-MA	2011-04-16	20	13	0
-MA	2011-04-17	9	5	0
-MA	2011-04-18	5	4	0
-MA	2011-04-19	14	10	0
-MA	2011-04-20	21	9	0
-MA	2011-04-21	11	6	0
-MA	2011-04-22	9	7	0
-MA	2011-04-23	35	16	0
-MA	2011-04-24	35	20	0
-MA	2011-04-25	6	3	0
-MA	2011-04-26	5	2	0
-MA	2011-04-27	30	15	0
-MA	2011-04-28	55	45	0
-MA	2011-04-29	27	20	0
-MA	2011-04-30	18	7	0
-MA	2011-05-01	144	64	0
-MA	2011-05-02	106	62	0
-MA	2011-05-03	71	50	0
-MA	2011-05-04	74	41	0
-MA	2011-05-05	64	44	0
-MA	2011-05-06	30	24	0
-MA	2011-05-09	8	5	0
-MA	2011-05-10	12	1	0
-MA	2011-05-11	1	0	0
-MA	2011-05-13	3	3	0
-MA	2011-05-14	24	21	0
-MA	2011-05-15	50	40	0
-MA	2011-05-29	5	1	0
-MA	2011-06-06	12	7	0
-MA	2011-06-09	3	0	0
-MA	2011-06-10	1	0	0
-MA	2011-06-11	1	0	0
-MA	2011-11-15	40	8	0
-MA	2011-11-21	7	6	0
-MA	2012-04-16	9	4	0
-MA	2012-05-22	48	19	0
-MA	2012-05-23	26	23	0
-MA	2012-05-26	7	1	0
-MA	2012-05-27	7	7	0
-MA	2012-05-28	2	0	0
-MA	2012-06-06	1	0	0
-MA	2012-07-26	11	3	0
-jha-	2008-07-02	89	62	0
-jha-	2008-07-04	57	25	0
-jha-	2008-09-16	94	74	0
-jha-	2010-03-09	5	5	0
-jha-	2010-11-26	131	38	0
-jha-	2010-11-28	160	154	0
-jha-	2010-11-30	263	198	0
-jha-	2010-12-01	7	7	0
-jha-	2011-02-06	158	98	0
-jha-	2012-03-16	336	327	0
-jha-	2012-03-21	98	92	0
-jha-	2012-08-08	171	52	0
-jha-	2013-04-02	135	11	0
-jha-	2013-04-03	758	483	0
-jha-	2013-04-06	1473	1290	0
-jha-	2013-04-07	2	2	0
-jha-	2013-05-21	280	272	0
-jha-	2014-01-05	86	74	0
-jha-	2014-02-02	120	96	0
-jha-	2014-07-24	255	214	0
-jha-	2014-07-25	223	223	0
-jha-	2014-07-26	7	0	0
-mauli-	2010-12-07	56	10	0
-zuck-	2013-05-12	1	0	0
00000	2013-04-25	10	1	0
00000	2013-04-27	85	27	0
0123456789	2010-02-28	2	1	0
05hamburg	2012-06-29	16	10	0
05hamburg	2012-06-30	1	1	0
05hamburg	2014-02-11	1	0	0
0815jogger	2014-03-15	77	75	0
0815jogger	2014-03-16	1	1	0
0815jogger	2014-03-17	10	8	0
0815jogger	2014-03-18	1	0	0
0815jogger	2014-03-19	6	3	0
0815jogger	2014-03-20	1457	1321	0
0815jogger	2014-03-21	2380	2281	0
0815jogger	2014-03-22	2220	2119	0
0815jogger	2014-03-23	271	186	0
0815jogger	2014-03-26	15	14	0
0815jogger	2014-04-01	3	1	0
0815jogger	2014-04-05	11	2	0
0815jogger	2014-04-30	58	58	0
0815jogger	2014-06-19	8	8	0
0815jogger	2014-08-18	76	76	0
0815jogger	2014-09-08	2	1	0
0815jogger	2014-11-13	4	4	0
0815jogger	2014-11-17	220	220	0
0815jogger	2014-12-09	594	594	0
0815jogger	2014-12-10	2	1	0
0815jogger	2014-12-12	1177	1177	0
0815jogger	2014-12-15	220	216	0
0815jogger	2014-12-16	10	7	0
