user_name	date	count	v1count	blankcount
NULL	2007-01-18	125	125	10
NULL	2007-04-01	13	13	5
NULL	2007-06-12	23	23	2
**[<<>>]**	2012-03-09	2	2	0
**[<<>>]**	2012-03-11	1	0	0
**[<<>>]**	2012-03-12	5	3	0
-cMc-	2014-10-29	38	28	0
0123456789	2013-06-26	1	1	0
0123456789	2013-06-30	12	4	0
0123456789	2013-07-01	11	7	0
0123456789	2013-07-07	1	1	0
1248	2010-02-19	102	0	0
201020112012	2012-07-18	167	69	0
201020112012	2012-07-19	36	31	0
201020112012	2012-08-05	125	108	0
25or6to4	2010-02-16	1	1	0
25or6to4	2014-06-27	3	0	0
3ric	2012-04-25	10	8	0
3ric	2012-07-09	12	2	0
3yoda	2013-08-06	36	29	0
3yoda	2014-01-19	68	25	0
42429	2009-08-09	177	21	0
42429	2009-08-18	63	3	0
42429	2009-10-17	56	0	0
42429	2009-10-22	41	0	0
42429	2009-10-24	1	0	0
42429	2011-12-01	3	2	0
42429	2012-03-02	115	66	0
42429	2012-05-26	22	21	0
42429	2012-06-16	5	4	0
503Greg	2012-10-16	17	5	0
503Greg	2012-10-17	1	0	0
503Greg	2012-10-19	1	0	0
715371	2014-11-29	263	246	0
7gardens	2012-06-02	1	0	0
7gardens	2012-06-11	7	4	0
7gardens	2012-06-16	7	2	0
7gardens	2012-08-05	1	1	0
7gardens	2012-10-13	1	0	0
950394174-J	2013-07-27	5	1	0
@ngel	2013-10-23	6	6	0
ACodispo	2013-12-29	3	0	0
ALE!	2010-11-27	491	491	0
ALE!	2010-11-29	83	83	0
ALeDonne	2013-11-28	2	1	0
AMEDL	2013-09-16	16	15	0
AMEDL	2013-10-02	16	16	0
Aaron Bockover	2009-01-25	16	16	0
Aaron Lidman	2013-05-31	1	0	0
AbaddonPR	2012-07-07	2	2	0
Abbe98	2014-11-03	33	2	0
Aberfoyle	2013-11-06	16	16	0
Achterin	2014-04-20	3	2	0
Ackman	2007-10-03	58	58	19
Ackrockboogie	2012-03-11	147	141	0
Ackrockboogie	2012-03-12	182	182	0
Adam Dunn	2015-01-03	9	9	0
Adam Killian	2008-02-08	1	1	0
Adam Killian	2009-01-01	146	84	0
Aeronaute	2011-09-18	2	2	0
Agamitsudo	2014-02-09	2	1	0
Ahlzen	2009-02-15	182	6	0
Ahlzen	2009-02-16	14	1	0
Ahlzen	2009-02-21	10	0	0
Ahlzen	2009-02-26	31	10	0
Ahlzen	2009-02-28	534	378	0
Ahlzen	2009-03-01	95	55	0
Ahlzen	2009-03-14	522	518	0
Ahlzen	2009-03-18	6	0	0
Ahlzen	2009-03-20	667	658	0
Ahlzen	2009-03-21	695	695	0
Ahlzen	2009-03-24	575	575	0
Ahlzen	2009-03-27	129	128	0
Ahlzen	2009-03-28	152	130	0
Ahlzen	2009-03-30	985	934	0
Ahlzen	2009-03-31	103	1	0
Ahlzen	2009-04-01	350	171	0
Ahlzen	2009-04-05	1308	1219	0
Ahlzen	2009-04-07	22	22	0
Ahlzen	2009-04-09	18	5	0
Ahlzen	2009-04-11	683	679	0
Ahlzen	2009-05-05	12	4	0
Ahlzen	2009-05-15	38	36	0
Ahlzen	2009-05-16	604	555	0
Ahlzen	2009-05-17	413	370	0
Ahlzen	2009-05-18	236	210	0
Ahlzen	2009-05-19	144	122	0
Ahlzen	2009-05-20	98	97	0
Ahlzen	2009-05-21	153	144	0
Ahlzen	2009-05-22	240	229	0
Ahlzen	2009-05-23	264	203	0
Ahlzen	2009-07-01	8	4	0
Ahlzen	2009-09-02	25	12	0
Ahlzen	2009-09-14	90	73	0
Ahlzen	2009-09-25	12	2	0
Ahlzen	2009-11-06	29	16	0
Ahlzen	2009-12-07	376	310	0
Ahlzen	2009-12-13	100	62	0
Ahlzen	2009-12-16	289	264	0
Ahlzen	2009-12-19	3048	2787	0
Ahlzen	2009-12-20	469	441	0
Ahlzen	2009-12-21	896	888	0
Ahlzen	2009-12-22	530	431	0
Ahlzen	2009-12-24	263	261	0
Ahlzen	2009-12-25	772	676	0
Ahlzen	2009-12-26	551	522	0
Ahlzen	2009-12-27	395	299	0
Ahlzen	2009-12-28	58	46	0
Ahlzen	2009-12-29	29	24	0
Ahlzen	2010-01-05	1	0	0
Ahlzen	2010-01-10	456	422	0
Ahlzen	2010-01-13	53	27	0
Ahlzen	2010-01-15	12	4	0
Ahlzen	2010-01-16	532	167	0
Ahlzen	2010-01-17	793	719	0
Ahlzen	2010-01-18	69	32	0
Ahlzen	2010-01-19	61	33	0
Ahlzen	2010-01-20	109	43	0
Ahlzen	2010-01-21	200	55	0
Ahlzen	2010-01-22	125	65	0
Ahlzen	2010-01-23	179	46	0
Ahlzen	2010-01-24	559	178	0
Ahlzen	2010-01-25	6	6	0
Ahlzen	2010-01-27	71	14	0
Ahlzen	2010-01-28	196	59	0
Ahlzen	2010-01-30	130	94	0
Ahlzen	2010-01-31	340	133	0
Ahlzen	2010-02-01	287	137	0
Ahlzen	2010-02-04	661	383	0
Ahlzen	2010-02-05	108	27	0
Ahlzen	2010-02-07	289	82	0
Ahlzen	2010-02-08	557	284	0
Ahlzen	2010-02-09	132	67	0
Ahlzen	2010-02-10	459	357	0
Ahlzen	2010-02-15	114	63	0
Ahlzen	2010-02-17	60	9	0
Ahlzen	2010-02-18	619	461	0
Ahlzen	2010-02-19	44	19	0
Ahlzen	2010-02-20	271	54	0
Ahlzen	2010-02-21	570	485	0
Ahlzen	2010-02-22	131	120	0
Ahlzen	2010-02-25	326	272	0
Ahlzen	2010-02-27	23	6	0
Ahlzen	2010-03-06	238	237	0
Ahlzen	2010-03-07	464	122	0
Ahlzen	2010-03-09	27	27	0
Ahlzen	2010-03-12	403	206	0
Ahlzen	2010-03-13	402	187	0
Ahlzen	2010-03-16	238	221	0
Ahlzen	2010-03-19	429	70	0
Ahlzen	2010-03-20	1440	917	0
Ahlzen	2010-03-21	521	521	0
Ahlzen	2010-05-16	383	131	0
Ahlzen	2010-05-28	147	126	0
Ahlzen	2010-06-01	281	171	0
Ahlzen	2010-06-02	540	206	0
Ahlzen	2010-06-03	480	92	0
Ahlzen	2010-06-05	1736	1600	0
Ahlzen	2010-06-06	1447	1306	0
Ahlzen	2010-06-09	603	553	0
Ahlzen	2010-06-10	140	140	0
Ahlzen	2010-06-13	744	710	0
Ahlzen	2010-06-15	74	27	0
Ahlzen	2010-08-01	221	220	0
Ahlzen	2010-08-07	118	109	0
Ahlzen	2010-08-10	144	66	0
Ahlzen	2010-08-14	24	24	0
Ahlzen	2010-08-15	194	193	0
Ahlzen	2010-08-17	63	38	0
Ahlzen	2010-08-20	95	59	0
Ahlzen	2010-08-21	56	47	0
Ahlzen	2010-08-23	1377	1186	0
Ahlzen	2010-08-24	492	442	0
Ahlzen	2010-08-25	653	536	0
Ahlzen	2010-08-26	2338	2007	0
Ahlzen	2010-08-27	234	182	0
Ahlzen	2010-08-29	2140	2045	0
Ahlzen	2010-08-30	985	976	0
Ahlzen	2010-09-01	236	198	0
Ahlzen	2010-09-03	402	358	0
Ahlzen	2010-09-04	852	810	0
Ahlzen	2010-09-06	125	31	0
Ahlzen	2010-09-07	15	1	0
Ahlzen	2010-09-08	128	86	0
Ahlzen	2010-09-09	28	0	0
Ahlzen	2010-09-10	274	194	0
Ahlzen	2010-09-11	424	419	0
Ahlzen	2010-09-13	60	60	0
Ahlzen	2010-09-15	495	451	0
Ahlzen	2010-09-17	2522	2393	0
Ahlzen	2010-09-18	2031	1808	0
Ahlzen	2010-09-20	396	382	0
Ahlzen	2010-09-21	312	271	0
Ahlzen	2010-09-22	147	122	0
Ahlzen	2010-09-23	121	91	0
Ahlzen	2010-09-24	319	319	0
Ahlzen	2010-09-25	246	175	0
Ahlzen	2010-09-26	114	74	0
Ahlzen	2010-09-27	636	399	0
Ahlzen	2010-09-29	1378	1210	0
Ahlzen	2010-09-30	393	324	0
Ahlzen	2010-10-07	619	585	0
Ahlzen	2010-10-08	11	0	0
Ahlzen	2010-10-15	168	136	0
Ahlzen	2010-10-18	594	566	0
Ahlzen	2010-10-19	29	14	0
Ahlzen	2010-10-20	545	464	0
Ahlzen	2010-10-21	314	241	0
Ahlzen	2010-10-24	467	458	0
Ahlzen	2010-10-25	102	102	0
Ahlzen	2010-10-26	476	236	0
Ahlzen	2010-11-07	53	14	0
Ahlzen	2010-11-14	510	424	0
Ahlzen	2010-11-15	487	447	0
Ahlzen	2010-11-19	498	474	0
Ahlzen	2010-11-20	303	207	0
Ahlzen	2010-11-21	30	13	0
Ahlzen	2011-01-01	362	84	0
Ahlzen	2011-01-03	203	169	0
Ahlzen	2011-01-16	175	160	0
Ahlzen	2011-01-22	203	137	0
Ahlzen	2011-01-25	227	193	0
Ahlzen	2011-02-04	6	3	0
Ahlzen	2011-02-10	55	55	0
Ahlzen	2011-02-11	1035	1004	0
Ahlzen	2011-02-18	737	590	0
Ahlzen	2011-02-19	2222	1913	0
Ahlzen	2011-02-20	248	183	0
Ahlzen	2011-02-21	357	333	0
Ahlzen	2011-02-25	1477	1382	0
Ahlzen	2011-02-27	1296	1139	0
Ahlzen	2011-03-02	864	759	0
Ahlzen	2011-03-03	1222	1090	0
Ahlzen	2011-03-04	512	456	0
Ahlzen	2011-03-05	615	547	0
Ahlzen	2011-03-06	982	879	0
Ahlzen	2011-03-08	279	256	0
Ahlzen	2011-03-09	897	805	0
Ahlzen	2011-03-19	1247	1093	0
Ahlzen	2011-03-21	721	709	0
Ahlzen	2011-04-09	108	94	0
Ahlzen	2011-04-13	6	0	0
Ahlzen	2011-04-15	77	27	0
Ahlzen	2011-04-18	182	114	0
Ahlzen	2011-04-30	3	0	0
Ahlzen	2011-05-05	22	15	0
Ahlzen	2011-05-07	517	481	0
Ahlzen	2011-05-08	866	818	0
Ahlzen	2011-05-12	58	53	0
Ahlzen	2011-05-14	710	592	0
Ahlzen	2011-05-15	767	537	0
Ahlzen	2011-05-21	1270	1166	0
Ahlzen	2011-05-22	1443	1258	0
Ahlzen	2011-05-23	513	465	0
Ahlzen	2011-05-26	376	350	0
Ahlzen	2011-05-29	192	173	0
Ahlzen	2011-05-30	421	419	0
Ahlzen	2011-06-03	1587	1435	0
Ahlzen	2011-06-06	292	279	0
Ahlzen	2011-06-07	365	351	0
Ahlzen	2011-06-08	64	64	0
Ahlzen	2011-06-14	29	21	0
