user_name	date	count	v1count	blankcount
-Detroit-	2014-11-03	233	233	0
01_debora	2011-11-28	1	1	0
19jaa19	2010-06-01	1	1	0
19jaa19	2010-06-02	4	4	0
1edL	2014-08-26	15	6	0
3DLAB FAB&CAFE	2014-01-23	1	1	0
@kevin_bullock	2014-11-09	1	0	0
@massinenna	2014-02-22	1	1	0
AE35	2012-08-03	106	106	0
AE35	2014-11-08	29	29	0
ALE!	2010-03-15	46	23	0
ALE!	2010-03-16	1028	891	0
ALE!	2010-03-17	153	135	0
ALE!	2010-03-18	82	59	0
ALE!	2010-03-19	121	108	0
ALE!	2010-03-21	258	186	0
ALE!	2010-03-22	131	112	0
ALE!	2010-03-23	490	409	0
ALE!	2010-03-24	319	287	0
ALE!	2010-03-25	61	61	0
ALE!	2010-03-26	90	90	1
ALE!	2010-03-27	118	114	0
ALE!	2010-03-28	38	35	0
ALE!	2010-03-29	219	191	0
ALE!	2010-04-01	426	375	0
ALE!	2010-04-02	222	200	0
ALE!	2010-04-06	141	139	2
ALE!	2010-04-07	197	188	0
ALE!	2010-04-08	144	142	0
ALE!	2010-04-09	160	152	0
ALE!	2010-04-12	189	183	0
ALE!	2010-04-13	648	627	3
ALE!	2010-04-16	296	277	0
ALE!	2010-04-22	221	218	0
ALE!	2010-04-25	3	0	0
ALE!	2010-08-20	29	23	0
ALE!	2010-10-26	52	12	0
ALE!	2010-10-27	121	53	0
ALE!	2010-10-28	13	0	0
ALE!	2010-11-13	117	116	1
ALE!	2010-11-30	215	180	0
ALE!	2011-05-12	102	85	0
ALE!	2011-05-13	513	356	0
ALE!	2011-05-14	349	211	0
ALE!	2011-05-18	14	8	0
ALE!	2011-05-19	901	799	0
ALE!	2011-05-22	11	10	0
ALE!	2011-05-25	31	16	0
ALE!	2011-05-26	279	177	0
ALE!	2011-09-19	10	3	0
ALE!	2012-04-22	21	9	0
ALE!	2012-11-14	123	117	0
ALE!	2013-03-06	1	1	0
ALE!	2013-07-02	49	33	0
ALE!	2014-01-15	53	38	0
ALE!	2014-02-07	4	4	0
ALE!	2014-02-09	1	1	0
ALE!	2014-02-10	57	47	0
ALE!	2014-02-26	24	11	0
ALongobardi	2014-05-21	2	1	0
ANIBAL1234	2012-05-13	117	13	0
ANIBAL1234	2012-05-14	35	5	0
ANIBAL1234	2012-05-15	17	11	0
ANIBAL1234	2012-05-19	20	1	0
ASTRODOMI	2009-03-19	98	0	0
AVELINO MARTINEZ	2014-05-09	6	6	0
AVILITA2014	2014-09-17	3	0	0
Abejo	2013-09-14	1	1	0
Abejo	2014-08-05	32	24	0
Abejo	2014-08-06	11	7	0
Abejo	2014-08-11	2	1	0
Abejo	2014-08-30	2	1	0
Actitud Web - Trision 3d	2014-07-31	1	1	0
AcvKaZe	2014-08-13	9	9	0
AcvKaZe	2014-08-14	29	23	0
Adamantivm	2008-05-26	7	5	0
Adamantivm	2008-06-15	19	17	0
Adler Salvador	2013-07-14	74	52	0
Adler Salvador	2013-07-15	99	93	0
Adrian Irazabal	2013-03-29	4	3	0
Adrian Irazabal	2013-04-03	1	0	0
Adrian Irazabal	2013-04-17	11	5	0
Adrian Irazabal	2013-05-08	2	0	0
AdrianRamiro	2012-02-29	3	3	0
AdrianRamiro	2013-08-06	5	5	0
Adrus21	2014-08-15	31	22	0
Adrus21	2014-08-16	10	9	0
Adso	2010-06-02	1	1	0
Adso	2010-06-03	8	7	0
Aguilacalva	2010-12-20	71	62	0
Aguilacalva	2010-12-24	158	96	0
AgusQui	2010-08-09	7	1	0
AgusQui	2010-11-15	2	0	0
AgusQui	2010-11-22	38	6	0
AgusQui	2010-11-23	9	1	0
AgusQui	2010-11-24	9	5	0
AgusQui	2010-11-25	66	5	0
AgusQui	2010-11-29	4	2	0
AgusQui	2010-11-30	33	18	0
AgusQui	2010-12-01	2	1	0
AgusQui	2010-12-03	2	0	0
AgusQui	2010-12-04	13	5	0
AgusQui	2010-12-05	156	98	0
AgusQui	2010-12-06	1	0	0
AgusQui	2010-12-07	9	6	0
AgusQui	2010-12-08	121	51	0
AgusQui	2010-12-10	20	17	0
AgusQui	2010-12-11	7	1	0
AgusQui	2010-12-12	62	27	0
AgusQui	2010-12-13	27	8	0
AgusQui	2010-12-14	45	7	0
AgusQui	2010-12-15	81	43	0
AgusQui	2010-12-19	96	69	0
AgusQui	2010-12-20	82	73	0
AgusQui	2010-12-21	34	27	0
AgusQui	2010-12-22	51	16	0
AgusQui	2010-12-23	119	59	0
AgusQui	2010-12-24	31	3	0
AgusQui	2010-12-26	39	19	0
AgusQui	2010-12-27	70	43	0
AgusQui	2010-12-28	49	43	0
AgusQui	2010-12-29	4	2	0
AgusQui	2010-12-30	7	0	0
AgusQui	2010-12-31	1	1	0
AgusQui	2011-01-02	32	30	0
AgusQui	2011-01-03	12	12	0
AgusQui	2011-01-04	256	172	0
AgusQui	2011-01-05	86	63	0
AgusQui	2011-01-06	171	135	0
AgusQui	2011-01-07	347	201	0
AgusQui	2011-01-08	94	92	0
AgusQui	2011-01-09	71	62	0
AgusQui	2011-01-10	49	21	0
AgusQui	2011-01-12	11	7	0
AgusQui	2011-01-15	175	124	0
AgusQui	2011-01-16	22	17	0
AgusQui	2011-01-17	533	430	0
AgusQui	2011-01-18	173	77	0
AgusQui	2011-01-19	24	12	0
AgusQui	2011-01-20	239	172	0
AgusQui	2011-01-21	105	67	0
AgusQui	2011-01-23	78	48	0
AgusQui	2011-01-24	17	6	0
AgusQui	2011-01-26	23	16	0
AgusQui	2011-02-01	6	0	0
AgusQui	2011-02-03	46	37	0
AgusQui	2011-02-04	6	0	0
AgusQui	2011-02-05	39	32	0
AgusQui	2011-02-06	80	32	0
AgusQui	2011-02-07	44	25	0
AgusQui	2011-02-08	12	2	0
AgusQui	2011-02-09	79	41	0
AgusQui	2011-02-10	189	150	0
AgusQui	2011-02-11	19	7	0
AgusQui	2011-02-13	68	41	0
AgusQui	2011-02-14	221	175	0
AgusQui	2011-02-15	108	93	0
AgusQui	2011-02-16	150	58	0
AgusQui	2011-02-18	176	138	0
AgusQui	2011-02-19	206	111	0
AgusQui	2011-02-21	18	8	0
AgusQui	2011-02-24	72	0	0
AgusQui	2011-02-27	467	280	0
AgusQui	2011-02-28	100	58	0
AgusQui	2011-03-01	21	3	0
AgusQui	2011-03-03	50	7	0
AgusQui	2011-03-04	79	26	0
AgusQui	2011-03-05	110	9	0
AgusQui	2011-03-06	5	1	0
AgusQui	2011-03-08	174	110	0
AgusQui	2011-03-09	193	47	0
AgusQui	2011-03-10	514	80	0
AgusQui	2011-03-12	119	21	0
AgusQui	2011-03-14	498	32	0
