user_name	date	count	v1count	blankcount
NULL	2007-01-11	78	78	10
NULL	2007-04-17	8	8	1
NULL	2007-04-18	21	21	0
NULL	2007-07-24	39	39	0
1248	2010-02-19	6	0	0
13 digits	2014-09-13	7	7	0
13 digits	2014-09-14	6	6	0
13 digits	2014-09-16	4	3	0
156281	2013-03-17	7	7	0
25or6to4	2009-03-15	298	30	0
25or6to4	2012-11-17	9	1	0
25or6to4	2014-06-06	2	1	0
25or6to4	2014-07-19	1	0	0
25or6to4	2015-10-17	6	5	0
25or6to4	2015-11-02	23	22	0
2WYCE	2011-04-22	11	0	0
3ftcatheter	2013-05-07	4	3	0
3mikey1	2010-08-09	3	2	0
3yoda	2014-01-07	44	14	0
42429	2009-02-10	534	22	0
42429	2009-02-11	11	2	0
42429	2009-02-12	29	1	0
42429	2009-02-28	25	0	0
42429	2009-03-08	60	9	0
42429	2009-09-09	79	0	0
42429	2010-05-08	1	0	0
42429	2010-05-11	6	0	0
42429	2010-12-14	129	68	0
42429	2010-12-15	490	319	0
42429	2010-12-31	81	81	0
42429	2011-03-03	18	10	0
42429	2011-03-10	1271	732	0
42429	2011-03-11	88	0	0
42429	2011-03-15	171	99	0
42429	2011-10-26	31	14	0
42429	2011-10-27	29	0	0
42429	2012-03-20	23	0	0
42429	2012-03-22	411	11	0
42429	2012-03-23	163	9	0
42429	2012-03-24	2	2	0
42429	2013-03-30	778	660	0
503Greg	2012-10-19	1	1	0
77whoooo	2014-06-07	254	96	0
9008bp_gmail	2013-03-06	3	3	0
9008bp_gmail	2013-03-09	1	1	0
@linux_loco	2011-04-25	170	126	0
ADSLLC	2011-04-23	4	2	0
ADawson	2015-04-28	1	1	0
AE35	2012-11-06	1	1	0
AJ_LA	2014-12-12	17	17	0
AJ_LA	2014-12-15	13	13	0
AJ_LA	2014-12-18	5	2	0
AKC	2008-10-23	25	17	0
AKC	2008-10-24	8	2	0
AKC	2008-10-25	10	7	0
AKC	2008-12-12	38	33	0
AKC	2008-12-13	2	0	0
AKC	2009-03-07	11	9	0
AKC	2009-04-04	1	0	0
AKC	2009-04-05	7	5	0
AKC	2009-04-07	6	4	0
AKC	2009-05-12	4	4	0
AKLAB	2016-01-01	1	0	0
AL127	2014-08-07	2	0	0
ALeDonne	2009-05-07	2	0	0
ARChisholm	2015-10-07	1	0	0
AaronAsAChimp	2012-11-27	7	2	0
AaronAsAChimp	2012-12-01	4	1	0
Adam Martin	2015-07-26	267	190	0
Adduc	2012-09-22	2	2	0
Advantage Trailers	2014-07-12	1	0	0
AgentDrTran	2015-08-30	9	9	0
Alan Bragg	2015-05-19	4	4	0
Alan Bragg	2015-09-12	360	327	0
Alan Bragg	2015-09-15	139	138	0
Alan Bragg	2015-09-17	132	132	0
Alan Bragg	2015-09-18	485	400	0
Alan Bragg	2015-09-19	300	169	0
Alan Bragg	2015-09-20	107	105	0
Alan Bragg	2015-09-24	4	4	0
Alan Bragg	2015-09-25	644	611	0
Alan Bragg	2015-09-26	27	21	0
Alan Bragg	2015-09-27	44	40	0
Alan Bragg	2015-10-04	14	13	0
Alan Bragg	2015-10-31	2	2	0
Aleks-Berlin	2014-11-23	5	0	0
Aleks-Berlin	2015-11-10	6	0	0
Alex Añón	2014-01-19	2	0	0
Alex Shapiro	2014-03-01	3	1	0
Alex Szymanski	2015-10-25	12	12	0
Alexander Roalter	2011-10-21	2	1	0
Alfred Sawatzky	2010-11-30	21	19	0
Amanda Fleming	2012-06-07	1	1	0
AmandaMaps	2015-10-29	3	2	0
Amandamac	2013-10-23	4	4	0
AminoFactory	2014-09-10	3	1	0
AnandTiwari	2012-02-28	1	1	0
Andre68	2009-03-17	8	0	0
Andre68	2009-04-14	1	0	0
Andre68	2009-08-12	2	0	0
Andreas Kloeckner	2015-01-01	1	1	0
Andrew Fish	2012-01-24	1	0	0
Andrew Fish	2012-02-03	12	12	0
Andrew Fish	2012-02-05	125	116	0
Andrew Fish	2012-02-08	88	76	0
Andrew Fish	2012-02-11	13	3	0
Andrew Fish	2012-03-10	3	0	0
Andrew Fish	2012-12-24	447	405	0
Andrew Fish	2013-12-18	15	14	0
Andrew Fish	2013-12-19	978	893	0
Andrew Fish	2013-12-20	114	106	0
Andrew Fish	2014-07-05	1	0	0
Andrew Fish	2015-09-04	262	244	0
Andrew Harger	2014-08-18	3	2	0
Andrew Harger	2014-08-19	1	0	0
AndrewBuck	2011-11-14	2	0	0
AndrewBuck	2011-11-15	7	0	0
AndrewSnow	2013-11-18	251	114	0
AndrewSnow	2013-11-19	169	119	0
AndrewSnow	2013-12-14	264	202	0
AndrewSnow	2013-12-20	294	89	0
AndrewSnow	2015-10-29	2	1	0
AndrewSnow	2015-11-09	12	3	0
Animebando	2011-08-16	7	2	0
Ant-man	2011-09-30	4	4	0
Anthony771	2013-06-27	134	134	0
Anthonyloc1	2013-11-20	3	3	0
ApexofHumanity	2015-02-14	15	3	0
Apo42	2009-08-24	1	0	0
Apoxol	2012-04-04	320	97	0
Aquin	2012-12-07	24	3	0
Aquin	2012-12-12	1	0	0
Aquin	2013-03-06	720	716	0
ArcWhalen	2015-02-04	1	1	0
Ardric	2015-08-19	518	141	0
Ardric	2015-08-21	441	244	0
Ards Man	2012-01-31	17	17	0
Aury88	2015-09-06	3	0	0
AutumnAR	2012-05-18	16	14	0
B in Chi	2015-01-14	18	11	0
BBultema	2012-02-14	1	1	0
BCNorwich	2012-11-25	41	34	0
BCNorwich	2012-11-30	1	0	0
BCNorwich	2012-12-09	1	0	0
BCNorwich	2012-12-13	8	2	0
BFX	2012-10-17	2	2	0
BFX	2012-11-01	15	0	0
BGFA	2014-04-03	1	1	0
BNKATO	2014-03-29	65	65	0
