user_name	date	count	v1count	blankcount
-James-	2014-04-14	10	2	0
-off-	2015-05-22	517	514	0
-off-	2015-09-25	1	1	0
-off-	2015-09-29	49	7	0
-off-	2015-09-30	3	3	0
-off-	2015-10-05	4	0	0
-off-	2016-01-11	439	383	0
-off-	2016-01-12	713	698	0
-raul	2012-01-30	1	0	0
000777cc	2015-07-29	3	3	0
0_0	2013-08-08	58	55	0
0_0	2013-08-10	23	20	0
0_0	2014-12-05	1	0	0
0x21h	2009-08-19	61	37	0
12rus	2011-03-09	3	1	0
130ph11ofps	2013-11-16	3	1	0
130ph11ofps	2013-12-02	77	53	0
130ph11ofps	2013-12-25	3	1	0
130ph11ofps	2014-01-10	3	3	0
130ph11ofps	2014-03-05	3	3	0
130ph11ofps	2014-04-02	1	1	0
130ph11ofps	2014-04-19	387	387	0
130ph11ofps	2014-05-08	51	50	0
130ph11ofps	2015-03-02	1	1	0
130ph11ofps	2015-05-26	3	2	0
130ph11ofps	2015-07-23	1	0	0
1Vlad	2014-07-03	2	1	0
200metrov	2011-12-06	6141	6075	0
200metrov	2011-12-07	3114	3056	0
200metrov	2011-12-08	1419	1259	0
200metrov	2011-12-09	1031	849	0
200metrov	2011-12-10	735	705	0
200metrov	2011-12-11	262	236	0
2V Software	2009-08-24	2	1	0
2V Software	2011-05-04	182	182	5
2dew2	2012-08-18	6	4	0
3aev7gqarazdqxx4	2013-06-09	49	48	0
3aev7gqarazdqxx4	2013-06-10	124	119	0
3aev7gqarazdqxx4	2013-06-11	24	24	0
3rb	2013-02-20	8	7	0
4-sezona hotel	2013-10-31	52	30	0
4-sezona hotel	2013-12-28	7	6	0
4b696d	2015-07-12	18	14	4
4ell	2010-08-14	28	5	0
4ndrew	2012-09-27	6	6	0
4rch	2014-03-02	413	391	0
4rch	2014-03-26	2	0	0
4rch	2014-04-15	1	0	0
4rch	2014-11-01	1	0	0
512but	2011-04-30	1	1	0
512but	2011-05-10	1758	1720	0
700190	2015-11-15	790	682	0
700190	2015-11-16	1059	323	0
777Sasa	2011-05-04	7	5	0
777Серый	2015-09-01	54	53	0
9Alexey3	2013-09-16	62	62	0
9Alexey3	2013-09-17	786	786	0
9Alexey3	2013-09-18	54	54	0
9Alexey3	2013-09-21	542	542	0
9Alexey3	2013-09-24	899	899	0
9Alexey3	2013-10-14	743	743	0
9Alexey3	2013-10-19	19	19	0
A3n1t3o5n7	2015-11-14	3	2	0
ACExotic	2015-07-23	48	48	0
ACExotic	2015-09-28	25	6	0
ADSS-IT	2014-11-11	5	5	0
AHTOH	2014-03-21	410	398	0
AHTOH	2014-03-22	481	475	1
AHTOH	2014-03-24	235	235	2
AHTOH	2014-03-25	792	791	25
AHTOH	2014-03-26	20	20	2
AHTOH	2014-03-27	81	81	23
AHTOH	2014-03-28	110	110	2
AHTOH	2014-03-29	36	36	6
ALEX3734	2014-03-23	1	0	0
AMDmi3	2010-09-03	2	2	2
AMDmi3	2011-04-10	9422	8945	10
AMDmi3	2011-04-11	2760	2752	0
AMDmi3	2011-04-15	2847	2612	5
AMDmi3	2011-04-16	476	450	0
AMDmi3	2011-05-22	3397	3354	0
AMDmi3	2011-05-24	1	1	0
AMDmi3	2011-05-29	6077	5740	0
AMDmi3	2011-06-28	1	0	0
AMDmi3	2011-07-09	83	80	0
AMDmi3	2011-07-10	101	56	0
AMDmi3	2011-07-11	58	23	0
AMDmi3	2011-07-13	18	14	0
AMDmi3	2011-07-15	18	10	0
AMDmi3	2011-07-16	2	0	0
AMDmi3	2011-07-25	852	755	1
AMDmi3	2011-07-26	243	116	0
