user_name	date	count	v1count	blankcount
-James-	2015-07-08	1	1	0
4b696d	2015-05-18	4	4	0
4ndrew	2012-10-30	205	170	0
4rch	2014-09-08	112	94	0
5exi	2015-06-06	19	19	0
AE35	2013-03-12	37	34	0
AE35	2013-04-12	2	0	0
AVEdrvr	2015-01-02	561	561	4
AVEdrvr	2015-01-19	578	576	2
Abyss Dive Center	2013-06-11	5	5	3
Af8aRt05	2009-11-07	5	0	0
Agios T	2010-02-06	22	18	0
Agios T	2010-02-07	125	21	0
Agios T	2010-03-05	1	0	0
Agnieszka Chwalibogowska	2008-08-29	7	7	0
Agnieszka Chwalibogowska	2008-09-01	1	1	0
Agnieszka Chwalibogowska	2008-09-02	94	94	0
Agnieszka Chwalibogowska	2008-09-03	93	93	0
Agnieszka Chwalibogowska	2008-09-04	60	48	0
Agnieszka Chwalibogowska	2008-09-06	1	1	0
Agnieszka Chwalibogowska	2008-09-08	1408	1058	1
Agnieszka Chwalibogowska	2008-09-09	753	745	0
Agnieszka Chwalibogowska	2008-09-24	1602	1601	3
Agnieszka Chwalibogowska	2008-09-25	1505	1327	0
Agnieszka Chwalibogowska	2008-09-29	1	1	0
Agnieszka Chwalibogowska	2008-10-29	2325	782	0
Agnieszka Chwalibogowska	2009-01-28	8506	1357	0
Agnieszka Chwalibogowska	2010-01-26	2	2	0
Agnieszka Chwalibogowska	2010-02-11	855	815	9
Agnieszka Chwalibogowska	2010-02-12	20	17	0
Agnieszka Chwalibogowska	2010-02-13	280	246	0
Agnieszka Chwalibogowska	2010-02-26	699	691	0
Agnieszka Chwalibogowska	2010-04-16	1	0	0
AiNikolas	2007-12-02	4	0	0
Alan Bragg	2016-01-15	181	167	0
Alane Konan	2015-09-16	132	132	0
Albert82	2013-11-24	38	38	0
Aleks-Berlin	2015-08-25	1	0	0
Aleks-Berlin	2016-01-01	2	0	0
Alex_Bond	2014-01-01	17	12	0
Alexander78	2014-04-16	120	117	0
Alexface	2015-03-20	3	3	0
Alexis Loizou	2013-11-26	1	1	0
Alionay	2014-09-30	1	1	0
Alkis	2009-08-11	12	6	0
Alkis	2009-08-12	23	18	0
Almis	2015-08-19	1	0	0
Alphadraw	2012-01-18	358	15	0
Alphadraw	2012-01-19	83	41	0
Alphadraw	2012-01-20	2	0	0
Alphadraw	2012-03-06	26	20	0
Alphadraw	2012-07-05	8	8	0
Alphadraw	2012-07-07	3	2	0
Alphadraw	2012-07-10	83	64	0
Alphadraw	2012-08-30	20	7	0
Alphadraw	2012-10-25	52	24	0
Alphadraw	2013-08-28	4	0	0
Alphadraw	2015-02-10	12	11	0
Alphadraw	2015-08-23	53	14	2
Alphadraw	2015-09-27	10	10	0
Alphadraw	2015-12-29	8	8	0
Altay95	2012-04-11	82	31	0
Alya Restaurant	2012-03-08	11	10	0
Amaroussi	2014-04-30	179	136	0
Amaroussi	2014-08-04	1	0	0
Amaroussi	2015-03-15	205	203	1
Amaroussi	2015-04-05	702	700	1
Amaroussi	2015-07-16	49	43	1
Amaroussi	2015-08-10	1390	1363	0
AmbiWeb	2012-09-21	1	0	0
Ampeli	2012-05-10	12	6	0
Amun78	2009-04-29	1	1	0
Anastasios Kaimakli	2014-08-04	4	4	0
Anatoli	2013-03-08	30	30	0
AndiG88	2014-07-18	8	0	0
AndiG88	2014-08-04	1	0	0
Andie	2010-02-23	6	0	0
Andre Engels	2014-09-22	2	1	0
Andreas Christodoulou	2014-03-31	1	1	0
Andreas Papaloizou	2008-10-25	127	2	0
Andreas Papaloizou	2008-11-12	11	6	0
AndreasCLE	2010-02-24	1	1	0
Andrei Croitoriu	2012-02-02	4	4	0
Andrew78	2008-08-18	3	0	0
AndrewMoni	2014-02-18	36	22	0
Andrey Kubov	2015-06-23	1	0	0
Andrey Nikiforov	2013-09-09	18	10	0
Andrey VI	2013-05-23	1	0	0
Andytandreou	2014-01-14	26	19	0
Angelos Constantinides	2015-01-01	10	10	0
Anthos	2012-08-21	1	1	0
Anto110	2014-12-21	2	0	0
Anton Lavrov	2013-04-10	253	151	0
Anton Lavrov	2013-04-11	579	424	0
Anton Lavrov	2013-04-12	632	510	0
Anton Lavrov	2013-04-13	7783	7277	6
Anton Lavrov	2013-04-14	10	0	0
Anton Lavrov	2013-04-15	1267	1024	0
Anton Lavrov	2013-04-16	1857	1626	0
Anton Lavrov	2013-04-17	2420	2194	0
Anton Lavrov	2013-04-19	1010	802	0
Anton Lavrov	2013-04-21	673	554	0
Anton Lavrov	2013-06-09	11313	10042	6
Antonio Kadid	2010-09-07	14	6	0
Antonis Kyprianou	2012-09-10	158	14	0
Antonis Kyprianou	2012-09-13	37	0	0
Antria	2015-02-26	1	1	0
Apachiy	2014-09-14	1	1	0
Apapado89	2009-04-17	684	0	0
Apollon View	2012-08-14	10	8	0
Aquosme	2014-05-04	173	79	0
