user_name	date	count	v1count	blankcount
---------	2010-01-25	1	0	0
-jha-	2010-01-15	166	80	0
-jha-	2010-01-20	338	52	0
-jha-	2010-01-21	804	469	0
-jha-	2010-01-25	111	0	0
-jha-	2010-01-30	34	29	0
-jha-	2010-01-31	85	85	0
-jha-	2013-02-21	33	32	0
0123456789	2010-01-15	1	1	0
02389402348	2010-01-26	1	0	0
15_the_circle	2010-02-27	18	0	0
15slou	2010-01-23	175	116	25
15slou	2010-01-24	45	44	0
15slou	2010-01-25	2	2	0
22yves22	2010-01-25	14	0	0
25or6to4	2010-01-19	147	145	0
26eb5473101d742b174d730717409668	2010-01-16	724	158	4
26eb5473101d742b174d730717409668	2010-01-17	280	225	0
26eb5473101d742b174d730717409668	2010-01-18	835	102	0
26eb5473101d742b174d730717409668	2010-01-19	22	22	19
26eb5473101d742b174d730717409668	2010-01-20	4	4	2
26eb5473101d742b174d730717409668	2010-01-21	74	71	1
26eb5473101d742b174d730717409668	2010-01-25	167	153	0
26eb5473101d742b174d730717409668	2010-01-26	17	17	0
29C	2010-01-23	99	97	0
4rch	2014-01-19	2	0	0
4rch	2014-01-25	774	626	1
4rch	2014-02-03	3	3	2
4rch	2014-02-15	9	9	2
4rch	2014-03-11	175	42	2
4rch	2014-04-13	3	1	0
4rch	2014-04-24	354	295	4
4rch	2014-09-06	106	92	0
4rch	2014-12-02	381	381	15
4rchImport	2014-01-01	53	53	7
4rchImport	2014-01-05	92	92	14
715371	2013-10-16	2093	1940	0
92hertz	2015-01-09	1	1	0
AE35	2013-11-05	14	14	0
AETNG	2013-11-21	17	5	0
AJRuk	2010-01-22	15	15	2
AJRuk	2010-01-29	326	302	15
ALCE Samuel Paul	2011-04-20	6	6	0
ALCE Samuel Paul	2011-07-18	44	32	0
ALCE Samuel Paul	2011-07-19	88	52	0
ALCE Samuel Paul	2011-07-21	100	95	0
ALCE Samuel Paul	2011-07-25	1	0	0
ALCE Samuel Paul	2011-07-28	43	2	0
ALCE Samuel Paul	2011-07-29	63	0	0
ALCE Samuel Paul	2011-08-01	177	130	0
ALCE Samuel Paul	2011-08-02	593	529	0
ALCE Samuel Paul	2011-08-26	185	183	0
ALCE Samuel Paul	2011-08-27	22	12	0
ALCE Samuel Paul	2011-08-29	12	7	0
ALCE Samuel Paul	2011-08-30	19	17	0
ALCE Samuel Paul	2011-08-31	17	13	0
ALCE Samuel Paul	2011-09-01	124	1	0
ALCE Samuel Paul	2011-09-02	10	5	0
ALCE Samuel Paul	2011-09-03	10	0	0
ALCE Samuel Paul	2011-09-08	3	0	0
ALCE Samuel Paul	2011-09-13	8	5	0
ALCE Samuel Paul	2011-09-15	16	11	0
ALCE Samuel Paul	2011-09-16	38	7	0
ALCE Samuel Paul	2011-09-19	3	1	0
ALCE Samuel Paul	2011-09-20	35	22	0
ALCE Samuel Paul	2011-10-04	77	0	0
ALCE Samuel Paul	2011-10-05	52	6	0
ALCE Samuel Paul	2011-10-06	62	0	0
ALCE Samuel Paul	2011-10-07	8	6	0
ALCE Samuel Paul	2011-10-11	14	0	0
ALCE Samuel Paul	2011-10-12	7	5	0
ALCE Samuel Paul	2011-10-13	22	8	0
ALCE Samuel Paul	2011-10-20	15	2	0
ALCE Samuel Paul	2011-10-27	10	9	0
ALCE Samuel Paul	2011-10-28	4	2	0
