user_name	date	count	v1count	blankcount
3tom	2014-04-10	2	1	0
3tom	2014-04-15	1	1	0
4b696d	2015-08-13	82	17	0
4b696d	2015-08-15	42	41	0
4rch	2015-03-06	104	0	0
58zarali	2012-06-04	1	0	0
58zarali	2012-09-15	101	73	0
58zarali	2013-11-04	1	0	0
58zarali	2014-02-07	7	7	0
58zarali	2014-06-10	17	17	0
58zarali	2014-07-27	4	0	0
58zarali	2014-08-03	3	1	0
58zarali	2015-01-10	36	33	0
58zarali	2015-07-30	12	8	0
58zarali	2015-08-11	4	4	0
58zarali	2015-11-26	6	4	0
58zarali	2015-12-01	17	14	0
58zarali	2015-12-08	28	19	0
58zarali	2015-12-22	4	3	0
58zarali	2015-12-23	14	7	0
58zarali	2015-12-24	1	1	0
58zarali	2016-01-04	1	1	0
58zarali	2016-01-16	9	8	0
715371	2015-11-25	1	0	0
@camel__white	2014-05-07	25	25	0
AAS	2013-12-06	5	1	0
ADIGUZELDOGUKAN	2015-02-05	13	9	0
AE35	2013-04-12	1	0	0
AEmrah	2011-10-31	2	2	0
AEmrah	2011-11-04	2	1	0
AEmrah	2011-11-11	5	4	0
AHMT	2013-08-05	1	1	0
AK-tr	2011-03-18	3	3	0
AK-tr	2011-08-10	20	19	0
AKIN idil	2012-09-14	4	4	0
ALADDIN111	2013-06-21	50	19	0
ALADDIN111	2013-06-22	266	184	0
ALADDIN111	2013-06-25	122	66	0
ALADDIN111	2013-06-26	384	282	0
ALADDIN111	2013-06-27	1209	902	0
ALADDIN111	2013-06-28	455	335	0
ALADDIN111	2013-06-29	672	575	0
ALADDIN111	2013-07-01	917	743	0
ALADDIN111	2013-07-02	700	607	0
ALADDIN111	2013-07-03	599	466	0
ALADDIN111	2013-07-04	359	272	0
ALADDIN111	2013-07-06	613	532	0
ALADDIN111	2013-07-08	409	304	0
ALADDIN111	2013-07-09	565	408	0
ALADDIN111	2013-07-10	885	549	0
ALADDIN111	2013-07-11	585	439	0
ALADDIN111	2013-07-12	773	544	0
ALADDIN111	2013-07-13	834	513	0
ALADDIN111	2013-07-15	438	281	0
ALPER70	2015-03-01	10	10	0
ARGUN1	2015-07-22	12	5	0
ARSLAN OZGUR ISTANBULLUOGLU	2010-01-02	1	0	0
AStojsavljevic	2015-05-03	133	127	0
AYDER	2011-07-28	6	3	0
AYDER	2011-07-31	5	2	0
AYDER	2011-08-02	19	4	0
AYDER	2011-08-05	2	2	0
AYDER	2011-08-06	34	23	0
AYDER	2011-08-07	67	32	0
AYDER	2011-08-09	2	0	0
AYDER	2011-08-11	15	11	0
AYDER	2011-08-15	3	1	0
AYDER	2011-08-19	1	0	0
Abuska	2014-05-07	451	451	0
Adem Yılmaz	2013-11-10	1	1	0
Administration	2013-09-04	1	1	0
Agatefilm	2015-04-18	1	0	0
Ahmed Alparslan Özdemir	2014-06-11	5	4	0
Ahmed Said	2012-07-03	1	1	0
Ahmet Egri	2013-11-16	1	0	0
Ahmet Egri	2014-03-10	1	0	0
Ahmet Egri	2015-04-23	3	2	0
Ahmet Egri	2015-05-03	5	2	0
Ahmet Egri	2015-05-09	2	0	0
Ahmet Ergen	2015-01-19	1	0	0
Ahmet YUKSEKYOL	2014-04-28	2	1	0
Ahmet Özen	2012-09-09	2	2	0
AhmetIhsan	2014-06-28	1	1	0
AhmetZ	2012-08-13	1	1	0
Akm975	2012-08-14	5	5	0
Aksuvital	2012-09-03	8	8	1
Akyelist	2012-10-28	3	1	0
AlaskaDave	2015-04-11	156	87	0
AlaskaDave	2015-04-12	201	103	0
AlaskaDave	2015-04-13	294	115	0
AlaskaDave	2015-04-14	168	89	0
AlaskaDave	2015-04-15	664	350	0
AlaskaDave	2015-04-16	342	88	0
AlaskaDave	2015-04-17	209	110	0
AlaskaDave	2015-04-18	5	3	0
AlaskaDave	2015-04-19	6	0	0
Alavudeen	2013-04-01	792	790	0
Alavudeen	2013-04-02	1168	1164	0
Alee	2015-05-06	119	5	0
Alee	2015-09-05	33	16	0
Alee	2015-09-06	31	25	0
Alee	2015-10-02	3	3	0
Alee	2015-12-28	2	0	0
Aleks-Berlin	2015-06-26	1	0	0
Alessandro_Magenta	2015-05-03	161	160	0
Alessandro_Magenta	2015-05-05	52	45	0
AlexZolotarev	2014-05-26	2	2	0
Alexander Myczko	2014-03-12	66	66	0
Ali Hakkı	2014-10-09	17	17	0
Ali Hakkı	2014-10-10	10	9	0
Ali Hakkı	2014-10-16	15	12	0
Ali Hakkı	2014-11-11	9	6	0
Ali Hakkı	2014-11-12	8	7	0
