user_name	date	count	v1count	blankcount
06Ivonne	2012-11-04	19	19	0
21Dirham	2014-12-26	564	358	0
21Dirham	2014-12-27	812	672	0
21Dirham	2014-12-28	288	258	0
21Dirham	2014-12-29	1274	687	0
21Dirham	2014-12-30	1141	567	0
21Dirham	2014-12-31	1585	1008	0
21Dirham	2015-01-01	456	304	0
21Dirham	2015-01-03	346	120	0
21Dirham	2015-01-17	50	20	0
21Dirham	2015-01-18	266	250	0
21Dirham	2015-05-11	56	11	0
21Dirham	2015-06-17	327	140	0
21Dirham	2015-06-18	223	155	0
21Dirham	2015-06-20	263	90	0
21Dirham	2015-07-20	259	113	0
21Dirham	2015-07-22	325	286	0
21Dirham	2015-07-24	139	126	0
21Dirham	2015-07-28	291	256	0
31fahmi	2015-07-22	258	257	0
31fahmi	2015-07-23	229	201	0
4b696d	2015-11-01	4	0	0
4b696d	2015-11-23	2	0	0
4rch	2015-03-31	22	0	0
51face	2012-09-24	1	1	0
@aurizasalim	2013-07-03	1042	988	0
@aurizasalim	2013-07-04	51	44	0
@aurizasalim	2013-07-07	61	26	0
@aurizasalim	2013-07-08	326	275	1
ADIP1598	2015-11-25	356	251	0
ADIP1598	2015-11-26	269	215	0
ADIP1598	2015-11-27	9	3	0
ADIP1598	2015-11-28	766	636	0
ADIP1598	2015-11-29	937	727	0
ADIP1598	2015-11-30	138	65	0
ADIP1598	2015-12-06	70	42	0
ADIP1598	2015-12-12	2	2	0
ADIP1598	2015-12-15	133	94	0
ADIP1598	2016-01-07	31	24	0
AMYunus	2014-07-30	6	6	0
AMYunus	2014-07-31	3	3	0
AOOSP	2014-04-28	30	30	0
APS2201	2011-05-24	3	2	0
APS2201	2011-07-01	17	10	0
APS2201	2011-07-04	3	2	0
ARizqiP	2015-02-24	41	29	0
ARizqiP	2015-02-28	200	144	0
ARizqiP	2015-03-01	63	50	0
ARizqiP	2015-03-03	64	38	0
ARizqiP	2015-04-10	54	52	0
ARizqiP	2015-10-10	78	34	0
ARizqiP	2015-10-16	59	55	0
ARizqiP	2015-11-02	95	84	0
ARizqiP	2015-11-04	13	7	0
ARizqiP	2015-11-05	36	18	0
ARizqiP	2015-11-23	143	70	0
ARizqiP	2015-11-24	39	23	0
Aan Agustin	2014-09-17	8	8	0
Abhirama17	2014-12-14	21	21	0
Abon87	2015-08-03	18	11	0
Abu Abdillah	2015-07-30	3	0	0
Ac Anwar	2013-12-05	5	5	0
Adhitya Dido	2012-03-05	179	179	0
Adi Maulana	2012-03-26	134	101	0
Adi Maulana	2012-03-29	294	294	0
Adi Maulana	2014-09-15	4	4	0
Adi Maulana	2014-11-20	354	304	0
