user_name	date	count	v1count	blankcount
NULL	2007-08-01	415	415	42
NULL	2007-08-02	153	153	28
NULL	2007-10-14	1	1	1
1Palgi	2012-11-21	2	1	0
1gorok	2014-09-09	1	0	0
27bird	2015-12-28	1	1	0
324shmuel	2012-08-25	6	6	0
42429	2015-02-06	1	0	0
4X1EG	2012-05-07	31	28	0
4X1EG	2012-05-08	5	4	0
4b696d	2015-11-18	1	0	0
4rch	2014-08-04	1564	1510	0
4rch	2014-08-05	1916	1890	0
4rch	2014-08-06	643	494	0
4rch	2014-08-07	295	283	0
4rch	2014-08-12	716	631	0
4rch	2014-08-13	2205	2168	0
4rch	2014-08-17	1713	1652	0
4rch	2014-08-26	1011	905	0
4rch	2015-03-01	42	0	0
4rch	2015-04-24	165	0	0
51114u9	2014-08-05	132	76	0
608-01	2014-08-18	4	0	0
7nov	2012-03-10	1	1	0
7nov	2012-12-09	2	1	0
8Ton	2010-09-20	7	5	0
@dL	2011-03-23	12	12	0
@dL	2011-04-12	58	58	0
@dL	2011-04-13	18	18	0
@dL	2011-06-12	62	62	0
@eldang	2014-08-07	278	272	0
@eldang	2014-08-08	4	4	0
@kevin_bullock	2014-08-21	4	4	0
A'mer Rabayah	2008-09-12	5	0	0
A'mer Rabayah	2011-01-03	31	1	0
A452	2013-09-02	250	250	0
A452	2013-09-05	204	58	0
A452	2013-09-06	53	23	0
A452	2013-09-18	107	96	0
A452	2013-09-19	311	244	0
A452	2013-09-24	19	17	0
A452	2013-09-25	207	169	0
A452	2013-10-10	42	5	0
A452	2013-10-13	3	1	0
A452	2013-10-19	389	311	0
A452	2013-10-20	70	47	0
A452	2014-04-21	46	46	0
A452	2014-07-01	1	1	0
A452	2014-09-25	43	19	0
A452	2014-10-13	14	13	0
A452	2015-06-27	170	67	0
AE35	2013-03-13	4	4	0
AE35	2013-04-12	5	0	0
AE35	2013-11-04	3	2	0
AHa972	2016-01-05	3	2	0
ALQemma Systems	2015-09-03	1	1	0
ALQemma Systems	2015-09-05	9	2	0
ALQemma Systems	2015-09-07	1	0	0
ALQemma Systems	2015-10-01	3	0	0
ALQemma Systems	2015-10-07	1	0	0
ASDCVI	2013-07-02	16	2	0
ASDCVI	2013-07-24	1	1	0
ASSAFMB	2014-05-20	11	9	0
ASSAFMB	2015-06-29	12	11	0
ASSAFMB	2015-07-01	14	9	0
ATGardner	2011-01-31	4513	4510	9
ATGardner	2015-07-20	1	0	0
Aaron Lidman	2014-10-23	25	0	0
AaronFisher	2013-04-30	28	27	0
AaronFisher	2013-05-10	13	12	0
Abbe98	2014-10-29	16	1	0
Abdallah Manasrah	2014-04-05	1	1	0
Abdallah Manasrah	2015-01-29	3	0	0
Abdallah Manasrah	2015-02-12	1	0	0
Abdelbaset Rabaiah	2010-01-14	1	0	0
Abe26	2011-12-13	73	38	0
Abe26	2011-12-14	71	39	0
Abed Almonem Fatafta	2013-09-16	3	1	0
Abo hamza	2015-12-03	15	9	0
Abolbol	2013-05-09	11	7	0
Abolbol	2013-05-14	7	3	0
Abolbol	2013-05-15	2	0	0
Abolbol	2013-05-20	34	17	0
Abolbol	2013-05-21	5	0	0
Abolbol	2013-05-22	1	1	0
Abolbol	2013-05-28	4	4	0
Abolbol	2013-05-29	8	8	0
Abolbol	2013-05-30	20	20	0
Abolbol	2013-06-03	8	8	0
Abolbol	2013-06-19	4	4	0
Abolbol	2013-07-14	8	8	0
Abolbol	2013-07-28	11	11	0
Abolbol	2013-07-30	4	4	0
Abolbol	2013-08-15	4	4	0
Abolbol	2013-08-27	8	8	0
Abolbol	2013-09-04	9	8	0
Abolbol	2013-09-05	5	4	0
Abolbol	2013-09-15	2	0	0
Abolbol	2013-09-16	4	4	0
Abolbol	2013-09-17	8	8	0
Abolbol	2013-09-22	4	4	0
Abolbol	2013-09-29	10	8	0
Abolbol	2013-09-30	6	4	0
Abolbol	2013-10-22	4	4	0
Abolbol	2013-12-02	4	0	0
Abolbol	2014-01-06	1	1	0
Abolbol	2014-01-20	8	8	0
Abolbol	2014-02-05	4	4	0
Abolbol	2014-05-07	12	12	0
Abolbol	2014-05-20	8	8	0
Abolbol	2015-02-26	21	0	0
Abolbol	2015-03-01	4	4	0
Abolbol	2015-03-22	4	4	0
Abolbol	2015-07-15	4	4	0
Abolbol	2015-07-30	8	5	0
Abolbol	2015-12-08	5	0	0
Abraham M	2010-10-20	36	28	0
Abu Fuad	2011-10-20	381	2	0
Abu Jahl	2015-03-28	1	0	0
AbuAzmy	2013-03-26	1	1	0
Adam Hinchliff	2014-08-12	866	856	0
Adam hassidim	2014-01-05	7	2	0
Adib	2010-08-15	1	0	0
Adityo	2014-08-12	846	835	0
Aelburg	2013-09-24	3	3	0
AgnosaF	2012-08-14	4	0	0
AgnosaF	2012-08-19	2	0	0
Agon	2011-03-18	7	5	0
Ahlam Serhan	2015-05-17	333	333	0
Ahlam Serhan	2015-05-18	579	577	1
Ahlam Serhan	2015-05-20	738	730	2
Ahlam Serhan	2015-06-01	452	452	0
Ahlam Serhan	2015-06-02	555	555	1
Ahlam Serhan	2015-06-29	845	845	0
Ahlam Serhan	2015-06-30	599	599	4
Ahlam Serhan	2015-07-06	3350	3350	6
Ahlam Serhan	2015-07-09	690	690	0
Ahlam Serhan	2015-07-15	48	48	0
Ahmad Alkhraisha	2014-03-17	1	1	0
Ahmad Muhtaseb	2011-04-22	5	2	0
AhmadPs	2015-05-04	5	3	0
Ahmd Rmdn	2014-09-21	1	0	0
Ahmed Issam Deeb	2012-03-24	25	8	0
Ahmed Issam Deeb	2012-03-25	4	3	0
Ahmed Issam Deeb	2012-03-27	4	4	0
Ahmed Issam Deeb	2012-11-20	72	14	0
Ahmedq	2013-06-05	1	1	0
Akelalacy	2015-08-13	1	1	1
Al Bishara Office	2013-07-11	3	2	0
Ala Abu Sada	2015-10-22	92	92	0
Ala'a salameh	2015-03-18	2	1	0
Ala'a salameh	2015-03-19	1	0	0
AlaaHamoudah	2013-03-18	1	1	0
Alan	2015-09-13	218	217	0
Albeck	2008-03-10	95	69	4
Albeck	2008-03-11	132	75	9
Alechamizo	2014-08-08	180	178	0
Alechamizo	2014-08-09	305	303	0
Aleks-Berlin	2014-11-21	6	0	0
Aleks-Berlin	2014-11-22	69	60	0
Aleks-Berlin	2015-07-30	1	0	0
Aleks-Berlin	2015-11-15	5	0	0
Aleks-Berlin	2015-11-18	2	0	0
Aleks-Berlin	2015-11-20	1	0	0
Aleks-Berlin	2015-12-01	1	0	0
Aleks-Berlin	2016-01-01	1	0	0
Aleks-Berlin	2016-01-05	1	0	0
Aleks-Berlin	2016-01-09	1	0	0
Aleks-Berlin	2016-01-12	1	1	0
Aleph Dvorak	2011-07-04	1	1	0
Aleph Dvorak	2011-08-31	8	0	0
Aleph Dvorak	2011-09-10	11	11	0
Aleph Dvorak	2011-09-27	9	8	0
Alex Heifetz	2015-11-17	8	7	0
Alex Heifetz	2015-11-19	1	1	0
Alex Strunck	2014-06-12	6	5	0
Alex Strunck	2014-08-23	15	10	0
Alex Strunck	2014-12-04	1	1	0
Alex Strunck	2014-12-17	1	0	0
Alex Strunck	2015-03-06	4	2	0
Alex Strunck	2015-03-07	5	4	0
Alex Strunck	2015-03-09	4	4	0
Alex Strunck	2015-07-30	9	8	0
Alex1973	2011-05-08	4	2	0
AlexXal	2014-05-26	80	51	0
Alexander1975	2011-05-02	142	17	0
Alexandr Ivanov	2013-01-30	6	6	0
Alexlev	2011-02-20	6	5	0
Alfred Sawatzky	2014-09-21	112	112	0
Algebre gama	2015-12-15	4	4	0
Ali Batanjeh	2013-08-24	48	46	0
Ali Batanjeh	2013-08-25	2	1	0
Ali Batanjeh	2013-11-14	1	0	0
Alikwatsas	2014-08-05	23	23	0
Aloni Pirzul	2014-10-28	9	8	0
Alonk	2015-01-04	6	5	0
Alonof	2011-03-20	1	1	0
Alons	2010-11-07	2	2	0
Alros	2015-05-28	28	27	0
AltijdVerdwaald	2009-05-30	108	105	0
Am1chay	2014-01-01	2	2	0
Amatzia	2013-02-08	1	1	0
Amatzya	2014-04-29	111	110	0
Ambyarty	2015-11-09	5	4	0
Ameer Saad	2016-01-01	4	0	0
Ameer aljuneidi	2014-02-15	30	5	0
Amer Enaya	2014-02-16	4	4	0
Amer Enaya	2014-05-10	8	7	0
Amer Enaya	2015-11-16	4	4	0
Amir Carmel	2011-07-01	8	4	0
Amir Paz	2013-03-19	2	2	0
AmirH	2010-08-29	5	5	0
AmirH	2010-08-31	4	4	0
AmirH	2010-09-01	2	2	0
Amittai HarTuv	2010-09-27	109	8	0
Amjad Lahlouh	2013-01-06	1	0	0
Amjad Shahrour	2015-02-10	1	0	0
Amjad Shahrour	2015-02-11	480	480	0
Amjad Shahrour	2015-02-26	1211	1211	2
Amjad Shahrour	2015-03-03	303	303	2
Amjad Shahrour	2015-03-08	18	18	1
Amjad Shahrour	2015-03-09	89	89	0
Amjad Shahrour	2015-03-19	121	121	3
Amjad Shahrour	2015-03-23	569	569	0
Amjad Shahrour	2015-03-30	73	73	1
Amjad Shahrour	2015-04-06	2213	1820	10
Amjad Shahrour	2015-04-07	1766	1469	13
Amjad Shahrour	2015-04-08	2607	2582	21
Amjad Shahrour	2015-04-09	2065	2065	20
Amjad Shahrour	2015-04-13	3034	2797	13
Amjad Shahrour	2015-04-21	15	15	0
Amjad Shahrour	2015-05-03	120	120	0
Amjad Shahrour	2015-05-10	100	100	0
Amjad Shahrour	2015-05-12	732	732	0
Amjad Shahrour	2015-05-13	256	256	2
Amjad Shahrour	2015-05-14	16	16	0
Amjad Shahrour	2015-06-14	777	753	1
