user_name	date	count	v1count	blankcount
-Christoph-	2015-04-25	1853	1825	3
-Christoph-	2015-04-26	35	35	0
-Christoph-	2015-04-28	974	966	1
0109	2015-04-29	1	0	0
048	2015-05-01	209	209	0
13scoter	2015-05-07	59	52	0
13scoter	2015-05-12	73	68	0
13scoter	2015-05-13	4	4	0
14riesma	2015-04-28	103	103	0
14rkarls	2015-05-01	55	55	0
19alimk	2015-05-08	81	81	0
2015cfelicia	2015-05-04	36	36	0
2015rarens	2015-05-04	72	65	0
2121vijay(Adyota)	2012-08-25	3	2	0
2121vijay(Adyota)	2012-08-30	854	129	0
2121vijay(Adyota)	2012-08-31	205	205	0
2121vijay(Adyota)	2012-09-01	171	171	0
2121vijay(Adyota)	2012-09-04	80	80	0
2121vijay(Adyota)	2012-09-05	1	1	0
2121vijay(Adyota)	2012-09-06	29	28	0
2121vijay(Adyota)	2012-09-10	52	52	0
2121vijay(Adyota)	2012-09-13	1	0	0
2121vijay(Adyota)	2012-10-07	9	9	0
2121vijay(Adyota)	2012-10-10	29	28	0
24367dfa	2015-05-05	457	263	0
402315	2015-05-01	87	87	0
42429	2010-06-08	190	190	7
448	2015-04-30	490	475	0
4b696d	2015-04-30	8	8	0
4nova	2015-09-29	15	13	0
4nova	2015-10-06	17	12	0
4rch	2014-02-25	1	0	0
4rch	2015-02-12	29	29	0
4rch	2015-02-14	266	261	0
4rch	2015-04-17	292	261	1
4rch	2015-04-18	72	70	0
4rch	2015-04-20	226	46	0
4rch	2015-04-21	1108	722	0
4rch	2015-04-23	701	526	3
4rch	2015-04-29	7	0	0
4rch	2015-04-30	153	4	0
4rch	2015-05-02	29	23	0
4rch	2015-05-04	35	0	0
4rch	2015-05-05	6	4	0
4rch	2015-05-10	28	0	0
4rch	2015-05-12	27	27	0
4rch	2015-05-30	21	20	0
69AD	2015-06-08	1800	1753	0
69AD	2015-06-09	3522	3003	0
69AD	2015-06-10	3023	2418	0
69AD	2015-06-15	1628	1232	0
69AD	2015-06-16	3888	2873	0
69AD	2015-06-17	3010	2133	0
69AD	2015-06-23	912	644	0
69AD	2015-06-24	856	695	0
69AD	2015-06-29	820	635	0
69AD	2015-06-30	1221	1045	0
85East	2014-09-10	4	2	0
85East	2014-11-19	18	18	0
85° East	2012-04-25	37	33	0
9porcupine	2015-04-27	1648	1603	0
@dave	2015-04-28	15	15	0
@kevin_bullock	2015-04-28	72	72	0
@mdp	2015-05-04	172	167	0
@mpt	2015-04-28	116	110	0
A Gewali	2015-05-07	123	111	0
AClayman	2015-05-02	1	0	0
AE35	2013-03-16	18	18	0
AJ Farkas	2015-05-02	1189	1181	0
AKBTanner	2015-05-01	198	198	0
AKE Amazan	2015-05-02	462	358	0
AKE Amazan	2015-05-03	295	118	0
ARCK9Kathy	2015-05-02	31	30	0
ARCK9Kathy	2015-05-05	51	51	0
ARM85	2013-03-23	3	3	0
ARM85	2013-03-24	395	366	0
ARS panta	2014-12-13	23	22	0
ARudy	2015-04-28	699	699	0
