user_name	date	count	v1count	blankcount
228bail	2014-02-02	1	1	0
25or6to4	2010-02-17	14	5	0
25or6to4	2015-10-18	569	521	1
42429	2009-03-08	44	0	0
42429	2010-01-13	56	55	0
4b696d	2015-11-17	3	2	0
AM909	2011-11-03	37	21	0
AM909	2011-11-07	156	83	0
AM909	2012-02-17	10	4	0
AMY-jin	2012-12-24	137	94	0
AMY-jin	2012-12-25	1	0	0
ATB	2013-01-13	22	22	0
Aaron Lidman	2013-06-19	531	472	0
Aaron Lidman	2013-07-21	1	0	0
Affordable RV	2014-05-05	12	7	0
Ahlzen	2012-10-17	26	7	0
Aleks-Berlin	2010-06-05	9	6	0
Aleks-Berlin	2016-01-01	1	0	0
Alex De Castroverde	2015-12-26	3	2	0
Alexander HealthCare Center	2014-01-16	1	1	0
Alexhats	2015-11-29	66	54	0
Alicehrh	2013-09-10	1	1	0
Andre68	2015-03-29	197	40	0
Andre68	2015-03-31	92	27	0
Andrew Webb	2013-12-06	8	8	0
Andy Allan	2009-01-05	723	184	0
Andy Allan	2009-04-01	164	87	0
Andy9FromSpace	2015-01-19	1	1	0
AndyGSE	2015-12-05	74	74	0
ArizonaMapper	2016-01-13	79	79	0
Art Cowles	2015-05-05	1	0	0
AskCDE	2010-04-25	1	0	0
Autarch	2012-03-04	25	25	0
AwkwardMoment	2012-11-19	39	37	0
BCNorwich	2012-11-25	1	0	0
BCNorwich	2012-12-06	3	0	0
BCNorwich	2012-12-09	1	0	0
BCNorwich	2012-12-13	8	4	0
BCNorwich	2012-12-17	4	0	0
BFX	2012-10-17	2	2	0
Backstage Dance Studio	2014-09-05	1	1	0
BattleBorn	2012-01-10	102	102	0
Be Located Online	2013-09-03	1	1	0
BeKri	2014-04-21	3	0	0
Benmachine	2015-04-16	6	6	0
BiIbo	2009-02-12	22	0	0
BiIbo	2009-02-13	10	0	0
Blargh2015	2014-02-24	32	26	0
Blobo123	2015-01-26	16	12	0
BoT	2011-12-21	1	1	0
Bored	2014-04-26	1	0	0
Bored	2014-04-27	59	54	0
Bored	2014-05-11	77	49	0
Brainik	2014-09-14	1	1	0
Brainik	2014-10-05	1	1	0
Brandon Reavis	2016-01-17	25	23	0
Brenden	2008-02-19	632	0	0
Brenden	2008-02-20	157	0	0
Brenden	2008-09-03	632	0	0
Brenden	2014-04-28	135	124	0
Brenden	2014-05-05	81	80	0
Brenden	2014-05-11	21	0	0
Brian@Brea	2011-09-11	240	200	0
Brian@Brea	2011-09-14	57	55	0
Brian@Brea	2013-05-01	119	108	0
Brian@Brea	2013-07-12	1	0	0
Briquollo	2010-11-19	1	1	0
BrockW	2015-02-17	2	2	0
Bryce C Nesbitt	2013-06-18	4	3	0
Bryce C Nesbitt	2016-01-07	1	1	0
Bryce C Nesbitt	2016-01-10	11	4	0
BugBuster	2009-09-29	29	0	0
Buraddo	2014-08-28	2	0	0
California Bear	2009-03-16	56	46	2
California Bear	2009-11-30	118	45	0
California Bear	2012-01-13	466	373	0
California Bear	2015-05-26	161	89	0
California Bear	2015-05-27	56	42	0
California Bear	2015-05-28	203	134	0
California Bear	2015-06-01	836	724	0
California Bear	2015-06-02	1645	1244	0
California Bear	2015-07-02	6	0	0
CalliBrown	2012-11-01	10	1	0
Cam4rd98	2013-04-01	28	28	0
Carl J Pankowski	2014-01-13	2	0	0
Carl Simonson	2012-11-02	2	0	0
Carl Simonson	2012-11-04	1	0	0
Carmen Sandiego	2009-03-28	25	24	0
Cart of Graphs	2013-05-16	11	11	0
Cassio90	2012-11-06	2	0	0
Cato_d_Ae	2014-03-28	2	2	0
Cato_d_Ae	2014-04-26	6	1	0
Cato_d_Ae	2014-05-01	3	2	0
Cato_d_Ae	2014-05-21	1	1	0
Cato_d_Ae	2014-06-08	5	1	0
Cato_d_Ae	2014-06-10	4	3	0
ChadH	2012-11-06	5	0	0
Charles Murray	2014-04-25	41	41	0
Charles_Smothers	2015-04-13	49	20	0
