user_name	date	count	v1count	blankcount
NULL	2005-10-20	1	1	0
NULL	2006-05-06	14	14	0
NULL	2006-05-08	10	10	1
NULL	2006-05-09	12	12	6
NULL	2006-05-12	1	1	0
NULL	2006-05-13	2	2	0
NULL	2006-05-23	8	8	2
NULL	2006-08-28	31	31	8
NULL	2006-09-22	1	1	0
NULL	2006-10-07	185	185	8
NULL	2006-10-08	40	40	2
NULL	2006-11-29	6	6	2
NULL	2006-12-04	11	11	3
NULL	2006-12-05	36	36	3
NULL	2006-12-06	1	1	0
NULL	2006-12-12	55	55	10
NULL	2006-12-17	57	57	9
NULL	2006-12-20	2	2	1
NULL	2006-12-26	1	1	0
NULL	2007-01-07	12	12	1
NULL	2007-01-18	5	5	0
NULL	2007-01-27	75	75	0
NULL	2007-01-28	47	47	0
NULL	2007-01-29	1	1	0
NULL	2007-02-04	42	42	0
NULL	2007-02-05	1	1	0
NULL	2007-03-15	12	12	0
NULL	2007-07-05	5	5	0
NULL	2007-10-17	1	0	0
NULL	2008-04-20	36	36	0
NULL	2008-04-25	3	1	0
--toc	2013-02-13	8	5	0
--toc	2013-02-25	15	13	0
--toc	2013-02-27	17	12	0
--toc	2013-03-03	34	25	0
--toc	2013-05-02	133	107	0
--toc	2013-05-04	3	3	0
--toc	2013-05-05	4	2	0
-Chaz-	2012-01-12	3	1	0
-Chaz-	2012-01-14	7	6	0
-None-	2012-03-28	1	1	0
-heidieh-	2013-11-11	2	1	0
-karlos-	2014-05-10	1	1	0
-karlos-	2014-05-25	13	12	0
-karlos-	2014-05-26	2	1	0
-raul	2012-01-27	1	0	0
0123456789	2009-01-28	56	2	0
0123456789	2009-02-10	1	0	0
0123456789	2009-03-23	1	0	0
0123456789	2009-04-07	11	0	0
0123456789	2009-04-13	28	0	0
0123456789	2009-11-28	4	0	0
0123456789	2009-12-06	5	0	0
0123456789	2010-01-08	1	0	0
0123456789	2010-01-17	2	2	0
0123456789	2010-01-31	2	0	0
0123456789	2010-02-05	4	1	0
0123456789	2010-02-18	6	6	0
0123456789	2010-02-22	1	0	0
0123456789	2010-03-08	8	7	0
0123456789	2010-03-14	12	5	0
0123456789	2010-03-27	6	6	0
0123456789	2010-04-11	11	1	0
0123456789	2010-05-15	1	0	0
0123456789	2010-05-23	13	11	0
0123456789	2010-06-01	1	0	0
0123456789	2010-07-05	1	1	0
0123456789	2010-08-12	2	1	0
0123456789	2010-10-19	9	0	0
0123456789	2010-11-06	2	0	0
0123456789	2010-11-14	2	0	0
0123456789	2011-02-22	16	12	0
0123456789	2011-03-04	19	13	0
0123456789	2011-07-19	42	20	0
0123456789	2011-08-04	8	8	0
0123456789	2012-01-22	34	22	0
0123456789	2012-05-19	4	3	0
0123456789	2012-05-20	1	0	0
0123456789	2012-05-27	50	44	0
0123456789	2012-05-28	88	88	0
0123456789	2012-06-04	118	101	0
0123456789	2013-04-06	19	17	0
0atman	2013-10-27	1	0	0
1001	2011-08-17	1	1	0
101geo	2014-02-06	1	1	0
1930map	2014-11-15	1	1	0
1lazza	2010-07-06	2	1	0
2011victor	2011-08-27	1	1	0
247WasteRemoval	2014-10-31	1	1	0
247pestcontrol	2014-11-26	1	1	0
24HrCentral	2014-10-17	10	6	0
2_3_4	2014-01-22	211	109	0
3danimator	2012-04-07	5	5	0
42429	2011-10-31	3	0	0
42429	2011-11-01	5	0	0
42429	2011-11-02	2	0	0
42429	2011-11-04	17	0	0
4ndr3vv	2012-01-09	6	2	0
51114u9	2008-10-21	2	0	0
715371	2013-08-19	1	0	0
80n	2007-12-06	1	0	0
80n	2008-05-04	1	0	0
80n	2008-07-19	1	0	0
80n	2008-11-30	3	0	0
80n	2009-03-08	3	0	0
80n	2009-06-13	1	0	0
80n	2009-12-28	1	0	0
80n	2010-06-27	1	0	0
80n	2010-07-05	1	0	0
80n	2010-07-08	1	0	0
8lettersuk	2009-10-14	4	2	0
8lettersuk	2012-03-26	1	1	0
919er	2013-01-10	11	4	0
919er	2013-05-20	4	1	0
919er	2013-07-30	8	8	0
919er	2013-12-10	11	11	0
@LS@	2014-05-29	22	1	0
@LS@	2014-05-30	38	33	0
@LS@	2014-06-05	55	7	0
@LS@	2014-11-29	2	1	0
@LS@	2014-12-08	1	0	0
@rafszul	2014-03-19	1	1	0
ACM	2014-03-03	3	2	0
ADCrawley	2010-01-24	10	6	0
ADCrawley	2010-01-25	1	1	0
ADCrawley	2010-01-26	6	0	0
ADM79	2013-05-23	1	1	0
AE35	2013-04-12	6	0	0
AJ Lund	2011-10-27	130	97	0
AJ Lund	2011-11-01	64	26	0
AJ Lund	2011-11-03	1	1	0
AJ Lund	2011-12-05	10	9	0
AJRuk	2010-01-29	8	3	0
AJRuk	2010-08-03	6	6	0
AJRuk	2010-08-12	2	1	0
AJRuk	2011-03-14	1	1	0
AJRuk	2011-03-15	4	0	0
AJRuk	2012-07-17	13	12	0
AJRuk	2012-07-19	5	5	0
AMB	2012-12-22	8	0	0
AMB	2012-12-31	1	0	0
AMB	2013-01-02	1	1	0
AMB	2013-01-29	21	4	0
AMB	2013-02-02	1	0	0
AMB	2013-05-11	1	0	0
AMB	2013-06-15	1	0	0
AMB	2013-06-28	1	0	0
AMB	2013-07-13	1	0	0
AMB	2013-08-31	2	0	0
AMac	2010-07-05	13	12	0
ANTONIOPS	2014-10-28	2	2	0
