user_name	date	count	v1count	blankcount
NULL	2006-10-02	45	45	7
NULL	2007-10-23	1	0	0
!i!	2012-11-24	133	133	0
-G-	2012-12-12	1	1	0
0331	2011-02-16	55	52	0
0331	2011-07-05	52	26	0
1248	2010-02-19	1	0	0
17hertz	2013-07-25	4	4	0
1gn1710n	2014-01-05	28	13	0
22324	2015-05-01	18	18	0
25or6to4	2009-07-09	43	27	0
25or6to4	2009-11-06	1	1	0
25or6to4	2010-02-16	1	1	0
25or6to4	2010-02-17	1	1	0
25or6to4	2012-09-02	31	20	0
25or6to4	2014-06-06	16	3	0
25or6to4	2014-06-27	1	0	0
25or6to4	2014-07-19	3	0	0
2bre99	2015-08-07	175	172	0
2bre99	2015-09-03	8	8	0
2bre99	2015-09-15	149	148	0
2bre99	2015-09-21	72	71	0
2bre99	2015-09-23	73	63	0
2bre99	2015-09-24	305	299	0
2bre99	2015-10-08	141	134	0
2bre99	2015-10-11	38	38	0
2bre99	2015-10-12	76	71	0
2bre99	2015-10-13	14	14	0
2bre99	2015-10-21	50	37	0
2bre99	2015-10-22	30	30	0
2bre99	2015-10-23	1	1	0
2bre99	2015-10-26	190	183	0
2bre99	2015-10-27	201	154	0
2bre99	2015-11-02	4	3	0
2bre99	2015-11-03	1	0	0
2bre99	2015-12-12	134	128	0
2bre99	2015-12-16	170	119	0
2bre99	2015-12-20	30	30	0
2bre99	2016-01-03	352	345	0
2bre99	2016-01-04	181	180	0
300dollardatarecovery	2015-05-30	1	1	0
30degrees	2014-03-02	2	2	0
3rdGenBruin	2009-04-01	70	0	0
3rdGenBruin	2009-04-02	10	0	0
3rdGenBruin	2009-04-03	2	0	0
3yoda	2014-08-15	726	715	0
3yoda	2014-08-16	685	662	0
4 Seasons Construction & Design	2015-12-11	1	0	0
42429	2008-11-14	4	1	0
42429	2009-10-19	3	3	0
42429	2010-05-07	3	3	0
42429	2010-05-08	1	0	0
42429	2010-05-12	2	0	0
42429	2011-10-26	16	0	0
42429	2011-11-11	2	0	0
42429	2015-11-30	1580	1315	0
42429	2015-12-01	2285	2166	0
42429	2015-12-02	492	343	0
42429	2015-12-03	430	412	0
42429	2015-12-04	258	248	0
42429	2015-12-06	718	681	0
42429	2015-12-07	313	258	0
42429	2015-12-08	1211	1144	0
42429	2016-01-02	1003	906	0
42429	2016-01-03	291	287	0
42429	2016-01-05	516	499	0
42429	2016-01-06	126	125	0
42429	2016-01-09	1514	1469	0
42429	2016-01-13	550	515	0
42429	2016-01-14	1384	1367	0
42429	2016-01-15	1343	1277	0
42429	2016-01-16	440	433	0
42429	2016-01-17	601	579	0
4ResultsOnline	2015-02-15	1	1	0
4ResultsOnline	2015-02-16	1	0	0
503Greg	2012-10-17	2	1	0
503Greg	2012-10-19	1	0	0
503Greg	2012-10-29	14	6	0
5623user98238	2014-01-02	1	1	0
5623user98238	2014-01-03	2	0	0
56kDialup2010	2014-09-23	1	1	0
69AD	2015-05-12	13	13	0
7161	2014-10-22	6	6	0
77HUB	2014-08-29	1	1	0
7dhd	2012-06-23	7	5	0
7dhd	2012-06-24	23	10	0
95llopez17	2013-11-05	1	1	0
>LAND	2014-07-30	76	51	0
AE35	2012-11-16	1	0	0
AE35	2013-04-12	1	0	0
AI6PG	2010-02-23	2	2	0
AI6PG	2010-05-27	1	0	0
AI6PG	2011-10-02	11	11	0
AI6PG	2012-05-19	106	104	0
AI6PG	2012-09-23	46	43	0
AJRalhambra	2014-05-05	10	3	0
AJ_LA	2014-12-05	40	40	0
AJ_LA	2014-12-06	11	11	0
AJ_LA	2014-12-08	18	17	0
AJ_LA	2014-12-11	58	57	0
AJ_LA	2014-12-12	13	13	0
AJ_LA	2014-12-15	17	17	0
AJ_LA	2014-12-16	5	5	0
AJ_LA	2014-12-19	7	7	0
AKJo	2013-06-17	199	71	0
AM909	2009-05-25	205	61	0
AM909	2009-05-26	706	318	0
AM909	2009-05-27	734	348	0
AM909	2009-05-28	737	321	1
AM909	2009-05-29	1518	567	0
AM909	2009-05-30	621	298	0
AM909	2009-06-02	451	251	1
AM909	2009-06-03	6	2	0
AM909	2009-06-04	26	24	0
AM909	2009-06-09	405	231	0
AM909	2009-06-16	1271	567	0
AM909	2009-06-17	290	252	0
AM909	2009-06-18	281	256	0
AM909	2009-06-21	75	55	0
AM909	2009-06-22	209	185	0
AM909	2009-06-25	733	526	0
AM909	2009-06-29	1415	1037	0
AM909	2009-07-08	2018	584	0
AM909	2009-07-09	1184	366	0
AM909	2009-07-10	3	3	0
AM909	2009-07-13	1110	696	0
AM909	2009-07-14	224	106	0
AM909	2009-07-15	1566	779	0
AM909	2009-07-17	3402	2038	0
AM909	2009-07-18	414	157	0
AM909	2009-07-19	221	185	1
AM909	2009-07-20	952	640	0
AM909	2009-07-21	14143	164	0
AM909	2009-07-22	231	52	0
AM909	2009-07-25	217	178	0
AM909	2009-07-26	1	0	0
AM909	2009-07-29	26	20	0
AM909	2009-07-30	179	139	0
AM909	2009-07-31	393	186	0
AM909	2009-08-01	181	99	0
AM909	2009-08-03	313	207	0
AM909	2009-08-04	732	640	0
AM909	2009-08-06	1721	1269	0
AM909	2009-08-07	102	51	0
AM909	2009-08-10	1122	804	0
AM909	2009-08-11	276	231	0
AM909	2009-08-12	238	196	0
AM909	2009-08-13	702	324	0
AM909	2009-08-18	969	652	0
AM909	2009-08-19	874	666	0
AM909	2009-08-20	479	329	0
AM909	2009-08-21	350	339	0
AM909	2009-08-23	465	456	0
AM909	2009-08-24	1039	813	1
AM909	2009-08-25	58	53	0
AM909	2009-08-26	594	407	0
AM909	2009-08-27	390	244	0
AM909	2009-08-28	319	258	0
AM909	2009-08-31	849	685	0
AM909	2009-09-01	730	700	0
AM909	2009-09-02	759	607	0
AM909	2009-09-04	164	78	0
AM909	2009-09-09	1426	982	3
AM909	2009-09-10	1712	888	0
AM909	2009-09-11	842	616	1
AM909	2009-09-13	639	604	0
AM909	2009-09-14	2581	2472	0
AM909	2009-09-15	1095	786	0
AM909	2009-09-16	879	702	0
AM909	2009-09-17	1664	1047	0
AM909	2009-09-18	1011	644	0
AM909	2009-09-20	64	43	0
AM909	2009-09-21	826	381	0
AM909	2009-09-22	573	362	0
AM909	2009-09-23	1078	803	0
AM909	2009-09-24	483	437	0
AM909	2009-09-25	1677	801	0
AM909	2009-09-26	2019	1052	0
AM909	2009-09-27	389	201	0
AM909	2009-09-28	3484	1875	1
AM909	2009-09-29	1533	1216	3
AM909	2009-09-30	44	15	0
AM909	2009-10-01	392	260	0
AM909	2009-10-02	750	431	0
AM909	2009-10-03	810	651	0
AM909	2009-10-04	302	200	0
AM909	2009-10-05	683	543	0
AM909	2009-10-06	246	207	1
AM909	2009-10-07	666	573	0
AM909	2009-10-08	1026	855	0
AM909	2009-10-09	1	1	0
AM909	2009-10-10	1810	1559	0
AM909	2009-10-11	915	468	0
AM909	2009-10-12	400	128	0
AM909	2009-10-13	26	2	0
AM909	2009-10-18	713	306	0
AM909	2009-10-19	695	211	0
AM909	2009-10-20	1229	944	0
AM909	2009-10-21	935	447	0
AM909	2009-10-22	2387	1175	2
AM909	2009-10-23	2898	1940	4
AM909	2009-10-25	487	192	0
AM909	2009-10-26	787	314	0
AM909	2009-11-01	607	343	0
AM909	2009-11-02	642	370	0
AM909	2009-11-03	87	24	0
AM909	2009-11-04	181	94	0
AM909	2009-11-05	192	93	0
AM909	2009-11-06	882	422	0
AM909	2009-11-08	2	2	0
AM909	2009-11-09	1467	944	0
AM909	2009-11-10	1140	716	0
AM909	2009-11-11	1851	1230	0
AM909	2009-11-12	487	229	0
AM909	2009-11-13	815	443	0
AM909	2009-11-15	64	57	0
AM909	2009-11-16	1127	629	0
AM909	2009-11-17	320	110	0
AM909	2009-11-27	123	3	0
AM909	2009-11-30	653	323	0
AM909	2009-12-01	240	142	0
AM909	2009-12-02	230	54	0
AM909	2009-12-03	568	183	0
AM909	2009-12-04	1203	448	0
AM909	2009-12-05	764	246	0
AM909	2009-12-07	2267	998	0
AM909	2009-12-08	67	46	0
AM909	2009-12-09	238	189	0
AM909	2009-12-10	489	226	0
AM909	2009-12-11	1183	832	0
AM909	2009-12-12	546	484	0
AM909	2009-12-13	411	221	0
AM909	2009-12-14	2526	1530	0
AM909	2009-12-15	1176	564	0
AM909	2009-12-18	1264	558	0
AM909	2009-12-19	945	566	0
AM909	2009-12-20	234	97	0
AM909	2009-12-21	523	398	0
AM909	2009-12-22	1462	803	0
AM909	2009-12-23	1918	1350	0
AM909	2009-12-24	896	480	0
AM909	2009-12-29	8	2	0
AM909	2009-12-30	1262	960	1
AM909	2009-12-31	1556	828	0
AM909	2010-01-03	273	48	0
AM909	2010-01-04	1225	545	0
AM909	2010-01-05	1409	643	0
AM909	2010-01-06	932	455	0
AM909	2010-01-07	484	223	0
AM909	2010-01-08	665	262	0
AM909	2010-01-11	1272	409	0
AM909	2010-01-12	1390	575	0
AM909	2010-01-13	762	507	0
AM909	2010-01-14	1361	638	0
AM909	2010-01-15	883	482	0
