user_name	date	count	v1count	blankcount
NULL	2006-05-29	22	22	0
NULL	2007-03-13	1	1	0
NULL	2007-07-28	33	33	0
NULL	2007-07-29	119	119	0
NULL	2007-07-30	84	84	0
NULL	2007-07-31	97	97	0
NULL	2007-08-01	21	21	1
NULL	2007-08-02	6	6	0
0123456789	2009-12-31	5	4	0
0123456789	2010-08-23	21	18	0
0123456789	2010-09-02	11	11	0
0123456789	2010-11-06	2	0	0
0123456789	2012-04-22	25	19	0
02f603653	2013-10-25	1	1	0
42429	2011-11-24	2	0	0
715371	2015-11-15	1	0	0
97wrangler	2009-10-12	2	2	0
97wrangler	2012-01-10	71	57	0
97wrangler	2012-01-13	21	16	0
97wrangler	2012-01-14	80	52	0
97wrangler	2012-01-22	235	209	0
97wrangler	2012-01-23	13	11	0
97wrangler	2012-01-29	36	34	0
97wrangler	2012-01-30	30	19	0
97wrangler	2012-02-01	8	0	0
97wrangler	2012-02-04	2	0	0
97wrangler	2012-02-05	5	4	0
97wrangler	2012-02-06	58	54	0
97wrangler	2012-02-07	2	1	0
97wrangler	2012-02-13	56	44	0
97wrangler	2012-02-19	37	18	0
97wrangler	2012-02-27	1	1	0
97wrangler	2013-01-27	24	23	0
97wrangler	2013-02-05	7	6	0
97wrangler	2013-03-22	37	32	0
97wrangler	2013-03-30	62	61	0
97wrangler	2013-05-16	5	3	0
97wrangler	2013-09-28	2	0	0
97wrangler	2013-11-17	36	35	0
97wrangler	2014-02-08	8	4	0
97wrangler	2014-06-30	1	1	0
A T R Birkett	2014-03-10	78	76	0
AMB	2013-06-01	1	0	0
AMWigan	2014-01-14	46	20	0
AMcCann	2010-02-27	37	36	0
AMcCann	2011-10-18	33	33	0
Acehole	2009-02-28	70	38	0
Acehole	2009-03-05	1	0	0
Adam Boardman	2007-08-02	25	25	0
AdamFunk	2015-02-15	1	1	0
Al Teno	2013-12-14	1	1	0
Al Teno	2013-12-16	3	3	0
Alan Fleming	2009-02-25	97	4	0
Alan Fleming	2009-06-24	162	57	0
Alan Fleming	2009-06-27	6	2	0
Alan Fleming	2014-01-20	6	0	0
Alan Hurdle	2013-08-11	3	3	0
Aldoc	2009-02-08	34	33	0
Aldoc	2009-06-06	179	179	0
Aleks-Berlin	2014-11-28	1	0	0
Alex_L33	2008-11-22	31	3	0
Alexandra Park Heritage	2014-10-17	1	1	0
Ally76	2012-08-20	1	1	0
AlreadyBeenTaken	2012-06-22	7	7	0
Altfish	2014-02-19	3	3	0
Altfish	2014-02-21	4	3	0
Amaroussi	2013-02-06	4	0	0
Amaroussi	2014-01-31	1	0	0
Amaroussi	2014-08-27	3	2	0
Amaroussi	2014-08-29	2	2	0
Anand	2009-06-27	3	2	0
Anand	2010-04-04	1	1	0
Andre68	2009-01-19	2	0	0
Andre68	2009-01-20	1	0	0
Andreas Jostel	2015-10-26	3	0	0
Andrew Bonney	2014-06-07	4	4	0
Andrew Dunlop	2012-05-29	16	15	0
Andrew Dunlop	2012-05-30	4	4	0
Andrew Dunlop	2012-09-06	1	0	0
Andrew Dunlop	2013-01-11	3	0	0
Andrew Dunlop	2013-04-12	145	135	0
Andrew Dunlop	2013-04-13	14	14	0
Andrew Dunlop	2013-05-10	17	17	0
Andrew Dunlop	2015-03-18	1	0	0
Andrew Holcroft	2012-08-02	6	2	0
Andrew Holcroft	2013-02-10	4	4	0
Andrew Rose	2013-08-24	14	14	0
AndrewMcCarthy	2015-02-22	12	10	0
Andy Lowry	2012-04-29	12	4	0
Andy P	2011-09-28	18	6	0
Andy57	2015-03-02	12	12	0
Andy57	2015-03-03	1	0	0
AndyCooll	2009-07-30	1	1	0
AndyCooll	2011-05-14	9	9	0
AndyCooll	2011-05-15	80	37	0
AnkEric	2012-09-24	35	0	0
AntonyW	2011-09-08	23	21	0
AntonyW	2013-08-11	9	8	0
AntonyW	2013-11-01	5	2	0
Are_we_nearly_there_yet	2010-10-05	9	3	0
Artyomka	2011-07-15	8	0	0
Artyomka	2011-07-16	3	0	0
Asgarth1977	2013-10-31	35	30	0
Asgarth1977	2013-11-02	205	154	0
Asgarth1977	2013-11-03	241	160	0
Asgarth1977	2013-11-05	68	32	0
AshKay	2012-03-01	7	0	0
Ashimema	2010-01-05	80	49	0
Asten59	2014-03-09	1	0	0
Azizur	2010-10-11	5	4	0
Azizur	2010-10-22	15	11	0
BCNorwich	2012-04-16	15	8	0
BCNorwich	2012-05-17	2	0	0
BCNorwich	2012-08-15	176	5	0
BCNorwich	2012-08-17	13	0	0
BCNorwich	2012-08-27	36	0	0
BCNorwich	2012-09-30	16	0	0
BCNorwich	2012-10-20	1	1	0
BCNorwich	2013-01-26	2	0	0
BCNorwich	2013-06-27	1	1	0
BCNorwich	2013-07-27	3	0	0
BCNorwich	2013-11-08	1	1	0
BCNorwich	2014-03-03	5	2	0
BCNorwich	2014-03-08	3	0	0
BCNorwich	2014-05-09	8	4	0
BCNorwich	2014-05-13	9	2	0
BCNorwich	2014-06-19	1	1	0
BCNorwich	2014-07-03	2	0	0
BCNorwich	2014-07-16	11	0	0
BCNorwich	2014-10-24	9	3	0
BCNorwich	2015-01-21	336	2	0
BCNorwich	2015-01-22	10	2	0
BCNorwich	2015-03-01	2	0	0
BCNorwich	2015-05-27	1	0	0
BCNorwich	2015-06-17	3	0	0
BCNorwich	2015-06-20	1	0	0
BCNorwich	2015-07-13	1	1	0
BCNorwich	2015-08-03	19	10	0
BCNorwich	2015-08-30	4	0	0
BCNorwich	2015-12-01	6	0	0
BCNorwich	2015-12-22	2	2	0
BCNorwich	2015-12-27	2	1	0
Backler	2012-05-03	6	5	0
Baggypants	2010-11-24	13	0	0
Baggypants	2013-11-17	2	1	0
Balthier Lionheart	2015-05-11	1	0	0
Banana Bunch	2011-07-09	9	6	0
Basstoelpel	2012-04-23	7	6	0
BeerOfTheTrip	2010-02-09	5	0	0
BeerOfTheTrip	2010-03-28	22	17	0
BeerOfTheTrip	2011-05-01	8	0	0
BeerOfTheTrip	2012-09-27	1	0	0
Bees	2010-04-02	4	0	0
Bees	2010-04-05	96	76	0
Ben	2006-05-13	41	41	5
BenFireCask	2014-01-22	1	0	0
Bengatzer	2011-04-12	1	0	0
Bengatzer	2011-06-03	1	0	0
Bengatzer	2011-11-30	2	0	0
Bernard L	2009-01-25	28	0	0
Bertie Magoo	2011-06-29	1	1	0
BiIbo	2009-02-13	38	0	0
BiIbo	2009-02-23	5	0	0
Big un	2014-11-25	3	3	0
Big un	2015-01-09	9	9	0
Bjwebb	2010-07-07	1	0	0
Bjwebb	2010-07-08	53	27	0
Bjwebb	2010-07-09	34	32	0
Bjwebb	2010-07-10	43	33	0
Bjwebb	2010-07-11	106	92	0
Bjwebb	2010-07-12	3	1	0
Bjwebb	2010-07-27	52	50	0
Bjwebb	2010-07-30	256	231	0
Bjwebb	2011-08-04	11	7	0
BlindCasket	2013-10-30	124	90	0
BlindCasket	2015-07-06	193	157	0
BlindCasket	2015-07-07	1041	868	0
BlindCasket	2015-07-08	368	317	0
BlindCasket	2015-07-23	37	10	0
BlindCasket	2015-07-24	395	381	0
BlindCasket	2015-07-27	185	172	0
Bob 1234	2009-09-01	17	10	0
Bob100110	2012-02-09	2	2	0
Bob100110	2012-04-13	1	0	0
Bob100110	2012-08-25	16	12	0
BobJF	2010-10-03	21	6	0
Borbus	2012-03-31	23	21	0
Borbus	2012-09-16	28	9	0
Boydy	2012-04-06	18	14	0
Boydy	2014-05-31	39	38	0
Bramble	2012-09-19	52	25	0
Bramble	2012-10-01	3	0	0
Bramble	2012-10-03	294	72	0
Bramble	2012-10-04	13	5	0
Bramble	2012-10-22	54	29	0
Bramble	2012-10-23	21	7	0
Bramble	2012-10-24	6	2	0
Bramble	2014-09-02	52	16	0
Buckley Commercial	2013-11-26	3	3	0
BugBuster	2009-09-22	1	0	0
BugBuster	2009-11-03	1	0	0
Bugali	2013-06-04	12	6	0
BuganiniQ	2014-05-06	2	0	0
BuganiniQ	2014-05-13	2	0	0
BuildTheRobots	2013-06-01	19	13	0
Bula11	2010-07-24	13	1	0
BurpOnions	2016-01-06	1	1	0
BurpOnions	2016-01-07	7	1	0
CLARKE1880	2014-09-14	2	1	0
CRV-2013	2014-04-17	76	76	0
CYM1988	2015-08-11	1	1	0
CYM1988	2015-08-18	1	1	0
Canabis	2012-02-22	1	0	0
Captain Tancredi	2010-06-11	165	164	0
Captain Tancredi	2010-07-18	8	8	0
Cardinal Fang	2015-06-29	5	3	0
CarlPeter	2014-04-06	104	52	0
CarlPeter	2014-04-07	128	106	0
CarlPeter	2015-01-18	40	38	0
Carlos Martín Nieto	2007-11-24	44	44	1
Cebderby	2012-12-02	16	10	0
Cebderby	2015-10-05	45	30	0
CharliC	2013-12-20	62	58	0
Cheekskel	2012-06-27	23	12	0
Chriki	2008-08-23	47	40	0
Chris Baines	2012-11-29	4	2	0
Chris Morley	2006-08-19	32	32	8
Chris Morley	2006-12-02	2	2	2
Chris Morley	2007-01-24	11	11	2
Chris Morley	2007-02-18	15	15	2
Chris Morley	2008-10-26	291	191	0
Chris Northwood	2011-02-27	28	28	0
Chris Northwood	2012-01-01	6	6	0
Chris Northwood	2012-11-08	16	3	0
Chris Northwood	2012-11-18	3	0	0
Chris Parker	2013-11-04	114	109	0
Chris Parker	2013-11-10	68	63	0
Chris Parker	2013-11-16	20	20	0
Chris Parker	2013-11-25	120	114	0
Chris Parker	2013-11-27	985	860	0
Chris Parker	2013-11-28	189	161	0
Chris Parker	2013-11-29	249	220	0
Chris Parker	2013-11-30	67	45	0
Chris Parker	2013-12-03	76	11	0
Chris Parker	2013-12-04	182	154	0
Chris Parker	2013-12-11	166	141	0
Chris Parker	2013-12-12	137	136	0
Chris Parker	2013-12-15	255	215	0
Chris Parker	2013-12-16	317	274	0
Chris Parker	2013-12-17	251	234	0
Chris Parker	2013-12-18	59	57	0
Chris Parker	2013-12-20	167	142	0
Chris Parker	2013-12-24	188	163	0
Chris Parker	2013-12-25	201	195	0
Chris Parker	2013-12-27	55	51	0
Chris Parker	2014-01-02	2419	2124	0
Chris Parker	2014-01-03	1188	965	0
Chris Parker	2014-01-06	1535	1324	0
Chris Parker	2014-01-07	616	519	0
Chris Parker	2014-01-08	326	321	0
Chris Parker	2014-01-09	253	243	0
Chris Parker	2014-01-10	655	600	0
Chris Parker	2014-01-12	908	846	0
Chris Parker	2014-01-13	917	806	0
Chris Parker	2014-01-15	267	251	0
Chris Parker	2014-01-19	2	1	0
Chris Parker	2014-01-20	1	0	0
Chris Parker	2014-01-22	1	0	0
Chris Parker	2014-01-28	189	68	0
Chris Parker	2014-01-29	229	145	0
Chris Parker	2014-01-30	39	20	0
Chris Parker	2014-02-02	188	170	0
Chris Parker	2014-02-03	44	28	0
Chris Parker	2014-02-04	16	7	0
Chris Parker	2014-02-05	1	0	0
Chris Parker	2014-02-06	12	4	0
Chris Parker	2014-02-09	25	13	0
Chris Parker	2014-02-14	1	1	0
Chris Parker	2014-02-15	115	57	0
Chris Parker	2014-02-17	750	443	0
Chris Parker	2014-02-18	287	238	0
Chris Parker	2014-02-20	2	2	0
Chris Parker	2014-02-21	32	19	0
Chris Parker	2014-02-22	14	5	0
Chris Parker	2014-02-23	16	8	0
Chris Parker	2014-02-24	26	11	0
Chris Parker	2014-02-25	10	7	0
Chris Parker	2014-02-26	10	7	0
Chris Parker	2014-02-27	53	33	0
Chris Parker	2014-02-28	5	4	0
Chris Parker	2014-03-01	28	13	0
Chris Parker	2014-03-02	7	4	0
Chris Parker	2014-03-03	208	153	0
Chris Parker	2014-03-04	154	147	0
Chris Parker	2014-03-05	3	1	0
Chris Parker	2014-03-06	11	6	0
Chris Parker	2014-03-10	1	1	0
Chris Parker	2014-03-11	8	5	0
Chris Parker	2014-03-14	8	6	0
Chris Parker	2014-03-15	1	1	0
Chris Parker	2014-03-16	8	3	0
Chris Parker	2014-03-17	169	103	0
Chris Parker	2014-03-21	6	5	0
Chris Parker	2014-03-23	1	0	0
Chris Parker	2014-03-24	229	177	0
Chris Parker	2014-03-25	376	335	0
Chris Parker	2014-03-26	15	3	0
Chris Parker	2014-03-27	152	142	0
Chris Parker	2014-03-28	1	1	0
Chris Parker	2014-03-30	61	32	0
Chris Parker	2014-03-31	175	158	0
Chris Parker	2014-04-03	1	0	0
Chris Parker	2014-04-04	8	6	0
Chris Parker	2014-04-05	4	3	0
Chris Parker	2014-04-06	16	9	0
Chris Parker	2014-04-07	9	3	0
Chris Parker	2014-04-08	15	6	0
Chris Parker	2014-04-09	1417	1282	0
Chris Parker	2014-04-10	11	4	0
Chris Parker	2014-04-11	228	189	0
Chris Parker	2014-04-13	19	12	0
Chris Parker	2014-04-14	1	1	0
Chris Parker	2014-04-15	21	12	0
Chris Parker	2014-04-16	19	12	0
Chris Parker	2014-04-17	2	1	0
Chris Parker	2014-04-18	3	3	0
Chris Parker	2014-04-21	2	2	0
Chris Parker	2014-04-22	879	653	0
Chris Parker	2014-04-23	98	98	0
Chris Parker	2014-04-27	3	2	0
Chris Parker	2014-04-28	313	270	0
Chris Parker	2014-04-29	248	210	0
Chris Parker	2014-04-30	1	1	0
Chris Parker	2014-05-02	1	0	0
Chris Parker	2014-05-06	97	96	0
Chris Parker	2014-05-14	38	38	0
Chris Parker	2014-05-20	14	14	0
Chris Parker	2014-05-21	1	1	0
Chris Parker	2014-05-23	1	1	0
Chris Parker	2014-05-24	176	163	0
