user_name	date	count	v1count	blankcount
#HELP!T7	2012-03-10	7	4	0
#HELP!T7	2012-03-12	10	10	0
#HELP!T7	2012-06-13	13	13	0
#HELP!T7	2012-06-15	119	119	0
#HELP!T7	2012-06-16	63	48	0
10Jama	2011-07-12	20	6	0
51114u9	2014-09-27	7	5	0
6U5T4V	2014-07-21	735	705	0
6U5T4V	2014-07-22	445	226	0
99Percent	2014-04-07	4	3	0
@JCdelValle	2012-09-21	11	10	0
AGuevaraG	2009-06-06	22	0	0
AGuevaraG	2009-06-13	131	0	0
AGuevaraG	2009-08-13	7	0	0
ALeDonne	2013-11-25	5	2	0
AM909	2009-07-29	4	0	0
Aaron Lidman	2012-08-10	1609	1578	1
Aaron Lidman	2012-08-11	1680	1466	0
Aaron Lidman	2012-08-12	185	165	0
Abbendymion	2014-07-18	67	65	0
Abbendymion	2014-07-21	521	336	0
Abbendymion	2014-07-22	4	4	0
Abbendymion	2014-07-24	583	259	0
Abbendymion	2014-07-25	385	150	0
Abbendymion	2014-07-28	366	191	0
Abbendymion	2014-07-30	400	289	0
Abbendymion	2014-07-31	51	32	0
Abvik	2014-02-28	1	1	0
Adonay	2013-08-07	6	0	0
AdrianSolis	2012-11-24	44	44	0
AdrianSolis	2012-11-25	84	71	0
AdrianSolis	2013-07-21	9	4	0
Adwolfo	2012-04-20	4	4	0
Aguz22	2013-09-25	4	3	0
Ailatix	2009-01-17	38	38	0
Ainarita	2012-08-11	55	51	0
AlaskaDave	2013-02-17	2	1	0
AlbaM	2014-02-20	16	15	0
AlbaM	2014-02-24	17	13	0
AlbaM	2014-02-27	13	9	0
Albert Bihler	2014-08-22	8	7	0
Albert Bihler	2014-08-25	35	35	0
Alcibi	2010-04-15	7	3	0
AleJim	2014-10-03	14	8	0
Alecs01	2014-12-03	240	236	0
Alejandra Degollado Garcia	2010-10-01	99	43	0
Alejandro Alex	2011-09-12	30	16	0
Alejandro Gzu	2012-07-09	1	1	0
