user_name	date	count	v1count	blankcount
!i!	2010-06-02	1	1	0
1248	2010-02-19	1	0	0
25or6to4	2010-02-16	7	7	0
25or6to4	2010-02-17	1	1	0
25or6to4	2014-06-25	7	1	0
3yoda	2014-03-07	68	68	0
3yoda	2014-03-08	357	356	0
42429	2009-12-26	802	19	0
42429	2010-01-02	483	24	0
42429	2011-03-04	201	200	15
42429	2011-03-05	608	551	18
42429	2011-03-06	848	701	3
42429	2011-03-07	650	587	11
42429	2011-11-01	5	0	0
42429	2015-10-13	1016	975	0
42429	2015-10-18	661	632	0
42429	2015-10-25	1516	1056	0
42429	2015-10-26	700	486	0
42429	2015-10-29	871	768	0
42429	2015-10-30	1210	1049	0
42429	2015-10-31	1525	1444	0
42429	2015-11-01	404	402	0
42429	2015-11-03	2128	1746	0
42429	2015-11-04	813	799	0
42429	2015-11-05	1318	1107	0
42429	2015-11-06	948	910	0
42429	2015-11-07	225	199	0
42429	2015-11-09	1201	1130	4
42429	2015-11-10	419	376	0
42429	2015-11-14	234	133	0
42429	2015-11-18	31	31	0
42429	2015-11-19	333	232	0
42429	2015-11-20	10	10	0
42429	2015-11-22	190	186	0
5DiamondDelicacies	2013-04-19	1	1	0
80 West	2010-10-23	5	2	0
9003x	2013-09-14	23	23	0
9003x	2014-03-03	9	9	0
AHeneen	2014-08-14	88	84	0
AHeneen	2014-08-24	34	22	0
AKC	2011-04-06	27	27	0
AKC	2011-04-08	28	28	0
AKC	2011-04-17	6	5	0
ALCE Samuel Paul	2013-05-15	316	308	0
ALeDonne	2013-11-26	1	0	0
A_Ride_4_Ever	2009-06-30	5	5	0
Aaron Lidman	2013-06-06	76	76	0
Aaron Lidman	2013-07-01	136	136	0
Aaron Lidman	2013-07-09	45	43	0
Aaron Lidman	2013-07-21	1	0	0
AaronAsAChimp	2012-11-27	30	2	0
Adam Culp	2012-09-23	31	30	0
Alan Bragg	2015-10-31	27	7	0
Alan Bragg	2016-01-07	9	8	0
Alan-L	2013-11-27	4	4	0
Aleks-Berlin	2016-01-01	2	0	0
Aleks-Berlin	2016-01-04	1	0	0
Alexhh	2012-11-01	6	4	0
AllgäuCycle	2015-08-07	148	148	0
AnaG	2014-01-15	2	1	0
AnaMaria9384	2012-03-30	1	1	0
Anchor Associates	2013-11-18	2	2	0
Andre Engels	2012-09-06	33	33	0
Andre Engels	2012-09-14	8	7	0
Andre68	2014-03-22	11	0	0
Andre68	2014-11-20	2	0	0
AndrewBuck	2014-04-30	1	0	0
Andy9FromSpace	2015-01-19	3	2	0
Andyinflorida	2013-02-09	1	1	0
Angel Li	2011-07-15	1	1	0
Ariel Aronowicz	2014-01-28	2	1	0
ArqPeralta	2015-07-02	7	7	0
ArturoDeutsch	2012-10-26	1	1	0
AssBlaster	2012-12-28	69	61	0
AssBlaster	2013-01-03	62	5	0
Atkins80	2013-12-21	11	11	0
Atlantic Ocean Club	2011-03-07	5	4	0
Aurimas Fišeras	2014-05-18	1	0	0
Avida226	2014-04-26	4	4	0
B-rock	2014-12-28	97	38	0
B-rock	2015-01-14	26	13	0
B-rock	2015-02-07	16	11	0
BCNorwich	2012-11-28	1	0	0
BCNorwich	2012-12-07	6	1	0
BFX	2012-11-01	1	0	0
BMimlitch	2015-01-14	12	5	0
BMimlitch	2015-01-16	5	5	0
BTM21	2010-11-19	1	0	0
Babe Froman	2014-01-07	1	1	0
Bellyenvy Maternity	2014-12-31	1	0	0
Ben Preston	2015-07-08	6	6	0
Ben Preston	2015-08-01	4	4	0
Bengie	2014-03-13	12	12	0
Berdy	2015-05-31	2	2	0
Bike Mapper	2012-12-02	3	1	0
BitcoinMaps	2015-03-18	1	1	0
BitcoinMaps	2015-04-23	1	1	0
BitcoinMaps	2015-04-29	1	1	0
BitcoinRT	2014-05-03	1	1	0
Blobo123	2013-12-12	1	1	0
Blobo123	2014-03-17	2	2	0
Blobo123	2014-04-01	2	1	0
Blobo123	2014-05-28	3	2	0
Blobo123	2014-08-19	1	1	0
Blobo123	2014-08-21	1	0	0
Blobo123	2014-08-23	1	0	0
BlueMagnetInteractive	2016-01-04	1	0	0
Bluebrad	2015-08-16	33	6	0
Bob Vandivort	2014-12-24	1	1	0
BostonMarketer	2014-04-21	41	41	0
Brandt Absolu	2010-12-13	81	38	0
Brandt Absolu	2010-12-18	3	0	0
Brandt Absolu	2010-12-28	1	1	0
Brandt Absolu	2011-01-06	28	22	0
Brentcortez	2012-10-09	2	1	0
Bret Lusskin	2014-03-02	1	1	0
Brian O'Donovan	2008-09-29	3	1	0
Brian2433	2014-04-10	2	0	0
BrianRH	2015-02-20	1	0	0
BrowardHealth	2015-01-02	4	1	0
BrowardHealth	2015-01-29	1	0	0
Bruno Torquato	2014-12-11	11	6	0
Bruno Torquato	2014-12-16	1	1	0
BrunoRemy	2014-05-27	40	11	0
Bryce C Nesbitt	2011-06-07	2	0	0
Bryce C Nesbitt	2011-09-09	1	0	0
Bryce C Nesbitt	2013-06-18	7	6	0
Bryce C Nesbitt	2013-06-20	1	0	0
Bryce C Nesbitt	2015-01-23	5	5	0
Bryce C Nesbitt	2015-02-28	6	6	0
Bryce C Nesbitt	2015-03-05	1	1	0
Bryce C Nesbitt	2015-03-20	1	0	0
Bryce K	2010-06-03	5	5	0
Bryce K	2014-02-12	7	6	0
Bryce K	2014-04-06	10	9	0
Bryce K	2014-04-14	6	6	0
Bryce K	2014-05-19	13	13	0
Bryce K	2014-06-17	12	12	0
Bryce K	2014-06-22	74	70	0
Bryce K	2014-11-11	27	27	0
Bryce K	2015-06-15	6	6	0
Bryce K	2015-12-29	34	34	0
Bugali	2013-06-17	111	103	0
BusinessLawyer	2014-03-20	2	1	0
Byron Jones	2009-11-03	51	31	0
Byron Jones	2009-11-06	64	1	0
Byron Jones	2009-11-07	1	0	0
Byron Jones	2012-07-27	3	2	0
CMFalk	2012-10-21	38	36	0
CNAgro	2015-12-05	6	6	0
California Bear	2008-10-24	22	12	0
CalliBrown	2012-11-06	1	0	0
CamLabPrints	2014-03-13	3	1	0
CarWrapSolutions	2014-07-12	1	1	0
Carl Simonson	2012-11-03	1	0	0
Carl Simonson	2012-11-28	10	9	0
Carlos Marcelin	2013-08-14	2	1	0
Carlos Marcelin	2014-11-07	1	0	0
Carlos Marcelin	2016-01-15	2	0	0
Cart of Graphs	2012-12-25	24	19	0
Cart of Graphs	2012-12-26	99	70	0
Cart of Graphs	2013-01-04	27	26	0
Cart of Graphs	2013-01-25	3	0	0
Cart of Graphs	2013-02-14	16	14	0
CartoFun	2011-11-28	1	1	0
CatamaranGuru	2014-03-19	4	4	0
CatamaranGuru	2014-10-14	1	1	0
Cato_d_Ae	2014-03-22	5	3	0
Cato_d_Ae	2014-03-23	6	3	0
Cato_d_Ae	2014-04-02	2	1	0
Cato_d_Ae	2014-04-23	4	2	0
Cato_d_Ae	2014-04-26	41	21	0
Cato_d_Ae	2014-05-02	4	2	0
Cato_d_Ae	2014-05-04	4	2	0
Cato_d_Ae	2014-05-27	14	5	0
Cato_d_Ae	2014-06-01	4	4	0
Cato_d_Ae	2014-06-11	17	8	0
Cato_d_Ae	2014-07-11	3	1	0
Cato_d_Ae	2014-07-12	5	3	0
Cato_d_Ae	2014-07-21	6	6	0
Cato_d_Ae	2014-08-01	3	1	0
Cato_d_Ae	2014-09-20	13	8	0
Cellphone Solutions	2014-11-16	2	1	0
Cerritus	2012-11-23	3	1	0
CerveTech	2013-12-13	6	2	0
CerveTech	2014-01-13	6	3	0
CerveTech	2014-01-28	3	0	0
Cesar007	2012-01-25	1	1	0
Cesar007	2012-01-26	3	1	0
Chetan_Gowda	2015-05-19	250	245	0
Chetan_Gowda	2015-06-03	140	140	0
Chetan_Gowda	2015-06-04	107	106	0
Chetan_Gowda	2015-06-15	43	43	0
Chetan_Gowda	2015-06-25	24	24	0
Chetan_Gowda	2015-06-29	39	39	1
Chetan_Gowda	2015-06-30	47	41	0
Chetan_Gowda	2015-07-01	27	27	0
Chetan_Gowda	2015-07-02	56	33	0
Chetan_Gowda	2015-07-03	130	125	0
Chetan_Gowda	2015-07-07	33	31	0
Chetan_Gowda	2015-07-09	15	15	0
Chetan_Gowda	2015-08-27	38	38	0
Chetan_Gowda	2015-08-31	8	2	0
Chetan_Gowda	2015-09-01	233	233	0
Chetan_Gowda	2015-09-03	162	162	0
Chetan_Gowda	2015-12-16	68	68	0
Chocklock	2015-11-18	27	26	0
Chris Lawrence	2009-04-23	20183	20183	40
Chris Lawrence	2009-04-24	11590	11590	47
Chris Roger	2014-12-19	5	3	0
ChrisGraham	2015-04-30	154	151	0
ChrisZontine	2013-11-26	31	10	0
ChrisZontine	2014-05-15	2	1	0
ChrisZontine	2014-09-03	1	0	0
ChrisZontine	2014-09-04	1	0	0
ChrisZontine	2014-09-05	21	0	0
ChrisZontine	2014-09-08	59	2	0
ChrisZontine	2014-09-09	16	0	0
ChrisZontine	2014-09-10	33	0	0
ChrisZontine	2014-10-03	16	0	0
ChrisZontine	2015-01-19	19	10	0
ChristineH	2010-02-04	229	202	0
ChuckSells	2010-02-02	1	1	0
ChuckSells	2011-05-09	11	9	0
CiaránMooney	2009-03-28	433	6	0
CiaránMooney	2009-03-29	1004	51	0
CiaránMooney	2009-03-30	2212	142	0
Cicerone	2010-03-29	193	192	0
Cicerone	2010-04-04	1	0	0
Claudius Henrichs	2015-04-12	1	0	0
Claudius Henrichs	2015-04-18	6	2	0
CloCkWeRX	2014-05-31	1	1	0
CloCkWeRX	2014-06-01	3	3	0
CloCkWeRX	2015-08-24	98	97	0
CloCkWeRX	2016-01-04	52	48	0
CloCkWeRX	2016-01-06	2	2	0
Clorox	2012-10-05	47	36	0
Cobra	2012-03-27	12	0	0
CodeforFTL	2014-12-11	9	9	0
Codent	2012-05-20	1	0	0
Concord Hospitality	2013-02-18	1	1	0
Concord Hospitality	2013-02-27	1	1	0
Constable	2014-04-17	5	0	0
CrossFit Lighthouse Point	2014-05-14	5	5	0
CrossFit Oakland Park	2014-10-06	5	3	0
CubanComet	2015-06-09	5	3	0
CubanComet	2015-06-11	3	3	0
Cucchietti	2015-05-08	6	6	0
Czmartin	2010-01-06	1	0	0
DCFL	2011-06-26	2	1	0
DENISEWILL2	2015-07-01	1	1	0
DOMICH	2009-07-27	2	0	0
DPTRob	2013-05-16	38	38	0
DPTRob	2013-05-24	116	113	0
DSaeger	2013-05-08	8	8	0
DSaeger	2014-09-08	126	118	0
DSaeger	2015-02-26	2	1	0
DW2515	2015-05-05	6	6	0
DW2515	2015-05-08	59	55	0
DW2515	2015-06-25	21	21	0
DW2515	2015-07-21	176	137	0
DW2515	2015-07-22	45	40	0
DaZeha	2013-12-30	19	19	0
Dafmaster	2013-11-29	1	0	0
Dami_Tn	2014-05-21	298	152	0
Dami_Tn	2014-06-25	101	13	0
Dami_Tn	2014-10-27	15	0	0
Dami_Tn	2015-06-25	198	125	0
DanHomerick	2014-08-20	140	131	0
DandyS	2013-08-22	14	14	0
DangNgu	2015-08-17	9	9	0
DangNgu	2015-08-18	19	19	0
Daniel Barna	2012-05-24	1	1	0
Daniel P Franco	2012-07-24	1	1	0
Daniel P Franco	2012-10-06	2	1	0
Darrell	2012-11-26	1	0	0
DaveHansenTiger	2007-11-02	94502	94502	1195
DaveHansenTiger	2007-11-05	181764	181764	3998
DaveHansenTiger	2007-11-06	151385	151385	200
DaveHansenTiger	2009-08-03	1	0	0
David Hey	2011-04-25	79	78	0
David Peters	2012-09-12	7	7	0
David Peters	2012-09-13	23	12	0
David Peters	2012-10-07	17	8	0
DavidF	2012-09-06	1	1	0
DavidQT69	2011-09-23	2	2	0
DavidYJackson	2014-09-18	6	1	0
Day_Usa_Inc	2014-04-07	1	1	0
Degerlocher	2014-11-14	1	0	0
DennisL	2012-09-18	21	21	0
DennisL	2012-09-20	4	3	0
DennisL	2012-11-06	1	0	0
DennisL	2012-11-21	1	0	0
DennisL	2012-12-13	9	8	0
DennisL	2012-12-18	2	0	0
Derick Rethans	2012-09-17	71	68	0
Derick Rethans	2012-09-18	248	234	0
Derick Rethans	2012-11-22	2	1	0
Derick Rethans	2013-02-03	784	768	0
Dero Bike Racks	2015-09-09	3	3	0
Dero Bike Racks	2016-01-12	1	0	0
Desmonstuh	2014-01-15	293	291	0
Devin_fay	2015-06-09	24	24	0
DialH	2008-07-02	31	11	0
Dieter Schmeer	2011-05-12	2	0	0
Dimitri_Junker	2014-06-14	1	1	0
Dimitri_Junker	2014-06-15	8	7	0
Dio	2010-12-03	24	19	0
Discreetppines	2015-05-26	64	64	0
Discreetppines	2015-05-30	4	4	0
DivnIvan	2013-01-01	2	2	0
Don Incognito	2009-11-18	305	188	0
Don Incognito	2009-11-27	181	10	0
Don Incognito	2009-12-02	9	6	0
Don Incognito	2009-12-04	118	1	0
DoubleA	2013-03-20	1	0	0
DoubleA	2013-09-05	127	96	0
DoubleA	2013-11-07	1	0	0
DoubleA	2013-11-25	1	0	0
DoubleA	2013-12-02	25	7	0
DoubleA	2014-01-03	1	0	0
DoubleA	2014-01-18	4	3	0
Douglas Peterson	2014-05-03	12	10	0
Dr Kludge	2015-05-31	35	20	0
Dr Kludge	2015-06-02	10	6	0
Dr Kludge	2015-06-04	171	166	0
Dr Kludge	2015-06-15	30	22	0
Dr Kludge	2015-07-20	1	0	0
DrSeuthberg	2012-07-30	122	84	0
Dublduce	2010-12-31	1	1	0
DustWin	2014-11-05	27	27	0
ELadner	2009-05-12	92	12	0
ELadner	2009-05-13	57	5	0
EVonFriedland	2014-03-31	9	4	0
Echo Echo	2014-04-26	3	3	0
Echo Echo	2014-05-03	237	237	0
Ecig Shop Miami	2013-11-09	1	1	0
EdHillsman	2010-12-16	16	16	0
EdHillsman	2012-04-14	89	49	4
EdHillsman	2012-04-15	1	1	0
EdS	2011-03-08	1	0	0
Edward	2009-09-29	388	30	0
Edward	2014-08-10	24	24	0
Electric Avenue - Camera and Electronics Superstore	2015-02-18	2	1	0
ElizabethSpergazed	2013-02-26	1	1	0
Emma Gangbar	2015-11-05	3	3	0
Emudryj	2014-01-15	7	0	0
Emudryj	2014-01-16	3	0	0
Enna Griffen	2014-06-26	2	2	0
Eraque22	2015-09-15	204	32	0
Eric Gamess	2012-05-22	8	6	0
Eric Gamess	2013-06-11	52	49	0
Eric Godwin	2014-07-15	1	0	0
Eric Godwin	2014-07-22	1	0	0
ErnieAtLYD	2014-07-30	11	11	0
ErnieAtLYD	2014-07-31	54	54	0
ErnieAtLYD	2014-08-04	61	59	0
ErnieAtLYD	2014-08-11	6	6	0
ErnieAtLYD	2014-08-13	50	49	0
ErnieAtLYD	2014-08-17	45	45	0
ErnieAtLYD	2014-08-25	32	32	0
ErnieAtLYD	2014-09-30	25	25	0
ErnieAtLYD	2014-10-24	119	119	0
ErnieAtLYD	2014-10-25	26	26	0
ErnieAtLYD	2014-10-29	72	72	0
ErnieAtLYD	2014-10-30	135	135	0
ErnieAtLYD	2014-11-05	119	119	0
ErnieAtLYD	2014-11-06	68	68	0
ErnieAtLYD	2014-11-08	31	31	0
ErnieAtLYD	2014-11-10	58	58	0
ErnieAtLYD	2014-11-11	112	100	0
ErnieAtLYD	2014-11-20	33	33	0
ErnieAtLYD	2014-11-22	173	147	0
ErnieAtLYD	2014-11-23	77	73	0
ErnieAtLYD	2014-11-24	22	22	0
ErnieAtLYD	2014-11-25	62	61	0
ErnieAtLYD	2014-11-26	11	9	0
ErnieAtLYD	2014-11-28	235	152	0
ErnieAtLYD	2014-11-30	198	182	0
ErnieAtLYD	2014-12-04	384	330	0
ErnieAtLYD	2014-12-05	398	321	0
ErnieAtLYD	2014-12-07	20	20	0
ErnieAtLYD	2014-12-08	112	84	0
ErnieAtLYD	2014-12-09	358	316	0
ErnieAtLYD	2014-12-10	2	1	0
ErnieAtLYD	2014-12-11	87	83	0
ErnieAtLYD	2014-12-12	24	19	0
ErnieAtLYD	2014-12-14	234	200	0
ErnieAtLYD	2014-12-18	31	31	0
ErnieAtLYD	2014-12-19	87	87	0
ErnieAtLYD	2014-12-20	12	12	0
ErnieAtLYD	2014-12-21	116	116	0
ErnieAtLYD	2015-03-09	51	51	0
ErnieAtLYD	2015-03-16	10	10	0
ErnieAtLYD	2015-03-24	26	26	0
ErnieAtLYD	2015-04-27	4	4	0
Escobar Solutions	2014-05-15	1	1	0
Etherg8	2009-12-14	63	48	2
Etherg8	2010-07-24	871	508	0
Evelouse Etienne	2014-04-01	26	26	0
Evens Louis	2013-07-30	54	42	0
Evens Louis	2013-07-31	12	12	0
Extension King Hair Salon & Shop	2014-01-19	3	2	0
Extrabrandt	2015-03-16	19	19	0
Extrabrandt	2015-03-17	23	19	0
Extrabrandt	2015-03-19	15	6	0
Extrabrandt	2015-04-13	1	1	0
Extrabrandt	2015-06-29	12	12	0
Eye Cache	2012-02-23	14	0	0
FCM1	2012-02-07	18	2	0
Fabi2	2012-11-23	3	0	0
Fabio W Silva	2015-04-01	2	1	0
Fafaster	2013-11-10	2	1	0
FahRadler	2011-12-07	615	606	0
FahRadler	2011-12-08	136	126	0
Feaarrd	2014-06-11	33	22	0
Feilipu	2013-04-19	1	0	0
FidelCastro	2011-01-24	1	1	0
Figment	2016-01-12	1	1	0
Firefishy	2011-10-16	319	314	0
FixAppleNow	2014-07-18	25	0	0
Fixit Phone Repair	2014-10-25	1	1	0
Florida Screen Company	2014-03-25	3	1	0
FootandAnkle	2015-05-01	1	0	0
ForCom5	2015-12-27	13	12	0
Fort Lauderdale Remax	2013-12-18	1	0	0
Fox61	2014-05-19	1	0	0
Francisco E Perez	2014-12-29	5	5	0
FrankelRealty	2013-09-24	1	1	0
FredF	2010-06-02	138	106	0
FredF	2010-06-03	27	27	0
FredF	2010-06-05	1306	1149	0
FredF	2010-06-06	188	109	0
FredF	2010-06-07	119	116	0
FredF	2010-06-08	1469	1303	0
FredF	2010-06-09	11	1	0
FredF	2010-06-13	13	13	0
FredF	2010-06-14	154	154	0
FredF	2010-06-18	66	66	0
FredF	2010-06-20	50	0	0
FredF	2010-06-21	8	4	0
FredF	2010-06-22	61	0	0
FredF	2010-07-31	115	53	0
FredF	2010-08-01	139	24	0
FredF	2010-08-04	19	0	0
FredF	2010-08-06	210	4	0
FredF	2010-08-15	242	242	0
FredF	2010-09-11	77	77	0
FredF	2010-09-25	72	69	0
FredF	2011-01-02	115	115	0
FredF	2011-01-09	27	24	0
FredF	2011-01-22	85	69	0
FredF	2011-01-23	377	316	0
FredF	2011-01-24	43	42	0
FredF	2011-01-28	73	73	0
FredF	2011-01-29	373	353	0
FredF	2011-01-30	25	10	0
FredF	2012-02-26	4	4	0
FredF	2012-03-03	5	1	0
FredF	2012-03-23	11	9	0
FredF	2013-03-08	95	61	0
FredF	2013-03-23	59	58	0
FredF	2013-03-26	16	16	0
FredF	2013-03-27	1	0	0
FredF	2013-03-28	123	121	0
FredF	2013-03-29	1	1	0
FredF	2013-03-30	180	172	0
FredF	2013-04-14	73	70	0
FredF	2013-04-20	2	1	0
FredF	2013-10-13	74	27	0
FredF	2014-08-25	92	92	0
FredF	2014-08-26	68	68	0
FredF	2015-08-25	121	107	0
Freddy123	2010-07-15	29	29	0
Fredoue	2014-01-22	14	14	0
Free_Jan	2012-11-04	198	192	0
Free_Jan	2012-11-08	57	57	0
Free_Jan	2012-11-19	102	87	0
FriscoBowie	2014-02-11	4	4	0
FvGordon	2015-11-25	1	0	0
GRSnider	2010-02-05	27	27	0
GRSnider	2011-06-06	1	0	0
Gagravarr	2007-03-18	2	2	2
Gary McVay	2014-12-16	5	1	0
Geniva	2012-11-27	2	1	0
Geogast	2009-12-17	779	0	0
Geogast	2010-03-02	1	0	0
Geogast	2012-11-23	2	0	0
Geospizinae	2014-04-02	7	5	0
Gerard_De_Kremer	2010-08-11	4	4	0
GerdP	2015-09-21	26	21	0
GerdP	2015-10-19	1	0	0
GerdP	2015-12-12	2	0	0
Gigafixit	2015-09-16	1	1	0
Glassman	2012-10-29	3	2	0
Glassman	2012-11-02	2	0	0
Gone	2009-08-08	2	0	0
Gone	2009-10-13	10	4	0
Gone	2009-11-01	2	0	0
Gormnt	2009-03-22	19	14	0
Gormnt	2009-03-27	132	0	0
Gormnt	2009-03-29	73	0	0
Green Group Studio	2013-08-20	1	1	0
Gregory Williams	2015-11-28	97	97	0
Grillo	2013-10-14	1	0	0
Gums	2015-06-29	42	42	0
Gustavo E Fluxha	2013-11-18	2	2	0
Gutsycat	2015-10-22	1	0	0
Gutsycat	2015-10-23	1	0	0
Gutsycat	2015-10-24	1	0	0
Gutsycat	2015-10-31	12	0	0
Gutsycat	2015-11-01	4	0	0
Gutsycat	2015-11-02	1	0	0
HHCacher	2012-09-26	1	0	0
HHCacher	2013-02-15	1	0	0
HHSVENSEN	2015-04-08	4	1	0
HHilton	2015-03-13	11	11	0
Hagman	2013-05-19	1	1	0
Hami	2011-12-03	50	50	0
Hami	2011-12-13	159	159	0
Hami	2011-12-31	881	880	0
HansKlemm	2012-03-16	6	4	0
Harry Wood	2011-10-17	4	4	0
Hasan Diwan	2013-05-07	1	1	0
HattoriHanzo	2012-12-01	845	844	0
HattoriHanzo	2012-12-02	2937	2934	0
HattoriHanzo	2012-12-03	682	682	0
Heinz_V	2010-03-22	4	4	0
Helder	2009-09-30	327	46	0
Helder	2009-10-09	171	154	0
Helder	2009-10-16	953	722	0
Helder	2009-10-29	677	373	0
Helder	2009-11-02	12	12	0
Helder	2009-11-04	223	5	0
Helder	2009-11-05	429	250	0
Helder	2009-11-06	293	214	0
Helder	2009-11-11	563	514	0
Helder	2009-11-12	613	279	0
Helder	2009-11-13	12	12	0
Helder	2009-11-16	34	34	0
Helder	2009-11-19	202	143	0
Helder	2009-11-21	764	706	0
Helder	2009-11-30	474	0	0
Helix Dragon	2011-04-30	113	90	0
Helix Dragon	2011-05-13	43	2	0
Helix Dragon	2011-05-14	91	66	0
Helix Dragon	2011-05-16	113	107	0
Helix Dragon	2011-05-17	274	239	0
Helix Dragon	2011-05-18	86	74	0
Helix Dragon	2011-05-19	9	9	0
Helix Dragon	2011-05-21	347	276	1
Helix Dragon	2011-05-25	9	6	0
Helix Dragon	2011-05-28	39	26	0
Helix Dragon	2011-05-29	361	321	0
Helix Dragon	2011-05-30	4	4	0
Helix Dragon	2011-06-21	100	85	0
Helix Dragon	2011-06-22	2	2	0
HelpOSM	2015-10-16	14	13	0
Henn_05	2015-02-28	12	12	0
Heptazane	2010-07-06	38	36	0
Heptazane	2010-07-09	373	290	8
Heptazane	2010-07-10	160	148	0
Heptazane	2010-07-12	160	156	0
Heptazane	2010-07-13	85	83	0
Heptazane	2010-07-15	152	53	4
Heptazane	2010-07-17	187	131	1
Heptazane	2011-12-29	1	1	0
Heptazane	2015-03-05	115	112	0
Hernandomap	2015-01-24	12	7	0
Hjart	2014-03-22	32	5	0
Hjart	2014-03-25	8	0	0
HokiePilot	2010-11-08	4318	4179	0
HokiePilot	2013-01-10	2272	2164	3
HokiePilot	2013-01-11	376	292	0
HokiePilot	2013-10-19	201	201	1
HokiePilot	2013-10-20	84	56	1
HolgerJeromin	2011-12-28	1	0	0
HolgerJeromin	2013-10-21	3	0	0
HolgerJeromin	2014-04-04	33	33	0
Hollermyway	2014-08-05	51	36	0
HostedDinner	2012-11-24	5309	4140	0
HostedDinner	2012-11-25	918	796	1
HotelPORT	2015-11-04	2	2	0
Hoylen Sue	2012-01-02	41	40	0
Hoylen Sue	2012-01-03	60	60	0
Hoylen Sue	2012-01-04	55	32	0
Hrishikesh Joshi	2010-12-06	5	5	2
IknowJoseph	2010-01-10	584	581	0
IknowJoseph	2010-01-28	191	154	0
IngoWichmann	2011-01-27	1	1	0
InjuryFloridaLawyer	2015-11-03	1	1	0
InsertUser	2012-11-14	419	419	0
InsertUser	2012-11-15	358	348	0
InsertUser	2015-10-10	341	338	0
InsertUser	2015-11-14	53	45	1
InvesTeam Realty	2014-11-25	3	2	0
Iowa Kid	2015-03-25	19	0	0
Iowa Kid	2015-05-12	19	6	0
