user_name	date	count	v1count	blankcount
-=alexl=-	2009-03-17	1	0	0
-=alexl=-	2012-03-02	54	11	0
-=sAm=-	2010-12-09	1	1	0
123RaZoR321	2010-06-16	100	33	0
123RaZoR321	2010-08-28	1	0	0
123RaZoR321	2011-08-05	1	0	0
123RaZoR321	2011-08-12	2	0	0
123RaZoR321	2011-08-20	4	2	0
123RaZoR321	2012-04-06	137	76	0
1ak	2011-10-12	1	1	0
40°	2010-07-30	1	0	0
40°	2010-08-06	1	0	0
40°	2011-06-09	8	8	0
40°	2011-08-21	2	2	0
42429	2011-11-24	1	0	0
4elkash	2010-11-06	17	9	0
715371	2013-10-15	1	0	0
8eter	2012-01-19	1	1	0
::::	2014-11-02	2	1	0
::::	2014-11-10	20	20	0
AKQJTs	2012-05-03	40	24	0
AKQJTs	2012-05-04	65	27	0
AKQJTs	2012-05-05	91	45	0
AKQJTs	2012-05-06	1002	927	0
AKQJTs	2012-05-10	6	4	0
AKQJTs	2012-05-11	1	1	0
AKQJTs	2012-06-24	3	1	0
AKQJTs	2012-07-10	2	2	0
AMDmi3	2014-03-19	1	0	0
AMRACK	2014-09-15	1	1	0
AQUARIUS	2011-07-01	3	2	0
AQUARIUS	2011-07-04	24	3	0
ARTAPRO	2011-03-09	2	1	0
Aaatraveller	2014-06-17	1	1	0
Acorn	2012-06-26	1	1	0
Active	2011-04-07	2	1	0
Active	2011-05-05	5	1	0
Adormo	2013-12-18	1	1	0
AexBTC	2009-09-07	14	4	0
AexBTC	2009-09-08	134	110	0
AexBTC	2009-09-09	9	8	0
AexBTC	2010-08-23	4	4	0
AexBTC	2013-08-05	35	35	0
Akitak	2013-02-27	2	1	0
Aleh777	2014-02-07	2	1	0
Alejo Hladkij	2014-03-21	3	0	0
Aleks_by	2014-04-05	25	22	0
Aleks_by	2014-04-11	45	33	0
Aleks_by	2014-05-31	55	42	0
Aleksey Smolsky	2011-10-15	1	1	0
Alenin_Andrew	2011-10-19	1	1	0
Alenin_Andrew	2011-10-20	3	2	0
Alenin_Andrew	2011-10-21	1	1	0
Alenin_Andrew	2011-10-22	1	1	0
Alenin_Andrew	2012-11-28	1	0	0
Alessss	2011-10-22	3	2	0
Alessss	2012-02-19	14	14	0
Alessss	2012-02-20	14	13	0
Alessss	2012-10-29	38	17	0
Alessss	2012-12-02	68	57	0
Alessss	2012-12-09	94	94	0
Alessss	2013-01-05	46	46	0
Alessss	2013-01-23	14	10	0
Alessss	2013-01-29	4	0	0
Alessss	2013-02-08	4	4	0
Alessss	2013-04-17	1	0	0
Alessss	2013-06-23	1	0	0
Alessss	2013-11-11	5	5	0
Alessss	2013-11-16	20	13	0
Alessss	2013-11-17	77	68	0
Alessss	2013-11-20	30	21	0
Alessss	2013-11-23	2	0	0
Alessss	2013-12-01	4	4	0
Alessss	2013-12-11	1	0	0
Alessss	2013-12-24	107	85	0
Alessss	2014-01-07	2	0	0
Alessss	2014-02-03	10	8	0
Alessss	2014-02-16	38	38	0
Alex Frost	2011-11-04	1	0	0
Alex Kaigorodov	2014-09-24	3	1	0
Alex Lapikov	2011-09-13	1	0	0
Alex Lapikov	2012-03-14	1	1	0
Alex Snitko	2011-05-25	6	6	0
Alex Snitko	2011-05-26	4	4	0
Alex Snitko	2011-08-04	3	0	0
Alex Snitko	2011-08-12	8	8	0
Alex Snitko	2012-01-20	8	8	0
Alex-smog	2010-11-30	58	42	0
Alex-smog	2010-12-01	59	40	0
Alex-smog	2010-12-02	189	153	0
Alex-smog	2010-12-03	234	215	0
Alex-smog	2010-12-04	340	203	0
Alex555	2008-12-04	3	0	0
AlexBreems	2014-03-30	2	0	0
AlexYar	2014-12-07	2	2	0
AlexZolotarev	2011-09-02	7	5	0
AlexZolotarev	2011-10-26	3	3	0
AlexZolotarev	2011-12-10	1	1	0
AlexZolotarev	2011-12-17	1	0	0
AlexZolotarev	2011-12-21	1	0	0
AlexZolotarev	2011-12-23	1	1	0
AlexZolotarev	2012-11-14	1	1	0
AlexZolotarev	2013-04-21	1	0	0
AlexZolotarev	2013-04-27	2	1	0
AlexZolotarev	2013-12-09	1	1	0
AlexZolotarev	2013-12-25	1	0	0
AlexZolotarev	2014-05-26	2	2	0
Alex_Sk	2014-04-12	7	7	0
Alex_Sk	2014-04-14	13	13	0
Alex_blr	2014-01-13	56	50	0
Alex_s72	2012-11-15	3	2	0
Alex_s72	2012-11-20	3	0	0
Alex_s72	2013-10-22	11	11	0
Alex_s72	2013-11-15	1	0	0
Alexaaz	2011-08-02	10	4	0
Alexander Leschinsky	2007-11-07	2	0	0
Alexandr Pavlovich	2010-11-02	1	1	0
Alexandra Borisova	2015-01-02	20	19	0
Alexandra Borisova	2015-01-04	58	49	0
AlexeySi	2008-10-12	16	16	0
AlexeySi	2008-10-19	2873	2873	0
AlexeySi	2008-10-21	167	167	0
AlexeySi	2008-10-23	7	0	0
AlexeySi	2008-11-05	25	1	0
AlexeySi	2009-07-23	1	0	0
AlexeySi	2009-08-27	224	220	0
AlexeySi	2009-08-28	5	5	0
AlexeySi	2011-03-08	117	25	0
Alexey_ND	2011-09-01	213	199	0
Alexey_ND	2011-09-05	68	63	0
Alexey_ND	2011-09-06	134	74	0
Alexey_ND	2011-09-07	80	37	0
Alexey_ND	2011-09-08	254	198	0
Alexey_ND	2011-09-14	102	75	0
Alexey_ND	2011-09-22	2	0	0
Alexey_ND	2011-09-26	483	471	0
Alexey_ND	2011-09-29	49	34	0
Alexey_ND	2011-10-07	214	186	0
Alexey_ND	2011-10-11	11	9	0
Alexey_ND	2011-11-03	2	2	0
Alexey_ND	2011-11-16	61	44	0
Alexey_ND	2011-11-18	146	91	0
Alexey_ND	2011-11-21	28	7	0
