user_name	date	count	v1count	blankcount
1rice	2013-06-25	4	4	0
360 Media	2013-11-25	5	1	0
3VSTORE	2012-01-18	3	2	0
42429	2012-06-17	597	542	0
42429	2012-06-18	13	0	0
42429	2012-06-19	1377	1266	14
42429	2012-06-21	1	0	0
42429	2012-07-09	173	156	1
42429	2012-07-18	26	12	0
42429	2012-07-20	73	45	0
42429	2014-06-22	26	23	0
42429	2014-06-23	4	0	0
42429	2014-11-25	170	23	0
42429	2014-12-09	36	14	0
450qc	2012-07-21	7	5	0
71_FIL	2014-01-16	2	0	0
7503146	2014-09-11	1	1	0
7vies	2013-09-23	1	0	0
A & M Services	2013-11-19	2	1	0
A G	2012-09-05	56	56	0
ALCE Samuel Paul	2014-05-24	1	1	0
Abdesed	2011-07-06	4	1	0
Abdesed	2011-07-12	3	2	0
AbeleDesign	2011-02-09	1	1	0
Adam Martin	2014-11-25	202	73	0
Adam Martin	2014-11-26	431	119	0
Adam Martin	2014-11-27	249	80	0
Adam Martin	2014-12-01	228	109	0
Adam Martin	2014-12-02	176	55	0
Adam Martin	2014-12-03	124	54	0
Adam Martin	2014-12-04	130	87	0
Adam Martin	2014-12-05	248	74	0
Adam Martin	2014-12-08	81	6	0
Adam Martin	2014-12-09	272	75	0
Adam Martin	2014-12-10	693	261	0
Adam Martin	2014-12-11	776	297	0
Adam Martin	2014-12-12	354	113	0
Adam Martin	2014-12-14	202	42	0
Adam Martin	2014-12-15	446	129	0
Adam Martin	2014-12-16	187	33	0
Adam Martin	2014-12-17	624	379	0
Adam Martin	2014-12-18	250	111	0
Adam Martin	2014-12-19	191	36	0
Adam Martin	2014-12-22	9	1	0
Adam Martin	2014-12-23	44	15	0
Adam Martin	2014-12-24	94	14	0
Adam Martin	2014-12-25	16	4	0
Adam Martin	2014-12-29	443	63	0
Adam Martin	2014-12-30	128	38	0
Adam Martin	2015-01-01	3	0	0
Adam Martin	2015-01-05	384	93	0
Adam Martin	2015-01-06	25	2	0
Adamm	2007-09-25	2	2	1
Adamm	2007-09-26	126	126	60
Adrian_ca	2008-11-02	35	0	0
Adrien_L	2015-01-10	4	2	0
Adéquation	2013-06-02	1	1	0
Aikawa Sushi	2014-06-11	1	1	0
Alain Dionne	2011-07-27	28	27	0
Alain512	2010-07-21	22	17	0
Alain512	2010-07-24	34	28	0
Alain512	2010-08-16	27	23	0
Alain512	2010-08-17	26	11	0
Alain512	2010-08-18	35	35	0
Alain512	2010-08-20	1	0	0
Alain512	2010-08-24	7	7	0
Alain512	2010-08-25	7	7	0
Alain512	2010-09-17	1	0	0
Alain512	2011-08-14	1	1	0
Alain512	2011-08-29	2	1	0
Alain512	2011-08-30	184	178	0
Alain512	2011-08-31	5	5	0
Alain512	2011-09-01	8	7	0
Alain512	2011-09-06	94	87	0
Alain512	2011-09-07	56	47	0
Alain512	2011-09-08	3	2	0
Alain512	2011-09-09	11	9	0
Alain512	2011-09-10	1	1	0
Alain512	2011-09-12	4	4	0
Alain512	2011-09-13	25	25	4
Alain512	2011-09-14	12	12	0
Alain512	2011-09-15	32	32	3
Alain512	2011-09-16	30	29	1
Alain512	2011-09-17	64	64	0
Alain512	2011-09-19	19	19	0
Alain512	2011-09-20	32	31	0
Alain512	2011-09-21	4	0	0
Alain512	2011-09-22	89	88	0
Alain512	2011-09-23	6	0	0
Alain512	2011-09-25	8	8	0
Alain512	2011-09-27	1	0	0
Alain512	2011-09-28	17	15	0
Alain512	2011-09-29	28	27	0
