user_name	date	count	v1count	blankcount
NULL	2007-09-22	1	1	0
!Андрей!	2013-10-24	4	0	0
#daf	2014-02-11	3	1	0
*Quasar*	2013-12-10	2	0	0
- Meellaira Ahr -	2011-06-29	3	3	0
- Meellaira Ahr -	2012-04-19	20	10	0
-=AreKs=-	2013-05-15	6	6	0
-=dk=-	2009-07-30	206	204	0
-=dk=-	2009-07-31	373	339	0
-=dk=-	2009-08-04	162	93	0
-James-	2014-09-13	20	19	0
-Phoenix	2010-07-04	14	2	0
-Phoenix	2012-12-10	6	4	0
-XJ-	2011-09-11	1	0	0
-XJ-	2011-12-30	5	4	0
-error	2014-03-27	1	1	0
0n1y	2014-10-27	3	3	0
0ver	2010-05-18	40	29	0
0ver	2010-05-20	2	0	0
0x2102	2012-03-06	12	7	0
0x2102	2012-09-21	17	17	0
0x2102	2012-09-23	1	0	0
0x2102	2012-09-30	111	80	0
0x2102	2012-10-07	2	2	0
0x2102	2012-12-19	5	5	0
0x2102	2012-12-21	3	1	0
0x2102	2013-01-01	20	17	0
0x2102	2013-04-23	16	15	0
0x2102	2013-06-17	4	3	0
0x2102	2013-06-18	10	4	0
0x2102	2013-06-19	8	0	0
0x2102	2013-06-20	23	22	0
0x2102	2013-06-23	48	45	0
0x2102	2013-06-24	69	52	0
0x2102	2013-06-25	12	5	0
0x2102	2013-06-26	44	25	0
0x2102	2013-06-27	5	5	0
0x2102	2013-06-28	13	0	0
0x2102	2013-07-02	16	12	0
0x2102	2013-07-03	56	36	0
0x2102	2013-07-04	51	35	0
0x2102	2013-07-05	4	1	0
0x2102	2013-07-11	3	3	0
0x2102	2013-07-12	5	3	0
0x2102	2013-07-19	32	1	0
0x2102	2013-07-21	2	1	0
0x2102	2013-07-23	5	2	0
0x2102	2013-07-25	8	6	0
0x2102	2013-07-26	29	26	0
0x2102	2013-07-27	123	47	0
0x2102	2013-07-28	3	3	0
0x2102	2013-07-30	112	67	0
0x2102	2013-07-31	20	11	0
0x2102	2013-08-05	1	1	0
0x2102	2013-08-12	6	5	0
0x2102	2013-08-13	28	12	0
