user_name	date	count	v1count	blankcount
0x006A	2012-01-12	10	8	0
0x006A	2012-01-27	3	2	0
6simplex	2014-09-05	10	4	0
6simplex	2014-09-09	1	0	0
7erj	2014-10-04	1	1	0
AJAYFULWARIYA	2014-11-25	1	1	0
AJUPS	2014-02-24	19	18	0
AJayAWhy	2013-02-08	110	83	0
AJayAWhy	2013-02-20	35	33	0
AMAN VISHWAKARMA	2014-11-26	16	9	0
AND	2008-02-04	27123	27123	260
Aadesh	2013-11-28	8	8	0
Aadesh	2013-11-29	16	8	0
Aadesh	2013-12-26	8	8	0
Aadesh	2013-12-27	174	174	0
Aadesh	2013-12-30	432	429	0
Aadesh	2013-12-31	409	409	0
Aadesh	2014-01-06	542	538	0
Aadesh	2014-01-07	914	910	0
Aadesh	2014-01-18	338	337	0
Aadesh	2014-01-19	1141	1141	0
Aakanksha	2014-12-02	6	6	0
Aamod	2008-03-02	30	0	0
Aamod	2011-06-04	1	0	0
Aamod	2011-06-20	36	14	0
Aamod	2011-06-21	7	6	0
Aarshiya khan	2014-11-25	7	6	0
Aasmaa Shaha	2014-06-26	12	12	0
Abhijeet97	2012-02-11	5	5	0
Abhijeet97	2012-02-12	10	2	0
Abhilash	2008-07-01	1	1	0
Abhinav Aggarwal	2012-04-06	5	5	0
Abhishek Nagrale	2010-04-13	61	50	0
Abhishek Nagrale	2010-04-14	22	22	0
Abhishek Nagrale	2010-04-23	62	52	0
AdyShake	2013-04-21	2	1	0
Adya	2011-07-06	9	8	0
Ajay Matharu	2013-05-08	1	1	0
Ajit Deshmukh	2012-07-12	14	13	0
Akhil_	2014-01-06	9	9	0
Aki_87	2013-05-14	46	40	0
Akshay Bhalerao	2014-11-25	34	30	0
Akshay Bhalerao	2014-11-26	7	7	0
Akshay Guleria	2015-01-03	32	28	0
Al3xThomas	2013-10-13	1	1	0
Al3xThomas	2013-12-06	1	1	0
Alex-7	2013-03-14	18	18	0
AlexandrosP	2011-04-08	12	12	0
AlexandrosP	2011-04-11	1	1	0
AlexandrosP	2011-04-12	4	4	0
Aliyashaikh	2014-11-25	15	11	0
Alok sharma	2009-09-27	1	1	0
Alpha Academy	2013-04-26	3	3	0
Amardeep sitafule	2014-12-01	3	3	0
Amaroussi	2014-04-20	108	93	0
Amaroussi	2014-04-21	264	188	0
Amaroussi	2014-06-04	34	29	0
Amaroussi	2014-06-09	23	17	0
Amaroussi	2014-06-10	166	148	0
Amaroussi	2014-06-13	10	4	0
Amaroussi	2014-11-09	108	91	0
Amit Salkar	2012-02-29	1	1	0
AmodDate	2011-04-15	1	1	0
Amoghs	2012-11-11	2	2	0
AmolBande	2014-05-15	25	24	0
Amruta	2011-07-06	105	47	0
Andre68	2011-12-20	15	0	0
Andre68	2014-04-14	1	1	0
Andreas Moeller	2010-01-17	324	92	0
Anil Maurya	2013-03-18	2	2	0
Anil Maurya	2014-03-18	1	1	0
Anirudh Shiyal	2011-07-06	32	16	0
Ankash	2013-11-15	10	10	0
Ankash	2014-12-28	4	4	0
Ankit Ajmera	2013-04-20	2	2	0
Ankush Savre	2011-11-07	7	5	0
Ankush Savre	2011-11-08	490	358	0
Ankush Savre	2011-11-09	810	565	0
Anonymoustan	2013-12-03	7	1	0
Anonymoustan	2013-12-09	3	1	0
Anool	2014-04-18	5	5	0
Anup Puranik	2008-08-25	336	116	4
Anupam	2010-10-19	1	1	0
Anushka731	2013-08-11	25	25	0
