user_name	date	count	v1count	blankcount
NULL	2007-10-24	21	0	0
NULL	2007-10-29	71	0	0
-HA-	2015-01-15	4	4	0
11_silver_11	2013-09-12	1	0	0
1234abcd	2012-03-18	1	1	0
1248	2010-02-19	52	0	0
1800getarugs	2014-12-18	1	1	0
1HealthPlz	2012-10-01	9	5	0
1HealthPlz	2012-10-03	3222	3206	0
1HealthPlz	2012-10-15	59	20	0
1HealthPlz	2012-10-16	70	70	0
1HealthPlz	2012-10-17	12	12	0
1HealthPlz	2012-10-19	28	28	0
1HealthPlz	2012-11-29	372	372	0
1HealthPlz	2012-12-03	2242	2242	0
1HealthPlz	2012-12-12	260	260	0
1architect	2011-08-02	86	75	0
203Marketing	2015-01-20	3	3	0
25or6to4	2009-09-11	2	1	0
25or6to4	2010-02-17	1	1	0
2600	2014-03-02	1	1	0
2dh3uif7y2s	2015-01-09	1	0	0
310emon	2014-03-17	4	1	0
3dw	2015-07-06	3	2	0
3yoda	2013-06-20	12	12	0
3yoda	2013-07-04	1079	1004	0
3yoda	2013-07-06	63	24	0
3yoda	2013-07-09	765	638	0
3yoda	2013-07-10	744	616	0
3yoda	2013-07-13	424	339	0
3yoda	2013-07-15	2298	1802	0
3yoda	2013-07-16	306	261	0
3yoda	2013-07-28	157	121	0
3yoda	2013-07-29	1123	511	0
3yoda	2013-07-30	74	65	0
3yoda	2013-08-01	1772	869	0
3yoda	2013-08-02	754	497	0
3yoda	2013-08-03	1729	1446	0
3yoda	2013-08-04	2934	2666	0
3yoda	2013-08-05	745	442	0
3yoda	2013-08-06	940	852	0
3yoda	2013-08-08	1466	1449	0
3yoda	2013-08-09	1471	1070	0
3yoda	2013-08-11	21	21	0
3yoda	2013-08-12	358	342	0
3yoda	2013-08-17	1422	1400	0
3yoda	2013-08-19	48	35	0
3yoda	2013-08-27	828	534	0
3yoda	2013-08-28	77	73	0
3yoda	2013-08-30	225	225	0
3yoda	2013-09-02	353	351	0
3yoda	2013-09-03	357	333	0
3yoda	2013-09-04	45	44	0
3yoda	2013-09-06	400	396	0
3yoda	2013-09-24	210	208	0
3yoda	2013-09-25	900	765	0
3yoda	2013-09-26	576	527	0
3yoda	2013-09-29	949	757	0
3yoda	2013-09-30	279	170	0
3yoda	2013-10-01	241	183	0
3yoda	2013-10-14	10	0	0
3yoda	2013-10-20	6	0	0
3yoda	2013-10-21	3	0	0
3yoda	2013-10-24	596	562	0
3yoda	2013-10-29	258	257	0
3yoda	2013-11-03	764	744	0
3yoda	2013-11-04	517	425	0
3yoda	2013-11-05	1456	1203	0
3yoda	2013-11-06	222	103	0
3yoda	2013-11-08	535	360	0
3yoda	2013-11-10	568	339	0
3yoda	2013-11-11	679	445	0
3yoda	2013-11-12	497	369	0
3yoda	2013-11-13	34	21	0
3yoda	2013-11-14	234	201	0
3yoda	2013-11-17	1334	1150	0
3yoda	2013-11-18	660	567	0
3yoda	2013-11-19	649	574	0
3yoda	2013-11-20	1057	967	0
3yoda	2013-11-23	20	19	0
3yoda	2013-11-25	72	72	0
3yoda	2013-12-01	271	230	0
3yoda	2013-12-05	32	29	0
3yoda	2013-12-08	86	35	0
3yoda	2013-12-09	945	660	0
3yoda	2013-12-10	446	356	0
3yoda	2013-12-11	593	433	13
3yoda	2013-12-12	62	47	0
3yoda	2013-12-23	52	42	0
3yoda	2013-12-25	369	176	0
3yoda	2013-12-27	143	84	0
3yoda	2013-12-28	253	133	0
3yoda	2013-12-30	1	1	0
3yoda	2014-01-04	1328	946	0
3yoda	2014-01-05	564	429	0
3yoda	2014-01-09	117	63	0
3yoda	2014-01-11	23	7	0
3yoda	2014-01-17	461	376	1
3yoda	2014-01-18	926	830	0
3yoda	2014-01-19	30	18	0
3yoda	2014-01-20	388	324	0
3yoda	2014-01-21	131	38	0
3yoda	2014-01-22	1401	981	0
3yoda	2014-01-23	521	442	0
3yoda	2014-01-27	110	71	0
3yoda	2014-01-29	1628	1349	0
3yoda	2014-01-30	277	241	0
3yoda	2014-01-31	367	325	0
3yoda	2014-02-01	239	148	0
3yoda	2014-02-02	2406	1631	0
3yoda	2014-02-03	2251	1797	0
3yoda	2014-02-08	280	220	0
3yoda	2014-02-10	471	210	0
3yoda	2014-02-11	1753	1295	0
3yoda	2014-02-12	1535	1181	0
3yoda	2014-02-13	1573	1200	0
3yoda	2014-02-14	957	566	0
3yoda	2014-02-15	2162	1750	0
3yoda	2014-02-16	597	533	0
3yoda	2014-02-17	2081	1787	0
3yoda	2014-02-18	837	678	0
3yoda	2014-02-19	776	588	0
3yoda	2014-02-20	334	322	0
3yoda	2014-02-21	811	666	0
3yoda	2014-02-22	304	196	0
3yoda	2014-02-23	1	0	0
3yoda	2014-03-01	5	5	0
3yoda	2014-03-02	312	201	0
3yoda	2014-03-12	68	63	0
3yoda	2014-03-13	68	47	0
3yoda	2014-03-22	41	41	0
3yoda	2014-03-23	1588	1346	0
3yoda	2014-03-24	1009	818	0
3yoda	2014-03-25	410	321	0
3yoda	2014-03-27	706	469	0
3yoda	2014-03-28	515	498	0
3yoda	2014-03-30	461	399	0
3yoda	2014-04-01	597	515	0
3yoda	2014-04-02	1137	843	0
3yoda	2014-04-03	335	283	0
3yoda	2014-04-05	660	556	0
3yoda	2014-04-06	1139	928	0
3yoda	2014-04-07	408	339	0
