user_name	date	count	v1count	blankcount
NULL	2007-02-07	16	16	8
NULL	2007-07-20	4	4	0
NULL	2007-08-10	5	5	0
NULL	2007-08-16	1	1	0
NULL	2007-12-26	1	0	0
NULL	2008-01-01	1	0	0
NULL	2008-07-06	2	0	0
NULL	2008-08-30	65	65	0
-Ced-	2012-10-15	55	47	0
-ed-	2009-02-07	136	33	0
-ed-	2009-02-14	126	96	0
-ed-	2009-02-15	249	190	0
-ed-	2009-02-22	293	169	0
-ed-	2009-02-23	222	207	0
-ed-	2009-02-24	26	16	0
-ed-	2009-02-27	16	2	0
-jha-	2008-04-21	93	79	1
-jha-	2008-05-06	314	302	2
-jha-	2008-05-07	875	738	5
-jha-	2008-05-08	58	2	0
-jha-	2008-05-09	36	32	0
-jha-	2008-07-27	148	132	0
-jha-	2008-11-09	517	17	0
-jha-	2009-06-05	3	3	0
00u	2014-09-04	3	3	0
0123456789	2009-02-07	1	0	0
0123456789	2009-02-23	30	0	0
0123456789	2010-01-03	8	5	0
0123456789	2010-02-18	3	3	0
0123456789	2010-03-02	4	0	0
024680	2014-09-30	155	0	0
03July	2013-03-14	3	1	0
03jpr	2012-09-02	4	2	0
0liver	2009-07-18	11	8	0
0liver	2010-12-04	25	23	0
0liver	2011-07-13	11	10	0
0liver	2012-06-14	38	28	0
0xx0	2014-04-08	2	1	0
0xx0	2014-04-16	2	1	0
0xx0	2014-08-15	32	7	0
0xx0	2014-08-16	1	1	0
0xx0	2014-08-18	1	0	0
0xx0	2014-08-21	1	0	0
0xx0	2014-09-04	1	0	0
100010038	2012-10-21	48	45	0
10zorglub	2012-05-30	4	4	0
13 digits	2010-04-05	1	1	0
16pide	2013-09-21	1	1	0
16pide	2013-09-22	4	3	0
16pide	2013-09-23	5	4	0
16pide	2013-09-24	58	0	0
16pide	2013-09-25	33	16	0
16pide	2013-09-26	1	1	0
16pide	2013-09-27	4	4	0
16pide	2013-09-28	45	45	0
16pide	2013-10-03	9	5	0
16pide	2013-10-05	53	51	0
16pide	2013-10-13	41	33	0
16pide	2013-10-20	5	5	0
16pide	2013-10-21	14	14	0
16pide	2013-11-01	8	8	0
16pide	2013-11-08	5	5	0
16pide	2013-11-09	3	2	0
16pide	2013-11-11	9	9	0
16pide	2013-11-12	5	3	0
16pide	2013-11-30	4	4	0
16pide	2013-12-01	2	2	0
16pide	2013-12-07	24	24	0
16pide	2013-12-14	4	4	0
16pide	2014-05-04	5	4	0
20100	2008-07-04	38	18	0
20100	2010-01-02	19	16	0
20100	2010-01-12	24	24	0
20100	2011-04-27	1	1	0
20100	2012-09-19	6	6	0
20100	2012-09-21	6	6	0
20100	2013-05-22	69	69	0
20_100	2010-12-13	6	6	0
22843346001	2013-04-17	58	41	0
22843346001	2013-04-18	250	156	0
232 U 1	2008-12-31	1154	128	0
232 U 1	2009-01-01	32	8	0
232 U 1	2009-01-02	116	93	0
232 U 1	2009-01-03	23	19	0
232 U 1	2009-01-04	88	31	0
232 U 1	2009-01-05	3226	260	0
232 U 1	2009-01-06	1040	152	0
232 U 1	2009-01-07	3595	263	0
232 U 1	2009-01-08	6316	302	0
232 U 1	2009-01-09	1158	81	0
232 U 1	2009-01-10	135	96	0
232 U 1	2009-01-11	233	147	0
232 U 1	2009-01-12	5375	418	0
232 U 1	2009-01-13	3483	793	2
232 U 1	2009-01-14	2953	323	0
232 U 1	2009-01-15	2446	352	0
232 U 1	2009-01-16	2965	243	0
232 U 1	2009-01-17	74	0	0
232 U 1	2009-01-18	102	13	0
232 U 1	2009-01-19	203	79	0
232 U 1	2009-01-20	78	69	0
232 U 1	2009-01-22	46	42	0
232 U 1	2009-01-23	119	100	0
232 U 1	2009-01-24	1614	425	0
232 U 1	2009-01-25	675	146	0
232 U 1	2009-01-26	25	9	0
232 U 1	2009-02-10	15	5	0
232 U 1	2009-07-29	185	110	0
232 U 1	2010-05-03	29	14	0
232 U 1	2010-05-04	27	21	0
232 U 1	2010-05-05	7	3	0
232 U 1	2010-05-06	106	69	0
232 U 1	2010-05-07	8	7	0
232 U 1	2010-05-08	46	25	0
232 U 1	2010-05-09	77	45	0
232 U 1	2010-05-10	231	79	0
232 U 1	2010-05-11	156	141	0
232 U 1	2010-05-12	8	0	0
232 U 1	2010-05-13	312	265	0
232 U 1	2010-05-14	139	126	0
232 U 1	2010-05-15	97	69	0
232 U 1	2010-05-16	2	2	0
232 U 1	2010-05-17	168	47	0
232 U 1	2010-05-18	9	1	0
232 U 1	2010-05-19	216	44	0
