user_name	date	count	v1count	blankcount
42429	2012-04-17	10	10	0
42429	2012-07-05	676	533	0
42429	2012-07-06	45	35	0
42429	2012-07-07	45	41	0
42429	2012-07-15	45	29	0
42429	2012-12-04	120	93	0
42429	2013-01-12	321	303	0
42429	2013-01-15	57	49	0
7503146	2014-09-11	26	17	0
AColgan	2014-05-28	5	5	0
AColgan	2014-07-18	7	4	0
ALeDonne	2013-11-26	2	1	0
Adam Martin	2013-11-24	4	0	0
Alain Duchesneau	2012-12-30	34	22	0
Alain Duchesneau	2013-01-02	2	0	0
Alain512	2011-10-27	7	7	0
Alain512	2011-11-10	7	7	1
Alexandre Boulanger	2013-09-26	16	13	0
Alexandre Boulanger	2013-10-01	234	234	0
Alexandre Boulanger	2013-10-02	39	39	0
Alexandre Boulanger	2013-10-04	101	98	0
Alexandre Boulanger	2013-10-08	97	75	0
Alexandre Boulanger	2013-10-10	204	180	0
Alexandre Boulanger	2013-10-25	161	122	0
Alistair	2006-09-28	18	18	12
Alistair	2006-09-29	38	38	14
Alouette955	2011-10-19	8	8	0
Alouette955	2012-09-24	13	13	0
Alouette955	2012-11-21	1	1	0
Alouette955	2013-03-24	2	2	0
Alouette955	2014-05-06	10	10	0
Amazed	2014-03-06	4	3	0
AmbiWeb	2012-09-16	2	0	0
AmiFritz	2014-02-02	20	0	0
Andmersal	2014-09-21	7	7	0
AndréDC	2014-04-25	11	8	0
AntAgna	2012-03-08	33	29	0
Antoine Beaupré	2012-01-05	1	1	0
Apuq	2014-03-02	44	26	0
ArianeBM	2014-07-03	7	5	0
ArianeBM	2014-07-04	4	2	0
AtomicJo	2013-03-10	346	288	0
AtomicJo	2013-03-11	81	75	0
AtomicJo	2013-03-12	7	4	0
AtomicJo	2013-03-16	28	25	0
AtomicJo	2013-03-29	3	0	0
AtomicJo	2013-07-09	16	5	0
BBO	2012-03-04	1	0	0
BIT2BLOC	2014-04-04	2	0	0
BIT2BLOC	2014-04-05	3	0	0
Bernux	2010-05-31	8	4	0
Bernux	2010-06-01	14	13	0
Bernux	2010-06-02	9	3	0
Bernux	2010-06-04	2	0	0
Bernux	2010-06-10	3	2	0
Bernux	2010-06-15	12	0	0
BestGoodGuy	2012-10-13	2	1	0
BiIbo	2009-02-03	2	0	0
BiIbo	2009-02-07	1	0	0
BiIbo	2009-02-13	15	0	0
BkQc	2009-12-17	11	11	0
BkQc	2014-06-30	2	2	0
BkQc	2014-07-14	8	7	0
Bleuet Mapper	2012-10-12	1	1	0
Bootprint	2013-02-24	4	1	0
BrunoRemy	2012-01-27	20	13	0
BrunoRemy	2012-01-28	54	21	0
BrunoRemy	2012-01-29	8	6	0
BrunoRemy	2012-01-30	65	64	0
BrunoRemy	2012-01-31	40	30	0
BrunoRemy	2012-02-01	75	65	0
