user_name	date	count	v1count	blankcount
2madera	2016-01-05	4	4	0
2madera	2016-01-06	110	84	0
2madera	2016-01-07	21	12	0
67879798	2012-01-06	21	18	0
@rjhordan	2013-01-19	4	4	0
@rjhordan	2013-01-21	21	21	0
@rjhordan	2013-01-26	6	6	0
@rjhordan	2013-04-17	3	3	0
@rjhordan	2014-11-05	2	2	0
Adad95	2010-10-01	6	5	0
Adad95	2012-06-25	9	4	0
Adormo	2013-12-12	1	0	0
Adormo	2013-12-17	3	3	0
Adrielle Saldanha	2015-05-02	11	11	0
Adson Saturnino	2015-07-14	3	3	0
Agente de Saúde	2015-10-23	8	8	0
AlMiel	2015-05-17	1	1	0
AlNo	2009-07-07	70	37	0
AlNo	2009-07-08	380	307	10
AlNo	2009-07-10	813	770	31
AlNo	2009-07-11	901	809	4
AlNo	2009-07-13	71	49	1
AlNo	2009-07-15	1907	1655	10
AlNo	2009-07-16	535	459	3
AlNo	2009-07-17	244	231	5
AlNo	2009-07-19	139	121	1
AlNo	2009-07-20	476	444	0
AlNo	2009-07-21	303	251	0
AlNo	2009-07-22	149	131	1
AlNo	2009-07-23	263	239	1
AlNo	2009-08-01	273	253	4
AlNo	2009-08-09	11	11	0
AlNo	2009-08-10	838	834	14
AlNo	2009-08-11	2262	1935	9
AlNo	2009-08-12	810	770	1
AlNo	2009-08-13	1292	1272	2
AlNo	2009-08-14	1	1	0
AlNo	2009-08-19	74	71	0
AlNo	2009-08-24	646	644	4
AlNo	2009-08-25	759	657	0
AlNo	2009-08-26	839	825	2
AlNo	2009-08-27	478	473	0
AlNo	2009-08-28	393	167	0
AlNo	2009-08-29	452	444	5
AlNo	2009-08-31	262	260	0
AlNo	2009-09-02	119	119	0
AlNo	2009-09-03	1028	929	5
AlNo	2009-09-04	1352	1261	5
AlNo	2009-09-06	920	865	11
AlNo	2009-09-07	63	59	0
AlNo	2009-09-09	1141	879	14
AlNo	2009-09-17	105	105	0
AlNo	2009-10-23	166	166	0
AlNo	2009-10-26	389	379	0
AlNo	2009-10-28	328	324	0
AlNo	2009-10-29	356	355	1
AlNo	2009-10-30	120	117	0
AlNo	2009-10-31	471	436	0
AlNo	2009-11-02	561	551	1
AlNo	2009-11-03	484	473	0
AlNo	2009-11-04	646	642	3
AlNo	2009-11-05	157	157	0
AlNo	2009-11-06	293	287	0
AlNo	2009-11-08	1	0	0
AlNo	2009-11-09	348	321	0
AlNo	2009-11-10	620	393	0
AlNo	2009-11-16	236	231	0
AlNo	2009-11-17	75	73	0
AlNo	2009-11-18	152	151	1
AlNo	2009-11-20	125	123	0
AlNo	2009-12-01	196	194	2
AlNo	2009-12-03	145	145	7
AlNo	2009-12-04	1604	1576	40
AlNo	2009-12-07	814	796	0
AlNo	2009-12-08	555	546	4
AlNo	2009-12-09	1431	1400	2
AlNo	2009-12-10	801	783	1
AlNo	2009-12-14	1263	1233	42
AlNo	2009-12-15	462	454	10
AlNo	2009-12-16	2076	2054	7
AlNo	2009-12-17	440	432	0
AlNo	2009-12-18	355	343	0
AlNo	2010-01-11	289	280	1
AlNo	2010-01-13	649	645	5
AlNo	2010-01-14	1100	1097	3
AlNo	2010-01-18	790	779	2
AlNo	2010-01-19	721	709	3
AlNo	2010-01-20	1941	1836	16
AlNo	2010-01-21	2674	2635	12
AlNo	2010-01-22	3532	3494	10
AlNo	2010-01-25	879	870	3
AlNo	2010-01-26	2292	2268	6
AlNo	2010-01-27	1857	1827	1
AlNo	2010-01-28	2217	2193	0
AlNo	2010-01-29	1104	1094	0
AlNo	2010-02-01	1159	1138	1
AlNo	2010-02-02	1898	1877	0
AlNo	2010-02-03	767	726	0
AlNo	2010-02-05	754	746	0
AlNo	2010-02-07	935	919	0
AlNo	2010-02-08	508	503	1
AlNo	2010-02-09	591	589	0
AlNo	2010-02-10	97	92	0
AlNo	2010-02-11	1	1	0
AlNo	2010-04-14	163	162	0
AlNo	2010-05-20	551	547	0
AlNo	2010-05-21	853	843	0
AlNo	2010-05-24	1048	939	1
AlNo	2010-05-25	213	212	0
AlNo	2010-05-26	1086	1070	0
AlNo	2010-05-27	1491	1459	0
AlNo	2010-05-28	1810	1772	4
AlNo	2010-06-07	989	986	1
AlNo	2010-06-08	617	616	0
AlNo	2010-06-11	201	189	0
AlNo	2010-07-06	167	165	0
AlNo	2010-07-09	374	371	0
AlNo	2010-07-13	637	629	0
AlNo	2010-07-15	1	1	0
AlNo	2010-07-21	796	788	0
AlNo	2010-07-22	1787	1719	5
AlNo	2010-07-23	2431	2407	18
AlNo	2010-07-26	2600	2554	11
AlNo	2010-07-27	1993	1964	0
AlNo	2010-07-28	1060	1037	0
AlNo	2010-07-29	1634	1604	0
AlNo	2010-07-30	1734	1714	1
AlNo	2010-08-01	7	7	0
AlNo	2010-08-02	498	452	0
AlNo	2010-08-03	963	946	0
AlNo	2010-08-04	470	455	1
AlNo	2010-08-05	227	223	0
AlNo	2010-08-16	74	74	0
AlNo	2010-11-15	765	761	2
AlNo	2010-11-16	1393	1389	15
AlNo	2010-11-17	1607	1603	5
AlNo	2010-11-18	3511	3501	18
AlNo	2010-11-19	847	844	4
AlNo	2010-11-22	1321	1295	1
AlNo	2010-11-23	1708	1646	1
AlNo	2010-11-24	1153	1137	5
AlNo	2010-11-25	996	963	3
AlNo	2010-11-26	846	819	1
AlNo	2010-11-29	1835	1790	2
AlNo	2010-11-30	571	561	0
AlNo	2010-12-01	1879	1833	6
AlNo	2010-12-02	1411	1085	3
AlNo	2010-12-03	484	477	1
AlNo	2010-12-06	77	77	0
AlNo	2010-12-07	54	54	5
AlNo	2011-01-14	206	205	1
AlNo	2011-01-17	274	171	4
AlNo	2011-01-18	515	510	4
AlNo	2011-01-19	346	346	0
AlNo	2011-01-21	7	7	0
AlNo	2011-03-01	36	20	0
AlNo	2011-03-28	220	219	0
AlNo	2011-03-30	160	154	0
AlNo	2011-03-31	225	221	0
AlNo	2011-04-01	1366	1344	4
AlNo	2011-04-02	436	425	0
AlNo	2011-04-03	620	609	0
AlNo	2011-04-04	197	189	4
AlNo	2011-04-05	1563	1534	1
AlNo	2011-04-06	1008	974	1
AlNo	2011-04-07	1197	1183	4
AlNo	2011-04-08	596	391	5
AlNo	2011-04-11	864	751	18
AlNo	2011-04-12	956	618	7
AlNo	2011-04-13	283	282	0
AlNo	2011-04-14	632	571	5
AlNo	2011-04-15	657	648	9
AlNo	2011-04-19	45	5	0
AlNo	2011-04-20	303	302	11
AlNo	2011-04-21	68	66	0
AlNo	2011-04-22	142	125	0
AlNo	2011-04-24	114	111	0
AlNo	2011-04-26	28	26	4
AlNo	2011-04-27	483	383	8
AlNo	2011-04-28	93	93	0
AlNo	2011-04-29	28	28	0
AlNo	2011-04-30	34	22	0
AlNo	2011-05-02	924	911	1
AlNo	2011-05-04	568	522	0
AlNo	2011-05-05	213	194	0
AlNo	2011-05-06	131	115	0
AlNo	2011-05-07	260	202	0
AlNo	2011-05-09	407	391	0
AlNo	2011-05-10	574	548	0
AlNo	2011-05-11	43	43	0
AlNo	2011-05-18	2	1	0
AlNo	2011-05-31	730	712	0
AlNo	2011-06-01	1869	1859	8
AlNo	2011-06-06	2948	2688	22
AlNo	2011-06-07	403	324	6
AlNo	2011-06-08	2361	2338	0
AlNo	2011-06-09	557	507	7
AlNo	2011-06-10	1937	1540	0
AlNo	2011-06-14	1132	1120	0
AlNo	2011-06-15	1086	752	0
AlNo	2011-06-16	1054	963	7
AlNo	2011-06-17	457	449	1
AlNo	2011-07-08	1007	703	8
AlNo	2011-07-12	48	42	0
AlNo	2011-07-13	680	672	0
AlNo	2011-07-19	75	38	0
AlNo	2011-07-25	501	495	0
AlNo	2011-07-26	7	7	0
AlNo	2011-07-29	39	39	0
AlNo	2011-08-11	202	200	3
AlNo	2011-08-12	778	729	0
AlNo	2011-08-16	1610	1602	0
AlNo	2011-08-17	878	855	0
AlNo	2011-08-18	718	670	0
AlNo	2011-08-19	163	162	0
AlNo	2011-09-01	1461	1434	0
AlNo	2011-09-05	57	56	0
AlNo	2011-09-06	2555	2490	1
AlNo	2011-09-07	434	395	0
AlNo	2011-09-20	10	10	0
AlNo	2011-11-09	233	233	0
AlNo	2011-11-10	647	599	0
AlNo	2011-11-15	422	409	0
AlNo	2011-11-17	360	340	0
AlNo	2012-01-19	1	1	0
AlNo	2012-01-20	11	11	0
AlNo	2012-01-22	4	4	0
AlNo	2012-01-26	4	4	0
AlNo	2012-01-28	2	2	0
AlNo	2012-02-03	1	1	0
AlNo	2012-02-20	262	250	0
AlNo	2012-02-22	138	133	0
AlNo	2012-03-14	529	526	0
AlNo	2012-03-19	275	273	0
AlNo	2012-04-06	228	221	0
AlNo	2012-04-10	156	137	0
AlNo	2012-05-16	1694	1666	4
AlNo	2012-05-18	1123	1119	2
AlNo	2012-05-21	1411	1409	2
AlNo	2012-05-22	1155	1150	0
AlNo	2012-05-23	763	761	2
AlNo	2012-05-28	416	416	0
AlNo	2012-05-29	315	315	0
AlNo	2012-05-31	786	781	0
AlNo	2012-06-01	231	229	0
AlNo	2012-06-04	909	905	1
AlNo	2012-06-05	922	920	1
AlNo	2012-06-06	1967	1935	0
AlNo	2012-06-07	509	498	0
AlNo	2012-06-28	378	367	0
AlNo	2012-07-26	583	563	0
AlNo	2012-07-27	15	11	0
AlNo	2012-07-30	296	289	0
AlNo	2012-07-31	606	497	0
AlNo	2012-08-01	407	346	0
AlNo	2012-08-02	1715	1155	0
AlNo	2012-08-03	536	453	0
AlNo	2012-08-11	141	134	0
AlNo	2013-02-19	18	15	0
AlNo	2013-10-29	336	331	2
AlNo	2013-11-04	837	831	2
AlNo	2013-11-06	731	728	0
AlNo	2013-11-07	1781	1762	1
AlNo	2013-11-11	182	182	0
AlNo	2013-11-12	731	720	0
AlNo	2013-11-13	106	103	0
AlNo	2014-02-09	11	11	0
AlNo	2014-02-19	22	22	0
AlNo	2014-03-10	309	296	0
AlNo	2014-03-11	158	107	1
AlNo	2014-03-12	695	650	0
AlNo	2014-03-13	953	936	2
AlNo	2014-03-14	190	174	1
AlNo	2014-03-21	154	140	0
AlNo	2014-10-21	21	16	0
AlNo	2015-02-13	1	1	0
Alain Jannuzzi	2015-08-13	3	3	0
Alamo	2008-12-01	830	237	0
Alamo	2008-12-02	5344	694	2
Alamo	2008-12-03	5530	463	0
Alamo	2008-12-04	2962	940	0
Alamo	2008-12-05	471	37	0
Alamo	2008-12-06	238	0	0
Alamo	2008-12-07	660	0	0
Alan Silva	2013-05-23	4	4	0
Alanderson	2014-04-25	32	32	0
Alberto Carneiro	2014-01-22	14	11	0
Aleks-Berlin	2014-11-24	78	1	0
Aleks-Berlin	2015-06-26	1	0	0
Aleks-Berlin	2015-10-29	1	0	0
Aleks-Berlin	2015-11-30	1	0	0
Alessandro83	2013-03-23	28	12	0
Alessandro83	2013-03-24	10	8	0
Alex Gama	2010-09-07	1	1	0
Alex Rolex Joias	2012-10-21	1	1	0
Alex_Silva	2014-08-08	1	0	0
AlexanderF	2010-01-01	1	0	0
Alexandre C M Brito	2015-12-17	1	0	0
Alexandre C M Brito	2015-12-18	2	0	0
Alexandre Cosendey	2010-01-28	42	3	0
Alexandre Miranda	2014-04-03	4	1	0
Alexandre Miranda	2014-04-07	1	0	0
Alexandre Nascimento	2009-09-12	17	16	0
Alexandre Nascimento	2011-12-09	1	1	0
Alexandre1973	2012-03-22	1	1	0
AlexandreNery	2012-08-28	6	6	0
Alexandrecw	2012-09-18	1040	834	0
Alexandrecw	2012-09-19	1224	955	0
