user_name	date	count	v1count	blankcount
5EE	2009-09-18	56	0	0
5EE	2009-09-20	95	24	0
5EE	2009-09-21	138	39	0
5EE	2009-09-22	326	0	0
5EE	2009-09-23	9	0	0
5EE	2009-09-24	162	25	0
5EE	2009-09-25	108	69	0
5EE	2009-09-26	184	127	0
5EE	2009-09-27	555	20	0
5EE	2009-09-28	83	41	0
5EE	2009-09-29	204	64	0
5EE	2009-09-30	247	100	0
5EE	2009-10-01	71	16	0
5EE	2009-10-02	237	13	0
5EE	2009-10-03	66	16	0
5EE	2009-10-04	18	12	0
5EE	2009-12-02	7	6	0
96_Pablo	2014-04-27	23	22	0
96_Pablo	2014-04-28	10	9	0
96_Pablo	2015-07-11	11	10	0
AChM	2013-04-29	2	1	0
AChM	2013-04-30	1	0	0
AE35	2013-04-12	1	0	0
AHerrera	2012-12-09	1	1	0
AKHilario	2013-02-17	1	0	0
ALE!	2010-02-28	565	529	6
ALE!	2010-03-02	1067	1036	12
ALE!	2010-03-03	364	350	3
ALE!	2010-03-04	308	306	4
ALE!	2010-03-05	101	57	2
ALE!	2010-03-08	203	192	2
ALE!	2010-03-09	39	37	0
ALE!	2010-03-10	67	67	1
ALE!	2010-03-11	378	347	0
ALE!	2010-03-12	1059	802	1
ALE!	2010-03-15	108	82	0
ALE!	2011-01-04	6	4	0
ALE!	2012-02-18	104	70	0
ALE!	2013-01-30	32	32	0
ALE!	2013-03-07	189	141	0
ALE!	2013-03-19	176	148	0
ALE!	2013-03-20	177	87	0
ALE!	2013-03-21	33	14	0
ALE!	2013-06-10	71	48	0
ALE!	2013-06-12	135	116	0
ALE!	2013-07-22	121	70	0
ALE!	2013-07-24	63	47	0
ALE!	2013-07-29	160	31	0
ALE!	2013-07-30	102	63	0
ALE!	2013-08-02	108	22	0
ALE!	2013-08-05	4	2	0
ALE!	2013-08-06	156	137	0
ALE!	2013-08-09	23	11	0
ALE!	2013-08-14	9	4	0
ALE!	2013-08-19	94	82	0
ALE!	2013-08-20	131	46	0
ALE!	2013-08-21	75	44	0
ALE!	2013-08-23	34	22	0
ALE!	2013-08-25	19	2	0
ALE!	2013-08-26	17	5	0
ALE!	2013-08-27	170	95	0
ALE!	2013-08-28	54	29	0
ALE!	2013-08-29	155	69	0
ALE!	2013-08-30	124	24	0
ALE!	2013-09-01	47	7	0
ALE!	2013-09-02	61	49	0
ALE!	2013-09-03	295	127	0
ALE!	2013-09-04	415	71	0
ALE!	2013-09-05	74	26	0
ALE!	2013-09-06	136	60	0
ALE!	2013-09-07	9	4	0
ALE!	2013-09-09	244	121	0
ALE!	2013-09-10	254	54	0
ALE!	2013-09-11	449	115	0
ALE!	2013-09-12	242	98	0
ALE!	2013-09-13	185	43	0
ALE!	2013-09-14	1	0	0
ALE!	2013-09-17	615	432	0
ALE!	2013-09-18	3	1	0
ALE!	2013-09-19	163	6	0
ALE!	2013-09-20	1	1	0
ALE!	2013-09-22	23	5	0
ALE!	2013-09-23	107	26	0
ALE!	2013-09-24	133	46	0
ALE!	2013-09-25	59	8	0
ALE!	2013-09-26	250	67	0
ALE!	2013-09-27	72	14	0
