user_name	date	count	v1count	blankcount
NULL	2007-10-08	19	0	0
NULL	2007-10-22	2	0	0
--IKS--	2009-06-14	71	71	0
00rac	2014-04-02	2	2	0
11mission	2014-08-15	10	10	0
123maps	2013-09-15	5	5	0
123maps	2013-09-27	1	1	0
1248	2010-02-19	23	0	0
1530291	2014-01-08	5	3	0
1dnorlund	2013-06-03	9	9	0
2003900	2013-03-30	1	1	0
246mp	2015-06-29	5	5	0
25or6to4	2009-09-04	8	1	0
25or6to4	2010-02-17	1	1	0
25or6to4	2012-11-23	1	1	0
25or6to4	2012-11-24	1	1	0
25or6to4	2015-08-01	2	1	0
25or6to4	2016-01-14	20	20	0
42429	2009-03-09	213	2	0
42429	2011-10-26	35	14	0
42429	2011-10-28	2	0	0
49fourdoorsedan	2013-07-25	5	5	0
4x4johnny	2015-04-29	2	2	0
503Greg	2012-10-14	1	0	0
503Greg	2012-10-15	1	0	0
503Greg	2012-10-16	3	0	0
503Greg	2012-10-29	4	0	0
503Greg	2012-10-31	4	0	0
515rlb	2014-05-20	2	2	0
54806b45	2015-11-12	1	1	0
883Rrider	2014-08-25	166	136	0
883Rrider	2014-08-27	513	499	0
883Rrider	2014-12-30	1	1	0
>LAND	2014-01-06	21	20	0
>LAND	2014-01-13	7	1	0
AAH96	2014-04-02	1	1	0
AD206	2015-01-08	6	5	0
AD5	2015-04-30	68	68	0
AD5	2015-05-14	33	33	0
AD5	2015-06-03	42	42	0
AE35	2012-11-09	2	0	0
ALeDonne	2013-11-25	8	5	0
AMSAdmin	2015-08-28	2	1	0
AMY-jin	2012-12-24	1	1	0
AMouthyPotato	2014-09-27	1	1	0
Aaron Lidman	2014-02-27	1	1	0
Aaron Nguyen	2014-06-23	1	1	0
Aaron Racicot	2011-03-15	13	13	0
Aaron Racicot	2012-02-17	174	154	0
Aaron Racicot	2012-02-22	8	8	0
Aaron Racicot	2012-02-24	87	82	0
Aaron's Bicycle Repair	2012-10-17	1	1	0
Aaron's Bicycle Repair	2013-09-26	2	0	0
AaronPeterson	2011-05-01	24	22	0
AbbigaleC	2012-09-26	1	1	0
Abby BMI	2013-01-15	3	2	0
Acizza	2012-06-05	15	5	0
Acizza	2012-07-24	67	67	0
Adam Dunn	2009-09-24	2	2	0
Adam Killian	2008-02-28	9	0	0
Adam Martin	2015-09-01	54	28	0
Adam Martin	2015-09-02	48	2	0
Adam Martin	2015-09-04	163	37	0
Adrian111	2015-01-07	2	2	0
Adv_	2012-06-01	18	17	0
Ahlzen	2012-10-19	3	0	0
Ahlzen	2012-10-31	4	1	0
Ahlzen	2013-11-13	3	0	0
AjLeroy	2013-09-26	1	1	0
Akihiko Lin	2015-09-29	96	72	0
Akihiko Lin	2015-10-02	33	16	0
Alan	2011-11-20	74	73	0
Alan S	2011-12-26	2	2	0
Alan S	2011-12-27	1	1	0
AlaskaDave	2014-05-21	29	23	0
AlaskaDave	2015-05-22	98	36	0
AlaskaDave	2015-05-24	208	83	0
AlaskaDave	2015-05-25	16	0	0
Alchemist	2011-02-10	19	19	0
Alchemist	2011-02-13	26	26	0
Aleks-Berlin	2015-10-22	9	6	0
Aleks-Berlin	2015-11-22	1	0	0
Aleks-Berlin	2016-01-01	5	0	0
Alex Jeffers	2013-07-17	5	4	0
Alex Kerney	2013-09-26	2	1	0
Alex Lupoian	2013-08-22	1	1	0
Alex Wipf	2015-09-01	9	1	0
Alex Wipf	2015-09-02	1	0	0
AlexChandler	2014-12-17	2	1	0
AlexColburn	2012-03-12	2	0	0
AlexRu	2013-05-11	638	573	0
AlexRu	2013-05-12	951	767	0
AlexRu	2013-05-13	29	19	0
AlexRu	2013-05-14	375	353	0
AlexRu	2013-05-19	764	745	0
AlexRu	2013-05-20	580	538	0
AlexRu	2013-05-27	1086	1016	0
AlexRu	2013-05-29	805	703	0
AlexRu	2013-05-31	171	168	0
AlexRu	2013-06-01	686	668	0
AlexRu	2013-06-02	132	127	0
AlexRu	2013-06-09	444	390	0
AlexRu	2013-06-15	1225	1210	0
AlexRu	2013-06-28	722	701	0
AlexRu	2013-06-29	1339	1336	0
AlexRu	2013-06-30	469	450	0
AlexRu	2013-07-03	1396	1327	0
AlexRu	2013-07-04	1146	1127	0
AlexRu	2013-07-05	514	465	0
AlexRu	2013-07-06	55	37	0
AlexRu	2013-07-26	64	58	0
AlexRu	2013-07-28	796	777	0
AlexRu	2013-08-03	237	224	0
AlexRu	2013-08-09	349	299	0
AlexRu	2015-01-05	45	39	0
AlexZolotarev	2012-07-21	47	28	0
AlexZolotarev	2012-07-24	1	1	0
AlexZolotarev	2014-05-26	4	4	0
Alexis Lamore	2013-09-25	1	0	0
Alexis Lamore	2013-09-29	3	2	0
Ali2015	2015-04-01	3	3	0
Alina Younger	2014-04-02	1	1	0
All these taken names	2014-10-21	27	19	0
Allen Jakobitz	2013-01-04	1	1	0
AllieKD	2015-05-17	2	2	0
Alvin Nguyen	2014-09-23	5	2	0
Amanda Newman	2014-04-02	4	4	0
AmandaIreland	2013-09-24	1	1	0
AmandaIreland	2013-09-25	4	2	0
Amandacole	2012-09-26	1	0	0
Amandacole	2012-09-29	1	0	0
AmateurCartographer	2013-10-08	1	1	0
Amberlynn43	2015-04-01	3	2	0
AmbroseBurnside	2013-09-24	4	4	0
Amkummerle	2014-01-06	7	7	0
Amkummerle	2014-01-07	14	1	0
Amkummerle	2014-01-09	1	0	0
Amoebabadass	2007-07-28	98	98	25
Amoebabadass	2007-07-30	298	298	24
Amoebabadass	2007-08-03	934	934	39
Amoebabadass	2007-08-04	1203	1203	35
Amoebabadass	2007-08-05	431	431	7
Amoebabadass	2007-08-13	534	534	10
Amoebabadass	2007-08-14	518	518	8
Amoebabadass	2007-08-16	2513	2513	45
Amoebabadass	2007-08-17	78	78	11
Amoebabadass	2007-08-19	122	122	3
Amoebabadass	2007-08-20	5227	5227	109
Amoebabadass	2007-08-21	351	351	11
Amoebabadass	2007-08-23	2402	2402	41
Amoebabadass	2007-08-24	454	454	15
Amoebabadass	2007-09-08	766	766	4
Amoebabadass	2007-09-09	1297	1297	9
Amoebabadass	2007-09-10	656	656	23
Amoebabadass	2007-09-11	525	525	23
Amoebabadass	2007-09-12	617	617	13
Amoebabadass	2007-09-13	3556	3556	29
Amoebabadass	2007-09-14	554	554	0
Amoebabadass	2007-09-15	89	89	0
Amoebabadass	2007-09-16	117	117	2
Amoebabadass	2007-09-17	312	312	2
Amoebabadass	2007-10-03	969	969	2
Amoebabadass	2007-10-04	3761	3761	4
Amoebabadass	2007-10-24	2290	287	0
Amoebabadass	2007-10-25	5442	1120	1
Amoebabadass	2007-10-27	214	69	0
Amoebabadass	2007-10-28	1696	1239	5
Amoebabadass	2007-10-29	96	89	2
Amoebabadass	2007-11-04	1452	572	0
Amoebabadass	2007-11-05	2895	895	0
Amoebabadass	2007-11-06	1278	797	1
Amoebabadass	2007-11-07	1715	1058	3
Amoebabadass	2007-11-09	2629	1611	53
Amoebabadass	2007-11-10	281	150	4
Amoebabadass	2007-11-12	2746	1565	0
Amoebabadass	2007-11-13	210	162	0
Amoebabadass	2007-11-23	12	7	0
Amoebabadass	2007-11-25	2399	228	0
Amoebabadass	2007-11-27	17	14	0
Amoebabadass	2007-11-28	223	200	0
Amoebabadass	2007-12-01	421	3	0
Amoebabadass	2007-12-04	12	0	0
Amoebabadass	2007-12-05	2	0	0
Amoebabadass	2008-01-27	948	433	0
Amoebabadass	2008-02-29	788	141	0
Amoebabadass	2008-03-01	894	202	0
Amoebabadass	2008-03-07	406	61	0
Amoebabadass	2008-03-08	1614	351	0
Amoebabadass	2008-03-13	95	0	0
Amoebabadass	2008-03-17	854	127	0
Amoebabadass	2008-03-18	1363	403	0
Amoebabadass	2008-03-19	1388	359	0
Amoebabadass	2008-03-26	563	4	0
Amoebabadass	2008-04-02	2557	206	0
Amoebabadass	2008-04-05	48	20	0
Amoebabadass	2008-04-06	1590	467	0
Amoebabadass	2008-04-07	1227	237	0
Amoebabadass	2008-04-08	1238	270	0
Amoebabadass	2008-04-09	2095	395	0
Amoebabadass	2008-04-12	2612	563	0
Amoebabadass	2008-04-13	4442	1281	3
Amoebabadass	2008-04-16	349	1	0
Amoebabadass	2008-04-17	1502	495	0
Amoebabadass	2008-04-22	416	215	0
Amoebabadass	2008-04-23	1489	596	1
Amoebabadass	2008-05-15	261	122	0
Amoebabadass	2008-05-16	28	16	0
Amoebabadass	2008-05-18	354	45	0
Amoebabadass	2008-05-21	943	303	0
Amoebabadass	2008-05-23	999	387	0
Amoebabadass	2008-05-28	496	210	0
Amoebabadass	2008-05-31	1522	652	0
Amoebabadass	2008-06-01	997	587	0
Amoebabadass	2008-06-02	279	177	0
Amoebabadass	2008-06-03	663	439	0
Amoebabadass	2008-06-06	1013	479	0
Amoebabadass	2008-06-08	636	245	0
Amoebabadass	2008-06-09	1574	694	0
Amoebabadass	2008-06-11	224	83	0
Amoebabadass	2008-06-12	489	196	0
Amoebabadass	2008-06-14	1570	820	0
Amoebabadass	2008-06-15	1226	675	0
Amoebabadass	2008-06-17	890	474	0
Amoebabadass	2008-06-22	24	0	0
Amoebabadass	2008-06-23	2728	1328	2
Amoebabadass	2008-06-25	2042	1238	0
Amoebabadass	2008-06-26	2938	1511	0
Amoebabadass	2008-06-27	8553	1213	7
Amoebabadass	2008-06-28	299	180	0
Amoebabadass	2008-07-02	174	106	0
Amoebabadass	2008-07-04	1120	699	0
Amoebabadass	2008-07-05	342	144	0
Amoebabadass	2008-07-07	1983	1229	0
Amoebabadass	2008-07-08	1265	691	0
Amoebabadass	2008-07-20	1654	622	0
Amoebabadass	2008-07-21	4472	1099	4
Amoebabadass	2008-07-23	2528	972	0
Amoebabadass	2008-07-24	846	276	0
Amoebabadass	2008-07-26	1871	876	0
Amoebabadass	2008-07-27	8121	3972	0
Amoebabadass	2008-07-28	417	278	0
Amoebabadass	2008-07-30	351	231	0
Amoebabadass	2008-07-31	4971	3441	0
Amoebabadass	2008-08-01	9393	6180	5
Amoebabadass	2008-08-02	998	438	1
Amoebabadass	2008-08-03	1842	1063	0
Amoebabadass	2008-08-05	1844	1464	0
Amoebabadass	2008-08-06	1553	581	0
Amoebabadass	2008-08-07	254	0	0
Amoebabadass	2008-08-08	600	170	0
Amoebabadass	2008-08-11	4692	3651	0
Amoebabadass	2008-08-12	1515	1017	0
Amoebabadass	2008-08-13	2529	1135	0
Amoebabadass	2008-08-14	1056	476	0
Amoebabadass	2008-08-16	4	0	0
Amoebabadass	2008-09-02	696	385	0
Amoebabadass	2008-09-03	140	135	0
Amoebabadass	2008-09-04	737	302	0
Amoebabadass	2008-09-08	1292	515	0
Amoebabadass	2008-09-14	2818	938	4
Amoebabadass	2009-01-08	859	141	1
Amoebabadass	2009-01-10	950	407	0
Amoebabadass	2009-01-16	1047	257	0
Amoebabadass	2009-01-17	487	411	0
Amoebabadass	2009-01-18	212	208	1
Amoebabadass	2009-01-23	10	0	0
Amoebabadass	2009-01-24	194	89	0
Amoebabadass	2009-01-25	2	1	0
Amoebabadass	2009-01-27	947	397	1
Amoebabadass	2009-01-28	16	16	0
Amoebabadass	2009-01-29	1224	626	0
Amoebabadass	2009-01-30	331	206	0
Amoebabadass	2009-02-11	189	185	0
Amoebabadass	2009-02-17	1037	605	0
Amoebabadass	2009-02-18	1326	81	0
Amoebabadass	2009-02-20	100	100	40
Amoebabadass	2009-02-21	11	11	0
Amoebabadass	2009-02-22	27	27	2
Amoebabadass	2009-03-05	15	0	0
Amoebabadass	2009-03-06	60	6	0
Amoebabadass	2009-03-20	217	46	0
Amoebabadass	2009-03-21	695	6	0
Amoebabadass	2009-03-24	2080	904	0
Amoebabadass	2009-03-25	700	678	0
