user_name	date	count	v1count	blankcount
11이현신	2013-06-07	37	37	0
3245wrefgdhbvb	2013-06-07	35	32	0
42429	2013-04-24	185	152	0
42429	2013-04-25	260	165	0
42429	2013-04-26	269	117	0
42429	2013-04-27	133	86	0
42429	2013-04-28	30	9	0
42429	2013-05-02	321	289	0
42429	2013-05-03	359	281	0
42429	2013-05-04	20	16	0
42429	2013-05-05	115	101	0
42429	2013-05-06	189	185	0
42429	2013-05-07	10	10	0
42429	2013-05-10	23	5	0
42429	2014-10-20	29	28	0
42429	2014-10-22	4	4	0
42429	2014-10-31	16	16	0
42429	2014-11-03	40	40	0
42429	2014-11-04	37	37	1
42429	2014-11-11	27	26	0
42429	2014-11-12	82	82	1
42429	2014-11-15	19	19	0
42429	2015-10-03	16	10	0
8iseoii	2012-05-02	1	1	0
Agmenor	2011-07-30	1	1	0
Aideny	2012-05-23	1	1	0
Albertus Liberius	2012-06-16	605	449	0
Albertus Liberius	2012-06-17	450	405	0
Albertus Liberius	2012-06-18	121	100	0
Albertus Liberius	2012-06-19	50	41	0
Albertus Liberius	2012-06-22	119	94	0
Albertus Liberius	2012-08-03	97	96	0
Albertus Liberius	2012-08-05	199	145	0
Albertus Liberius	2012-08-12	16	4	0
Albertus Liberius	2012-10-15	59	56	0
Albertus Liberius	2012-10-28	2	2	0
Albertus Liberius	2012-11-23	47	46	0
Albertus Liberius	2012-12-02	45	45	0
Albertus Liberius	2012-12-16	12	12	0
Albertus Liberius	2013-02-07	1	0	0
Albertus Liberius	2013-09-22	35	23	0
Albertus Liberius	2013-11-02	47	47	0
Albertus Liberius	2013-11-24	42	28	0
Albertus Liberius	2013-12-06	23	18	0
Albertus Liberius	2013-12-10	114	103	0
Albertus Liberius	2013-12-14	120	93	0
Albertus Liberius	2013-12-17	59	55	0
Albertus Liberius	2014-08-28	99	76	0
Albertus Liberius	2014-10-20	30	25	0
Albertus Liberius	2014-10-22	216	164	0
Albertus Liberius	2014-10-23	133	125	0
Albertus Liberius	2014-10-25	71	64	0
Albertus Liberius	2014-10-26	154	143	0
Albertus Liberius	2014-10-27	27	26	0
Albertus Liberius	2014-10-28	132	121	0
Albertus Liberius	2014-11-08	103	95	0
Albertus Liberius	2014-11-22	72	67	0
Albertus Liberius	2015-03-22	5	0	0
Albertus Liberius	2015-03-30	1	0	0
Albertus Liberius	2015-10-28	66	59	0
Albertus Liberius	2015-11-29	169	139	0
Albertus Liberius	2015-12-15	154	147	0
Albertus Liberius	2016-01-05	170	161	0
Albertus Liberius	2016-01-06	1	0	0
Albertus Liberius	2016-01-16	10	10	0
Aleks-Berlin	2015-06-27	1	0	0
Aleks-Berlin	2015-11-20	1	0	0
Aleks-Berlin	2015-12-24	1	0	0
Aleks-Berlin	2016-01-10	1	0	0
Amigos_Conmigo	2012-03-01	2	1	0
Amigos_Conmigo	2012-06-08	4	4	0
AndersAndersson	2010-11-05	1	0	0
Andrew Hazlett	2014-02-26	6	6	0
Andrew Hazlett	2014-03-29	47	4	0
AndrewJD2	2014-10-27	4	3	0
AndrewJD2	2014-10-29	1	1	0
AndrewJD2	2014-11-08	11	11	0
AndrewJD2	2014-11-10	3	3	0
AndrewJD2	2014-11-28	2	1	0
AndrewJD2	2015-07-05	49	49	0
AndrewJD2	2015-09-29	4	4	0
Anne10	2013-11-04	14	11	0
Ant_SY	2011-08-02	12	12	0
Ant_SY	2011-08-03	47	38	0
Anthony-Chris	2012-05-23	2	1	0
April	2009-02-02	39	0	0
ArjanO	2011-10-21	1	1	0
ArjanO	2011-11-18	4	4	0
BABABA	2014-09-01	1	0	0
BBIBBIBi	2012-04-29	2	1	0
BJ Kim	2012-08-19	18	12	0
BONGSAM	2014-02-27	35	33	0
BONGSAM	2015-02-09	56	53	0
Barnabas	2011-05-10	1	0	0
Baruch	2009-06-19	1	0	0
Baruch	2009-06-23	2	2	0
Bdimych Bdimych	2015-04-17	3	3	0
Bdimych Bdimych	2015-04-19	1	0	0
Bernhard W	2013-02-17	29	17	0
BiIbo	2010-11-23	768	285	0
BlizzardBlue	2015-04-06	7	3	0
Bman	2008-02-19	4	2	1
Bman	2008-06-21	33	25	6
Bman	2008-07-28	38	35	8
Bman	2011-11-14	144	70	0
Bodenseepeter	2008-10-18	396	13	0
Brian Herbert	2012-01-11	18	13	0
Brian Herbert	2012-08-31	7	5	0
Brian Herbert	2013-06-14	7	0	0
BuganiniQ	2014-05-13	4	0	0
Bullroarer	2015-03-17	1	0	0
Byeongjong_JNUGEO	2014-03-31	3	1	0
Byung Won Kim	2013-12-06	5	1	0
C-in-Berlin	2014-08-21	5	5	0
C-in-Berlin	2014-08-24	231	223	0
C-in-Berlin	2014-09-06	10	4	0
C-in-Berlin	2014-09-14	29	15	0
C-in-Berlin	2014-09-16	227	143	0
C-in-Berlin	2014-09-21	736	538	0
C-in-Berlin	2014-09-22	204	110	0
C-in-Berlin	2014-09-26	28	12	0
C-in-Berlin	2014-10-04	250	250	0
C-in-Berlin	2014-10-19	29	17	0
C-in-Berlin	2014-12-04	16	14	0
C-in-Berlin	2014-12-06	46	43	0
C-in-Berlin	2014-12-07	232	189	0
C-in-Berlin	2015-02-17	33	29	0
CEST	2014-02-26	35	34	0
CG Kang	2014-08-28	1	1	0
CW Kim	2013-05-12	23	23	0
CW Kim	2013-05-24	71	35	0
CW Kim	2014-03-03	4	1	0
CW Kim	2014-03-18	5	2	0
CW Kim	2014-10-08	7	5	0
CWB_JNUGEO	2014-03-24	166	76	0
CamRobDen	2015-04-09	5	4	0
CamperJames	2012-10-03	16	16	0
Captain Jerry	2012-09-18	15	14	0
Captain Jerry	2012-09-19	4	0	0
Carl Manster Choi	2012-06-13	4	3	0
CeteraTolle	2012-05-23	2	1	0
Chang ju Lee	2015-08-03	6	6	0
ChangwooRyu	2010-08-09	42	5	0
ChangwooRyu	2010-08-10	21	3	0
ChangwooRyu	2010-08-11	2	1	0
ChangwooRyu	2010-08-12	2	1	0
ChangwooRyu	2010-08-13	71	65	0
ChangwooRyu	2010-08-14	10	9	0
ChangwooRyu	2010-08-15	282	180	0
ChangwooRyu	2010-08-17	7	2	0
ChangwooRyu	2010-08-19	61	59	0
ChangwooRyu	2010-08-21	105	96	0
ChangwooRyu	2010-08-22	129	116	0
ChangwooRyu	2010-08-23	68	67	0
ChangwooRyu	2010-08-24	48	46	0
ChangwooRyu	2010-08-26	155	102	0
ChangwooRyu	2010-08-29	147	138	0
ChangwooRyu	2010-08-30	12	4	0
ChangwooRyu	2010-08-31	14	12	0
ChangwooRyu	2010-09-01	135	130	0
ChangwooRyu	2010-09-02	299	169	0
ChangwooRyu	2010-09-05	370	367	0
ChangwooRyu	2010-09-07	76	67	0
ChangwooRyu	2010-09-08	315	315	0
