user_name	date	count	v1count	blankcount
NULL	2007-06-21	1	1	0
NULL	2007-10-05	7	7	0
*B*	2010-03-25	32	0	0
*socks*	2010-12-22	98	98	0
--Mark--	2009-04-05	8	0	0
1guess	2007-04-01	217	217	16
1guess	2007-04-02	15	15	1
1guess	2007-04-03	88	88	0
1guess	2007-04-28	3	3	0
1guess	2007-04-29	16	16	0
1guess	2007-05-21	7	7	0
1guess	2007-11-07	143	78	0
1guess	2008-02-14	60	53	0
1guess	2008-03-09	155	143	0
1guess	2008-03-10	180	180	0
1guess	2008-06-08	1	0	0
1guess	2008-12-31	37	19	0
1guess	2009-01-02	383	35	0
1guess	2009-03-20	53	0	0
1guess	2009-08-02	8	4	0
1guess	2010-12-28	80	66	0
1guess	2011-06-16	4	4	0
2046smh	2014-03-06	603	603	0
30asp	2009-04-26	15	6	0
30asp	2009-05-14	5	2	0
30asp	2009-08-12	32	1	0
30asp	2009-08-14	47	22	0
30asp	2014-09-13	2	1	0
30asp	2014-10-05	13	9	0
3ln	2012-04-16	127	127	0
3ln	2012-12-08	31	17	0
42429	2011-05-24	29	10	0
42429	2011-11-12	331	256	0
4T2ZxQZV	2014-11-04	2	1	0
4b696d	2015-01-03	3	1	0
4b696d	2015-01-22	10	4	0
4b696d	2015-01-23	50	4	0
4b696d	2015-01-24	21	11	0
4b696d	2015-01-25	68	38	0
4b696d	2015-01-26	26	11	0
4b696d	2015-05-20	35	8	0
4b696d	2015-05-22	31	0	0
4ebees	2012-10-20	15	14	0
4ebees	2014-01-01	1	1	0
4ebees	2014-01-15	31	30	0
5hwb	2013-02-25	28	16	0
5hwb	2013-02-27	13	13	0
5hwb	2013-03-08	19	0	0
5hwb	2013-04-03	60	57	0
5hwb	2014-05-16	45	45	0
5hwb	2014-10-18	4	3	0
5hwb	2016-01-07	15	11	0
74t3r	2011-12-28	1	1	0
74t3r	2011-12-29	1	0	0
80n	2008-01-02	1	0	0
84ace	2012-12-29	5	4	0
92037	2012-09-22	8	1	0
99of9	2009-03-06	9	0	0
99scilla111	2011-08-12	4	3	0
A Warnock	2013-06-10	1	1	0
ABsTraCt cafe oz	2014-07-29	6	6	0
AKeats	2009-02-02	29	0	0
AKeats	2009-02-04	248	7	0
AKeats	2009-02-05	6	0	0
AKeats	2009-02-10	29	0	0
ALZH	2015-07-22	6	6	0
ASTCA	2014-10-07	2	1	0
Abbe98	2015-02-14	19	13	0
AdamCJones	2011-11-29	1	1	0
AdamEdgley	2014-10-02	3	0	0
Addyboddo	2014-09-04	2	0	0
Agesworth	2010-09-09	3	2	0
Aglatong	2015-05-03	12	12	0
AlanSydney	2014-07-09	5	5	0
Alanl	2011-11-08	5	5	0
Alanl	2011-11-09	264	261	5
AlaskaDave	2014-05-07	8	2	0
Albert1955	2012-03-24	6	6	0
Aleks-Berlin	2014-10-26	1	0	0
Aleks-Berlin	2015-06-27	1	0	0
Aleks-Berlin	2015-11-29	2	0	0
Alex Brak	2014-08-18	3	3	0
Alex645654	2014-03-03	8	3	0
AlexCoric	2014-01-09	4	4	0
AlexDeem	2010-06-02	2	2	0
AlexHamiltonAUS	2014-02-23	11	1	0
AlexHamiltonAUS	2014-04-30	4	4	0
AlexOnTheBus	2010-09-14	258	145	0
AlexOnTheBus	2010-09-15	169	112	0
AlexOnTheBus	2010-09-16	4	1	0
AlexOnTheBus	2010-09-28	135	57	0
AlexOnTheBus	2010-09-29	120	50	0
AlexOnTheBus	2010-10-02	18	10	0
AlexOnTheBus	2010-10-04	247	117	0
AlexOnTheBus	2013-06-04	10	1	0
AlexOnTheBus	2013-06-05	685	349	0
AlexOnTheBus	2013-06-06	85	26	0
AlexOnTheBus	2013-06-14	1	1	0
AlexOnTheBus	2013-06-15	558	219	0
AlexOnTheBus	2013-06-16	262	124	0
AlexOnTheBus	2013-06-17	375	129	0
AlexOnTheBus	2013-06-18	27	11	0
Alfski	2010-08-20	8	3	0
Alfski	2011-02-03	16	16	0
Alfski	2013-08-31	19	0	0
Allan Adolphson	2013-06-28	5	5	0
AlmightyOlive	2012-09-25	65	1	0
AloisMusil	2012-10-08	2	0	0
Alpha Beta	2011-10-21	7	4	0
Altonius	2014-01-09	171	145	0
Amber Blair	2011-10-11	13	1	0
Anders Hovmöller	2012-11-22	2	2	0
Anders Hovmöller	2012-11-23	1	1	0
Andre68	2009-03-26	9	0	0
Andre68	2009-08-12	1	0	0
Andre68	2012-02-04	1	1	0
Andre68	2012-02-06	1	0	0
Andre68	2014-04-03	5	0	0
