user_name	date	count	v1count	blankcount
42429	2009-11-08	68	30	0
42429	2010-01-17	1	0	0
42429	2015-06-14	29	23	0
9100	2015-09-01	1	1	0
AE35	2012-08-02	530	519	0
AS Web Design	2015-07-10	1	1	0
Advertalis Shpk	2012-04-10	14	6	0
Alan	2006-09-13	238	238	19
Alan	2006-12-02	207	207	0
Alan	2007-07-30	150	150	4
Alan	2007-07-31	22	22	0
Alan	2007-08-03	4	4	0
Alan	2008-04-01	9	8	0
Alan	2008-04-05	5	0	0
Alban Nurkollari	2015-12-05	35	35	0
AleksanderKoko	2014-05-23	1	1	0
Alesia21	2015-12-16	2	1	0
Alexandra Schwier	2015-03-10	354	354	0
Almuderas	2015-06-15	7	5	0
Altin Guberi (Alnex Andews)	2016-01-01	3	3	0
Ancient Illyrians	2015-12-24	17	12	0
Arjela-Megaphone	2014-01-07	5	5	0
Arjela-Megaphone	2014-01-08	68	60	0
Aurimas Fišeras	2014-06-21	1	0	0
Baruch	2009-06-18	1	0	0
Basstoelpel	2012-12-16	60	57	0
Bedee	2007-10-29	5	0	0
Bernhard W	2012-12-01	1	0	0
BesfortGuri	2014-05-03	6	6	0
BesfortGuri	2015-12-05	8	8	0
Bledar Jonuzaj	2015-11-09	3	2	0
Bledi81	2013-09-12	71	16	0
Blues Brothers	2013-11-07	150	128	0
Blues Brothers	2013-11-21	156	156	0
Blues Brothers	2013-11-25	478	396	0
Blues Brothers	2013-11-29	315	300	0
Blues Brothers	2013-11-30	2200	2017	0
Blues Brothers	2014-01-12	239	212	0
Blues Brothers	2014-01-21	16	2	0
Blues Brothers	2014-05-16	1348	971	0
Blues Brothers	2014-06-18	911	712	0
Blues Brothers	2014-06-21	1820	1430	0
Blues Brothers	2014-06-23	3448	3295	1
Blues Brothers	2014-06-24	161	156	0
Blues Brothers	2014-06-25	2282	1988	0
Blues Brothers	2014-06-29	27	9	0
Blues Brothers	2014-06-30	90	48	0
Blues Brothers	2014-07-01	2214	2214	0
Blues Brothers	2014-07-02	641	641	0
Blues Brothers	2014-07-22	236	206	0
