user_name	date	count	v1count	blankcount
22HERTZ	2013-11-26	3	3	0
23WLakeshore	2014-11-13	4	4	0
246mp	2015-06-29	1	1	0
2JOUR	2011-10-16	4	2	0
2dfx	2008-11-23	46	0	0
2dfx	2008-11-25	115	0	0
2dfx	2008-11-26	366	0	0
2dfx	2008-11-30	443	0	0
2dfx	2008-12-07	410	0	0
2dfx	2008-12-19	20	0	0
2dfx	2009-02-11	9	0	0
2dfx	2009-02-16	114	0	0
2dfx	2009-02-20	260	0	0
2dfx	2009-02-22	44	0	0
2dfx	2009-02-23	44	0	0
2dfx	2009-02-26	134	0	0
2dfx	2009-03-06	77	0	0
2dfx	2009-03-09	27	0	0
2dfx	2009-03-11	504	12	0
2dfx	2009-03-16	143	1	0
2dfx	2009-03-17	167	0	0
2morrow	2015-05-12	1	1	0
2morrow	2015-05-13	6	6	0
3023ogilvyd	2010-10-23	5	2	0
42429	2012-05-25	162	57	0
42429	2012-06-16	173	77	0
42429	2012-06-17	424	220	0
42429	2013-01-19	5	1	0
42429	2013-01-20	1	1	0
554	2009-04-05	229	0	0
68arti	2012-12-03	10	10	0
68arti	2012-12-27	184	184	0
7503146	2014-09-10	1	1	0
7503146	2014-09-11	5	2	0
A Linstrum 	2010-06-10	1	1	0
A1ik	2011-04-23	1	1	0
ALAMBAS	2010-03-18	6	4	0
APAssociates	2013-04-16	4	4	0
ARiddZ	2013-01-05	24	0	0
AS1	2009-01-25	41	0	0
Aamirb	2012-03-09	18	14	0
Abu Jahl	2014-10-14	27	14	0
Abu Jahl	2015-02-11	2	1	0
Abu Jahl	2015-02-12	5	4	0
Abu Jahl	2015-03-02	7	1	0
Abu Jahl	2015-04-26	39	10	0
Abu Jahl	2015-04-27	7	5	0
Abu Jahl	2015-04-28	2	2	0
Abu Jahl	2015-05-12	1	0	0
Abu Jahl	2015-06-05	204	30	0
Abu Jahl	2015-11-07	4	1	0
Abu Jahl	2016-01-01	26	12	0
Adam_Canada	2008-12-26	59	0	0
Adam_Canada	2008-12-27	177	0	0
Adam_Canada	2009-01-03	123	0	0
Adam_Canada	2009-01-06	177	0	0
Adam_Canada	2009-04-11	50	0	0
Adamm	2007-07-31	16	16	7
Adamm	2007-08-14	8	8	7
Adamm	2007-08-15	19	19	8
Adi900	2011-08-04	1	1	0
Adi900	2011-08-17	1	1	0
Adi900	2011-10-26	330	330	0
Ahrabee	2015-01-27	2	2	0
Ahrabee	2015-01-29	11	6	0
AidenM	2012-04-30	2	2	0
Ailatix	2009-01-17	5	2	0
AkeemOF	2015-01-28	1	1	0
Alan Page	2010-07-27	8	6	0
Alan Page	2010-07-30	8	1	0
Alan Page	2010-08-01	4	2	0
AlaskaDave	2013-02-17	1	0	0
AlekL	2015-05-27	5	3	0
Aleks-Berlin	2016-01-01	1	0	0
Alex Jenkins	2012-05-09	1	1	0
AlexTheTechGuy	2014-11-12	1	1	0
AlexanderF	2009-12-28	4	0	0
AlfredoArias	2012-05-09	5	1	0
Ali V6	2015-11-12	8	2	0
Alistair Boyer	2010-06-29	1	0	0
Alsone	2012-10-15	424	164	0
Amazing77	2013-01-06	3	3	0
Ami Ganguli	2012-07-29	1	0	0
Anandt	2014-07-12	13	10	0
Anandt	2014-07-13	3	2	0
AndiG88	2014-07-12	1	0	0
AndiG88	2014-07-16	2	0	0
AndiG88	2014-07-17	15	0	0
Andre Engels	2013-02-07	1	1	0
Andre Pereira	2013-01-18	21	0	0
Andre68	2009-04-13	3	0	0
Andre68	2009-08-02	42	0	0
Andre68	2009-08-09	2	0	0
Andrew Fish	2013-12-02	3	2	0
Andrew Fish	2013-12-03	119	44	0
Andrew Fish	2013-12-04	59	59	0
Andrew Irwin	2008-04-17	74	73	2
Andrew Overholt	2009-08-31	5	5	0
Andrew Overholt	2009-09-04	2	2	0
Andry	2008-04-16	9	9	0
Andry	2009-07-14	24	18	0
Andry	2011-03-16	3	3	0
Andybeller	2014-01-20	4	1	0
Andybeller	2014-01-21	1	1	0
AnjoMan	2014-11-10	24	19	0
Ansar88	2012-06-24	2	1	0
Aquarius47	2009-01-14	6	0	0
Aquarius47	2009-01-16	2	0	0
Aquarius47	2009-01-21	301	0	0
Aquarius47	2009-01-22	46	0	0
ArbiterXero	2014-05-25	11	11	0
ArbiterXero	2014-05-26	106	100	0
ArbiterXero	2014-06-01	472	436	0
ArbiterXero	2014-06-03	157	148	0
ArbiterXero	2014-06-08	340	313	0
ArbiterXero	2014-06-09	67	65	0
ArbiterXero	2014-06-14	523	488	0
ArbiterXero	2014-06-15	596	544	0
ArbiterXero	2014-06-16	631	591	0
ArbiterXero	2014-06-17	790	749	0
ArbiterXero	2014-06-18	449	423	0
ArbiterXero	2014-06-19	292	290	0
ArbiterXero	2014-06-20	3	3	0
ArbiterXero	2014-06-22	756	751	0
ArbiterXero	2014-06-24	294	281	0
ArbiterXero	2014-06-25	66	54	0
Arcady Genkin	2015-10-02	1	1	0
ArcherofSkye	2014-01-05	4	0	0
Arcseco	2014-07-02	7	2	0
Arctic_1980	2013-09-06	1	0	0
Artaxerxes	2009-04-24	20	0	0
Astro Marketing Ltd	2014-06-26	3	1	0
Athir	2010-04-22	9	2	0
AtomSplitter97	2014-06-02	2	2	0
AtulOSM	2014-04-30	1	1	0
AtulOSM	2015-01-05	1	1	0
Augusto Chaves	2013-07-24	1	1	0
Aurelia Kyles	2013-03-01	2	2	0
Aury88	2015-09-06	9	0	0
AutomaticJ	2015-04-29	1	0	0
Avernar	2009-06-16	270	127	0
BBO	2010-09-14	1	0	0
BCNorwich	2015-12-03	8	0	0
BCNorwich	2015-12-04	102	0	0
BDM391	2013-09-22	17	17	0
BDM391	2013-09-23	18	18	0
BEI Group	2013-12-03	1	1	0
BJAY-gmail	2015-05-24	6	6	0
BJAY-gmail	2015-09-07	1	1	0
BJBond	2010-02-18	27	4	0
BJC	2009-10-19	1	0	0
BQ Jones	2014-03-16	2	2	0
BareOaks	2014-01-19	30	12	0
BareOaks	2014-01-20	1	0	0
Barnabas Khan	2013-12-18	4	4	0
Be A Mapper	2013-01-27	57	56	0
Be A Mapper	2013-01-28	24	14	0
Be A Mapper	2013-04-05	1	0	0
Be A Mapper	2013-04-30	1	0	0
Be A Mapper	2013-05-10	1	0	0
Be A Mapper	2013-05-21	2	0	0
Be A Mapper	2013-05-22	2	1	0
Be A Mapper	2013-05-31	1	0	0
Be A Mapper	2013-06-09	1	0	0
Be A Mapper	2013-06-25	3	1	0
Be A Mapper	2013-10-21	5	3	0
Be A Mapper	2013-10-28	3	1	0
