user_name	date	count	v1count	blankcount
NULL	2007-06-13	18	18	0
NULL	2007-06-14	209	209	12
NULL	2007-06-16	35	35	1
NULL	2007-06-17	55	55	7
NULL	2007-07-20	6	6	1
NULL	2007-08-06	19	19	3
 Alex Duffield	2009-10-18	78	3	0
1547Gary	2014-10-22	1	1	0
42429	2010-12-11	12	12	0
7503146	2014-09-10	16	14	0
>LAND	2014-01-13	179	103	0
ACervantes	2014-10-21	48	40	0
ADITmax	2014-01-23	21	7	0
AKC	2010-04-07	48	44	0
AKC	2010-04-12	29	29	0
AKC	2010-04-17	71	69	0
AKC	2010-04-24	14	14	0
AKC	2010-04-25	6	6	0
AKC	2010-04-26	2	2	0
AKC	2010-04-30	1	1	0
AKC	2010-05-03	8	4	0
AKC	2010-05-04	24	8	0
AKC	2010-05-05	2	2	0
AKC	2010-05-14	21	21	0
AKC	2010-05-16	47	44	0
AKC	2010-05-22	32	32	0
AKC	2010-05-23	18	18	0
AKC	2010-05-24	26	26	0
AKC	2010-06-03	21	21	0
AKC	2010-06-05	2	2	0
AKC	2010-06-11	21	21	0
AKC	2010-06-20	62	57	0
AKC	2010-06-21	26	25	0
AKC	2010-06-26	2	2	0
AKC	2010-06-27	6	6	0
AKC	2010-07-03	32	32	0
AKC	2010-07-10	46	45	0
AKC	2010-07-17	68	62	0
AMY-jin	2012-08-29	4	2	0
AOEspiritu	2013-11-21	11	10	0
Aaliyah Lakeman	2014-11-25	11	11	0
Aaron Hilton	2012-09-28	2	0	0
Aaron Lidman	2013-06-05	4	4	0
Aaron Lidman	2013-07-11	1	1	0
Aaron Lidman	2013-07-15	28	1	0
Achilnos	2014-03-02	26	20	0
Adam Dunn	2007-01-04	39	39	12
Adam Dunn	2007-02-20	129	129	31
Adam Dunn	2008-06-14	11	11	4
Adam Dunn	2008-06-24	1	1	0
Adam Dunn	2008-07-11	320	200	30
Adam Dunn	2008-07-12	600	594	35
Adam Dunn	2008-07-13	104	104	2
Adam Dunn	2008-07-15	155	148	2
Adam Dunn	2008-08-06	39	39	4
Adam Dunn	2008-08-12	2	0	0
Adam Dunn	2008-09-20	22	16	0
Adam Dunn	2008-09-25	75	15	0
Adam Dunn	2008-10-24	161	139	0
Adam Dunn	2008-11-23	22	15	0
Adam Dunn	2009-02-09	2	0	0
Adam Dunn	2009-04-24	28	23	0
Adam Dunn	2009-06-08	5	3	0
Adam Dunn	2009-07-18	1	1	0
Adam Dunn	2009-10-31	26	6	0
Adam Dunn	2009-11-02	358	205	0
Adam Dunn	2009-11-03	1782	1361	0
Adam Dunn	2009-11-04	76	56	0
Adam Dunn	2009-11-06	1524	1122	0
Adam Dunn	2009-11-18	544	411	0
Adam Dunn	2009-11-19	1911	1575	0
Adam Dunn	2009-11-21	973	724	0
Adam Dunn	2009-11-24	2099	1628	0
Adam Dunn	2009-11-26	475	376	0
