user_name	date	count	v1count	blankcount
<0174	2016-01-16	39	1	0
AE35	2012-08-28	20	20	0
Alepoz	2010-11-29	134	131	1
Alepoz	2010-12-01	23	16	0
Alepoz	2011-06-09	1	1	0
AlkalIn	2013-01-03	184	181	0
AlkalIn	2013-01-08	8	5	0
AlkalIn	2013-01-30	22	6	0
AlkalIn	2013-01-31	163	109	0
AlkalIn	2013-02-01	277	205	0
AlkalIn	2013-02-05	549	428	0
AlkalIn	2013-02-06	542	395	0
AlkalIn	2013-02-07	51	24	0
AlkalIn	2013-02-08	285	215	0
AlkalIn	2013-02-12	16	8	0
AlkalIn	2013-02-13	340	213	0
AlkalIn	2013-02-15	599	364	0
AlkalIn	2013-02-18	182	84	0
AlkalIn	2013-02-24	32	19	0
AlkalIn	2013-02-25	247	109	0
AlkalIn	2013-02-27	453	313	0
AlkalIn	2013-02-28	1865	1120	0
AlkalIn	2013-03-04	931	809	0
AlkalIn	2013-03-06	1106	981	0
AlkalIn	2013-03-10	74	37	0
AlkalIn	2013-03-11	127	78	0
AlkalIn	2013-03-13	176	165	0
AlkalIn	2013-03-14	95	38	0
AlkalIn	2013-03-22	2	0	0
AlkalIn	2013-03-23	8	1	0
AlkalIn	2013-03-24	19	19	0
AlkalIn	2013-03-25	38	7	0
AlkalIn	2013-03-26	13	3	0
AlkalIn	2013-03-27	143	112	0
AlkalIn	2013-04-04	144	69	0
AlkalIn	2013-04-05	19	2	0
AlkalIn	2013-04-07	23	20	0
AlkalIn	2013-04-08	3	1	0
AlkalIn	2013-04-13	116	88	0
AlkalIn	2013-04-14	7	3	0
AlkalIn	2013-04-29	6	5	0
AlkalIn	2013-04-30	279	140	0
AlkalIn	2013-05-03	123	36	0
AlkalIn	2013-05-05	279	148	0
AlkalIn	2013-05-06	11	3	0
AlkalIn	2013-05-07	22	4	0
AlkalIn	2013-05-12	93	65	0
AlkalIn	2013-05-18	39	14	0
AlkalIn	2013-05-21	2	1	0
AlkalIn	2013-05-22	134	120	0
AlkalIn	2013-06-17	34	25	0
AlkalIn	2013-06-20	336	265	0
AlkalIn	2013-06-21	143	112	0
AlkalIn	2013-06-23	422	228	0
