user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
775808	Rory Keegan	4938	0	4894	2012-08-04	2012-08-04	NULL	5	2012-09-04	2012-08-18
1485475	crepels	3915	0	3804	2013-06-09	2013-06-09	NULL	7	2013-11-29	2013-06-29
31580	Spudooli	3500	20	3441	2008-04-25	2008-04-25	2008-04-25	3	2008-05-03	2008-04-28
833786	barnaclebarnes_linz	77423	20	76897	2012-08-29	2012-08-29	2012-08-29	25	2013-05-09	2014-07-17
252775	LINZ Data Upload	42244	25	41187	2010-05-13	2010-05-13	2010-11-27	52	2012-06-10	2013-09-13
61992	derekc	7145	40	6749	2008-08-25	2008-08-25	2008-08-25	8	2009-03-13	2008-09-05
1560805	GeoffL	3514	0	3435	2013-06-19	2013-06-19	NULL	32	2014-08-13	2014-02-21
81451	Tali'sman	6438	4	232	2009-02-07	2009-02-07	2009-02-07	1	2009-02-07	2009-02-07
66045	greatmaster	4356	0	2957	2012-05-21	2012-05-21	NULL	43	2013-09-15	2013-08-25
102173	Jonathan Chen	1284	0	633	2009-02-25	2009-02-25	NULL	29	2009-03-26	2009-03-09
306740	muriwai_wanderers	3243	0	2492	2010-07-01	2010-07-19	NULL	41	2011-04-01	2012-02-09
142831	Rudy355	543578	65	396912	2009-07-07	2009-07-09	2009-11-27	1104	2012-07-28	2012-08-11
1227701	mrsid_linz	73179	163	73179	2013-02-23	2013-02-23	2013-02-23	18	2014-01-28	2013-09-09
398817	ullus	3216	0	3155	2014-07-18	2014-07-18	NULL	6	2015-05-16	2014-09-17
423330	Larifari77	11899	0	9888	2011-08-29	2011-08-29	NULL	29	2012-02-23	2012-02-27
84058	lisa1	1310	7	384	2008-12-27	2008-12-27	2008-12-27	1	2008-12-27	2008-12-27
409326	MErh	2848	0	2757	2013-05-15	2013-05-15	NULL	6	2013-05-19	2013-05-19
2318	Latze	3339	0	3336	2011-09-27	2011-09-27	NULL	2	2011-09-28	2011-09-28
7742	sygopet	5932	7	1842	2007-07-06	2007-07-06	2007-11-24	43	2008-03-19	2007-12-01
5992	StupidGenius	9433	241	9433	2007-02-11	2007-02-11	2007-02-11	15	2007-02-26	2007-02-19
1919345	hazzik	2830	0	2159	2014-02-05	2014-02-05	NULL	4	2014-07-05	2014-02-14
2433167	Mohammed7	1608	0	1281	2014-11-20	2014-11-20	NULL	35	2015-06-22	2015-07-11
1043490	MartynC	1653	0	577	2012-11-11	2012-11-11	NULL	15	2012-11-23	2012-11-26
923271	aldoct	2063	0	824	2013-01-29	2013-01-29	NULL	20	2014-04-25	2015-01-03
460645	John o	3163	0	431	2011-05-27	2011-05-27	NULL	30	2011-06-23	2011-06-13
28079	madmax	1169	40	1035	2008-03-10	2008-03-10	2008-03-10	7	2008-04-02	2008-03-31
777817	Paulic03	2024	0	1990	2012-08-27	2012-08-27	NULL	1	2012-08-28	2012-08-28
1430787	Robert Ancell	173924	0	155209	2013-05-09	2013-05-09	NULL	212	2014-09-12	2014-10-17
10829	myfanwy	350126	295	188042	2007-07-22	2007-07-22	2007-07-23	1022	2011-11-12	2011-04-01
341519	lcmortensen	21618	76	16512	2010-09-02	2010-09-02	2010-10-30	281	2013-06-25	2013-11-17
50033	RossB	9481	9	7226	2008-07-13	2008-07-13	2008-09-07	74	2008-10-18	2008-10-18
205970	Glen Barnes	1235	0	727	2010-05-19	2010-05-19	NULL	8	2011-07-11	2010-12-03
775818	Oliver13	1178	0	53	2012-08-03	2012-08-03	NULL	2	2012-08-06	2012-08-08
735805	StephenDavis	687275	0	686479	2012-09-06	2012-11-13	NULL	22	2014-04-25	2015-04-21
71453	Wolfgang Fahl	1800	0	363	2008-10-12	2008-10-12	NULL	12	2008-10-30	2008-11-06
277782	more-ron	9194	7	8599	2010-04-28	2010-04-28	2010-05-18	41	2013-04-02	2013-07-13
109653	andrewsimpson	10423	27	5905	2009-03-22	2009-03-22	2009-03-22	45	2010-04-03	2009-10-31
577904	dagon	5117	0	4168	2012-07-01	2012-07-01	NULL	69	2013-01-28	2013-03-10
5974	samlarsen1	10259	53	2099	2008-07-16	2008-07-16	2009-02-13	13	2009-04-04	2009-02-09
349415	barnaclebarnes	2688	0	2291	2010-12-01	2010-12-01	NULL	19	2011-09-23	2012-03-05
9001	ianaf4you	3495	5	2549	2008-03-12	2008-03-12	2008-04-20	25	2008-04-22	2008-05-03
131721	Publius	969	4	508	2009-06-04	2009-06-04	2011-05-23	13	2010-12-28	2010-03-04
8102	kmf	6473	417	6473	2007-07-02	2007-07-02	2007-07-02	5	2007-07-06	2007-07-04
48939	MONOWAI	1	0	0	2008-07-01	NULL	NULL	1	2008-07-01	2008-07-01
365907	rata_tata	1	0	1	2010-11-07	2010-11-07	NULL	1	2010-11-07	2010-11-07
638183	RicoZ	1	0	0	2015-09-10	NULL	NULL	1	2015-09-11	2015-09-11
311318	luiswoo	1	0	0	2013-12-05	NULL	NULL	1	2013-12-06	2013-12-06
2678091	Parallax	1	0	1	2015-02-17	2015-02-17	NULL	1	2015-02-18	2015-02-18
155432	Solarnz	1	0	0	2009-10-24	NULL	NULL	1	2009-10-24	2009-10-24
3338910	Jonathan Schofield	1	0	0	2015-10-26	NULL	NULL	1	2015-10-27	2015-10-27
213594	Hagman	1	0	1	2011-03-31	2011-03-31	NULL	1	2011-04-01	2011-04-01
