user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
16170	ste	350	0	347	2010-04-27	2010-04-27	NULL	1	2010-04-27	2010-04-27
87939	antecessor	18576	6	18576	2011-01-06	2011-01-06	2011-01-06	5	2011-01-08	2011-01-08
126203	Jose Luis Infante	20826	0	18254	2009-05-19	2009-05-19	NULL	195	2013-11-18	2015-05-13
115931	yodeima	13748	5	6992	2009-04-13	2009-04-13	2009-04-26	189	2011-02-10	2010-12-19
754640	Carlos_Sánchez	30263	0	22801	2012-07-23	2012-07-23	NULL	273	2014-03-30	2013-12-07
523522	KonfrareAlbert	37468	0	34095	2011-09-17	2011-09-17	NULL	108	2013-03-19	2012-05-19
23167	Juan Toledo	22990	60	10355	2008-01-02	2008-01-02	2008-01-02	49	2009-02-28	2008-04-15
55987	Jaume Figueras	11387	1	7989	2008-10-29	2008-10-29	2011-07-31	44	2011-04-24	2010-11-29
145231	woodpeck_repair	34189	0	0	2012-12-10	NULL	NULL	7	2014-01-06	2013-12-16
120406	Toni Guasch	28549	10	28257	2009-04-30	2009-04-30	2009-05-21	25	2011-02-06	2012-02-02
573582	DanielBautista	77166	1	74883	2014-01-16	2014-01-16	2014-12-13	32	2014-09-04	2014-10-04
2130444	Jose Antonio Fontaneda	35165	0	20742	2014-06-17	2014-06-17	NULL	41	2015-11-04	2015-12-06
391962	moogido	30373	1	22513	2011-01-05	2011-01-05	2013-08-12	244	2012-07-31	2012-02-01
59697	r0uzic	16517	0	12687	2008-08-16	2008-08-16	NULL	119	2014-05-29	2015-01-11
177234	cdamian	16361	18	15724	2009-09-24	2009-09-24	2009-09-25	60	2011-02-23	2010-08-21
2318	Latze	12355	0	12355	2011-02-14	2011-02-14	NULL	1	2011-02-14	2011-02-14
617011	catastro_barcelona	10691	0	10074	2013-06-30	2013-06-30	NULL	33	2015-01-24	2015-02-20
2418388	Luis Peña	23586	0	19544	2014-10-22	2014-10-22	NULL	115	2015-01-26	2015-01-07
129718	sim6	26642	0	17297	2009-05-29	2009-05-29	NULL	165	2011-11-19	2011-03-16
243992	josepmunoz	69705	0	64997	2011-07-25	2011-07-25	NULL	89	2011-11-29	2011-09-29
