user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
31435	COP	1451	0	0	2008-04-20	NULL	NULL	8	2008-06-18	2008-06-26
12671	sladen	557	0	339	2012-12-24	2012-12-24	NULL	3	2012-12-27	2012-12-25
2804917	Teddy D	80	0	60	2015-04-03	2015-04-03	NULL	1	2015-04-03	2015-04-03
265019	robgendreau	11	0	6	2010-04-13	2010-04-13	NULL	3	2010-04-26	2010-04-17
461078	AlbertoDeRoma	3	0	2	2011-05-26	2011-05-26	NULL	1	2011-05-26	2011-05-26
1956182	dcarner	2	0	2	2014-02-26	2014-02-26	NULL	1	2014-02-26	2014-02-26
722137	OSMF Redaction Account	20579	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
316427	Mike Perham	2	0	2	2010-07-09	2010-07-09	NULL	1	2010-07-09	2010-07-09
334354	monica-at-sfgov	2	0	2	2010-08-16	2010-08-16	NULL	1	2010-08-16	2010-08-16
242352	BK_man	25663	0	19366	2012-03-08	2012-03-08	NULL	217	2014-04-30	2013-10-20
2254194	bierce	2	0	1	2014-12-06	2014-12-06	NULL	1	2014-12-05	2014-12-05
436419	wvdp	21313	2	14719	2014-02-20	2014-02-20	2014-10-09	18	2014-12-19	2014-12-15
2374455	Madison90	2	0	2	2014-10-03	2014-10-03	NULL	1	2014-10-02	2014-10-02
381909	JessAk71	29330	26	24129	2010-12-14	2010-12-14	2011-02-08	113	2012-01-14	2011-10-23
364581	Yasser Ebrahim	2	0	2	2012-02-07	2012-02-07	NULL	1	2012-02-07	2012-02-07
2180523	pbuechner	2	0	1	2014-07-11	2014-07-11	NULL	1	2014-07-11	2014-07-11
416274	t8burst	2	0	1	2011-03-01	2011-03-01	NULL	1	2011-03-01	2011-03-01
347254	GemZee	2	0	2	2010-09-15	2010-09-15	NULL	1	2010-09-15	2010-09-15
3415463	bjkosm	2	0	2	2015-12-22	2015-12-22	NULL	1	2015-12-22	2015-12-22
326065	Michael Cottle	2	0	2	2010-07-29	2010-07-29	NULL	1	2010-07-29	2010-07-29
2068341	chnb	2	0	1	2014-05-09	2014-05-09	NULL	1	2014-05-09	2014-05-09
