user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
59724	dgromer	25	0	25	2012-05-23	2012-05-23	NULL	2	2012-05-27	2012-05-24
18069	Claudius Henrichs	132	0	20	2008-02-29	2010-03-24	NULL	24	2010-06-16	2010-08-13
106291	eddyfox	6	0	1	2014-08-12	2014-08-12	NULL	1	2014-08-12	2014-08-12
3360808	Tribunal Supremo Electoral	1	0	1	2015-11-16	2015-11-16	NULL	1	2015-11-16	2015-11-16
2230854	RadFr	1	0	0	2014-09-09	NULL	NULL	1	2014-09-09	2014-09-09
1804641	mareginator	7	0	4	2013-11-27	2013-11-27	NULL	1	2013-11-27	2013-11-27
2504937	thevoid	283	0	0	2014-12-31	NULL	NULL	2	2015-01-04	2015-01-05
56491	Oszedo	2849	0	2092	2008-08-03	2008-08-03	NULL	30	2008-09-27	2008-08-28
726071	chessman66	7	0	4	2012-07-11	2012-07-11	NULL	1	2012-07-11	2012-07-11
698221	Frauke Mielke	76	0	25	2013-06-07	2015-07-10	NULL	3	2014-10-29	2015-05-31
805325	luelegrisa	113	0	100	2012-08-14	2012-08-14	NULL	8	2012-08-29	2012-08-30
1869781	AndiG88	305	0	7	2014-05-11	2014-05-11	NULL	22	2014-09-14	2014-09-23
120777	Anna1	6	0	6	2009-10-25	2009-10-25	NULL	1	2009-10-26	2009-10-26
99378	Mittagsgast	28	0	7	2009-03-19	2009-04-03	NULL	3	2009-04-18	2009-04-01
2113657	Jothatelde	2	0	2	2015-08-08	2015-08-08	NULL	1	2015-08-08	2015-08-08
1774448	Hitabis	2	0	1	2013-10-14	2013-10-14	NULL	1	2013-10-14	2013-10-14
588364	danielorth	9	0	8	2012-01-17	2012-01-17	NULL	1	2012-01-17	2012-01-17
577840	kuehlborn	10	0	1	2013-10-05	2013-10-05	NULL	1	2013-10-06	2013-10-06
191898	CacheFux	4337	0	3516	2009-10-30	2009-10-30	NULL	44	2010-02-24	2009-12-27
1451799	k-einar	47	0	16	2015-05-19	2015-05-19	NULL	2	2015-05-20	2015-05-20
1600811	cschotti	1	0	1	2013-07-01	2013-07-01	NULL	1	2013-07-01	2013-07-01
284506	Ralle0815	6	0	2	2014-08-08	2014-08-08	NULL	2	2014-08-20	2014-08-28
3191725	WCPUP	2	0	1	2015-08-28	2015-08-28	NULL	1	2015-08-28	2015-08-28
58546	StegSchreck	1034	0	611	2013-06-19	2013-06-19	NULL	4	2013-12-11	2013-10-29
358118	PeterLi65	25	0	7	2010-10-13	2010-10-13	NULL	2	2010-10-14	2010-10-14
799014	hdy3er	4761	0	2096	2012-08-12	2012-08-12	NULL	87	2014-11-18	2015-02-03
359038	Pyppi	158	0	138	2010-10-15	2010-10-15	NULL	4	2010-10-23	2010-10-15
6340	RainerWasserfuhr	6	0	3	2009-12-06	2009-12-06	NULL	4	2010-01-05	2009-12-31
682562	hausnummernergänzer	1548	0	1530	2013-03-29	2013-03-29	NULL	4	2013-04-07	2013-04-11
42735	Berlinertom	7	0	0	2010-01-22	NULL	NULL	1	2010-01-22	2010-01-22
1726551	scholty	6	0	1	2013-09-11	2014-06-09	NULL	2	2014-01-25	2014-04-25
92678	ckasmeridis	19	0	0	2009-01-19	NULL	NULL	1	2009-01-19	2009-01-19
2579561	nadolnydesign	1	0	0	2015-01-15	NULL	NULL	1	2015-01-15	2015-01-15
120369	tom63452	1	0	1	2010-04-16	2010-04-16	NULL	1	2010-04-16	2010-04-16
1188944	grumar	1	0	0	2015-09-02	NULL	NULL	1	2015-09-02	2015-09-02
250351	xstatic	13	0	0	2010-03-31	NULL	NULL	2	2012-07-28	2010-08-09
60940	Melwin	1044	0	812	2008-08-22	2008-08-24	NULL	31	2010-06-24	2010-06-16
1888150	antenne123	30	0	19	2014-01-16	2014-01-16	NULL	4	2014-08-16	2014-09-09
113261	Paul Pfeiffer	4	0	3	2009-04-03	2009-04-03	NULL	1	2009-04-03	2009-04-03
688493	Ameise79	1	0	1	2012-05-24	2012-05-24	NULL	1	2012-05-24	2012-05-24
2818351	Andre275	1	0	1	2015-12-03	2015-12-03	NULL	1	2015-12-03	2015-12-03
2387474	Wilmersdorfer01	1	0	0	2014-10-09	NULL	NULL	1	2014-10-09	2014-10-09
400106	jen-sch	20	0	15	2011-01-25	2012-02-04	NULL	2	2011-08-01	2012-01-16
2934013	LaMensch	12	0	1	2015-08-05	2015-08-15	NULL	4	2015-08-12	2015-08-14
1244453	Lt_Grillwurst	108	0	17	2013-03-21	2013-03-21	NULL	4	2013-10-06	2013-04-19
315578	x1ve	8	0	2	2010-07-08	2010-07-08	NULL	2	2010-07-09	2010-07-08
14498	Jan Westerhof	4	0	1	2012-05-03	2012-05-03	NULL	1	2012-05-03	2012-05-03
