user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
200869	FMFT	33001	0	31393	2009-11-24	2009-11-24	NULL	100	2011-05-12	2010-12-15
4951	PeterEastern	39371	0	1743	2009-01-31	2009-01-31	NULL	6	2009-02-19	2009-02-01
22347	cartinus	6742	53	6742	2008-01-19	2008-01-19	2008-01-19	1	2008-01-19	2008-01-19
389825	synack	6089	0	2444	2011-01-01	2011-01-01	NULL	36	2012-01-07	2011-05-12
165061	mapper999	14724	0	12141	2012-10-17	2013-09-04	NULL	16	2013-10-07	2013-10-08
62133	Tim BL	32315	0	19739	2008-09-28	2008-09-28	NULL	106	2010-05-23	2009-12-16
81676	Peter Dobratz	6694	0	5062	2010-08-11	2010-08-11	NULL	38	2012-05-15	2012-08-12
402624	bdiscoe	16228	0	523	2014-03-28	2014-03-28	NULL	3	2014-03-28	2014-03-28
422979	Parcanman	8900	0	7287	2011-03-16	2011-03-16	NULL	29	2014-05-10	2014-06-03
15750	MassGIS Import	821495	3035	821489	2007-10-08	2007-10-08	2007-10-08	9	2007-10-12	2007-10-12
360392	maxerickson	13316	0	3863	2013-01-29	2013-01-29	NULL	41	2014-09-06	2014-11-03
81285	Ahlzen	198401	0	162265	2009-02-15	2009-02-15	NULL	501	2012-05-12	2012-05-14
110489	Pouletic	10172	0	162	2009-03-24	2009-03-24	NULL	6	2009-03-28	2009-03-26
354704	OceanVortex	443238	0	276190	2010-10-04	2010-10-04	NULL	306	2012-11-27	2013-03-24
92937	DavidZ	8393	0	8051	2010-01-02	2010-01-02	NULL	26	2011-09-26	2010-09-20
101612	SuitGuy	11910	0	355	2009-02-22	2009-02-22	NULL	5	2009-03-23	2009-02-25
1137571	OceanVortex-massgis	15195	0	15195	2012-12-15	2012-12-15	NULL	1	2012-12-14	2012-12-14
58305	fiveisalive	17319	27	11998	2009-05-05	2009-05-05	2012-08-19	99	2010-12-28	2010-08-06
381909	JessAk71	6424	49	5762	2011-01-11	2011-01-11	2011-02-09	19	2011-04-06	2011-04-25
23351	JasonWoof	25709	0	7474	2008-02-12	2008-02-12	NULL	134	2010-01-12	2009-08-24
221294	morganwahl	963259	34	956877	2010-01-19	2010-01-19	2010-10-15	66	2011-04-14	2010-11-18
1137433	jremillard-massgis	4393414	2	4393410	2012-12-14	2012-12-14	2013-03-27	21	2013-04-12	2013-03-31
41197	Brian Ristuccia	52481	0	52083	2010-04-05	2010-04-27	NULL	48	2011-10-19	2012-12-30
339172	dloutzen	29580	0	28233	2010-11-07	2010-11-07	NULL	125	2012-01-24	2012-01-10
326503	wambag	318013	0	160827	2010-08-06	2010-08-06	NULL	839	2012-11-11	2012-11-24
620387	jremillard	11038	0	7001	2012-03-08	2012-03-08	NULL	133	2013-10-15	2013-08-11
505131	massDOT	27128	6	26978	2011-08-15	2011-08-15	2012-08-31	11	2012-02-16	2011-10-01
154730	Olek Lorenc	12391	0	10955	2009-10-14	2009-10-14	NULL	23	2011-05-15	2011-01-20
93524	gdt	8304	0	6715	2009-01-31	2009-01-31	NULL	128	2011-12-28	2012-08-12
305985	ingalls	76475	0	76326	2012-12-11	2012-12-11	NULL	3	2012-12-12	2012-12-12
14293	KindredCoda	22626	64	6935	2007-09-23	2007-09-23	2007-09-23	63	2009-02-27	2008-09-06
1670311	SophoM	6979	0	5193	2013-07-23	2013-07-23	NULL	190	2014-03-09	2014-01-19
207745	NE2	15109	0	2906	2010-01-26	2010-01-26	NULL	42	2011-07-15	2011-11-01
725620	Rockear	1	0	1	2014-05-14	2014-05-14	NULL	1	2014-05-14	2014-05-14
1703214	jnymac	12	0	6	2013-08-02	2013-08-02	NULL	1	2013-08-02	2013-08-02
2257567	RMap1	437	0	407	2014-08-14	2014-08-14	NULL	5	2014-08-22	2014-08-26
166771	kayak1234	5	0	0	2009-09-03	NULL	NULL	1	2009-09-02	2009-09-02
175058	Tom Walsh	4730	0	4328	2009-09-18	2009-09-18	NULL	47	2010-02-23	2010-02-23
386417	tom373	2	0	2	2010-12-21	2010-12-21	NULL	1	2010-12-21	2010-12-21
1204409	davelyman	2	0	0	2013-01-20	NULL	NULL	1	2013-01-20	2013-01-20
10927	Skywave	4429	0	4276	2008-01-20	2008-01-20	NULL	3	2008-01-22	2008-01-19
294898	JohnBowe	2	0	1	2010-05-30	2010-05-30	NULL	1	2010-05-30	2010-05-30
339552	djcp	2	0	2	2010-08-28	2010-08-28	NULL	1	2010-08-28	2010-08-28
341370	Gdog477	2	0	2	2010-09-01	2010-09-01	NULL	1	2010-09-01	2010-09-01
1723831	Echo Echo	3987	0	3198	2014-02-05	2014-02-05	NULL	42	2014-04-30	2014-04-02
1206577	reveretaxi	2	0	2	2013-01-21	2013-01-21	NULL	1	2013-01-21	2013-01-21
410823	spaceeinstein	3691	0	2192	2011-02-18	2011-02-18	NULL	26	2011-04-19	2011-03-21
41904	Nothlit	4514	0	3352	2009-08-17	2009-08-17	NULL	21	2010-11-15	2010-03-11
1232963	ursusw	2	0	1	2013-02-17	2013-02-17	NULL	1	2013-02-17	2013-02-17
161951	DLichti	2	0	2	2013-11-23	2013-11-23	NULL	2	2014-01-31	2014-01-31
110046	freietonne-db	2	0	0	2012-12-21	NULL	NULL	1	2012-12-21	2012-12-21
4732	iandees	5857	55	5857	2008-05-10	2008-05-10	2008-05-10	4	2008-12-23	2009-02-08
562923	agreaves	2	0	2	2011-12-01	2011-12-01	NULL	1	2011-12-01	2011-12-01
654051	Raq929	2	0	1	2012-04-09	2012-04-09	NULL	1	2012-04-09	2012-04-09
2017426	Jason Carreiro	2	0	1	2014-04-04	2014-04-04	NULL	1	2014-04-04	2014-04-04
1764508	Channing	1	0	0	2013-10-03	NULL	NULL	1	2013-10-03	2013-10-03
342831	Ellison	2	0	0	2010-09-05	NULL	NULL	1	2010-09-05	2010-09-05
722137	OSMF Redaction Account	737	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
297482	don-vip	3	0	0	2011-06-03	NULL	NULL	1	2011-06-03	2011-06-03
842141	PlanBForLibreOffice	3	0	3	2012-08-29	2012-08-29	NULL	1	2012-08-29	2012-08-29
296141	cm2	4	0	0	2010-06-01	NULL	NULL	1	2010-06-01	2010-06-01
368261	Schlichtman	1	0	1	2010-11-08	2010-11-08	NULL	1	2010-11-07	2010-11-07
584850	ereuss	4	0	3	2012-01-12	2012-01-12	NULL	1	2012-01-12	2012-01-12
1950500	smita1	4	0	4	2014-02-23	2014-02-23	NULL	1	2014-02-23	2014-02-23
574562	wackywendell	4	0	1	2011-12-26	2011-12-26	NULL	1	2011-12-26	2011-12-26
1207207	blissfulight	3	0	1	2013-05-02	2013-05-02	NULL	1	2013-05-02	2013-05-02
632005	vishsub	4	0	4	2012-03-18	2012-03-18	NULL	1	2012-03-18	2012-03-18
398086	lesko987	3	0	0	2013-08-14	NULL	NULL	2	2013-08-27	2013-08-31
28595	TomLouie	4	0	1	2012-03-09	2012-03-09	NULL	1	2012-03-09	2012-03-09
600572	MDobson82	1	0	1	2012-02-06	2012-02-06	NULL	1	2012-02-06	2012-02-06
1425455	EricSJ	3561	0	3531	2013-05-07	2013-05-07	NULL	10	2013-09-26	2013-05-27
110807	DavidClark	3681	0	785	2009-03-25	2009-03-25	NULL	12	2009-05-11	2009-04-14
1197336	JasonMapper	3330	0	3249	2013-01-26	2013-01-26	NULL	6	2013-02-08	2013-02-10
179506	nkhall	2832	0	1249	2009-09-29	2009-09-29	NULL	56	2010-01-08	2009-11-10
1472711	kirsanov	2451	0	2389	2013-08-22	2013-08-22	NULL	3	2013-09-08	2013-08-25
532808	winsto99	3304	0	2783	2011-10-08	2011-10-08	NULL	32	2012-08-14	2012-07-03
352373	GarrettB	2473	0	2380	2010-11-15	2010-11-15	NULL	21	2012-05-06	2012-10-07
843366	Jim Kogler	2555	0	1818	2012-08-29	2012-08-29	NULL	14	2013-02-19	2013-02-14
1779138	bfabry	2651	0	2456	2013-10-19	2013-10-19	NULL	19	2014-03-10	2014-01-29
256900	probiscus	3025	0	1672	2012-01-30	2012-01-30	NULL	125	2013-01-13	2012-09-24
2017504	VKW	1	0	1	2014-04-04	2014-04-04	NULL	1	2014-04-04	2014-04-04
170672	1248	102	0	0	2010-02-19	NULL	NULL	1	2010-02-19	2010-02-19
496920	CambridgeRes	3	0	0	2011-07-28	NULL	NULL	2	2012-12-12	2013-05-29
561719	Randi L	12	0	11	2011-11-29	2011-11-29	NULL	1	2011-11-29	2011-11-29
387109	shmee1	7	0	5	2010-12-23	2010-12-23	NULL	1	2010-12-22	2010-12-22
1326885	gavra	22	0	21	2013-04-04	2013-04-04	NULL	4	2013-05-29	2013-05-19
2001742	Kaykut	5	0	5	2014-03-25	2014-03-25	NULL	1	2014-03-25	2014-03-25
389309	Pat O'Reilly	990	0	488	2010-12-29	2010-12-30	NULL	7	2011-01-22	2011-01-19
