user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
28237	lyx	2965	96	2410	2009-07-19	2009-07-19	2010-02-06	21	2010-03-20	2010-06-04
37791	Fradeve11	1422	9	287	2009-01-23	2009-01-23	2009-01-23	1	2009-01-23	2009-01-23
78015	Alaa Noor	2533	0	0	2008-11-05	NULL	NULL	3	2008-11-29	2008-11-27
104804	eldolly	10646	2	5904	2009-03-08	2009-03-08	2009-09-12	22	2009-07-20	2009-07-13
1611	Harry Wood	7682	78	6075	2008-12-08	2008-12-08	2008-12-08	15	2009-01-25	2009-01-26
382210	MoOoD83	1475	1	1070	2012-05-15	2012-05-15	2012-05-15	3	2012-05-26	2012-05-29
342822	FidelCastro	6408	2	5157	2011-02-06	2011-02-06	2012-04-06	59	2013-04-30	2014-06-22
1240849	ediyes	3664	8	3465	2014-07-21	2014-07-21	2015-04-14	20	2015-03-13	2015-03-25
1806604	TrailRunning	1434	9	1234	2013-12-05	2013-12-05	2013-12-06	6	2013-12-10	2013-12-08
2953895	warneke7	48218	12	38165	2015-12-01	2015-12-01	2015-12-01	22	2015-12-30	2015-12-29
3092883	MANCARIOS	2359	4	2186	2015-07-25	2015-07-25	2015-11-04	10	2015-10-24	2015-11-07
393369	Rondon237	64852	196	60473	2011-02-05	2011-02-05	2011-02-06	21	2011-06-20	2011-02-21
661132	DesertMoh	36148	87	27634	2013-04-30	2013-04-30	2013-05-13	195	2014-11-17	2014-09-29
103891	Martin Enzner	3884	0	0	2009-03-04	NULL	NULL	8	2009-03-20	2009-03-16
83557	Esperanza36	151102	622	27702	2008-12-04	2008-12-04	2008-12-04	161	2011-05-20	2009-06-05
1790815	رامز	36185	7	8455	2013-10-30	2013-10-30	2013-12-28	48	2014-04-03	2014-03-05
72235	Basstoelpel	1252	83	1142	2011-09-18	2011-09-18	2013-04-25	6	2013-03-08	2013-05-19
453695	RR81	8849	12	7183	2012-08-04	2012-08-04	2012-08-05	7	2012-10-14	2012-08-22
12178	edwin-ldbg	2685	0	2603	2009-02-09	2009-02-09	NULL	4	2009-11-28	2009-09-13
91490	Heinz_V	14766	540	13762	2011-02-04	2011-02-04	2011-02-04	14	2011-02-15	2011-02-11
2489174	Mohamed Eissa	1559	0	430	2014-11-27	2014-11-27	NULL	4	2014-11-29	2014-11-29
36997	Zabadok	1260	119	639	2008-09-20	2008-09-20	2008-09-20	13	2010-02-02	2010-12-25
23960	Utilisateur anonyme	1236	1	1232	2011-02-11	2011-02-11	2011-02-11	2	2011-02-13	2011-02-13
101835	JoAssaf	1235	27	600	2009-12-19	2009-12-19	2009-12-19	15	2010-04-02	2009-12-27
304660	goofy1982	1412	0	1323	2010-06-16	2010-06-16	NULL	14	2012-07-02	2013-01-03
31102	estr4ng3d	6494	24	5825	2008-03-17	2008-03-17	2008-03-17	69	2009-12-24	2009-11-29
196617	venerdi	2166	119	1726	2011-03-06	2011-03-06	2011-03-06	9	2013-04-02	2012-07-08
1238079	ArthurLeggewie	2985	4	2246	2013-03-02	2013-03-02	2013-03-18	22	2013-04-19	2013-03-21
11567	Metehyi	20653	222	7737	2007-08-20	2007-08-20	2009-02-05	128	2010-04-08	2010-02-21
1731253	keepright! ler	1818	23	1332	2013-11-17	2013-11-17	2013-11-17	24	2014-08-05	2014-08-31
12295	mapper_07	7561	58	833	2007-11-22	2007-11-22	2007-11-22	7	2009-07-02	2008-11-13
376372	Emadgkhalil	2266	5	1796	2011-09-15	2011-09-15	2011-11-10	18	2012-02-20	2011-12-19
1043367	med_h_e	5580	3	2561	2014-09-30	2014-09-30	2014-10-09	9	2014-10-05	2014-10-03
674552	HKWL	1813	17	1800	2012-05-05	2012-05-05	2012-05-05	1	2012-05-05	2012-05-05
55696	MatzeM	1578	28	70	2009-04-15	2009-04-16	2009-04-16	3	2009-04-29	2009-04-16
404532	jaimemd	2162	1	1789	2015-09-14	2015-09-14	2015-09-15	5	2015-09-22	2015-09-22
72043	matata	3959	54	2722	2009-04-22	2009-04-22	2009-11-10	36	2009-11-24	2009-12-13
246599	Slimtah	3440	8	1520	2010-03-19	2010-03-19	2010-04-14	18	2010-04-03	2010-04-06
239172	bauma	28649	50	27975	2012-01-25	2012-01-25	2012-01-28	17	2012-03-15	2012-03-06
30587	IknowJoseph	2590	66	2103	2008-12-29	2008-12-29	2009-05-02	30	2010-03-20	2010-05-22
3433553	totifra	2426	2	2426	2015-12-04	2015-12-04	2015-12-04	1	2015-12-04	2015-12-04
2512300	samely	1800	2	1676	2015-04-22	2015-04-22	2015-04-23	12	2015-07-06	2015-05-01
1242704	Allegro34	30752	121	28784	2013-08-07	2013-08-07	2013-08-10	43	2013-11-26	2013-10-19
211391	sayedat	11521	19	6278	2009-12-23	2009-12-23	2010-02-08	161	2010-12-26	2010-07-14
341286	thegazy	7750	49	5041	2010-09-01	2010-09-01	2010-09-02	24	2010-10-01	2010-09-12
178186	mdk	3	0	0	2012-04-25	NULL	NULL	1	2012-04-25	2012-04-25
706587	Семён Семёнов	502	0	232	2013-05-02	2013-05-02	NULL	1	2013-05-02	2013-05-02
2219338	RichRico	463	0	329	2014-08-22	2014-09-26	NULL	17	2015-04-20	2015-03-31
181561	mash00	276	0	276	2010-09-20	2010-09-20	NULL	2	2010-09-21	2010-09-21
2362154	Geomapper69	578	0	447	2014-09-27	2014-09-27	NULL	6	2015-01-22	2015-06-16
385790	manicrjs	604	1	465	2011-02-04	2011-02-04	2011-02-04	5	2011-04-13	2011-03-24
558320	benek	670	0	646	2013-09-09	2013-09-09	NULL	1	2013-09-09	2013-09-09
2004158	OmarOHelmy	748	0	689	2014-03-27	2014-03-27	NULL	2	2014-03-30	2014-03-31
29055	derden	732	48	661	2011-06-19	2011-06-19	2011-06-19	7	2011-08-07	2011-07-24
26299	uboot	489	0	1	2008-04-02	2015-11-15	NULL	3	2011-09-13	2008-04-11
210577	msamer	428	2	222	2009-12-20	2009-12-20	2011-01-13	7	2010-06-16	2010-04-13
975150	Pau69	274	0	257	2012-12-24	2012-12-24	NULL	2	2012-12-25	2012-12-25
2173660	Couannetine	563	0	548	2015-01-06	2015-01-06	NULL	2	2015-01-07	2015-01-07
16478	Raymond	408	0	106	2008-08-06	2008-08-06	NULL	2	2008-08-07	2008-08-07
553244	Ahmed Said	290	0	248	2011-11-12	2011-11-12	NULL	11	2012-08-11	2012-07-27
13832	Peter14	400	0	134	2013-12-13	2013-12-14	NULL	53	2014-04-11	2014-02-18
16882	doktrino	265	1	250	2007-11-03	2007-11-03	2007-11-05	3	2007-11-04	2007-11-04
1798022	El Ghrabawy	281	0	252	2013-11-07	2013-11-07	NULL	2	2013-11-09	2013-11-09
171673	Fraenk	647	0	598	2009-09-13	2009-09-13	NULL	5	2010-05-30	2010-09-10
336460	robgeb	489	0	420	2012-09-11	2012-09-11	NULL	3	2013-03-05	2012-10-18
2810092	Ahmed Waly	282	0	279	2015-04-07	2015-04-07	NULL	8	2015-05-05	2015-05-05
119524	mohamed ouda	319	0	308	2013-03-31	2013-03-31	NULL	15	2014-09-09	2014-06-17
17254	Jpatokal	529	0	259	2009-03-28	2009-03-28	NULL	3	2009-04-25	2009-04-18
128281	razor74	675	6	560	2013-12-04	2013-12-04	2013-12-14	4	2013-12-08	2013-12-12
2513021	edwardsaid	283	0	202	2014-12-10	2014-12-10	NULL	20	2015-01-26	2015-01-10
91056	Yarl	326	25	306	2011-01-31	2011-01-31	2011-01-31	2	2011-02-03	2011-02-02
3249330	anchhor	402	0	360	2015-09-19	2015-09-19	NULL	3	2015-10-22	2015-09-28
925373	Mahmoud AbdElAziz	277	2	263	2012-09-27	2012-09-27	2013-01-02	13	2012-11-08	2012-10-26
98876	rsoden	342	108	342	2009-05-13	2009-05-13	2009-05-13	1	2009-05-13	2009-05-13
408450	BáthoryPéter	315	0	192	2015-10-15	2015-10-25	NULL	3	2015-10-23	2015-10-28
6809	TimSC_Data_CC0_To_Andy_Allan	594	18	585	2007-04-04	2007-04-04	2007-04-04	3	2008-07-11	2009-03-22
1829683	Luis36995	365	1	297	2014-07-15	2014-07-17	2014-08-20	19	2015-01-14	2015-03-30
788014	LLlypuk82	464	0	448	2014-12-08	2014-12-08	NULL	1	2014-12-08	2014-12-08
2511706	calfarome	263	0	208	2015-03-30	2015-04-16	NULL	8	2015-06-01	2015-04-18
12107	riddle930	438	0	0	2009-01-06	NULL	NULL	1	2009-01-06	2009-01-06
12055	aude	435	0	43	2008-12-28	2008-12-28	NULL	3	2009-06-03	2009-01-06
39504	malenki	334	0	0	2009-10-03	NULL	NULL	2	2009-10-07	2009-10-04
437598	dmgroom_ct	265	0	50	2014-07-15	2014-07-15	NULL	1	2014-07-16	2014-07-16
570551	kr12	637	0	96	2012-06-24	2012-06-24	NULL	1	2012-06-24	2012-06-24
184332	Arnaud73	354	0	93	2010-12-10	2010-12-10	NULL	2	2010-12-11	2010-12-10
152178	ErolGuven	633	3	329	2009-08-01	2009-08-01	2009-08-01	19	2009-09-11	2009-08-25
54917	abdallah79	531	13	452	2008-08-11	2008-08-11	2008-08-11	6	2008-10-14	2008-08-25
7068	YitLu	558	6	491	2009-07-30	2009-07-30	2009-08-31	4	2009-08-14	2009-08-09
2507179	Hassan Gaafar	685	0	501	2014-12-07	2014-12-07	NULL	1	2014-12-07	2014-12-07
15075	Reddig	755	0	593	2011-02-04	2011-02-04	NULL	3	2011-02-05	2011-02-05
12448	Hartmut Holzgraefe	198	1	44	2009-09-23	2009-09-23	2009-09-23	4	2009-11-15	2009-10-18
165869	chdr	201	0	201	2011-01-29	2011-01-29	NULL	1	2011-01-29	2011-01-29
63969	olvagor	958	15	921	2012-05-13	2012-05-13	2012-05-13	2	2012-09-20	2013-01-12
160949	eric22	796	0	0	2013-03-03	NULL	NULL	1	2013-03-03	2013-03-03
2530932	Omar Elkousy	932	0	750	2015-01-18	2015-01-18	NULL	5	2015-02-25	2015-02-24
356467	Darquer	944	9	801	2010-10-08	2010-10-08	2010-10-09	10	2010-10-21	2010-10-28
519501	parukhin	189	0	63	2012-09-01	2012-09-01	NULL	3	2012-11-06	2012-09-05
108822	Zizo	799	0	0	2009-03-19	NULL	NULL	1	2009-03-19	2009-03-19
213924	Eric_GROSS	828	1	725	2009-12-31	2009-12-31	2010-01-09	4	2010-01-03	2010-01-03
219187	jgc	179	0	131	2011-02-04	2011-02-04	NULL	3	2011-02-08	2011-02-06
722137	OSMF Redaction Account	183	0	0	2012-07-20	NULL	NULL	1	2012-07-20	2012-07-20
2823295	ramyaragupathy	144	0	114	2015-06-12	2015-06-12	NULL	1	2015-06-12	2015-06-12
614268	amadkor	104	0	72	2012-03-01	2012-03-01	NULL	1	2012-03-01	2012-03-01
55298	Satpowers	116	0	0	2008-11-07	NULL	NULL	3	2008-11-12	2008-11-09
152074	beweta	234	0	124	2013-07-27	2013-08-18	NULL	7	2014-02-19	2013-09-08
42429	42429	187	0	127	2015-02-04	2015-02-04	NULL	3	2015-03-06	2015-02-14
1853394	MFathi	97	0	69	2013-12-23	2013-12-23	NULL	1	2013-12-23	2013-12-23
170408	Nader	125	0	73	2009-09-11	2009-09-11	NULL	2	2009-09-12	2009-09-13
27454	Popolon	127	0	98	2013-11-07	2013-11-07	NULL	1	2013-11-07	2013-11-07
17497	katpatuka	113	13	112	2011-03-16	2011-03-16	2011-03-16	1	2011-03-16	2011-03-16
2762871	Sam888	105	0	64	2015-07-30	2015-07-30	NULL	1	2015-07-30	2015-07-30
9176	Maarten Deen	195	0	16	2009-09-22	2010-06-27	NULL	2	2010-02-08	2010-04-30
18675	JeLuF	139	1	139	2009-09-30	2009-09-30	2009-09-30	1	2009-09-30	2009-09-30
2530643	lobnaagalal	136	0	118	2014-12-20	2014-12-20	NULL	2	2014-12-30	2015-01-02
428202	lugo123	104	0	83	2011-04-29	2011-04-29	NULL	4	2011-11-30	2012-01-19
22060	chrischan	96	1	67	2008-01-17	2008-01-17	2008-01-17	1	2008-01-17	2008-01-17
893624	ahmedvesa	164	0	104	2012-10-18	2012-10-18	NULL	1	2012-10-18	2012-10-18
2820639	am_r	183	0	163	2015-04-11	2015-04-11	NULL	7	2015-04-15	2015-04-16
117952	samoor	139	0	0	2009-04-17	NULL	NULL	1	2009-04-17	2009-04-17
183878	whalerich	120	0	107	2015-09-23	2015-09-23	NULL	1	2015-09-23	2015-09-23
115954	azmy	169	0	0	2009-04-10	NULL	NULL	1	2009-04-11	2009-04-11
16256	patzi	110	16	109	2008-11-11	2008-11-11	2008-11-11	1	2008-11-11	2008-11-11
1766423	shaban2013	94	1	94	2013-10-06	2013-10-06	2013-10-06	1	2013-10-06	2013-10-06
25431	jbontes	110	66	108	2008-01-28	2008-01-28	2008-01-28	1	2008-01-28	2008-01-28
15891	farlokko	100	7	89	2008-06-03	2008-06-03	2008-06-03	3	2008-11-25	2008-06-08
2226712	dannykath	125	0	13	2014-08-20	2014-08-20	NULL	10	2015-05-26	2015-06-02
896654	eng_michael88	111	0	64	2012-09-24	2012-09-24	NULL	1	2012-09-24	2012-09-24
13203	bahnpirat	99	0	99	2011-02-25	2011-02-25	NULL	1	2011-02-25	2011-02-25
35243	chasu	235	0	161	2009-08-18	2009-08-18	NULL	3	2009-08-26	2009-08-22
369276	sika55	106	4	37	2011-01-08	2011-03-25	2011-04-08	11	2011-03-31	2011-03-31
559500	johanemilsson	97	0	89	2013-10-08	2013-10-08	NULL	2	2014-02-19	2014-05-12
1069176	landfahrer	211	0	156	2013-05-31	2013-05-31	NULL	10	2013-06-18	2013-06-13
338611	marek kleciak	122	0	61	2011-10-20	2011-10-20	NULL	2	2012-05-03	2012-09-04
51324	OPerivar	121	0	86	2009-09-21	2009-09-21	NULL	3	2010-03-07	2010-08-06
161619	FvGordon	233	0	15	2011-01-09	2013-11-05	NULL	6	2014-03-29	2014-07-10
20783	Sam  Richards	173	0	9	2008-12-10	2008-12-10	NULL	1	2008-12-10	2008-12-10
107257	FrViPofm	150	0	113	2014-09-02	2014-09-02	NULL	2	2014-11-06	2014-12-02
23033	أحمد المحمودي	1034	1	814	2008-01-02	2008-01-02	2008-01-02	16	2014-02-17	2014-04-22
149394	Dr_Ahmed	202	0	49	2009-08-27	2009-08-27	NULL	6	2010-12-13	2010-01-06
930826	MrAMB	119	0	107	2012-09-28	2012-09-28	NULL	5	2012-09-30	2012-10-01
2101088	Silva1989	172	0	142	2015-11-13	2015-11-13	NULL	1	2015-11-13	2015-11-13
35642	mycontainer	142	0	0	2009-02-06	NULL	NULL	1	2009-02-06	2009-02-06
894184	mahmodelattar	96	0	58	2012-09-18	2012-09-18	NULL	1	2012-09-18	2012-09-18
93165	hkm	2	0	0	2009-05-09	NULL	NULL	1	2009-05-09	2009-05-09
207745	NE2	1	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06
239998	Sundance	242	0	213	2013-01-15	2013-01-15	NULL	1	2013-01-15	2013-01-15
2543404	Mahmoud Mostafa	36	0	33	2015-09-27	2015-09-27	NULL	1	2015-09-27	2015-09-27
530691	PeterFritz	57	0	56	2015-06-19	2015-12-05	NULL	2	2015-09-12	2015-12-02
322785	BCNorwich	49	0	15	2012-07-02	2012-07-02	NULL	4	2012-12-28	2012-12-18
354835	moftasa	1041	0	941	2012-09-08	2012-09-08	NULL	8	2013-04-23	2013-03-06
81070	Tareko	75	0	74	2014-03-02	2014-03-02	NULL	2	2014-03-03	2014-03-03
2140638	SomeoneElse1981	81	0	79	2014-06-23	2014-06-23	NULL	3	2014-06-25	2014-06-25
1555353	mtaher	41	0	10	2014-11-09	2014-11-09	NULL	1	2014-11-09	2014-11-09
2675	Eckhart Wörner	69	0	0	2014-12-29	NULL	NULL	1	2014-12-29	2014-12-29
40595	friesede	65	0	5	2009-07-08	2009-07-08	NULL	1	2009-07-08	2009-07-08
110838	Bernhard W	77	0	33	2013-07-12	2013-07-12	NULL	2	2014-08-18	2014-05-21
85443	Jens Wilke	11	0	11	2011-06-12	2011-06-12	NULL	1	2011-06-12	2011-06-12
107171	Thomas Buschhardt	10	0	4	2009-06-13	2009-06-13	NULL	1	2009-06-13	2009-06-13
675496	Khorshedo	11	0	7	2012-05-06	2012-05-06	NULL	2	2013-12-23	2013-07-13
99662	Spokesdude	9	0	1	2009-02-14	2009-02-14	NULL	1	2009-02-14	2009-02-14
92274	adjuva	8	0	0	2011-12-03	NULL	NULL	5	2013-05-29	2013-02-18
1909314	volatile_ant	17	0	9	2014-10-23	2014-10-23	NULL	1	2014-10-23	2014-10-23
3210707	Yousri_u3	9	0	5	2015-09-07	2015-09-07	NULL	1	2015-09-07	2015-09-07
229	LA2	3	3	3	2007-04-24	2007-04-24	2007-04-24	1	2007-04-24	2007-04-24
126848	omarbadr36	1	0	0	2009-05-22	NULL	NULL	1	2009-05-22	2009-05-22
70696	xybot	21	0	0	2008-12-22	NULL	NULL	15	2010-11-04	2010-11-10
152289	cgu66	10	0	0	2009-09-13	NULL	NULL	5	2012-05-25	2012-07-03
852257	aur	7	0	7	2012-09-08	2012-09-08	NULL	2	2013-01-23	2012-10-17
676711	Tamer Nader	1	0	1	2012-05-07	2012-05-07	NULL	1	2012-05-07	2012-05-07
239804	M_Rashed	26	0	0	2010-03-02	NULL	NULL	1	2010-03-02	2010-03-02
249694	Bahi	4	0	1	2010-03-21	2013-03-12	NULL	3	2012-03-14	2012-06-13
165508	Ahmed Thabet	2	0	1	2009-08-31	2009-08-31	NULL	1	2009-08-31	2009-08-31
480913	ratiodefacto	1	0	1	2011-07-05	2011-07-05	NULL	1	2011-07-05	2011-07-05
1811853	olaf1000	1	0	0	2014-05-17	NULL	NULL	1	2014-05-17	2014-05-17
891407	aborham	3	0	2	2012-09-17	2012-09-17	NULL	1	2012-09-17	2012-09-17
98821	Julien_N	3	0	0	2015-11-26	NULL	NULL	1	2015-11-26	2015-11-26
293774	Oli-Wan	8	0	0	2011-01-07	NULL	NULL	3	2011-01-09	2011-01-08
37109	Baruch	1	0	0	2009-06-18	NULL	NULL	1	2009-06-18	2009-06-18
3521051	نور محمد	6	0	5	2016-01-12	2016-01-13	NULL	2	2016-01-13	2016-01-13
49317	Gary68	10	0	5	2011-01-07	2011-01-07	NULL	2	2011-01-08	2011-01-07
94008	selkashef	1	0	1	2011-03-30	2011-03-30	NULL	1	2011-03-30	2011-03-30
2137261	Gargour Technologies	1	0	1	2014-06-20	2014-06-20	NULL	1	2014-06-21	2014-06-21
3395411	ymourad	9	0	4	2015-11-18	2015-11-18	NULL	1	2015-11-18	2015-11-18
632867	BadAH	1	0	0	2013-04-20	NULL	NULL	1	2013-04-20	2013-04-20
1960024	BuganiniQ	2	0	0	2014-05-06	NULL	NULL	2	2014-05-10	2014-05-10
3413996	ezfayed	15	0	15	2015-11-25	2015-11-25	NULL	2	2015-11-29	2015-11-26
2619280	hassan sadek	4	0	4	2015-01-31	2015-01-31	NULL	1	2015-01-31	2015-01-31
12253	Dániel VÁSÁRHELYI	11	0	6	2009-10-12	2009-10-12	NULL	1	2009-10-12	2009-10-12
51722	Chris Parker	4	0	4	2013-04-08	2013-04-08	NULL	1	2013-04-08	2013-04-08
55782	0123456789	2	0	1	2010-01-07	2010-01-07	NULL	1	2010-01-07	2010-01-07
13331	-RS-	1	0	0	2008-01-06	NULL	NULL	1	2008-01-06	2008-01-06
553020	seifeltayeb	17	0	16	2011-11-12	2011-11-12	NULL	1	2011-11-12	2011-11-12
657581	Hendrikklaas	21	0	4	2015-10-24	2015-10-24	NULL	1	2015-10-24	2015-10-24
2794754	mostafa amer	1	0	0	2015-03-31	NULL	NULL	1	2015-03-31	2015-03-31
1793609	golyanitskiy	4	0	0	2015-11-01	NULL	NULL	1	2015-11-01	2015-11-01
3327680	Amr Elkasrawy	1	0	0	2015-10-22	NULL	NULL	1	2015-10-22	2015-10-22
145231	woodpeck_repair	14	0	0	2011-03-04	NULL	NULL	5	2013-08-12	2014-06-04
189564	alharaka	1	0	1	2010-01-28	2010-01-28	NULL	1	2010-01-29	2010-01-29
2018430	takyboss	5	0	5	2014-04-05	2014-04-05	NULL	1	2014-04-05	2014-04-05
21323	AE35	1	0	0	2013-04-12	NULL	NULL	1	2013-04-12	2013-04-12
78656	Walter Schlögl	22	0	0	2010-02-25	NULL	NULL	8	2012-05-23	2012-03-01
37548	Marcussacapuces91	1	0	0	2009-12-28	NULL	NULL	1	2009-12-28	2009-12-28
693039	astrix_44	8	0	8	2012-05-31	2012-05-31	NULL	1	2012-05-31	2012-05-31
1752516	bgolder	10	0	10	2014-05-21	2014-05-21	NULL	1	2014-05-21	2014-05-21
166969	occcy	1	0	0	2012-08-30	NULL	NULL	1	2012-08-30	2012-08-30
168059	Schierkolk	14	0	14	2015-10-23	2015-10-23	NULL	1	2015-10-23	2015-10-23
200356	aahhd	46	0	0	2009-12-02	NULL	NULL	7	2009-12-14	2009-12-06
476211	cairoman	12	0	8	2011-06-24	2011-06-24	NULL	1	2011-06-24	2011-06-24
