user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
211028	bim2010	6421	33	6160	2014-03-23	2014-03-23	2014-03-23	2	2014-03-24	2014-03-24
371387	matvey_kiev_ua	6281	26	5230	2011-11-15	2011-11-15	2013-03-04	10	2012-10-20	2013-01-17
379048	Vetrov	4724	0	2214	2012-06-06	2012-06-06	NULL	14	2012-06-26	2012-06-20
137216	gosha	5733	0	4638	2009-06-19	2009-06-19	NULL	122	2011-01-15	2011-04-10
540071	bakasana	4790	106	4323	2011-10-28	2011-10-28	2011-10-28	21	2012-09-13	2012-06-14
429095	qaosm	5166	44	2869	2011-04-13	2011-04-13	2011-05-06	23	2011-05-01	2011-04-22
370544	Lokki	5590	18	4842	2011-06-18	2011-06-18	2011-07-30	3	2011-11-03	2012-06-18
33502	Igor Shubovych	4449	416	4252	2009-06-02	2009-08-29	2009-08-29	7	2009-08-10	2009-08-31
17497	katpatuka	4031	386	3678	2008-09-01	2008-09-01	2008-09-01	8	2008-12-01	2008-10-20
221306	Alexey Furashev	4366	20	3453	2011-06-02	2011-06-02	2011-06-02	11	2012-08-10	2012-04-09
430005	Te*mik	3853	14	3613	2014-03-21	2014-03-21	2014-03-21	4	2014-03-23	2014-03-23
234874	-raul	1	0	0	2012-01-30	NULL	NULL	1	2012-01-30	2012-01-30
357419	Ergo	4242	15	4216	2014-03-21	2014-03-21	2014-03-23	4	2014-03-24	2014-03-23
262206	Базич	3697	0	3695	2014-10-30	2014-10-30	NULL	2	2014-12-07	2014-12-26
2235400	Герасим	5339	0	904	2014-08-08	2014-08-08	NULL	4	2014-08-10	2014-08-09
348615	Britney	4215	4	2683	2012-05-15	2012-05-15	2013-01-12	6	2013-01-12	2013-02-02
45270	as4tik	4322	48	4183	2009-04-27	2009-04-27	2009-06-29	12	2011-02-05	2010-10-16
638574	milair	5037	0	4565	2012-03-25	2012-03-25	NULL	6	2012-03-31	2012-03-29
329833	pankdm	3744	7	3506	2011-10-26	2011-10-26	2011-10-26	4	2012-02-24	2012-02-12
149876	dbusse	3757	56	2763	2011-10-13	2011-10-13	2011-10-13	7	2011-10-20	2011-10-19
34828	Digy	4347	55	3269	2014-03-24	2014-03-24	2014-03-24	5	2014-03-29	2014-03-26
104883	Kotelnikov	3828	67	3323	2009-05-16	2009-05-16	2009-05-16	27	2010-08-01	2011-08-30
263329	Noteno	3564	1	2277	2012-09-02	2012-09-02	2012-09-20	5	2012-11-06	2012-10-02
509157	JonnAngelo	4159	10	3123	2011-12-26	2011-12-26	2011-12-29	16	2012-05-27	2012-05-23
348674	Cabeleira	4413	1	1540	2010-09-22	2010-09-22	2013-06-02	6	2012-07-18	2013-05-20
931729	Bwr57	3635	1	2890	2012-11-09	2012-11-09	2014-01-02	18	2013-09-13	2013-10-24
731782	CutterRus	6047	21	5590	2013-04-23	2013-04-23	2014-03-21	10	2014-02-20	2014-03-25
230942	dkiselev	5286	0	4732	2011-03-22	2011-03-22	NULL	5	2012-06-06	2013-04-20
83043	yulik	5677	402	4508	2008-12-01	2008-12-01	2009-07-03	33	2009-10-18	2009-11-04
36778	asaw	6103	17	4366	2009-08-15	2009-08-15	2009-08-15	27	2012-03-08	2011-11-03
528292	Олех	4032	0	3876	2011-09-27	2011-09-27	NULL	4	2011-09-29	2011-09-28
94786	glebius	4505	192	3971	2009-05-15	2009-05-15	2009-05-15	14	2010-03-08	2010-05-05
298815	miha12	3709	2	3250	2013-07-19	2013-07-19	2013-07-19	4	2013-10-10	2013-07-20
449569	Nautic	5490	1	3839	2014-03-03	2014-03-03	2014-03-04	3	2014-03-04	2014-03-04
1336565	IIITaTuB	3462	8	459	2013-04-15	2013-04-15	2013-05-25	8	2013-10-08	2013-06-17
1737245	KooLru	3422	11	2244	2014-03-25	2014-03-25	2014-03-25	4	2014-03-27	2014-03-26
219187	jgc	75	0	0	2014-03-15	NULL	NULL	5	2014-03-18	2014-03-18
28783	mey2008	21	0	3	2011-08-20	2011-08-20	NULL	1	2011-08-20	2011-08-20
251273	NickPlus	9	0	0	2010-04-05	NULL	NULL	1	2010-04-05	2010-04-05
293774	Oli-Wan	3	0	0	2011-01-14	NULL	NULL	2	2011-06-05	2011-07-22
236129	Z440	46474	16	23025	2011-03-22	2011-03-22	2011-03-24	33	2011-08-17	2011-07-27
431056	mbiker	3	0	3	2011-08-14	2011-08-14	NULL	1	2011-08-14	2011-08-14
786885	shnitz	3	1	3	2014-03-27	2014-03-27	2014-03-27	1	2014-03-27	2014-03-27
1687616	Konstantin Buryak	4	0	4	2013-07-28	2013-07-28	NULL	1	2013-07-28	2013-07-28
2426955	killfish_svs	3	0	1	2014-10-27	2014-10-27	NULL	1	2014-10-27	2014-10-27
1915042	jaroshenko	4	0	4	2014-02-11	2014-02-11	NULL	1	2014-02-11	2014-02-11
314684	krattbot	3	0	0	2012-02-06	NULL	NULL	1	2012-02-06	2012-02-06
420030	Yoreg	48571	439	43834	2011-03-11	2011-03-11	2011-12-20	72	2012-04-02	2012-03-20
575744	SergVVV	3	0	2	2011-12-28	2011-12-28	NULL	1	2011-12-28	2011-12-28
356847	Hrishikesh Joshi	3	3	3	2010-10-09	2010-10-09	2010-10-09	2	2010-11-08	2010-11-17
2055637	asmol-2	4	0	2	2014-05-01	2014-05-01	NULL	1	2014-05-01	2014-05-01
591962	Павел Яринюк	49298	11	22335	2012-12-26	2012-12-26	2013-09-22	9	2013-08-13	2013-09-06
33499	j8 	3	0	3	2010-05-23	2010-05-23	NULL	2	2010-12-27	2011-03-09
143266	Sergey Astakhov	43412	83	39240	2014-03-09	2014-03-09	2014-03-09	21	2014-03-20	2014-03-18
1769044	pchelca333	4	0	4	2014-06-12	2014-06-12	NULL	1	2014-06-12	2014-06-12
1243997	serega424212	4	0	3	2013-03-01	2013-03-01	NULL	1	2013-03-01	2013-03-01
1603976	Serglsn	4	0	2	2013-07-02	2013-07-02	NULL	1	2013-07-02	2013-07-02
1543728	СКА304НИК	4	0	4	2013-06-13	2013-06-13	NULL	3	2014-05-13	2014-06-20
351993	sergeybe	81833	119	64222	2012-07-27	2012-07-27	2013-02-25	86	2014-06-05	2014-08-22
