user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
207745	NE2	5	0	0	2010-08-06	NULL	NULL	1	2010-08-06	2010-08-06
4363	Pmz	2	0	0	2012-11-01	NULL	NULL	1	2012-11-01	2012-11-01
19192	cbm	1	0	0	2009-08-05	NULL	NULL	1	2009-08-05	2009-08-05
11617	tomasCY	161988	2151	97566	2007-08-07	2007-08-07	2007-08-08	259	2008-04-21	2008-05-04
61855	Zenon	171758	1555	99273	2008-08-24	2008-08-24	2008-08-24	315	2010-03-06	2010-03-01
143266	Sergey Astakhov	268853	231	144913	2010-09-29	2010-09-29	2010-10-15	176	2012-05-25	2012-08-10
16762	djanda	107112	237	52327	2007-10-23	2007-10-23	2007-10-24	189	2009-08-06	2009-10-26
357130	trevnhil	1	0	1	2010-10-10	2010-10-10	NULL	1	2010-10-10	2010-10-10
1199056	hehmaleh	1	0	0	2013-01-14	NULL	NULL	1	2013-01-14	2013-01-14
258845	Dampfross	1	0	1	2010-04-05	2010-04-05	NULL	1	2010-04-05	2010-04-05
218691	Schiebel_St	1	0	1	2013-07-26	2013-07-26	NULL	1	2013-07-26	2013-07-26
1218859	georgecy	1	0	1	2013-02-02	2013-02-02	NULL	1	2013-02-02	2013-02-02
735466	George Kemkas	1	0	0	2012-07-15	NULL	NULL	1	2012-07-15	2012-07-15
495122	YIANNOSH	1	0	1	2011-07-25	2011-07-25	NULL	1	2011-07-25	2011-07-25
18776	Max Vasilev	1	0	0	2012-03-02	NULL	NULL	1	2012-03-02	2012-03-02
753788	chestnut	1	0	0	2012-07-23	NULL	NULL	1	2012-07-23	2012-07-23
1218249	Chrishas	1	0	1	2013-02-01	2013-02-01	NULL	1	2013-02-01	2013-02-01
2151469	lavatavern	1	0	0	2014-06-27	NULL	NULL	1	2014-06-27	2014-06-27
551288	akoullapis	1	0	1	2011-11-08	2011-11-08	NULL	1	2011-11-08	2011-11-08
