user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
13832	Peter14	47	0	3	2013-12-14	2013-12-25	NULL	9	2014-01-10	2014-01-12
218888	christal	1573	1	233	2010-08-29	2010-08-29	2010-09-24	8	2010-09-14	2010-09-08
30960	vheim	468	35	462	2009-05-16	2009-05-16	2009-05-16	1	2009-05-16	2009-05-16
1076672	Lutino	104	0	104	2012-11-23	2012-11-23	NULL	1	2012-11-23	2012-11-23
179778	JulienBalas	78	0	0	2014-07-14	NULL	NULL	1	2014-07-14	2014-07-14
498613	iopensa	261	0	259	2014-07-24	2014-07-24	NULL	1	2014-07-24	2014-07-24
525302	Diana94	52	0	52	2011-09-27	2011-09-27	NULL	1	2011-09-27	2011-09-27
42429	42429	643	0	169	2010-05-14	2010-05-14	NULL	3	2010-05-17	2010-05-15
2303930	mathurin	19020	2	19020	2014-09-12	2014-09-12	2014-09-17	2	2014-09-15	2014-09-17
2424360	MATAGNE	131	0	81	2014-10-25	2014-10-25	NULL	2	2014-11-01	2014-11-08
86289	Gustry	169	4	169	2013-07-07	2013-07-07	2013-07-07	1	2013-07-07	2013-07-07
453695	RR81	1039	0	818	2012-07-12	2012-07-12	NULL	2	2012-07-18	2012-07-20
2675	Eckhart Wörner	44	0	0	2014-12-23	NULL	NULL	1	2014-12-23	2014-12-23
17422	meppen7	43	0	23	2013-02-26	2013-02-26	NULL	2	2013-02-28	2013-03-01
597179	AlkalIn	1309	3	626	2013-01-22	2013-01-22	2013-01-22	3	2013-03-08	2013-03-24
28378	PHerison	289	0	117	2011-01-07	2011-01-07	NULL	2	2011-01-08	2011-01-08
1281635	Atangana Jacques Landry	45	0	45	2014-03-31	2014-03-31	NULL	1	2014-03-31	2014-03-31
479788	sobzeros	3701	0	2196	2011-07-09	2011-07-09	NULL	9	2013-08-24	2012-07-18
114310	Joe E	109	0	94	2014-04-17	2014-04-17	NULL	1	2014-04-17	2014-04-17
2110809	nolfj	41	0	41	2014-06-14	2014-06-14	NULL	1	2014-06-14	2014-06-14
120364	phono	134	0	129	2010-12-07	2010-12-07	NULL	1	2010-12-07	2010-12-07
1961093	Gildas_Clmnt	94	0	89	2014-03-31	2014-03-31	NULL	1	2014-03-31	2014-03-31
1307325	zebaze	75	0	58	2013-03-27	2013-03-27	NULL	1	2013-03-27	2013-03-27
7079	mapwitch	134	3	124	2011-11-21	2011-11-21	2012-01-31	3	2012-04-12	2012-01-29
580057	forge24	159	0	28	2012-01-05	2012-01-05	NULL	1	2012-01-05	2012-01-05
392827	pnorman_mechanical	156	0	0	2014-07-30	NULL	NULL	2	2014-08-04	2014-08-04
22714	nhoffm	154	37	153	2008-04-13	2008-04-13	2008-04-13	1	2008-04-13	2008-04-13
5330	Coastlines-RJB	115	9	115	2007-01-02	2007-01-02	2007-01-02	1	2007-01-02	2007-01-02
302972	SOGEFI	2875476	14	2874284	2014-01-01	2014-01-01	2014-06-18	27	2014-08-18	2014-08-26
67862	HolgerJeromin	2349	16	1553	2010-12-27	2010-12-27	2010-12-28	18	2011-04-15	2011-02-04
94578	andygol	1	0	0	2014-12-18	NULL	NULL	1	2014-12-18	2014-12-18
1366199	GeoCameroun	44	2	28	2013-09-02	2013-09-02	2013-09-22	4	2013-09-16	2013-09-15
1122708	zaizone	10261	12	6228	2013-06-10	2013-06-10	2013-07-16	11	2013-11-27	2013-08-03
338611	marek kleciak	276	0	205	2013-03-26	2013-03-26	NULL	1	2013-03-26	2013-03-26
2232316	Marcelj3	42	0	31	2014-08-03	2014-08-03	NULL	1	2014-08-03	2014-08-03
570551	kr12	781	0	450	2013-03-12	2013-03-12	NULL	1	2013-03-12	2013-03-12
84853	mdp553	153	3	153	2010-01-25	2010-01-25	2010-01-25	1	2010-01-25	2010-01-25
17497	katpatuka	156	19	61	2009-01-11	2009-01-11	2009-01-11	2	2009-11-20	2010-04-05
581213	mzve	399	16	290	2012-01-06	2012-01-06	2012-01-06	4	2012-01-09	2012-01-09
50912	philmas	18487	206	18487	2010-05-13	2010-05-13	2010-05-13	4	2011-07-15	2010-05-13
427182	makongo	12	0	11	2011-03-25	2011-03-25	NULL	1	2011-03-25	2011-03-25
28145	amillar	3	1	2	2009-06-01	2009-06-01	2009-06-01	1	2009-06-01	2009-06-01
10927	Skywave	1	0	0	2008-01-26	NULL	NULL	1	2008-01-26	2008-01-26
1841076	Offtaps	2	0	2	2013-12-13	2013-12-13	NULL	1	2013-12-13	2013-12-13
722137	OSMF Redaction Account	1	0	0	2012-07-20	NULL	NULL	1	2012-07-20	2012-07-20
229	LA2	1	1	1	2007-04-24	2007-04-24	2007-04-24	1	2007-04-24	2007-04-24
1707236	Leonard Kouoh	32	0	32	2013-08-07	2013-08-07	NULL	1	2013-08-07	2013-08-07
70696	xybot	1	0	0	2011-01-19	NULL	NULL	1	2011-01-19	2011-01-19
111410	Dave Stanley	32	0	19	2013-01-20	2013-01-20	NULL	3	2013-02-25	2013-04-07
1999311	R GUILBERT	3	0	1	2014-03-24	2014-03-24	NULL	1	2014-03-24	2014-03-24
293980	Numeris plus	1	0	0	2010-05-28	NULL	NULL	1	2010-05-28	2010-05-28
5748	pschonmann	3	0	0	2012-12-09	NULL	NULL	1	2012-12-09	2012-12-09
475877	RoadGeek_MD99	10	0	3	2012-10-23	2012-10-23	NULL	1	2012-10-23	2012-10-23
507276	FuckOSMFandODbL	18	0	3	2012-07-13	2012-07-13	NULL	1	2012-07-13	2012-07-13
76002	salix01	15	0	9	2013-11-20	2013-11-20	NULL	1	2013-11-20	2013-11-20
110263	werner2101	3	0	0	2011-01-08	NULL	NULL	2	2011-01-09	2011-01-08
24207	RatZillaS	38	0	21	2012-02-04	2012-02-04	NULL	1	2012-02-04	2012-02-04
577046	doual'art	2	0	2	2011-12-30	2011-12-30	NULL	2	2012-01-01	2012-01-01
368215	wandsecacher	2	0	0	2013-03-20	NULL	NULL	1	2013-03-20	2013-03-20
5278	kleptog	21	15	19	2008-01-07	2008-01-07	2008-01-07	1	2008-01-07	2008-01-07
1101237	Marta Pucciarelli	9	0	6	2012-12-07	2012-12-07	NULL	2	2012-12-09	2012-12-07
2068922	ivission	3	0	1	2014-05-10	2014-05-10	NULL	1	2014-05-10	2014-05-10
2232045	Muller28	13	0	13	2014-08-05	2014-08-05	NULL	1	2014-08-05	2014-08-05
308	MichaelCollinson	1	0	0	2008-11-05	NULL	NULL	1	2008-11-05	2008-11-05
