user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
80299	Bee	635	0	0	2008-11-17	NULL	NULL	3	2008-12-06	2008-12-10
455164	Adityo	8343	0	5217	2011-05-16	2011-05-16	NULL	31	2014-01-12	2013-12-26
617241	Ratry Chairunnisa	13615	0	12521	2012-03-05	2012-03-05	NULL	31	2014-08-22	2013-11-07
2538500	21Dirham	8665	0	5421	2014-12-26	2014-12-26	NULL	18	2015-03-23	2015-02-09
17658	saptaananda	7431	286	4080	2007-10-28	2007-10-28	2007-10-28	9	2008-07-04	2007-11-27
524997	asti_shinoda	10351	0	9737	2014-09-15	2014-09-15	NULL	29	2014-12-23	2014-12-16
426005	vanpuk	8514	0	8247	2011-09-24	2011-09-24	NULL	23	2012-10-22	2012-05-14
1518277	Alir Air	7875	0	6087	2013-06-06	2013-06-06	NULL	20	2013-07-02	2013-06-21
1003244	sumaryo	9443	1	8540	2012-10-27	2012-10-27	2012-12-05	14	2012-12-22	2012-11-26
2012718	yanamillia	10384	0	10322	2014-08-27	2014-08-27	NULL	10	2014-10-07	2014-10-15
922816	dadan dany dipoera	14369	2	13446	2012-09-27	2012-11-30	2013-04-03	16	2013-04-02	2013-04-12
958197	agus sugiharto2	13742	0	13740	2013-04-25	2013-04-25	NULL	7	2014-05-17	2013-12-28
617262	Febrina Dewi	13096	0	12896	2012-03-20	2012-03-20	NULL	5	2012-11-30	2013-04-24
845018	Liong	7320	11	6225	2012-09-11	2012-09-11	2012-11-22	18	2012-11-18	2012-12-01
2318	Latze	7080	0	7072	2011-10-13	2011-10-13	NULL	5	2013-08-05	2012-06-18
2292328	Rica tri wahyuni	16858	0	16729	2014-08-27	2014-08-27	NULL	3	2014-08-28	2014-08-28
2167559	Dolfi Oktavianus	13587	0	13581	2014-07-11	2014-07-11	NULL	2	2014-07-13	2014-07-11
477542	ariefrachman	10857	0	10597	2011-06-27	2011-06-27	NULL	12	2012-01-23	2012-03-23
1960068	arieladele	10374	0	8050	2014-03-04	2014-03-04	NULL	38	2014-11-22	2014-11-07
2351890	errybest	4316	1	4078	2014-09-22	2014-09-22	2014-09-24	48	2015-02-09	2015-02-24
2965717	JakArtisan	4079	0	3828	2015-06-05	2015-06-05	NULL	37	2015-07-02	2015-06-29
1243884	skaplan2	5775	0	4463	2013-03-14	2013-03-14	NULL	6	2013-04-02	2013-04-09
38066	ArjanO	3905	19	3495	2011-01-28	2011-01-28	2012-06-20	47	2013-01-16	2012-09-12
504412	Anom	5574	0	5185	2012-03-14	2012-03-14	NULL	13	2012-03-29	2012-03-29
1242955	eschnitt	2928	0	2839	2013-03-14	2013-03-14	NULL	5	2013-03-29	2013-03-21
229861	Dody Suria Wijaya	2963	0	2631	2014-10-30	2014-10-30	NULL	9	2014-11-09	2014-11-09
2167506	empiie	5936	0	5936	2014-07-06	2014-07-06	NULL	2	2014-07-10	2014-07-07
1241793	lgarcia3	3982	0	3863	2013-03-14	2013-03-14	NULL	2	2013-03-18	2013-03-21
338759	dawnbreak	4329	1	1211	2011-01-14	2011-01-15	2011-01-26	12	2011-11-01	2012-02-08
2303045	DarkRider910	5187	0	4229	2014-09-01	2014-09-01	NULL	12	2014-09-09	2014-09-10
1243887	Kamya	4368	0	4316	2013-03-14	2013-03-14	NULL	5	2013-03-20	2013-03-21
17497	katpatuka	2682	92	2539	2009-10-25	2009-10-25	2009-10-29	8	2010-03-25	2010-05-17
617326	rizqihandari	3253	1	2395	2012-03-05	2012-03-05	2012-08-02	10	2012-12-30	2012-06-29
617247	rezi hadi b	3728	0	3728	2012-03-21	2012-03-21	NULL	1	2012-03-21	2012-03-21
1241814	lparmley	5638	0	5624	2013-03-14	2013-03-14	NULL	4	2013-03-18	2013-03-18
1243877	dolson2110	4785	0	4621	2013-03-14	2013-03-14	NULL	5	2013-03-19	2013-03-20
2396163	oktodearputra	2417	0	1445	2014-10-13	2014-10-13	NULL	18	2014-11-29	2014-12-04
1090118	R Endro Teguh Kusumo	4659	0	4605	2013-04-25	2013-04-25	NULL	2	2013-04-26	2013-04-25
455161	vasanthi	4353	1	4251	2011-05-16	2011-05-16	2011-12-09	28	2014-02-13	2013-07-22
1243198	sarahswig	3128	0	3111	2013-03-21	2013-03-21	NULL	2	2013-03-23	2013-03-22
1241788	Olivia M-H	2792	0	1792	2013-03-07	2013-03-07	NULL	7	2013-04-04	2013-04-06
2111900	sangku	2699	0	2695	2014-07-05	2014-07-05	NULL	3	2014-07-08	2014-07-10
3412446	ADIP1598	2711	0	2059	2015-11-25	2015-11-25	NULL	10	2015-12-06	2015-11-29
138225	gnemok	4416	3	4038	2011-06-27	2011-06-27	2011-07-01	17	2011-07-21	2011-07-17
1902489	Fajar_Wisnu_Hardono	4356	0	3758	2014-01-27	2014-01-27	NULL	14	2014-09-04	2014-03-22
2861572	Dony Lay	3751	2	3007	2015-04-26	2015-04-26	2015-05-16	30	2015-05-14	2015-05-07
1243020	ssapper	3829	0	3829	2013-03-19	2013-03-19	NULL	2	2013-03-22	2013-03-22
1243736	AnnieMellan	2491	0	2375	2013-03-17	2013-03-17	NULL	3	2013-03-20	2013-03-20
2112246	yunita sari	4178	0	4174	2014-07-05	2014-07-05	NULL	3	2014-07-24	2014-07-07
617230	Adi Maulana	6833	0	5341	2012-03-26	2012-03-26	NULL	20	2014-09-07	2014-10-18
19528	karida	3466	1	127	2013-04-12	2013-04-12	2013-04-12	9	2013-06-18	2013-06-26
16922	amai	3553	0	0	2009-03-30	NULL	NULL	3	2009-07-25	2009-04-09
1243478	tanvishah1	6879	0	6805	2013-03-14	2013-03-14	NULL	4	2013-03-28	2013-03-19
1095109	Muhamad Taufik	2531	0	2519	2013-04-25	2013-04-25	NULL	1	2013-04-25	2013-04-25
617226	harrymahar	5333	1	4425	2012-03-05	2012-03-05	2013-01-30	45	2013-12-19	2013-04-06
1249396	SebastianMolina	6441	0	6432	2013-03-14	2013-03-14	NULL	3	2013-03-17	2013-03-19
1382432	triosaputro	2671	0	2573	2013-04-25	2013-04-25	NULL	1	2013-04-25	2013-04-25
217450	bintang	2358	15	1807	2010-01-10	2010-01-10	2010-01-10	5	2010-11-09	2011-01-27
22412	esambuaga	5032	151	3519	2007-12-24	2007-12-24	2007-12-24	14	2009-04-06	2008-01-18
1241789	cdwyre	3561	0	3550	2013-03-19	2013-03-19	NULL	3	2013-03-21	2013-03-21
2292322	katwang	6787	0	6697	2014-08-27	2014-08-27	NULL	6	2014-09-03	2014-09-05
2334957	della ananto	5375	0	4441	2014-09-15	2014-09-15	NULL	16	2014-11-27	2014-11-30
617255	kinrizky	2467	0	2391	2012-03-05	2012-03-05	NULL	4	2012-03-21	2012-03-17
1765772	ragildimas	7	0	7	2013-10-10	2013-10-10	NULL	1	2013-10-10	2013-10-10
1762658	lukmanmrluck	7	0	7	2013-10-02	2013-10-02	NULL	1	2013-10-02	2013-10-02
1889794	triono	7	0	6	2014-01-17	2014-01-17	NULL	1	2014-01-17	2014-01-17
63107	brogo	7	0	4	2015-10-26	2015-10-26	NULL	3	2015-11-03	2015-10-30
483030	dhanty	7	0	7	2011-07-06	2011-07-06	NULL	1	2011-07-06	2011-07-06
1766569	shinta pratama	7	0	6	2013-10-10	2013-10-10	NULL	1	2013-10-10	2013-10-10
2214093	DimeDeviL	7	0	7	2014-07-26	2014-07-26	NULL	1	2014-07-26	2014-07-26
774532	aaziss	7	0	7	2012-08-02	2012-08-02	NULL	1	2012-08-02	2012-08-02
3394810	diyid	9	0	9	2015-11-18	2015-11-18	NULL	1	2015-11-18	2015-11-18
1823346	عقبة بن نافع	9	0	0	2016-01-06	NULL	NULL	3	2016-01-11	2016-01-12
1949352	ilhamije	9	0	9	2014-03-11	2014-03-11	NULL	1	2014-03-11	2014-03-11
2221994	cukupbayu	9	0	9	2014-07-29	2014-07-29	NULL	1	2014-07-30	2014-07-30
3335557	Hanif Ismail	9	0	9	2015-10-25	2015-10-25	NULL	1	2015-10-25	2015-10-25
2446795	Teguh Prasetyo	8	0	8	2014-11-06	2014-11-06	NULL	1	2014-11-06	2014-11-06
41553	tippfeler	1	0	0	2015-10-17	NULL	NULL	1	2015-10-17	2015-10-17
31714	Priyadi	9	1	2	2008-03-22	2008-03-22	2008-03-22	1	2008-03-22	2008-03-22
3202493	DeepBlueSea	9	0	4	2015-09-02	2015-09-02	NULL	1	2015-09-02	2015-09-02
51337	ManAboutCouch	9	0	9	2014-05-13	2014-05-13	NULL	1	2014-05-13	2014-05-13
