user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
219187	jgc	1207	0	1158	2010-12-12	2014-08-03	NULL	8	2012-07-17	2014-07-15
2381619	UCL_shucheng	8957	0	8952	2014-10-07	2014-10-07	NULL	4	2014-10-09	2014-10-09
5926	c2r	12	0	11	2014-07-06	2014-07-06	NULL	1	2014-07-06	2014-07-06
2553017	GWT	5	0	1	2015-01-04	2015-01-04	NULL	1	2015-01-04	2015-01-04
606821	Pinux	8924	0	4610	2014-01-21	2014-01-21	NULL	14	2014-07-15	2014-08-05
617220	raniedwianugrah	6253	0	5838	2014-08-05	2014-08-05	NULL	5	2014-08-08	2014-08-06
2252993	habitat_gup	5769	0	5681	2014-08-11	2014-08-11	NULL	3	2014-09-02	2014-09-09
2504387	ENSG Battir	279055	0	278993	2014-12-08	2014-12-08	NULL	7	2014-12-15	2014-12-16
1803589	mazorsh	8305	0	7961	2013-11-12	2013-11-12	NULL	28	2014-08-09	2014-09-02
79965	Eli Hadad	6037	8	4006	2008-11-15	2008-11-15	2008-11-20	27	2008-12-12	2008-12-12
2381260	berlinyiyi	8262	0	8121	2014-10-07	2014-10-07	NULL	4	2014-10-09	2014-10-08
77074	Ophir	8537	1	6039	2008-11-07	2008-11-20	2010-01-24	58	2009-11-26	2009-11-20
15275	Yuri	8053	293	7149	2008-07-21	2008-07-21	2008-07-21	51	2008-12-09	2009-01-07
365141	נועם המטייל	5867	3	4720	2010-10-31	2010-10-31	2014-01-14	53	2013-08-23	2013-10-10
223012	Siana40	6233	0	6119	2014-08-27	2014-08-27	NULL	12	2014-09-11	2014-08-30
1812009	Maeve (CartONG)	7172	0	7158	2014-08-03	2014-08-03	NULL	5	2014-08-13	2014-08-11
373595	hyakir	7203	4	6138	2011-03-26	2011-03-26	2011-06-30	58	2012-04-23	2011-11-29
11567	Metehyi	8124	801	7667	2007-08-16	2007-08-16	2007-08-16	21	2010-08-10	2013-04-19
2381283	Bingqian Liu	7038	0	6744	2014-10-07	2014-10-07	NULL	4	2014-10-10	2014-10-09
385790	manicrjs	7304	19	846	2011-03-15	2011-03-15	2011-05-02	12	2011-05-05	2011-04-10
3560	Firefishy	7969	14	1806	2009-01-07	2009-01-07	2009-01-07	8	2009-03-20	2009-01-14
582049	yoko99	6796	0	5922	2014-08-05	2014-08-05	NULL	5	2014-08-07	2014-08-07
88637	Kyral210	6357	3	81	2009-03-12	2009-03-12	2009-03-12	1	2009-03-12	2009-03-12
33103	sergionaranja	8517	16	7065	2009-01-08	2009-01-08	2009-02-17	7	2009-02-11	2009-02-18
566	vortex	6466	0	6330	2014-08-18	2014-08-18	NULL	5	2014-08-20	2014-08-20
238584	mcld	6364	0	6301	2014-08-04	2014-08-04	NULL	5	2014-08-07	2014-08-07
49111	Markus B	4157	2	3195	2011-02-06	2011-02-06	2011-02-06	1	2011-02-06	2011-02-06
1734444	thomascats	4762	0	4657	2013-09-05	2013-09-05	NULL	4	2013-09-07	2013-09-06
2381938	Joyce w	5247	0	5247	2014-10-07	2014-10-07	NULL	2	2014-10-09	2014-10-08
1810756	CristLaro	4219	0	4203	2014-08-04	2014-08-04	NULL	4	2014-08-14	2014-08-12
23960	Utilisateur anonyme	5362	93	1312	2008-10-13	2008-10-13	2008-10-13	2	2008-10-14	2008-10-13
2536252	Wesam5588	4714	0	4703	2014-12-25	2015-01-19	NULL	2	2015-01-07	2015-01-19
644543	Osm_editor	4060	6	2299	2012-04-06	2012-04-06	2012-05-16	22	2012-08-10	2012-06-10
2381205	Aurelien Wasem	4256	0	4200	2014-10-08	2014-10-08	NULL	2	2014-10-09	2014-10-08
2382734	liang1985325	4513	0	4466	2014-10-07	2014-10-07	NULL	3	2014-10-09	2014-10-09
1864682	ualios	4980	2	3575	2014-06-03	2014-06-03	2014-06-03	7	2014-06-20	2014-06-17
287860	ATGardner	4513	13	4510	2011-01-31	2011-01-31	2011-01-31	1	2011-01-31	2011-01-31
158751	clickilan	5232	37	4442	2009-08-17	2009-08-17	2010-02-16	47	2010-07-31	2010-07-21
280322	Ilya Kogan	4475	0	2774	2011-10-24	2011-10-24	NULL	58	2013-07-18	2013-08-11
574122	anaer78	4169	0	94	2011-12-25	2011-12-25	NULL	3	2012-02-19	2011-12-25
1553864	Mustafa Jarrar	5425	0	2894	2013-06-16	2013-06-16	NULL	18	2014-05-19	2014-07-02
617226	harrymahar	5517	0	5438	2014-08-12	2014-08-12	NULL	4	2014-08-16	2014-08-15
77114	LLAQWA	4186	0	4023	2014-08-18	2014-08-18	NULL	6	2014-08-22	2014-08-21
2288313	MLM_BCN	5269	0	5187	2014-09-04	2014-09-04	NULL	14	2014-09-21	2014-09-22
