user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
496923	abellaofernandez	40182	0	37468	2011-08-25	2011-08-25	NULL	173	2014-07-12	2014-08-28
152074	beweta	5412	0	2559	2011-01-08	2011-01-08	NULL	30	2014-06-07	2014-04-19
12434	nm7s9	21402	1	16595	2008-07-20	2008-07-20	2015-08-27	138	2013-05-06	2012-12-30
336460	robgeb	47404	4	43262	2011-05-24	2011-05-24	2011-06-06	44	2011-10-04	2011-10-06
6513	Glen	6625	0	5725	2013-04-01	2013-04-01	NULL	11	2013-04-10	2013-04-08
7168	DaveHansenTiger	110448	1448	110448	2007-11-27	2007-11-27	2007-11-27	1	2007-11-27	2007-11-27
398919	gMitchellD	53440	23	48518	2011-01-26	2011-01-26	2011-01-26	22	2011-02-06	2011-02-05
120146	TIGERcnl	13074	76	13074	2009-07-10	2009-07-10	2009-07-10	1	2009-07-10	2009-07-10
310589	hno2	6924	0	5532	2012-09-12	2012-09-12	NULL	16	2013-09-10	2013-04-26
870195	babas56	5346	0	4941	2012-09-24	2012-09-24	NULL	6	2012-09-27	2012-09-26
2736609	el_konquistador	6500	8	6500	2015-05-02	2015-05-02	2015-05-02	1	2015-05-02	2015-05-02
50005	n7xsd	6674	0	1702	2008-07-05	2008-07-05	NULL	39	2009-04-11	2009-06-13
147510	woodpeck_fixbot	101735	0	0	2009-09-25	NULL	NULL	4	2009-11-24	2009-11-12
2533093	carciofo	6	0	0	2015-06-07	NULL	NULL	1	2015-06-07	2015-06-07
1783785	R0bst3r	2	0	0	2015-04-02	NULL	NULL	2	2015-04-08	2015-04-08
50118	Hawkeye	16	0	11	2012-10-06	2012-10-06	NULL	1	2012-10-06	2012-10-06
618879	van Rees	2	0	1	2012-12-02	2012-12-07	NULL	2	2012-12-05	2012-12-05
10475	riad	8	0	8	2008-03-08	2008-03-08	NULL	1	2008-03-08	2008-03-08
274546	AskCDE	1	0	0	2010-04-25	NULL	NULL	1	2010-04-25	2010-04-25
574563	OldTome	1	0	0	2011-12-26	NULL	NULL	1	2011-12-26	2011-12-26
22773	christof	1	0	1	2009-10-10	2009-10-10	NULL	1	2009-10-10	2009-10-10
103107	EdHillsman	22	0	22	2014-03-17	2014-03-17	NULL	1	2014-03-17	2014-03-17
3232835	Alexhats	66	0	54	2015-11-29	2015-11-29	NULL	1	2015-11-29	2015-11-29
28609	bcrosby	6	0	6	2010-12-17	2010-12-17	NULL	1	2010-12-16	2010-12-16
51045	Geogast	334	0	0	2010-02-07	NULL	NULL	1	2010-02-07	2010-02-07
201359	wambacher	21	0	7	2012-10-17	2012-10-17	NULL	5	2013-10-30	2013-11-14
3231072	Robocat18	25	0	25	2015-09-11	2015-09-11	NULL	1	2015-09-11	2015-09-11
1051550	shravan91	162	0	149	2015-03-09	2015-03-23	NULL	6	2015-03-27	2015-03-27
7412	mjulius	3	0	0	2010-04-02	NULL	NULL	1	2010-04-02	2010-04-02
196244	fotoman607	684	0	636	2009-11-12	2009-11-12	NULL	3	2010-01-31	2010-03-10
109570	Vincent Broman	1	0	0	2011-05-09	NULL	NULL	1	2011-05-08	2011-05-08
119818	Devin Samarin	32	0	27	2009-07-04	2009-07-04	NULL	3	2012-07-22	2011-03-06
