user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
178186	mdk	141	0	23	2010-05-23	2012-04-29	NULL	9	2012-12-28	2013-10-05
4805	Tyom	11	0	7	2007-04-16	2007-04-16	NULL	2	2011-03-18	2012-12-28
52700	DomRamsey	3	0	1	2008-07-18	2008-07-18	NULL	1	2008-07-18	2008-07-18
8732	xylome2	3	0	0	2008-10-08	NULL	NULL	2	2008-12-31	2009-01-27
453989	racshalom	2	0	0	2011-05-13	NULL	NULL	1	2011-05-13	2011-05-13
20420	Killarney	3	0	0	2008-01-04	NULL	NULL	1	2008-01-04	2008-01-04
556199	JaH	1	0	0	2011-11-18	NULL	NULL	1	2011-11-18	2011-11-18
298757	Orion189	2	0	2	2010-06-04	2010-06-04	NULL	1	2010-06-04	2010-06-04
123348	prn	11061	0	10361	2009-05-10	2009-05-10	NULL	23	2013-04-09	2013-06-14
327499	Skyguy	10165	0	4285	2010-08-12	2010-08-12	NULL	74	2013-07-10	2013-07-15
486343	peregrination	8803	0	7355	2011-07-12	2011-07-12	NULL	80	2014-11-10	2015-06-07
451982	Lxsch	10453	0	10322	2011-05-18	2011-05-18	NULL	28	2013-07-20	2014-06-24
232386	_yog	10972	0	5957	2010-02-11	2010-02-11	NULL	68	2015-02-26	2015-09-26
8938	Bud	9672	11	9672	2007-06-10	2007-06-10	2007-06-11	46	2007-08-09	2007-07-29
1878856	yourealwaysbe	8646	0	6496	2014-01-12	2014-01-12	NULL	161	2015-01-22	2014-09-09
6634	DrMark	11475	50	8675	2007-03-16	2007-03-16	2007-03-16	223	2008-04-14	2008-02-23
348243	andreamar	7978	0	5059	2011-03-24	2011-03-24	NULL	90	2012-09-22	2012-10-17
5926	c2r	7815	2	5929	2007-02-10	2007-02-10	2007-08-05	107	2011-09-15	2012-02-01
735	blackadder	11645	30	9441	2005-12-15	2005-12-15	2005-12-15	25	2010-04-25	2011-09-08
221923	michaelinredhill	7649	0	6023	2010-10-09	2010-10-09	NULL	204	2012-08-26	2012-06-07
1679	andrewpmk	10672	1	5452	2007-08-04	2007-08-04	2008-03-05	206	2010-10-17	2010-03-17
2262383	addavies	9516	0	9516	2014-09-15	2014-09-15	NULL	1	2014-09-15	2014-09-15
17021	ShakespeareFan00	12476	22	8085	2007-10-21	2007-10-21	2007-10-21	76	2009-10-14	2009-08-18
72963	dtr20	8094	0	7035	2009-06-02	2009-06-02	NULL	106	2010-11-06	2011-03-02
3762	stev	11533	0	5668	2007-02-06	2007-02-06	NULL	186	2009-03-19	2008-12-13
1437121	nicolasmonk	9632	0	8024	2013-05-10	2013-05-10	NULL	21	2014-03-15	2014-07-03
57884	EdLoach	11469	0	9097	2008-10-29	2008-11-24	NULL	60	2011-10-13	2011-09-04
82905	SimpCup	9040	0	1688	2008-11-30	2008-11-30	NULL	29	2009-07-25	2009-01-20
2914169	mattyallen13	8000	0	6053	2015-05-14	2015-05-14	NULL	14	2015-06-07	2015-05-29
7514	Loomyer	11084	0	8754	2010-02-06	2010-02-06	NULL	240	2012-08-30	2012-10-19
322039	MacLondon	10337	0	5444	2012-12-11	2012-12-11	NULL	137	2014-12-15	2014-12-11
364	Edward	9949	25	7294	2007-01-01	2007-01-01	2007-01-21	228	2009-05-22	2009-03-15
1066089	damdab77	1	0	1	2014-01-23	2014-01-23	NULL	1	2014-01-23	2014-01-23
45820	Paper	165	0	109	2010-11-29	2010-11-29	NULL	11	2012-05-14	2012-03-16
357346	Azizur	1	0	1	2011-12-31	2011-12-31	NULL	1	2011-12-31	2011-12-31
162708	David-en8	2	0	2	2009-08-25	2009-08-25	NULL	2	2010-07-16	2010-07-16
146680	ceyockey	2	0	2	2012-01-28	2012-01-28	NULL	1	2012-01-28	2012-01-28
69602	Simon George	19	0	18	2008-09-24	2008-09-24	NULL	1	2008-09-24	2008-09-24
627934	Gravy_davey	8	0	3	2012-03-14	2012-03-14	NULL	1	2012-03-14	2012-03-14
505632	Peterko64	7448	0	3027	2011-08-13	2011-08-13	NULL	38	2013-04-27	2012-04-25
7742	sygopet	7380	18	3263	2007-05-13	2007-05-13	2007-06-03	263	2010-11-04	2010-03-20
1257165	Andrew HS	7080	0	3936	2013-03-12	2013-03-12	NULL	56	2013-06-03	2013-05-03
682	SteveC	6976	62	5870	2006-03-21	2006-03-21	2006-04-28	125	2007-08-14	2007-08-25
3111727	pollyanna	4958	0	3584	2015-08-04	2015-08-04	NULL	12	2015-08-18	2015-08-16
71317	Flux Matta	6465	0	1370	2008-10-08	2008-10-08	NULL	10	2010-08-07	2009-10-25
515	Frankie Roberto	6184	4	6022	2005-07-25	2005-07-25	2005-07-27	41	2007-12-14	2007-08-28
74923	vicarage	6073	0	369	2008-10-23	2008-10-23	NULL	38	2011-03-10	2009-01-14
131236	duncaninnes	6868	0	3710	2011-07-13	2011-07-13	NULL	16	2012-02-09	2012-02-21
685967	ToeBeeFixit	5403	0	0	2015-04-27	NULL	NULL	1	2015-04-27	2015-04-27
31195	Russell Howe	4834	0	3403	2009-03-20	2009-03-20	NULL	121	2011-01-18	2010-12-18
1174735	markptompsett	7424	0	3726	2012-12-30	2012-12-30	NULL	65	2013-03-22	2013-03-14
9525	BlueSpecs	6322	1	4356	2007-07-15	2007-07-15	2007-08-30	91	2008-08-07	2008-08-26
855535	L'le Tom	5836	0	1544	2012-09-03	2012-09-03	NULL	86	2014-04-13	2014-04-22
17723	catafalque	5077	0	800	2007-10-29	2007-10-29	NULL	24	2008-01-29	2007-11-14
12910	Joao Carreiro	4712	0	2116	2007-09-14	2007-09-14	NULL	41	2010-12-29	2011-05-29
653716	user_653716	4824	0	4368	2012-04-09	2012-04-09	NULL	5	2012-04-11	2012-04-10
490932	John Leeming	5445	0	4178	2011-07-17	2011-07-17	NULL	54	2013-05-12	2012-12-07
6499	secretlondon	4554	0	3552	2007-03-12	2007-03-12	NULL	23	2011-08-23	2012-01-19
468663	TheUltimateKoopa	5610	0	5262	2011-06-11	2011-06-11	NULL	68	2012-06-17	2012-04-20
7463	kesterlester	5774	2	3818	2007-04-24	2007-04-24	2007-05-03	43	2007-11-27	2007-12-20
