user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
112530	Caballista	17	0	11	2010-07-16	2010-07-16	NULL	2	2010-07-16	2010-07-16
167165	ke6hui	3217	0	2121	2009-09-04	2009-09-04	NULL	11	2009-09-10	2009-09-10
9065	brianboru	2310	11	1794	2008-07-06	2008-07-06	2008-07-06	6	2009-11-29	2008-10-28
1241595	Runis	1	0	0	2013-05-13	NULL	NULL	1	2013-05-13	2013-05-13
1850423	andzan75	2571	0	2548	2014-01-11	2014-01-11	NULL	6	2014-01-15	2014-01-16
142426	S-Man42	2824	0	2627	2012-11-27	2012-11-27	NULL	5	2012-12-13	2012-12-16
670209	hd_harry	2211	0	553	2012-04-28	2012-04-29	NULL	22	2012-06-18	2012-06-17
4951	PeterEastern	2894	0	1811	2008-04-29	2008-04-29	NULL	44	2011-12-04	2011-02-22
34328	mappingdude	1922	0	696	2008-04-14	2008-04-14	NULL	6	2012-12-29	2010-01-18
162804	AdamHasAMap	2067	0	1571	2009-08-25	2009-08-25	NULL	2	2012-02-17	2009-10-23
451067	Evanator	2098	0	1406	2012-05-01	2012-05-01	NULL	8	2013-01-07	2012-07-29
165869	chdr	2600	1	2584	2011-02-02	2011-02-02	2012-01-01	6	2011-06-30	2011-06-25
454589	sabas88	1	0	0	2013-01-07	NULL	NULL	1	2013-01-07	2013-01-07
531084	rgtXplor	2435	1	2360	2011-12-31	2011-12-31	2014-04-10	9	2012-09-20	2012-09-07
144503	Red Mercury	2513	0	685	2009-10-18	2010-03-15	NULL	35	2012-02-09	2012-04-30
1290162	The Artisan Apartments	1	0	1	2013-03-21	2013-03-21	NULL	1	2013-03-21	2013-03-21
35900	dtcomposer	2224	0	140	2009-03-11	2009-03-11	NULL	8	2009-06-28	2009-03-25
371121	AndrewSnow	3142	0	2372	2014-01-31	2014-01-31	NULL	5	2014-10-03	2014-11-24
225328	rdelapp	1766	0	387	2010-01-30	2010-01-30	NULL	3	2011-02-27	2010-02-04
59482	renaistre	2868	0	228	2008-08-15	2008-08-15	NULL	5	2008-08-24	2008-08-25
454672	Iñaky	1	0	1	2011-05-15	2011-05-15	NULL	1	2011-05-14	2011-05-14
360392	maxerickson	2020	0	1322	2013-09-18	2013-09-18	NULL	22	2014-10-17	2014-10-09
339764	Adler	2260	3	1995	2011-09-20	2011-09-20	2011-09-20	9	2011-11-01	2011-09-23
93788	coleman	2084	0	61	2012-08-30	2012-08-30	NULL	5	2012-12-05	2012-09-24
1239088	David Kuntz	1	0	1	2013-02-24	2013-02-24	NULL	1	2013-02-24	2013-02-24
464051	jesinc2010	1	0	0	2011-06-01	NULL	NULL	1	2011-06-01	2011-06-01
1244807	Oberpfälzer	1	0	0	2014-10-27	NULL	NULL	1	2014-10-26	2014-10-26
1322997	esilverberg	1	0	1	2013-04-03	2013-04-03	NULL	1	2013-04-02	2013-04-02
2441939	thevirginian	3498	0	1505	2014-11-09	2014-11-09	NULL	9	2014-11-14	2014-11-14
1660866	hopperrr	2133	0	1937	2014-12-18	2014-12-18	NULL	4	2014-12-20	2014-12-18
1244803	pjahans	1	0	0	2013-03-01	NULL	NULL	1	2013-03-01	2013-03-01
15891	farlokko	2967	0	260	2008-08-26	2008-09-08	NULL	9	2008-09-07	2008-09-09
245137	maurice2010	2392	0	1921	2010-07-04	2010-07-04	NULL	10	2011-01-13	2011-01-23
471908	ttrfanatic	1	0	0	2011-06-16	NULL	NULL	1	2011-06-16	2011-06-16
91499	paulmach	2177	0	1094	2013-09-16	2013-09-19	NULL	18	2014-01-18	2014-05-07
423333	Marcel-NL	1	0	1	2011-06-10	2011-06-10	NULL	1	2011-06-10	2011-06-10
432123	Loucat	1	0	1	2011-04-04	2011-04-04	NULL	1	2011-04-04	2011-04-04
1305731	proactivela	1	0	1	2013-03-26	2013-03-26	NULL	1	2013-03-26	2013-03-26
762098	pverik	2047	0	1483	2012-07-26	2012-07-26	NULL	11	2012-08-03	2012-08-04
27197	da_gibb	3248	8	267	2008-11-01	2008-11-01	2008-11-08	19	2008-12-08	2008-12-06
