user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
44221	dcp	22	0	0	2013-01-26	NULL	NULL	1	2013-01-26	2013-01-26
858405	fcgwalk	4054	2	3563	2013-01-16	2013-01-16	2013-05-09	17	2013-04-22	2013-05-03
1744907	roderik707	14963	74	13347	2014-09-23	2014-10-05	2014-10-05	2	2014-09-29	2014-10-05
101199	macgirl	14596	2	2962	2009-02-21	2009-02-21	2009-02-26	11	2009-03-14	2009-03-12
216398	Totte	15658	14	11779	2012-10-17	2012-10-17	2013-01-24	123	2014-02-02	2013-11-29
43293	ulfinger	58700	662	49369	2008-06-03	2008-06-03	2008-06-03	43	2008-06-30	2008-06-25
330562	juane90	24709	0	18154	2014-01-31	2014-01-31	NULL	63	2014-07-22	2014-07-08
58410	tlacuilo	15882	70	6159	2008-08-22	2008-08-22	2008-08-27	48	2010-07-07	2009-11-23
105022	Ken Arroyo Ohori	34516	92	28688	2009-03-09	2009-03-09	2010-03-14	50	2010-12-21	2011-02-18
83169	mgoscar	10073	10	2919	2008-12-02	2008-12-02	2008-12-02	19	2011-10-26	2010-05-03
29809	gwolf	9728	49	8516	2008-08-08	2008-08-09	2008-08-09	77	2010-04-05	2010-02-18
101422	Yorx	7131	126	5262	2009-02-24	2011-01-14	2011-01-14	23	2010-10-05	2011-01-17
298530	ferval	77828	24	34062	2010-06-06	2010-06-06	2010-10-22	261	2011-10-07	2012-01-14
84642	mdelatorre	119865	28	19004	2008-12-11	2008-12-11	2009-01-05	61	2009-12-30	2009-04-16
328056	Gerrard	19541	2	11547	2010-08-03	2010-08-03	2010-08-03	49	2013-05-26	2013-09-15
9083	bit	8219	490	7998	2007-06-14	2007-06-14	2007-06-14	22	2007-09-06	2007-07-08
1679	andrewpmk	36599	199	34387	2009-03-05	2009-03-05	2009-03-27	86	2010-08-23	2009-06-18
254652	gercarst	4566	28	3110	2014-10-25	2014-10-25	2014-11-07	9	2014-11-09	2014-11-11
2377377	abel801	4486	1	3607	2015-01-16	2015-01-16	2015-01-16	1	2015-01-16	2015-01-16
23179	yvasilev	4886	28	3356	2008-08-29	2008-08-29	2008-09-01	29	2008-09-30	2008-09-30
510836	Rub21	99344	100	98582	2012-04-25	2012-04-25	2012-04-25	32	2013-09-14	2013-01-16
2340936	JoeDuffy90	1	0	1	2014-10-30	2014-10-30	NULL	1	2014-10-30	2014-10-30
128287	cMartin	1	0	0	2014-08-27	NULL	NULL	1	2014-08-27	2014-08-27
330271	Pablo Leautaud	14	0	14	2014-04-02	2014-04-02	NULL	1	2014-04-02	2014-04-02
1284872	polux04	18	0	18	2013-03-19	2013-03-19	NULL	1	2013-03-19	2013-03-19
80354	zzdavozz	144	0	0	2008-11-18	NULL	NULL	1	2008-11-17	2008-11-17
236412	dcs	46	0	0	2011-03-04	NULL	NULL	1	2011-03-04	2011-03-04
293858	Franzscissorhands	6	0	5	2010-05-28	2010-05-28	NULL	1	2010-05-28	2010-05-28
314947	jaicohen	2600	3	2260	2010-07-07	2010-07-07	2010-07-08	8	2010-07-13	2010-07-10
203688	jorge_o	2482	1	966	2012-09-27	2012-09-27	2012-11-18	30	2013-02-28	2013-02-14
181135	Manu1400	6	0	0	2013-05-10	NULL	NULL	6	2013-11-16	2013-11-16
163973	badpap	5	0	1	2014-01-25	2014-01-25	NULL	3	2014-01-27	2014-01-26
793623	Fiero9	6	0	6	2012-08-09	2012-08-09	NULL	1	2012-08-09	2012-08-09
2561770	albesoon	6	0	6	2015-01-09	2015-01-09	NULL	1	2015-01-09	2015-01-09
287920	andwil	5	0	1	2013-02-04	2013-02-04	NULL	1	2013-02-04	2013-02-04
1240849	ediyes	3370	0	2944	2014-07-15	2014-07-15	NULL	30	2014-10-12	2014-12-31
837353	TrackLocator Rastreo Satelital	1264	7	664	2013-05-10	2013-05-10	2013-07-29	20	2013-11-24	2013-11-09
1190212	Moovit Team	2501	0	2333	2013-06-20	2013-06-20	NULL	13	2013-08-01	2013-07-22
162382	Alejandro Lobos Kunstmann	1335	0	683	2009-08-24	2009-08-24	NULL	7	2010-02-04	2009-10-09
2525941	jsalazar	6	0	4	2014-12-17	2014-12-17	NULL	2	2014-12-20	2014-12-18
1251736	ccataldi	6	0	4	2013-03-07	2013-03-07	NULL	2	2013-03-08	2013-03-07
127730	Jose Luis Chavez del Cid	2350	21	2239	2010-08-29	2010-08-29	2010-08-29	3	2010-09-07	2010-09-02
1433922	Antalo	5	0	1	2014-09-02	2014-09-02	NULL	1	2014-09-02	2014-09-02
82317	AM909	4	0	0	2009-07-30	NULL	NULL	1	2009-07-29	2009-07-29
1651798	oldenburg69	5	0	5	2013-11-28	2013-11-28	NULL	3	2014-01-09	2013-12-23
1838192	edgarboss	5	0	4	2013-12-14	2013-12-14	NULL	1	2013-12-13	2013-12-13
349753	Jose Lucas	5	0	3	2010-09-23	2010-09-23	NULL	2	2010-09-24	2010-09-25
845879	Andresuco	3430	2	2922	2012-09-19	2012-09-19	2013-08-12	23	2013-11-02	2014-01-03
1766412	JuraseC	6	0	6	2013-10-06	2013-10-06	NULL	1	2013-10-06	2013-10-06
1323363	kriscarle	2493	0	1569	2014-10-07	2014-10-07	NULL	3	2014-10-10	2014-10-11
907163	eriknovic	5	0	5	2012-09-22	2012-09-22	NULL	1	2012-09-21	2012-09-21
2500567	forotv	6	0	6	2014-12-03	2014-12-03	NULL	1	2014-12-03	2014-12-03
661156	rocknavag	6	0	5	2012-04-16	2012-04-16	NULL	1	2012-04-16	2012-04-16
227092	cantellano	6	2	6	2010-01-31	2010-01-31	2010-01-31	1	2010-01-31	2010-01-31
24965	Ævar Arnfjörð Bjarmason	1	0	0	2009-08-28	NULL	NULL	1	2009-08-28	2009-08-28
324396	adr Cerberus	1	0	1	2010-07-26	2010-07-26	NULL	1	2010-07-26	2010-07-26
1096851	zorokun	1	0	1	2012-11-29	2012-11-29	NULL	1	2012-11-29	2012-11-29
403953	SoterMexico	1	0	1	2011-02-03	2011-02-03	NULL	1	2011-02-03	2011-02-03
640435	rroto	1	0	0	2012-03-27	NULL	NULL	1	2012-03-27	2012-03-27
649209	Omar David Sandoval Sida	1	0	1	2012-04-06	2012-04-06	NULL	1	2012-04-06	2012-04-06
2334596	rodowi	1	0	0	2014-09-21	NULL	NULL	1	2014-09-21	2014-09-21
252215	Urbeline	1253	4	981	2010-03-25	2010-03-25	2010-12-20	12	2010-12-02	2010-11-19
396380	Javier Ramirez Lopez	1124	0	1000	2011-01-17	2011-01-17	NULL	1	2011-01-17	2011-01-17
60631	SoulMap	1	0	0	2013-02-14	NULL	NULL	1	2013-02-13	2013-02-13
2202395	6U5T4V	1180	0	931	2014-07-22	2014-07-22	NULL	2	2014-07-22	2014-07-21
47681	jot	6	0	3	2013-01-26	2013-01-26	NULL	1	2013-01-26	2013-01-26
2148066	kiwi san	10	0	7	2014-06-26	2014-06-26	NULL	1	2014-06-26	2014-06-26
236212	kpw	35	0	27	2013-06-20	2013-06-20	NULL	1	2013-06-20	2013-06-20
1772311	edcartre	1	0	1	2013-10-12	2013-10-12	NULL	1	2013-10-11	2013-10-11
1991664	El Universal	8	0	6	2014-03-18	2014-03-18	NULL	1	2014-03-18	2014-03-18
345833	sbook	9	0	0	2013-01-27	NULL	NULL	1	2013-01-27	2013-01-27
469662	lkardos	839	0	351	2013-02-14	2013-02-14	NULL	4	2013-02-24	2013-02-16
365443	Yeni5	776	1	626	2010-11-01	2010-11-01	2010-11-02	3	2010-12-14	2010-11-23
80600	jatz	693	0	64	2008-11-19	2008-11-19	NULL	3	2008-12-01	2008-12-15
461005	cronoser	995	0	875	2014-07-02	2014-07-02	NULL	3	2014-09-21	2014-09-10
172617	Erzei	1013	9	850	2009-09-15	2009-09-15	2009-09-15	7	2009-09-21	2009-09-17
28775	StellanL	748	0	187	2013-01-10	2013-01-10	NULL	9	2013-03-04	2013-01-28
437320	oroislg	2	0	2	2011-04-13	2011-04-13	NULL	1	2011-04-13	2011-04-13
2522215	Gerardo Kloss	3497	0	2426	2014-12-15	2014-12-15	NULL	6	2014-12-18	2014-12-18
1695066	gadiazf	373	0	245	2013-07-30	2013-07-30	NULL	10	2014-02-02	2014-02-09
795757	Lujano	25	0	25	2012-08-10	2012-08-10	NULL	1	2012-08-10	2012-08-10
1945472	chavakano	4	0	4	2014-02-20	2014-02-20	NULL	1	2014-02-20	2014-02-20
1422892	MaherANCA	16	0	12	2013-05-07	2013-05-07	NULL	1	2013-05-06	2013-05-06
951880	dvdvck	8	0	8	2012-10-06	2012-10-06	NULL	1	2012-10-05	2012-10-05
116044	berndw	1	0	0	2013-12-11	NULL	NULL	1	2013-12-11	2013-12-11
318405	israel	1	0	1	2010-07-13	2010-07-13	NULL	1	2010-07-13	2010-07-13
423291	Aquin	1	0	0	2013-01-22	NULL	NULL	1	2013-01-21	2013-01-21
