user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
2823295	ramyaragupathy	944	0	938	2015-06-04	2015-06-04	NULL	5	2015-06-28	2015-06-08
153305	MichaelG68	895	0	762	2012-04-09	2012-04-09	NULL	2	2012-05-22	2012-07-01
89098	InsertUser	1171	1	1150	2012-11-15	2012-11-15	2015-11-14	4	2014-05-07	2013-11-08
522978	asdf1234	800	0	768	2014-08-15	2014-08-15	NULL	4	2015-01-02	2015-01-11
2758805	villamanj35	825	0	777	2015-03-15	2015-03-15	NULL	7	2015-04-29	2015-04-28
469297	KathleenLD	755	0	747	2013-05-05	2013-05-05	NULL	1	2013-05-05	2013-05-05
2554698	ruthmaben	768	0	749	2015-02-17	2015-03-05	NULL	17	2015-05-24	2015-07-17
1260280	jacobbraeutigam	777	0	760	2013-12-08	2013-12-08	NULL	8	2014-09-24	2015-02-15
94578	andygol	1397	0	1224	2013-01-11	2015-01-16	NULL	15	2015-04-10	2015-07-03
2115749	srividya_c	785	0	741	2015-02-03	2015-02-03	NULL	29	2015-05-10	2015-05-09
8703	rolandg	928	0	887	2012-12-06	2012-12-06	NULL	7	2013-01-06	2013-03-02
2449734	cetuseatslettuce	1245	0	1206	2014-11-07	2014-11-07	NULL	6	2014-12-22	2014-12-08
2644101	Chetan_Gowda	1420	1	1372	2015-05-19	2015-05-19	2015-06-29	17	2015-07-19	2015-07-16
128470	vkungys	1268	0	1183	2013-04-20	2013-04-20	NULL	5	2013-07-02	2013-07-25
665694	aarp65	1406	0	1396	2014-08-16	2014-08-16	NULL	4	2014-09-06	2014-09-04
2053369	NayanataraM	1547	0	873	2014-05-09	2014-05-09	NULL	8	2014-06-04	2014-06-06
2538098	opksteve	950	0	838	2015-01-22	2015-01-22	NULL	2	2015-01-23	2015-01-22
37137	Derick Rethans	1105	0	1071	2012-09-18	2012-09-18	NULL	4	2012-11-08	2012-12-25
259657	jptitanic13	1201	0	19	2010-04-09	2010-04-09	NULL	1	2010-04-09	2010-04-09
187849	Hami	1090	0	1089	2011-12-03	2011-12-03	NULL	3	2011-12-16	2011-12-27
88244	eli_b	1043	0	26	2008-12-31	2008-12-31	NULL	4	2009-01-03	2009-01-05
28852	Mark Gray	1065	0	89	2009-07-20	2009-07-20	NULL	1	2009-07-20	2009-07-20
534149	lurlrlrl	1315	0	1252	2012-11-25	2015-02-01	NULL	3	2014-05-11	2015-01-13
171538	dtobias	860	11	202	2009-09-13	2009-09-13	2009-09-13	9	2011-05-30	2010-02-15
5286	wierdo	917	0	279	2010-12-25	2010-12-25	NULL	6	2011-09-23	2011-01-28
564585	wegavision	1101	0	576	2015-11-16	2015-11-16	NULL	4	2015-11-18	2015-11-17
310589	hno2	767	0	766	2014-04-11	2014-04-11	NULL	2	2014-10-08	2014-08-01
30587	IknowJoseph	775	0	735	2010-01-11	2010-01-11	NULL	2	2010-01-19	2010-01-14
1939272	mo_osm_mapping	916	0	889	2014-03-24	2014-03-24	NULL	1	2014-03-24	2014-03-24
3234	Jon Burgess	1372	0	318	2010-02-20	2010-02-20	NULL	1	2010-02-20	2010-02-20
38487	jumbanho	787	0	716	2011-02-18	2011-02-18	NULL	10	2013-06-15	2012-02-09
1679	andrewpmk	872	0	786	2009-05-13	2009-05-13	NULL	29	2014-03-20	2013-05-10
414318	Munchabunch	845	0	841	2012-07-07	2012-07-07	NULL	4	2013-03-20	2013-03-03
146680	ceyockey	820	0	793	2014-12-28	2014-12-28	NULL	3	2015-01-27	2015-01-28
84873	tigers	1326	0	189	2011-04-07	2011-04-07	NULL	3	2011-04-10	2011-04-13
162340	Etherg8	934	2	556	2009-12-14	2009-12-14	2009-12-14	2	2010-04-04	2010-07-09
195702	Sergey Kozyr	1044	0	1016	2015-06-09	2015-06-09	NULL	3	2015-06-10	2015-06-10
1342842	leslymc4	1017	0	1017	2013-08-30	2013-08-30	NULL	7	2013-09-17	2013-09-13
449569	Nautic	980	1	918	2015-04-03	2015-04-03	2015-04-03	2	2015-05-06	2015-05-14
51045	Geogast	782	0	0	2009-12-17	NULL	NULL	3	2011-01-03	2009-12-20
1051550	shravan91	1254	0	1205	2015-03-16	2015-04-10	NULL	15	2015-05-05	2015-06-06
23762	Heptazane	1271	13	1010	2010-07-06	2010-07-06	2010-07-09	9	2011-03-17	2010-12-13
1985907	igfc	990	0	511	2014-03-15	2014-03-15	NULL	3	2014-03-18	2014-03-19
722137	OSMF Redaction Account	443	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
1419649	trbleclef	644	0	614	2013-05-09	2013-06-14	NULL	11	2014-02-27	2014-04-16
2953389	TifFrione	579	0	549	2015-05-30	2015-05-30	NULL	1	2015-05-30	2015-05-30
515211	dennisz1	497	0	493	2012-02-08	2012-02-08	NULL	6	2012-10-15	2012-07-25
4049	randomjunk	512	1	226	2009-07-25	2009-07-25	2009-07-25	1	2009-07-25	2009-07-25
11547	michalg0x5a	578	0	538	2012-11-10	2012-11-10	NULL	2	2013-10-20	2012-11-16
139856	redsteakraw	525	0	461	2012-02-05	2012-02-05	NULL	1	2012-02-05	2012-02-05
3019337	teletypist	478	0	457	2015-06-27	2015-06-27	NULL	2	2015-06-28	2015-06-27
344561	FahRadler	751	0	732	2011-12-07	2011-12-07	NULL	2	2011-12-08	2011-12-07
684651	jlevente	671	0	608	2015-05-04	2015-05-04	NULL	8	2015-08-28	2015-08-27
419156	EdS	1	0	0	2011-03-08	NULL	NULL	1	2011-03-08	2011-03-08
2012449	Dami_Tn	612	0	290	2014-05-22	2014-05-22	NULL	4	2014-10-17	2014-10-07
7203	ToffeHoff	453	0	449	2012-09-22	2012-09-22	NULL	6	2014-09-13	2015-01-04
1802220	jonesydesign	560	0	502	2014-03-19	2014-03-19	NULL	7	2014-09-29	2014-12-30
586214	tino79	487	0	484	2015-05-31	2015-05-31	NULL	1	2015-05-31	2015-05-31
60110	dale_p	584	0	394	2009-07-21	2009-07-21	NULL	3	2011-08-22	2011-04-28
3582	davidearl	509	0	4	2008-12-06	2008-12-06	NULL	1	2008-12-06	2008-12-06
118048	okiev	562	0	320	2011-04-10	2011-04-10	NULL	6	2011-04-17	2011-04-22
2026966	tjackson	530	3	395	2014-04-10	2014-04-10	2014-04-10	4	2014-06-04	2014-04-27
2905914	pratikyadav	595	0	594	2015-07-03	2015-07-03	NULL	4	2015-08-19	2015-11-24
9437	Zoo	474	0	464	2012-05-27	2012-05-27	NULL	2	2012-05-29	2012-05-28
196617	venerdi	588	0	549	2012-01-26	2012-01-26	NULL	2	2012-01-27	2012-01-27
710623	adamold	541	0	416	2015-02-27	2015-02-27	NULL	7	2015-07-10	2015-07-28
46140	rub1993	653	0	653	2013-07-21	2013-07-21	NULL	1	2013-07-21	2013-07-21
115918	Timothy Smith	688	0	549	2014-05-27	2014-05-27	NULL	17	2015-03-30	2015-04-10
669873	rychlomaper	616	0	616	2012-04-28	2012-04-28	NULL	1	2012-04-28	2012-04-28
599469	daganzdaanda	557	0	500	2013-04-29	2013-04-29	NULL	1	2013-04-29	2013-04-29
7591	sadam	534	57	267	2007-12-06	2007-12-06	2007-12-06	1	2007-12-06	2007-12-06
84805	josemh	676	0	173	2008-12-12	2008-12-12	NULL	2	2008-12-12	2008-12-11
198440	Don Incognito	613	0	205	2009-11-18	2009-11-18	NULL	4	2009-11-28	2009-11-24
632378	3yoda	425	0	424	2014-03-07	2014-03-07	NULL	2	2014-03-08	2014-03-08
294614	Panther37	514	0	0	2010-07-09	NULL	NULL	1	2010-07-08	2010-07-08
119748	peace2	445	5	305	2010-09-08	2010-09-08	2012-04-17	4	2011-10-08	2011-01-01
11154	beej71	514	2	514	2007-12-07	2007-12-07	2007-12-07	3	2009-07-09	2008-01-03
16102	hognose	488	0	420	2013-01-25	2013-01-25	NULL	4	2013-04-04	2013-04-20
2544441	yolo534	546	0	539	2014-12-30	2014-12-30	NULL	1	2014-12-30	2014-12-30
229916	leo1d	676	0	82	2010-02-06	2010-02-06	NULL	3	2010-03-17	2010-02-11
757042	rad1ance	473	0	428	2013-06-18	2013-06-18	NULL	7	2014-02-25	2014-02-05
364	Edward	412	0	54	2009-09-29	2009-09-29	NULL	2	2012-03-05	2010-01-10
