user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
213820	b_c	11852	0	6589	2009-12-31	2009-12-31	NULL	241	2011-03-29	2011-03-01
1320246	arthurchumak	10046	0	5189	2014-02-05	2014-02-05	NULL	133	2014-12-16	2014-11-12
1719801	q3137	11161	0	5566	2013-08-22	2013-09-25	NULL	62	2013-12-22	2014-01-07
515330	Alexey_ND	43095	1	21585	2011-09-01	2011-09-01	2013-09-19	268	2013-08-02	2013-05-08
112677	Sergey Azarkevich	6672	3	2300	2009-07-08	2009-07-08	2009-09-08	44	2010-04-25	2009-12-09
1396577	shrddr	72096	0	27527	2013-04-27	2013-04-27	NULL	248	2015-06-11	2015-04-06
86479	osm-belarus	18833	0	2778	2008-12-21	2009-07-16	NULL	60	2011-09-18	2011-02-02
270915	Hegny	21509	0	11800	2011-12-28	2011-12-28	NULL	23	2012-09-11	2012-07-19
129758	pOison	27800	0	19009	2009-05-29	2009-05-29	NULL	90	2010-07-25	2010-04-17
186987	bushyla	9571	0	9305	2009-10-17	2009-10-17	NULL	32	2010-05-10	2010-05-12
449017	bes_internal	21511	0	9503	2011-05-04	2011-05-04	NULL	121	2012-12-03	2012-12-27
71631	andrewsh	8848	0	4874	2008-10-07	2009-02-03	NULL	151	2010-12-28	2010-04-01
380564	danvyr	21750	0	17727	2010-12-06	2010-12-06	NULL	145	2015-03-04	2015-05-23
486950	M10	7959	0	5482	2011-07-12	2011-07-12	NULL	100	2014-11-17	2014-11-16
862503	applemat	7568	0	6222	2012-09-06	2012-09-06	NULL	77	2013-09-21	2013-03-07
563561	Zergez	9072	0	3476	2011-12-04	2011-12-04	NULL	75	2012-03-06	2012-02-12
3088953	Panorama-mingas	11374	0	10052	2015-07-24	2015-07-24	NULL	38	2015-12-02	2015-12-14
29320	Komяpa	257588	20	176717	2008-03-01	2008-03-01	2008-03-22	453	2010-11-06	2010-07-12
74135	borism346	7118	0	645	2008-10-22	2008-10-29	NULL	177	2012-02-12	2009-07-09
450366	iglezz	71351	0	33839	2011-09-23	2011-09-23	NULL	178	2014-01-14	2013-04-29
78039	sanek999	18090	6	3707	2008-11-13	2008-11-13	2008-11-14	31	2009-02-01	2008-12-15
34326	Asdert	14041	3	8689	2008-05-07	2008-05-07	2008-05-12	42	2008-10-18	2008-08-13
31882	Jagor	42644	8	16995	2008-03-30	2008-03-30	2008-03-30	122	2008-10-30	2008-09-05
519956	IKS__BY	18219	0	3682	2011-10-25	2011-10-25	NULL	37	2012-12-25	2012-03-18
234168	Расслабон	203647	1	66745	2010-02-16	2010-02-16	2014-03-26	508	2014-02-03	2014-04-18
549827	MastZ	6344	0	4695	2011-11-07	2011-11-07	NULL	49	2012-02-26	2012-02-26
285344	dima67574	8409	1	6631	2010-05-09	2010-05-12	2011-01-21	36	2010-10-29	2010-11-11
3322697	exorcist88	9546	0	5440	2015-10-20	2015-10-20	NULL	19	2015-11-22	2015-11-16
29431	jekhor	17794	0	3820	2008-04-28	2008-04-28	NULL	108	2010-06-06	2009-12-02
109654	timerov	36979	0	5655	2009-03-22	2009-03-22	NULL	95	2010-03-03	2009-10-27
174731	severality	7485	0	4944	2011-06-22	2011-06-22	NULL	112	2014-10-16	2014-10-16
21417	wildMan	257300	346	196574	2007-12-10	2007-12-10	2007-12-10	348	2009-08-12	2008-09-23
381729	Uhx	997	0	716	2012-08-27	2012-08-27	NULL	16	2013-05-20	2012-11-30
631868	rgiyf	7	0	1	2016-01-13	2016-01-13	NULL	1	2016-01-13	2016-01-13
414529	irrisorrimus	3090	0	981	2011-02-26	2011-02-26	NULL	55	2011-09-07	2011-09-10
278075	[F1]MiSHuTka	3477	0	2338	2010-12-01	2010-12-01	NULL	87	2012-08-30	2012-08-12
134851	kos32	2882	0	141	2009-08-05	2009-12-15	NULL	17	2011-02-24	2010-02-03
70279	AlexeySi	3435	0	3307	2008-10-12	2008-10-12	NULL	9	2009-05-06	2008-12-09
384855	Vad_73	3583	0	1413	2010-12-17	2010-12-17	NULL	46	2013-06-01	2013-07-26
159783	andrejczyk	2812	0	2269	2011-12-22	2012-01-12	NULL	47	2012-08-24	2012-07-26
388123	dez	1460	0	471	2013-05-20	2013-05-20	NULL	14	2014-08-01	2014-08-10
377096	varjat	2710	0	1923	2010-11-29	2010-11-29	NULL	49	2012-12-22	2012-04-24
203838	Sasha_Nahayko_oldprofile	2313	0	1595	2009-12-16	2009-12-16	NULL	57	2011-03-16	2011-04-06
425120	mprach	2186	0	638	2011-09-16	2011-09-18	NULL	74	2012-10-11	2012-09-06
138038	alx	2234	2	1682	2009-06-25	2009-06-25	2009-07-31	32	2010-01-18	2009-09-07
350717	favask	1707	0	1347	2013-07-10	2013-07-10	NULL	85	2014-10-22	2014-11-30
53495	aliaksei	2769	1	2087	2008-07-24	2008-07-24	2008-08-08	27	2008-09-17	2008-09-18
3019436	Igor Sharovar	1582	0	795	2015-06-28	2015-06-28	NULL	4	2015-07-07	2015-07-08
76410	alex73	2546	0	42	2013-10-13	2013-10-13	NULL	29	2014-09-12	2014-12-30
367897	Sokol9111	2242	0	1195	2010-11-07	2010-11-07	NULL	12	2011-10-13	2012-02-23
413914	KartaBY	1562	0	1193	2014-08-05	2014-08-05	NULL	9	2014-09-30	2014-09-22
388440	d_kMT50	1601	0	800	2010-12-27	2010-12-27	NULL	32	2012-02-25	2012-02-28
2175566	Eropification	2302	0	2095	2015-05-18	2015-05-18	NULL	11	2015-06-26	2015-06-07
225555	MblKiTA	1823	0	899	2010-01-27	2010-02-14	NULL	167	2011-06-18	2010-12-10
