user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
1772073	benjozork	1906	0	940	2014-03-03	2014-03-03	NULL	5	2014-04-17	2014-03-11
333901	unknown2	1879	0	280	2010-08-15	2010-08-16	NULL	15	2012-11-22	2013-01-26
722137	OSMF Redaction Account	1417	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
1388733	eriga	1740	0	1194	2013-10-27	2013-10-27	NULL	7	2013-12-02	2013-11-24
165869	chdr	1334	2	1295	2009-10-14	2009-10-14	2009-10-14	11	2011-09-03	2011-12-13
195093	Noviant	1850	0	694	2009-11-08	2009-11-08	NULL	13	2014-02-26	2014-09-26
3416690	Frederic Coderre	1403	0	1381	2015-12-11	2015-12-11	NULL	4	2015-12-15	2015-12-19
600992	xyz32	1185	0	883	2012-02-07	2012-02-07	NULL	65	2013-12-29	2014-01-15
131095	odaigle	1239	1	761	2009-06-02	2009-06-02	2009-08-04	9	2009-07-22	2009-07-10
37742	Pingouin Voyageur	1498	20	1480	2008-05-12	2008-05-12	2008-05-17	13	2008-06-17	2008-06-28
1197777	Données ouvertes 101	1550	0	1278	2013-08-17	2013-08-17	NULL	37	2014-01-15	2013-11-24
529114	Zethradon	1238	0	823	2011-09-28	2011-09-28	NULL	50	2013-09-18	2013-08-23
157760	benthos	1710	0	1394	2009-08-14	2009-08-14	NULL	10	2009-08-20	2009-08-17
219187	jgc	1457	0	1457	2011-05-27	2011-05-27	NULL	1	2011-05-27	2011-05-27
307128	Allanot Nicolas	1204	0	1147	2012-11-19	2012-11-19	NULL	6	2013-09-17	2013-03-03
2420800	Cristian Muresanu	1493	0	1320	2014-10-23	2014-10-23	NULL	19	2014-11-23	2014-11-05
3516	BiIbo	1	0	0	2011-05-23	NULL	NULL	1	2011-05-22	2011-05-22
2697733	Gizmot	1583	0	911	2015-02-23	2015-02-23	NULL	16	2015-08-21	2015-09-23
761877	bertogatti	1169	0	1130	2012-07-28	2012-07-28	NULL	6	2012-10-14	2012-11-03
175097	cerveaupro	1422	1	737	2009-09-18	2009-09-18	2009-09-18	6	2009-09-21	2009-09-20
94047	Rijkk	1866	0	0	2009-01-24	NULL	NULL	10	2009-04-04	2009-02-20
130472	fx99	1466	0	1186	2013-02-02	2013-02-02	NULL	21	2014-05-07	2015-01-15
70	Matt	1440	2	1406	2008-09-19	2008-09-19	2008-09-21	3	2008-09-20	2008-09-20
24897	Axelf	1317	4	974	2008-09-14	2008-09-14	2008-09-14	3	2008-10-25	2008-10-02
279659	Davidd419	1844	0	873	2010-05-01	2010-05-01	NULL	6	2012-05-13	2010-10-24
