user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
166047	Mikle	39	0	0	2009-09-01	NULL	NULL	1	2009-09-01	2009-09-01
1385904	НИППОН	1	0	1	2013-04-24	2013-04-24	NULL	1	2013-04-24	2013-04-24
227736	FtW	8802	0	6266	2010-03-06	2010-03-06	NULL	223	2012-03-23	2011-07-16
75496	navigARTor	9497	1	3200	2008-10-30	2008-10-30	2009-06-09	108	2009-08-13	2009-01-28
153221	Dimon	9342	0	7891	2009-08-09	2009-08-09	NULL	45	2010-04-14	2009-12-14
212137	rumigu	8913	0	4855	2009-12-26	2009-12-26	NULL	31	2012-02-15	2011-10-15
127494	chilin	9821	0	5452	2009-09-06	2009-09-06	NULL	158	2010-12-13	2010-12-26
97421	vespex	8531	6	2721	2009-02-07	2009-12-08	2010-01-05	69	2010-06-24	2010-05-22
161476	Alexandr Zeinalov	9398	1	2594	2009-10-11	2009-10-11	2010-01-24	83	2011-12-17	2011-01-27
363136	neo-plan	8594	0	7224	2010-10-26	2010-10-26	NULL	335	2013-10-17	2013-10-18
71680	Fiks	9302	0	5208	2008-10-08	2008-10-08	NULL	161	2010-03-06	2009-06-29
329833	pankdm	8966	0	6334	2010-08-31	2010-08-31	NULL	77	2012-01-22	2011-07-29
218873	Stasik	7748	0	4384	2010-04-06	2010-04-06	NULL	36	2010-10-21	2011-01-09
70549	chakhlik	8214	0	2161	2008-10-07	2008-10-07	NULL	31	2009-03-12	2008-10-31
1083405	vylekzhanin	7512	0	2798	2012-11-25	2012-11-25	NULL	157	2014-01-16	2013-10-27
393484	staric	7698	0	7139	2011-01-23	2011-01-23	NULL	63	2011-06-24	2011-02-07
177747	Vadim Zudkin	7517	1	6583	2009-12-09	2009-12-09	2009-12-24	92	2011-08-27	2010-12-18
224318	egens	7636	0	5236	2010-01-25	2010-01-26	NULL	28	2011-01-12	2010-12-01
1775856	Made Dragon	7687	0	1843	2013-10-15	2013-10-15	NULL	18	2014-03-01	2014-06-11
128121	Morphine	473	0	385	2009-05-25	2009-05-25	NULL	5	2009-08-29	2009-05-27
398860	MiSerg	180	0	82	2013-01-13	2013-01-13	NULL	3	2014-01-10	2013-04-19
39851	ferex	1	0	1	2009-08-08	2009-08-08	NULL	1	2009-08-08	2009-08-08
547226	wkarta	45	0	2	2011-11-01	2011-11-01	NULL	1	2011-11-01	2011-11-01
88089	abutorin	1	0	0	2009-06-19	NULL	NULL	1	2009-06-19	2009-06-19
563981	McSchpieler	4	0	4	2012-04-07	2012-04-07	NULL	1	2012-04-07	2012-04-07
194743	Wolthusen	1	0	0	2010-06-14	NULL	NULL	1	2010-06-14	2010-06-14
830221	motl	6	0	6	2012-08-24	2012-08-24	NULL	2	2012-08-25	2012-08-25
1820604	mansoni	17	0	0	2013-12-08	NULL	NULL	1	2013-12-08	2013-12-08
34198	SoNick_RND	36	0	9	2008-11-17	2008-11-17	NULL	4	2009-02-21	2009-01-06
382115	apigalev	61	0	59	2013-09-05	2013-09-05	NULL	2	2013-09-06	2013-09-05
370740	KoZzzik	8	0	5	2010-12-02	2010-12-02	NULL	1	2010-12-02	2010-12-02
1037008	Mikkk	68	0	48	2013-01-21	2013-01-21	NULL	2	2013-02-08	2013-01-23
73355	ibicus	1	0	0	2008-10-15	NULL	NULL	1	2008-10-15	2008-10-15
2252509	adolganov	14	0	14	2014-08-11	2014-08-11	NULL	1	2014-08-11	2014-08-11
2156822	Monzas	2	0	2	2014-06-30	2014-06-30	NULL	1	2014-06-30	2014-06-30
1859731	Pegr78	3	0	3	2013-12-29	2013-12-29	NULL	1	2013-12-29	2013-12-29
2457653	MukhtarovaAM	3	0	3	2014-11-11	2014-11-11	NULL	1	2014-11-11	2014-11-11
394993	FarAway	3	0	2	2011-01-13	2011-01-13	NULL	1	2011-01-13	2011-01-13
2350624	Red Kremlin Hostel	3	0	1	2014-09-21	2014-09-21	NULL	1	2014-09-21	2014-09-21
2263674	morsya	3	0	2	2014-09-23	2014-09-23	NULL	3	2014-11-02	2014-11-02
2199181	jonnytiger	3	0	3	2014-07-20	2014-07-20	NULL	1	2014-07-20	2014-07-20
2015443	adrianov	3	0	2	2014-04-03	2014-04-03	NULL	2	2014-04-04	2014-04-04
2335519	eltigre27	3	0	2	2014-09-15	2014-09-15	NULL	1	2014-09-15	2014-09-15
1832883	Jake Strine	3	0	0	2014-04-30	NULL	NULL	3	2014-05-03	2014-05-03
2112930	Vashukov	3	0	1	2014-06-08	2014-06-08	NULL	1	2014-06-08	2014-06-08
290089	Mayor Popeye	3	0	3	2010-09-12	2010-09-12	NULL	2	2011-05-18	2011-08-08
2370814	Hokop	3	0	3	2014-10-01	2014-10-01	NULL	1	2014-10-01	2014-10-01
2402317	slava_andreev	3	0	3	2014-10-15	2014-10-15	NULL	1	2014-10-15	2014-10-15
390411	denmark88	3	0	3	2011-01-02	2011-01-02	NULL	1	2011-01-02	2011-01-02
2088952	0n1y	3	0	3	2014-10-27	2014-10-27	NULL	1	2014-10-27	2014-10-27
2261750	Kaenoru	3	0	2	2015-01-20	2015-01-20	NULL	1	2015-01-20	2015-01-20
28559	Stemby	3	0	0	2012-05-11	NULL	NULL	3	2013-06-03	2013-06-03
2190092	Kettle	3	0	3	2014-07-16	2014-07-16	NULL	1	2014-07-16	2014-07-16
393611	urm2003	3	0	3	2011-01-10	2011-01-10	NULL	1	2011-01-10	2011-01-10
15308	GPS-Tux	3	0	1	2009-02-12	2009-02-12	NULL	2	2009-03-15	2009-03-04
2135794	XenaC	3	0	3	2014-06-23	2014-06-23	NULL	1	2014-06-23	2014-06-23
2602658	Alexfk	2	0	2	2015-01-25	2015-01-25	NULL	1	2015-01-25	2015-01-25
582802	letu4iy	3	0	3	2012-01-09	2012-01-09	NULL	1	2012-01-09	2012-01-09
410438	fkostya	5	0	5	2011-02-17	2011-02-17	NULL	1	2011-02-17	2011-02-17
345209	Бааа!	1	0	1	2010-09-11	2010-09-11	NULL	1	2010-09-11	2010-09-11
1190524	sashunya	8	0	8	2013-01-20	2013-01-20	NULL	1	2013-01-20	2013-01-20
127220	ZZZubik	108	0	100	2009-06-22	2009-06-22	NULL	3	2009-08-07	2009-07-04
552527	Sovenok	71	0	21	2011-11-14	2011-11-14	NULL	1	2011-11-14	2011-11-14
2454877	Сазонов Сергей	1	0	1	2014-11-10	2014-11-10	NULL	1	2014-11-10	2014-11-10
336354	esaulenka	37252	0	9339	2010-08-22	2010-08-22	NULL	214	2012-11-03	2012-05-20
180462	Dennis Apter	83	0	71	2011-05-17	2011-05-17	NULL	1	2011-05-17	2011-05-17
148980	kolyuchiy	1824	0	1686	2013-05-19	2013-05-19	NULL	9	2014-08-20	2014-09-23
405643	Degrion	58	0	33	2011-02-07	2011-02-07	NULL	1	2011-02-07	2011-02-07
433894	Colder47	17	0	7	2011-04-07	2011-04-07	NULL	4	2011-04-25	2011-04-22
2439199	errorist	1	0	0	2014-11-02	NULL	NULL	1	2014-11-02	2014-11-02
280879	San4ez	11	0	10	2010-05-03	2011-06-03	NULL	2	2010-11-18	2011-04-29
308438	Boris Demeshev	29	0	28	2010-07-21	2010-07-21	NULL	1	2010-07-21	2010-07-21
332455	ManQ	3	0	3	2010-10-26	2010-10-26	NULL	2	2010-11-02	2010-10-31
2187027	Ксения Дёмина	1	0	1	2014-07-15	2014-07-15	NULL	1	2014-07-15	2014-07-15
592402	Caterp!llar	2340	0	823	2012-01-23	2012-01-23	NULL	21	2012-05-15	2012-03-27
370531	Alekey	97	0	26	2014-10-30	2014-10-30	NULL	1	2014-10-30	2014-10-30
28052	CvR	7	0	0	2008-03-22	NULL	NULL	2	2008-03-24	2008-03-25
16319	ipodolsk	28	0	28	2011-04-07	2011-04-07	NULL	1	2011-04-08	2011-04-08
390271	SanSan	8	0	3	2014-11-10	2014-11-10	NULL	3	2014-11-30	2014-11-28
493133	MAV	2	0	0	2011-07-21	NULL	NULL	1	2011-07-21	2011-07-21
271380	pavlinux	2	0	0	2010-04-20	NULL	NULL	1	2010-04-20	2010-04-20
157465	Kiselev_E	1	0	1	2011-07-25	2011-07-25	NULL	1	2011-07-25	2011-07-25
573002	GB03Db	5	0	5	2012-09-10	2012-09-10	NULL	1	2012-09-10	2012-09-10
955713	Алексей Ермолов	5	0	5	2012-10-07	2012-10-07	NULL	1	2012-10-07	2012-10-07
560156	oleg6696	5	0	3	2013-03-02	2013-03-02	NULL	3	2013-07-31	2013-06-06
189331	veter27	5	0	5	2010-11-21	2010-11-21	NULL	2	2012-12-15	2013-05-14
1236348	simulo	5	0	3	2013-02-21	2013-02-21	NULL	1	2013-02-21	2013-02-21
728637	GerandeX	5	0	5	2012-07-12	2012-07-12	NULL	1	2012-07-12	2012-07-12
1248103	konstsok	5	0	5	2013-03-05	2013-03-05	NULL	1	2013-03-05	2013-03-05
370630	Doctorpwnz	5	0	4	2010-11-14	2010-11-14	NULL	1	2010-11-14	2010-11-14
342409	nik65	5	0	5	2010-09-05	2010-09-05	NULL	1	2010-09-05	2010-09-05
1892	JLS	1	0	0	2009-02-06	NULL	NULL	1	2009-02-06	2009-02-06
439518	Lerk	5	0	5	2011-04-18	2011-04-18	NULL	1	2011-04-18	2011-04-18
1447667	ответственный	5	0	5	2013-05-14	2013-05-14	NULL	1	2013-05-14	2013-05-14
623119	Дмитрий_Б	5	0	5	2012-03-10	2012-03-10	NULL	1	2012-03-10	2012-03-10
327276	cesarppc	5	0	1	2010-08-02	2010-08-02	NULL	2	2010-08-03	2010-08-02
232312	ike88	5	0	0	2010-04-30	NULL	NULL	1	2010-04-30	2010-04-30
808050	vovanchikel	5	0	5	2012-08-17	2012-08-17	NULL	1	2012-08-18	2012-08-18
468296	SlavaK	5	0	3	2012-07-19	2012-07-19	NULL	1	2012-07-19	2012-07-19
1556831	bazhenovsergey27	5	0	1	2013-08-20	2013-08-20	NULL	1	2013-08-20	2013-08-20
585211	dsadsa	5	0	5	2012-10-17	2012-10-17	NULL	2	2012-10-18	2012-10-17
1947519	Павел-284	5	0	4	2014-02-21	2014-02-21	NULL	1	2014-02-21	2014-02-21
627498	fm2	5	0	1	2012-03-13	2012-03-14	NULL	2	2012-03-14	2012-03-14
342701	popic	5	0	1	2010-10-02	2010-10-02	NULL	3	2010-10-04	2010-10-04
32288	rmm	5	0	0	2008-03-27	NULL	NULL	1	2008-03-27	2008-03-27
126990	Paul Nosov	5	0	0	2009-05-22	NULL	NULL	1	2009-05-22	2009-05-22
355898	Alexander N	5	0	4	2010-12-31	2010-12-31	NULL	2	2011-06-06	2011-09-08
523925	Alexander G	5	0	5	2011-09-23	2011-09-23	NULL	1	2011-09-23	2011-09-23
103253	gormur	5	0	0	2010-12-26	NULL	NULL	3	2012-07-31	2012-07-27
230707	stanton	5	0	5	2011-07-02	2011-07-02	NULL	1	2011-07-02	2011-07-02
633227	Silver_Clash	5	0	5	2012-03-19	2012-03-19	NULL	1	2012-03-19	2012-03-19
1784445	zhuk1350	5	0	1	2013-10-24	2013-10-24	NULL	1	2013-10-24	2013-10-24
1906426	kudryavsky	5	0	0	2014-01-28	NULL	NULL	1	2014-01-28	2014-01-28
415265	kirusha27	5	0	4	2011-02-27	2011-02-27	NULL	1	2011-02-27	2011-02-27
904204	pnp2000	5	0	5	2012-09-21	2012-09-21	NULL	1	2012-09-21	2012-09-21
386776	Illanius	5	0	5	2010-12-22	2010-12-22	NULL	1	2010-12-22	2010-12-22
2417774	boxlocalfood	5	0	3	2014-10-22	2014-10-22	NULL	2	2014-11-03	2014-11-01
324368	seregakm	4	0	4	2010-08-11	2010-08-11	NULL	1	2010-08-11	2010-08-11
206282	Amigo	103880	0	55857	2009-12-09	2009-12-10	NULL	959	2012-02-14	2012-01-05
422171	Dear-user	7	0	7	2012-03-14	2012-03-14	NULL	1	2012-03-14	2012-03-14
658807	mitischi	8	0	8	2012-04-13	2012-04-13	NULL	1	2012-04-13	2012-04-13
128186	malcolmh	6	0	0	2013-05-12	NULL	NULL	4	2013-05-26	2013-05-27
294466	MYXOMOPbI4	35	0	19	2011-07-13	2011-07-17	NULL	2	2011-07-16	2011-07-16
113416	karmatsky	3	0	2	2013-05-29	2013-05-29	NULL	2	2014-03-18	2013-12-11
1470676	mva66	279	0	123	2013-05-29	2013-05-29	NULL	4	2013-08-17	2013-12-03
697010	Andryhan	3	0	3	2012-06-06	2012-06-06	NULL	1	2012-06-06	2012-06-06
1305786	Vior	6	0	6	2013-03-26	2013-03-26	NULL	1	2013-03-26	2013-03-26
968583	falcon01	5	0	0	2012-10-11	NULL	NULL	2	2012-10-25	2012-10-22
397335	wooden	6	0	0	2011-01-19	NULL	NULL	1	2011-01-19	2011-01-19
2415538	Роман А	5	0	5	2014-12-28	2014-12-28	NULL	1	2014-12-28	2014-12-28
289640	WASD42	5	0	3	2010-05-19	2010-05-19	NULL	1	2010-05-19	2010-05-19
622157	port0101	6	0	2	2012-03-09	2012-03-09	NULL	2	2012-07-17	2012-06-04
432594	urkud	6	0	4	2011-08-03	2011-08-03	NULL	2	2012-12-11	2012-01-15
398106	NSpartak	6	0	1	2011-01-20	2011-01-20	NULL	2	2011-04-24	2011-06-24
29084	stoecker	5	0	0	2009-03-03	NULL	NULL	1	2009-03-03	2009-03-03
163023	ajvol	13096	0	8010	2009-08-26	2009-08-26	NULL	89	2012-03-15	2011-12-17
119110	Alastor	11893	0	10454	2009-06-30	2009-06-30	NULL	70	2010-04-19	2010-04-03
421524	Scondo	10925	0	6682	2011-03-14	2011-03-14	NULL	107	2012-06-18	2012-07-27
249576	oom	220	0	170	2014-04-04	2014-04-04	NULL	1	2014-04-04	2014-04-04
119393	SomeSergey	12586	0	10242	2009-05-22	2009-05-22	NULL	62	2010-03-17	2010-01-27
962086	crab64	12516	0	7084	2012-10-09	2012-10-09	NULL	100	2013-03-26	2013-01-26
463102	toorboalex	11708	0	6899	2013-07-25	2013-07-25	NULL	14	2014-08-10	2014-10-06
36778	asaw	11071	5	7497	2008-05-29	2008-05-29	2008-05-30	97	2010-02-24	2009-12-23
72694	medvesonok	11743	0	6199	2008-10-11	2008-10-11	NULL	58	2009-08-30	2009-03-18
15220	dk42	10566	67	4100	2007-10-02	2007-10-02	2007-10-02	110	2008-12-19	2008-09-02
357374	ynx	12494	0	5435	2010-10-11	2010-10-11	NULL	174	2014-01-21	2014-04-07
1802345	CeteraLabs	10	0	5	2013-11-11	2013-11-11	NULL	1	2013-11-11	2013-11-11
1045910	Andrej293	7	0	7	2014-05-17	2014-05-17	NULL	3	2014-08-19	2014-10-11
741859	linch572	1	0	1	2012-07-18	2012-07-18	NULL	1	2012-07-18	2012-07-18
2043579	Marikoshi	7	0	5	2014-04-22	2014-04-22	NULL	1	2014-04-23	2014-04-23
321862	DanX	576	0	464	2010-08-30	2010-08-30	NULL	45	2012-06-18	2011-12-28
226277	Wildy	411	0	251	2010-01-29	2010-01-29	NULL	32	2013-06-26	2014-01-06
405298	Hare	2	0	2	2011-02-07	2011-02-07	NULL	1	2011-02-07	2011-02-07
174822	Canabis	13193	0	5527	2009-11-23	2009-11-23	NULL	169	2011-02-11	2011-03-29
422783	qwerty13962	1	0	1	2011-03-16	2011-03-16	NULL	1	2011-03-16	2011-03-16
4363	Pmz	3	0	0	2011-03-04	NULL	NULL	2	2011-03-06	2011-03-07
67602	Nop	120	0	0	2010-09-09	NULL	NULL	2	2010-09-10	2010-09-10
422859	asakharov	1	0	0	2011-03-16	NULL	NULL	1	2011-03-16	2011-03-16
NULL	NULL	1	0	1	2007-09-22	2007-09-22	NULL	1	2007-09-22	2007-09-22
2070701	OpenBeerMapContributor	2	0	0	2014-12-21	NULL	NULL	2	2014-12-22	2014-12-22
