user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
99655	MJL Wood	57218	44	30904	2009-07-09	2009-07-09	2009-08-08	163	2010-03-17	2010-02-06
28466	shekhar	101304	0	97416	2008-07-02	2008-07-02	NULL	60	2011-07-06	2010-06-17
1306	PlaneMad	59624	175	45181	2010-01-24	2010-01-24	2010-01-24	129	2012-04-07	2012-02-21
56597	Oberaffe	29131	0	1819	2010-06-22	2013-05-19	NULL	13	2014-02-02	2010-10-10
715224	parambyte	41214	0	38578	2012-11-01	2012-11-01	NULL	117	2013-12-22	2013-11-06
247440	NaveenBachwani	1	0	0	2010-03-16	NULL	NULL	1	2010-03-16	2010-03-16
397054	AmodDate	1	0	1	2011-04-15	2011-04-15	NULL	1	2011-04-15	2011-04-15
1033442	Kannan Srinivasan	1	0	1	2012-11-07	2012-11-07	NULL	1	2012-11-07	2012-11-07
566944	Manoj P	1	0	1	2011-12-09	2011-12-09	NULL	1	2011-12-09	2011-12-09
2511598	Hrush	1	0	0	2014-12-09	NULL	NULL	1	2014-12-09	2014-12-09
289334	Soldier Boy	1	0	1	2011-12-29	2011-12-29	NULL	1	2011-12-29	2011-12-29
1954877	Botman	1	0	1	2014-02-28	2014-02-28	NULL	1	2014-02-28	2014-02-28
551177	Singhji	1	0	1	2011-11-08	2011-11-08	NULL	1	2011-11-08	2011-11-08
45027	PA94	1	0	0	2010-10-31	NULL	NULL	1	2010-10-31	2010-10-31
394843	Paresh Savla	1	0	1	2011-01-13	2011-01-13	NULL	1	2011-01-13	2011-01-13
65154	Vitrag Mehta	1	0	0	2008-09-13	NULL	NULL	1	2008-09-13	2008-09-13
2377369	Mangesh Dhakde	1	0	1	2014-11-23	2014-11-23	NULL	1	2014-11-23	2014-11-23
389042	Sandeep Mozar	1	0	1	2010-12-29	2010-12-29	NULL	1	2010-12-29	2010-12-29
459938	Suisse	10	0	10	2011-05-24	2011-05-24	NULL	1	2011-05-25	2011-05-25
2482381	saifi tabrez	16	0	15	2014-11-24	2014-11-25	NULL	3	2014-11-27	2014-11-29
361730	Kartik Shah	5	0	5	2014-06-14	2014-06-14	NULL	1	2014-06-14	2014-06-14
70696	xybot	50	0	0	2009-07-30	NULL	NULL	26	2011-05-28	2011-05-07
181135	Manu1400	8	0	0	2013-05-04	NULL	NULL	4	2013-09-01	2013-08-26
125718	Fabi2	4	0	0	2011-02-07	NULL	NULL	1	2011-02-08	2011-02-08
1293448	kir_raj	2236	3	2201	2013-03-26	2013-03-26	2013-03-26	1	2013-03-26	2013-03-26
2102727	theshubhamv	2	0	1	2014-06-03	2014-06-03	NULL	1	2014-06-03	2014-06-03
618144	whizzy	3978	0	3022	2012-09-13	2012-09-13	NULL	7	2012-09-23	2012-09-23
1603038	gaurav jain	6935	0	6858	2013-07-02	2013-07-02	NULL	10	2013-07-07	2013-07-08
1286276	PremK	2029	3	1945	2013-03-23	2013-03-23	2013-03-23	3	2013-03-28	2013-03-24
1821999	Aadesh	3982	0	3962	2013-11-28	2013-11-28	NULL	10	2013-12-29	2014-01-09
1989621	slalani	758	0	596	2014-05-07	2014-05-07	NULL	2	2014-05-10	2014-05-11
2482211	akash875	2	0	1	2014-12-03	2014-12-03	NULL	1	2014-12-03	2014-12-03
1946710	Manubhai_Jewellers	2	0	2	2014-02-21	2014-02-21	NULL	1	2014-02-21	2014-02-21
1848945	Nagappa	2	0	2	2013-12-19	2013-12-19	NULL	1	2013-12-19	2013-12-19
27585	lawgoff	2283	0	943	2008-06-21	2008-07-04	NULL	17	2009-01-27	2008-11-21
137441	Shankar	648	0	633	2010-03-16	2010-03-16	NULL	4	2010-03-19	2010-03-16
2482652	adiraj	3	0	3	2014-12-02	2014-12-02	NULL	2	2014-12-03	2014-12-02
1868627	NVCG	2	0	2	2014-01-05	2014-01-05	NULL	1	2014-01-05	2014-01-05
532637	teksan	632	0	427	2011-10-05	2011-10-05	NULL	8	2011-12-25	2012-01-10
1157969	singleton	8626	0	4718	2013-02-27	2013-02-27	NULL	23	2013-10-27	2013-11-02
165869	chdr	1152	0	1141	2011-05-09	2011-05-09	NULL	3	2011-06-30	2011-05-10
550542	Ankush Savre	1307	0	928	2011-11-07	2011-11-07	NULL	3	2011-11-08	2011-11-09
1278268	Anil Maurya	3	0	3	2013-03-18	2013-03-18	NULL	2	2013-09-17	2013-07-18
3962	RussNelson	890	0	628	2009-12-16	2009-12-16	NULL	9	2013-01-23	2012-08-22
91490	Heinz_V	2690	0	1758	2012-09-09	2012-09-09	NULL	19	2014-02-24	2013-06-07
1164	dmgroom	2226	37	332	2008-01-05	2008-01-05	2008-01-05	6	2008-02-04	2008-01-13
1080061	Mazacar	2224	0	1554	2012-12-21	2012-12-21	NULL	14	2013-01-25	2013-01-22
1850193	ksbarot	4750	57	4750	2013-12-20	2013-12-20	2013-12-20	1	2013-12-20	2013-12-20
1306709	Moorthy1	7132	4	6473	2013-03-29	2013-03-29	2013-03-29	5	2013-04-01	2013-03-30
55149	kallu	2	0	0	2008-07-29	NULL	NULL	1	2008-07-30	2008-07-30
1307011	udaya	12079	0	11846	2013-03-28	2013-03-28	NULL	5	2013-03-31	2013-04-01
263390	Suniil	3	0	0	2010-04-11	NULL	NULL	1	2010-04-11	2010-04-11
2000473	ivanpaul_2007	2	0	1	2014-03-24	2014-03-24	NULL	1	2014-03-24	2014-03-24
1147432	udayt	3	0	1	2012-12-19	2012-12-19	NULL	1	2012-12-19	2012-12-19
194692	pradx	718	0	580	2010-02-23	2010-02-23	NULL	16	2013-05-14	2013-09-03
308	MichaelCollinson	2158	0	175	2008-11-05	2008-12-02	NULL	3	2008-11-25	2008-12-05
1873677	Mihir!	2	0	2	2014-01-08	2014-01-08	NULL	1	2014-01-08	2014-01-08
2482408	Amardeep sitafule	3	0	3	2014-12-01	2014-12-01	NULL	1	2014-12-01	2014-12-01
94872	KkB	10235	31	1825	2009-01-27	2009-01-27	2009-01-27	17	2009-03-20	2009-02-17
35009	dockers	624	24	624	2008-06-11	2008-06-11	2009-02-06	4	2008-12-13	2009-02-09
567413	Chetan Temkar - (BEST)	1573	0	1351	2011-12-10	2011-12-10	NULL	11	2012-01-02	2012-01-04
57987	deye	6069	1	1692	2009-02-16	2009-02-16	2009-02-16	8	2009-03-10	2009-02-19
1016290	Amaroussi	713	0	570	2014-04-20	2014-04-20	NULL	7	2014-06-17	2014-06-07
42123	Ropino	3	0	0	2009-09-14	NULL	NULL	2	2010-03-26	2010-05-28
2106546	Sangram Salunkhe	1	0	1	2014-06-04	2014-06-04	NULL	1	2014-06-04	2014-06-04
195637	Bohnix	1	0	0	2011-03-14	NULL	NULL	1	2011-03-15	2011-03-15
612631	Amit Salkar	1	0	1	2012-02-29	2012-02-29	NULL	1	2012-02-29	2012-02-29
39150	account_deleted_1011	1	0	0	2009-04-12	NULL	NULL	1	2009-04-12	2009-04-12
1451084	Unmesh Bagwe	1	0	1	2013-05-15	2013-05-15	NULL	1	2013-05-15	2013-05-15
1348824	agarwalpaw	1	0	1	2013-04-11	2013-04-11	NULL	1	2013-04-11	2013-04-11
1252631	incognito21	1	0	1	2013-03-07	2013-03-07	NULL	1	2013-03-07	2013-03-07
2143746	sushamatiss	1	0	1	2014-06-24	2014-06-24	NULL	1	2014-06-24	2014-06-24
2151601	Shaikh Danish	1	0	1	2014-06-27	2014-06-27	NULL	1	2014-06-27	2014-06-27
